episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
20000,0.565,2327.5,0.935,590.0
40000,0.495,2560.0,0.92,-705.0
60000,0.56,3692.5,0.9,-55.0
80000,0.595,-1197.5,0.91,167.5
100000,0.545,567.5,0.91,355.0
120000,0.53,-1062.5,0.925,2.5
140000,0.5,3560.0,0.93,850.0
160000,0.53,2362.5,0.925,1695.0
180000,0.505,-217.5,0.91,1107.5
200000,0.535,332.5,0.925,282.5
220000,0.52,-1617.5,0.95,1140.0
240000,0.525,2807.5,0.935,1232.5
260000,0.55,3192.5,0.915,1682.5
280000,0.565,3802.5,0.96,1367.5
300000,0.605,5927.5,0.935,662.5
320000,0.53,-1355.0,0.955,907.5
340000,0.59,225.0,0.925,727.5
360000,0.5,2807.5,0.92,567.5
380000,0.54,90.0,0.91,1062.5
400000,0.545,992.5,0.935,827.5
420000,0.51,2360.0,0.915,77.5
440000,0.53,462.5,0.935,257.5
460000,0.48,167.5,0.92,1807.5
480000,0.41,-1382.5,0.955,912.5
500000,0.47,-1610.0,0.95,357.5
520000,0.535,2167.5,0.945,840.0
540000,0.515,4912.5,0.945,790.0
560000,0.475,-137.5,0.94,1282.5
580000,0.5,1857.5,0.925,762.5
600000,0.515,540.0,0.92,1035.0
620000,0.525,827.5,0.91,-42.5
640000,0.565,2302.5,0.92,577.5
660000,0.505,3835.0,0.925,277.5
680000,0.43,-1455.0,0.945,935.0
700000,0.525,512.5,0.935,780.0
720000,0.52,1292.5,0.935,1437.5
740000,0.525,292.5,0.94,825.0
760000,0.565,2507.5,0.915,1160.0
780000,0.515,1662.5,0.935,797.5
800000,0.575,2987.5,0.92,1762.5
820000,0.52,2642.5,0.94,830.0
840000,0.515,1730.0,0.94,1040.0
860000,0.525,982.5,0.925,1370.0
880000,0.53,2232.5,0.93,1185.0
900000,0.525,112.5,0.965,1305.0
920000,0.525,-147.5,0.915,1170.0
940000,0.535,1447.5,0.96,1422.5
960000,0.525,1567.5,0.94,747.5
980000,0.465,-2240.0,0.95,815.0
1000000,0.495,-60.0,0.925,292.5
1020000,0.44,920.0,0.92,1030.0
1040000,0.55,4517.5,0.96,1947.5
1060000,0.53,850.0,0.925,800.0
1080000,0.495,-977.5,0.92,705.0
1100000,0.555,1427.5,0.9,342.5
1120000,0.61,5335.0,0.98,1957.5
1140000,0.51,987.5,0.95,797.5
1160000,0.54,597.5,0.945,602.5
1180000,0.545,1507.5,0.955,1320.0
1200000,0.51,1222.5,0.945,887.5
