episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
20000,0.68,7790.0,0.95,-120.0
40000,0.54,-1867.5,0.925,80.0
60000,0.52,767.5,0.925,747.5
80000,0.57,-1212.5,0.945,312.5
100000,0.555,460.0,0.95,1860.0
120000,0.53,960.0,0.935,667.5
140000,0.45,500.0,0.915,737.5
160000,0.55,3700.0,0.92,740.0
180000,0.48,2812.5,0.92,857.5
200000,0.48,-1365.0,0.935,605.0
220000,0.47,-1087.5,0.925,725.0
240000,0.52,3192.5,0.905,775.0
260000,0.445,255.0,0.925,1190.0
280000,0.485,-482.5,0.93,1362.5
300000,0.47,312.5,0.92,627.5
320000,0.46,695.0,0.9,557.5
340000,0.495,-1075.0,0.92,2632.5
360000,0.52,4215.0,0.955,932.5
380000,0.56,2935.0,0.925,1730.0
400000,0.475,-1940.0,0.905,995.0
420000,0.51,-590.0,0.905,1670.0
440000,0.5,1197.5,0.955,302.5
460000,0.54,-2965.0,0.915,1110.0
480000,0.49,1902.5,0.935,487.5
500000,0.5,1915.0,0.93,1200.0
520000,0.59,635.0,0.94,1265.0
540000,0.51,-1065.0,0.925,265.0
560000,0.535,-1275.0,0.945,832.5
580000,0.6,2902.5,0.935,655.0
600000,0.535,525.0,0.945,895.0
620000,0.525,3947.5,0.94,1082.5
640000,0.475,1932.5,0.915,927.5
660000,0.55,-2392.5,0.95,797.5
680000,0.525,2190.0,0.915,-345.0
700000,0.465,-1777.5,0.92,730.0
720000,0.595,2272.5,0.93,1317.5
740000,0.535,-1845.0,0.935,897.5
760000,0.545,-1295.0,0.93,1765.0
780000,0.465,-3407.5,0.92,665.0
800000,0.49,-307.5,0.955,1457.5
820000,0.455,-612.5,0.93,755.0
840000,0.63,1450.0,0.9,1497.5
860000,0.53,-95.0,0.91,1785.0
880000,0.475,-430.0,0.94,1620.0
900000,0.465,-1670.0,0.925,770.0
920000,0.515,1437.5,0.92,922.5
940000,0.54,-337.5,0.925,1730.0
960000,0.57,4445.0,0.91,172.5
980000,0.515,697.5,0.93,735.0
1000000,0.475,117.5,0.915,662.5
1020000,0.585,1882.5,0.94,1307.5
1040000,0.48,1110.0,0.95,817.5
1060000,0.525,2137.5,0.91,550.0
1080000,0.51,-1187.5,0.905,147.5
1100000,0.5,2287.5,0.955,452.5
1120000,0.515,1557.5,0.95,772.5
1140000,0.535,2240.0,0.91,-7.5
1160000,0.52,165.0,0.94,1315.0
1180000,0.495,1750.0,0.93,5.0
1200000,0.515,517.5,0.935,882.5
1220000,0.495,3377.5,0.885,1025.0
1240000,0.53,-25.0,0.945,840.0
1260000,0.45,-3020.0,0.935,315.0
1280000,0.525,-2705.0,0.935,805.0
1300000,0.42,-600.0,0.935,350.0
1320000,0.465,-77.5,0.925,1702.5
1340000,0.48,1582.5,0.92,647.5
1360000,0.5,-577.5,0.95,892.5
1380000,0.5,597.5,0.935,342.5
1400000,0.515,2120.0,0.925,85.0
1420000,0.545,2720.0,0.92,602.5
1440000,0.53,2915.0,0.94,1275.0
1460000,0.52,-137.5,0.935,792.5
1480000,0.445,-1452.5,0.95,935.0
1500000,0.575,2427.5,0.925,1285.0
1520000,0.545,3502.5,0.92,1210.0
1540000,0.52,800.0,0.92,692.5
1560000,0.43,-1327.5,0.955,775.0
1580000,0.515,-160.0,0.94,1172.5
1600000,0.51,2907.5,0.94,782.5
1620000,0.575,2345.0,0.95,725.0
1640000,0.54,3437.5,0.94,1257.5
1660000,0.46,-180.0,0.91,205.0
1680000,0.48,-312.5,0.945,880.0
1700000,0.555,850.0,0.93,957.5
1720000,0.56,-927.5,0.955,1942.5
1740000,0.48,-2302.5,0.94,1387.5
1760000,0.49,-2665.0,0.95,872.5
1780000,0.575,1707.5,0.89,637.5
1800000,0.525,4500.0,0.945,1277.5
1820000,0.525,72.5,0.915,920.0
1840000,0.525,10.0,0.915,205.0
1860000,0.52,-465.0,0.89,450.0
1880000,0.515,-305.0,0.935,1765.0
1900000,0.53,387.5,0.945,1335.0
1920000,0.49,1732.5,0.945,1532.5
1940000,0.535,245.0,0.91,952.5
1960000,0.475,2510.0,0.91,1265.0
1980000,0.5,-1865.0,0.96,1350.0
2000000,0.465,335.0,0.945,870.0
2020000,0.55,182.5,0.935,230.0
2040000,0.535,2895.0,0.93,680.0
2060000,0.575,430.0,0.95,790.0
2080000,0.54,1065.0,0.94,765.0
2100000,0.48,442.5,0.92,807.5
2120000,0.56,590.0,0.95,887.5
2140000,0.575,1635.0,0.955,795.0
2160000,0.5,-2455.0,0.925,1485.0
2180000,0.475,1130.0,0.93,617.5
2200000,0.525,-215.0,0.935,1187.5
2220000,0.485,1297.5,0.91,980.0
2240000,0.495,107.5,0.94,827.5
2260000,0.585,3900.0,0.895,552.5
2280000,0.56,-1032.5,0.94,865.0
2300000,0.505,485.0,0.94,790.0
2320000,0.52,-1667.5,0.965,907.5
2340000,0.505,955.0,0.92,1210.0
2360000,0.515,-1645.0,0.95,987.5
2380000,0.54,3135.0,0.96,655.0
2400000,0.58,4367.5,0.93,770.0
2420000,0.44,-505.0,0.965,1912.5
2440000,0.54,1517.5,0.94,555.0
2460000,0.535,662.5,0.955,360.0
2480000,0.535,1565.0,0.96,1872.5
2500000,0.51,-1507.5,0.935,1547.5
2520000,0.54,-1220.0,0.94,715.0
2540000,0.505,1860.0,0.92,800.0
2560000,0.53,-1687.5,0.935,372.5
2580000,0.485,3375.0,0.905,1217.5
2600000,0.485,1880.0,0.935,690.0
2620000,0.52,2780.0,0.925,745.0
2640000,0.54,1935.0,0.935,732.5
2660000,0.555,645.0,0.925,877.5
2680000,0.53,5035.0,0.91,1335.0
2700000,0.53,-347.5,0.955,1367.5
2720000,0.51,2090.0,0.925,1255.0
2740000,0.57,2097.5,0.945,785.0
2760000,0.535,3165.0,0.925,1115.0
2780000,0.545,247.5,0.925,1112.5
2800000,0.545,2697.5,0.93,1110.0
2820000,0.52,4565.0,0.895,532.5
2840000,0.565,2710.0,0.915,512.5
2860000,0.475,310.0,0.905,1555.0
2880000,0.55,-2232.5,0.94,747.5
2900000,0.545,3227.5,0.93,865.0
2920000,0.54,1585.0,0.93,740.0
2940000,0.495,2880.0,0.945,802.5
2960000,0.47,872.5,0.935,802.5
2980000,0.505,1292.5,0.95,817.5
3000000,0.49,3780.0,0.925,360.0
3020000,0.565,3630.0,0.975,1932.5
3040000,0.505,2470.0,0.935,717.5
3060000,0.495,-1062.5,0.94,780.0
3080000,0.475,-1092.5,0.94,617.5
3100000,0.525,4877.5,0.945,1525.0
3120000,0.565,-955.0,0.94,742.5
3140000,0.545,2680.0,0.925,1222.5
3160000,0.53,1270.0,0.93,740.0
3180000,0.5,2515.0,0.905,737.5
3200000,0.605,155.0,0.95,757.5
3220000,0.54,365.0,0.96,1387.5
3240000,0.6,3870.0,0.94,705.0
3260000,0.54,-1142.5,0.95,812.5
3280000,0.53,1602.5,0.91,1157.5
3300000,0.565,1580.0,0.925,1712.5
3320000,0.565,-827.5,0.94,807.5
3340000,0.47,-1805.0,0.925,692.5
3360000,0.665,3455.0,0.95,1277.5
3380000,0.525,-3080.0,0.925,1300.0
3400000,0.54,447.5,0.945,747.5
3420000,0.545,4675.0,0.955,897.5
3440000,0.585,1177.5,0.945,1242.5
3460000,0.59,1192.5,0.945,730.0
3480000,0.495,2815.0,0.94,712.5
3500000,0.465,-667.5,0.93,700.0
3520000,0.52,2000.0,0.93,670.0
3540000,0.52,1175.0,0.96,975.0
3560000,0.62,1120.0,0.91,1687.5
3580000,0.54,5315.0,0.88,527.5
3600000,0.51,7742.5,0.92,1195.0
3620000,0.52,3675.0,0.88,787.5
3640000,0.5,42.5,0.93,840.0
3660000,0.525,3145.0,0.91,630.0
3680000,0.515,237.5,0.93,762.5
3700000,0.565,4452.5,0.95,1400.0
3720000,0.46,-1902.5,0.925,617.5
3740000,0.495,1320.0,0.94,755.0
3760000,0.535,350.0,0.91,755.0
3780000,0.545,-1852.5,0.95,835.0
3800000,0.56,3442.5,0.945,850.0
3820000,0.55,-1097.5,0.91,707.5
3840000,0.57,-2009.9999999999998,0.955,1025.0
3860000,0.61,6285.0,0.885,625.0
3880000,0.565,72.5,0.925,825.0
3900000,0.575,-980.0,0.935,1787.5
3920000,0.59,3500.0,0.96,987.5
3940000,0.6,3327.5,0.935,767.5
3960000,0.575,3875.0,0.92,565.0
3980000,0.525,4165.0,0.935,847.5
4000000,0.575,3880.0,0.93,1772.5
4020000,0.61,5667.5,0.92,627.5
4040000,0.54,22.5,0.935,790.0
4060000,0.515,37.5,0.92,700.0
4080000,0.505,400.0,0.92,1272.5
4100000,0.57,4865.0,0.875,550.0
4120000,0.585,1975.0,0.945,852.5
4140000,0.565,-262.5,0.925,670.0
4160000,0.57,1552.5,0.935,755.0
4180000,0.605,4362.5,0.955,935.0
4200000,0.555,2967.5,0.935,1762.5
4220000,0.53,-185.0,0.92,1175.0
4240000,0.58,5637.5,0.92,1160.0
4260000,0.55,4917.5,0.91,695.0
4280000,0.47,-5502.5,0.945,802.5
4300000,0.53,980.0,0.93,687.5
4320000,0.565,1452.5,0.945,727.5
4340000,0.63,1152.5,0.94,805.0
4360000,0.57,-335.0,0.92,690.0
4380000,0.55,-62.5,0.925,680.0
