episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
20000,0.605,1845.0,0.945,125.0
40000,0.54,1740.0,0.945,1582.5
60000,0.55,2702.5,0.94,227.5
80000,0.55,4007.5000000000005,0.94,1312.5
100000,0.525,172.5,0.93,1237.5
120000,0.495,1732.5,0.955,1292.5
140000,0.48,530.0,0.945,247.5
160000,0.505,1192.5,0.95,1750.0
180000,0.49,3950.0,0.925,1125.0
200000,0.555,2217.5,0.925,315.0
220000,0.46,-1507.5,0.915,247.5
240000,0.535,1967.5,0.93,725.0
260000,0.58,-2.5,0.95,825.0
280000,0.49,-357.5,0.915,1277.5
300000,0.47,-1975.0,0.945,1335.0
320000,0.485,-1450.0,0.94,870.0
340000,0.52,3030.0,0.92,720.0
360000,0.555,682.5,0.965,930.0
380000,0.44,-582.5,0.9,250.0
400000,0.48,-975.0,0.905,1127.5
420000,0.455,77.5,0.94,767.5
440000,0.525,2.5,0.94,1205.0
460000,0.465,1385.0,0.93,800.0
480000,0.49,942.5,0.95,1375.0
500000,0.525,-1602.5,0.94,885.0
520000,0.44,-2402.5,0.915,737.5
540000,0.465,-2202.5,0.92,762.5
560000,0.5,-95.0,0.9,635.0
580000,0.555,-490.0,0.955,787.5
600000,0.43,-1820.0,0.87,1062.5
620000,0.475,-170.0,0.915,1207.5
640000,0.52,-497.5,0.92,1320.0
660000,0.54,967.5,0.975,892.5
680000,0.47,-827.5,0.915,1702.5
700000,0.5,835.0,0.945,422.5
720000,0.54,4292.5,0.9,607.5
740000,0.525,-437.5,0.95,1345.0
760000,0.51,700.0,0.96,957.5
780000,0.525,-475.0,0.925,1750.0
800000,0.505,-1717.5,0.95,955.0
820000,0.55,3120.0,0.93,1297.5
840000,0.47,2575.0,0.93,815.0
860000,0.5,-1105.0,0.91,625.0
880000,0.515,1280.0,0.93,1385.0
900000,0.525,2095.0,0.92,1242.5
920000,0.54,1365.0,0.91,1227.5
940000,0.49,-1987.5,0.92,842.5
960000,0.5,420.0,0.96,830.0
980000,0.545,2067.5,0.905,235.0
1000000,0.475,-2282.5,0.95,1410.0
1020000,0.505,-1432.5,0.91,1127.5
1040000,0.505,-2417.5,0.93,750.0
1060000,0.545,1245.0,0.93,1217.5
1080000,0.52,-857.5,0.925,642.5
1100000,0.505,1307.5,0.93,327.5
1120000,0.515,-2765.0,0.945,847.5
1140000,0.53,-1977.5,0.905,677.5
1160000,0.495,-2100.0,0.89,637.5
1180000,0.525,4370.0,0.905,630.0
1200000,0.5,-317.5,0.93,1770.0
1220000,0.495,1540.0,0.94,1815.0
1240000,0.515,585.0,0.93,1707.5
1260000,0.495,1305.0,0.94,1360.0
1280000,0.505,527.5,0.93,-130.0
1300000,0.45,965.0,0.925,805.0
1320000,0.5,-2730.0,0.92,822.5
1340000,0.545,25.0,0.92,1760.0
1360000,0.56,1917.5,0.915,2192.5
1380000,0.43,-412.5,0.945,862.5
1400000,0.51,137.5,0.92,785.0
1420000,0.46,-787.5,0.905,672.5
1440000,0.495,-1385.0,0.94,840.0
1460000,0.53,2320.0,0.94,1385.0
1480000,0.51,1180.0,0.925,242.5
1500000,0.47,-532.5,0.91,1185.0
1520000,0.525,2577.5,0.955,1360.0
1540000,0.45,1887.5,0.915,150.0
1560000,0.5,-970.0,0.92,740.0
1580000,0.44,-200.0,0.925,865.0
1600000,0.57,1152.5,0.945,2275.0
1620000,0.505,-350.0,0.89,1102.5
1640000,0.555,2225.0,0.89,635.0
1660000,0.515,385.0,0.93,1117.5
1680000,0.42,-3920.0,0.935,807.5
1700000,0.515,2887.5,0.93,255.0
1720000,0.475,535.0,0.955,1000.0
1740000,0.44,400.0,0.9,702.5
1760000,0.52,-3307.5,0.96,835.0
1780000,0.55,1970.0,0.945,962.5
