episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
20000,0.645,3382.5,0.88,-1480.0
40000,0.635,3395.0,0.915,-612.5
60000,0.605,7457.5,0.92,-280.0
80000,0.54,1310.0,0.93,707.5
100000,0.46,-522.5,0.92,1295.0
120000,0.5,4372.5,0.945,1322.5
140000,0.49,-1702.5,0.925,47.5
160000,0.515,4202.5,0.92,102.5
180000,0.475,262.5,0.955,752.5
200000,0.495,-855.0,0.925,-130.0
220000,0.465,-740.0,0.92,742.5
240000,0.505,1137.5,0.9,482.5
260000,0.49,757.5,0.915,735.0
280000,0.53,-937.5,0.92,935.0
300000,0.475,-4022.5,0.945,150.0
320000,0.45,-2737.5,0.935,1122.5
340000,0.48,2917.5,0.97,1357.5
360000,0.465,-352.5,0.88,555.0
380000,0.48,2460.0,0.925,265.0
400000,0.495,1665.0,0.94,2142.5
420000,0.43,-960.0,0.955,1190.0
440000,0.44,-2165.0,0.88,495.0
460000,0.5,1757.5,0.92,-100.0
480000,0.53,2447.5,0.92,787.5
500000,0.495,62.5,0.91,292.5
520000,0.49,2512.5,0.935,777.5
540000,0.515,-397.5,0.95,2550.0
560000,0.47,-1402.5,0.915,667.5
580000,0.48,2395.0,0.915,1280.0
600000,0.55,167.5,0.935,1687.5
620000,0.54,1920.0,0.945,785.0
640000,0.57,3222.5,0.91,1685.0
660000,0.57,4000.0,0.92,310.0
680000,0.525,-22.5,0.93,432.5
700000,0.54,1470.0,0.945,1225.0
720000,0.565,-3575.0,0.915,672.5
740000,0.545,-672.5,0.915,1305.0
760000,0.515,-1795.0,0.91,835.0
780000,0.5,1590.0,0.92,392.5
800000,0.525,-705.0,0.925,622.5
820000,0.515,-1160.0,0.96,855.0
840000,0.515,-1060.0,0.93,270.0
860000,0.57,5500.0,0.915,807.5
880000,0.465,-1755.0,0.925,1190.0
900000,0.59,1045.0,0.9,575.0
920000,0.555,-917.5,0.935,757.5
940000,0.545,3345.0,0.92,1167.5
960000,0.475,1432.5,0.925,812.5
980000,0.52,-1627.5,0.935,1625.0
1000000,0.53,2900.0,0.925,1200.0
1020000,0.51,-452.5,0.945,892.5
1040000,0.545,3540.0,0.925,250.0
1060000,0.6,4747.5,0.95,852.5
1080000,0.485,-787.5,0.91,1020.0
1100000,0.475,3235.0,0.925,-62.5
1120000,0.54,-1745.0,0.97,1437.5
1140000,0.51,2150.0,0.94,840.0
1160000,0.56,-700.0,0.945,805.0
1180000,0.52,435.0,0.9,535.0
