episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
30000,0.625,1020.0,0.94,1360.0
60000,0.63,5482.5,0.9,-1435.0
90000,0.58,787.5,0.935,1222.5
120000,0.58,410.0,0.92,697.5
150000,0.525,-7.5,0.925,322.5
180000,0.44,-2575.0,0.93,3117.5
210000,0.59,1045.0,0.94,1717.5
240000,0.525,-1120.0,0.92,1907.5
270000,0.505,720.0,0.915,977.5
300000,0.46,1092.5,0.91,-795.0
330000,0.48,-1500.0,0.95,1452.5
360000,0.505,-3017.5,0.91,752.5
390000,0.5,-3930.0,0.945,1415.0
420000,0.555,592.5,0.96,977.5
450000,0.55,-290.0,0.92,890.0
480000,0.475,2577.5,0.925,1225.0
510000,0.535,1257.5,0.89,537.5
540000,0.605,82.5,0.94,2492.5
570000,0.55,302.5,0.93,1160.0
600000,0.53,-3087.5,0.865,615.0
630000,0.56,750.0,0.97,2642.5
660000,0.595,3027.5,0.92,1425.0
690000,0.475,-1207.5,0.93,2062.5
720000,0.515,-1817.5,0.91,27.5
750000,0.595,662.5,0.92,910.0
780000,0.48,-2017.5,0.92,1605.0
810000,0.535,-872.5,0.955,1407.5
840000,0.46,-4197.5,0.945,815.0
870000,0.515,2195.0,0.88,555.0
900000,0.54,-2097.5,0.95,1385.0
930000,0.52,-60.0,0.95,1252.5
960000,0.505,-2527.5,0.915,630.0
990000,0.48,-2009.9999999999998,0.935,1017.5000000000001
1020000,0.46,-1827.5,0.905,1425.0
1050000,0.505,-960.0,0.945,1887.5
1080000,0.485,-3457.5,0.935,722.5
1110000,0.485,-2472.5,0.915,1165.0
1140000,0.505,80.0,0.89,-502.49999999999994
1170000,0.545,1867.5,0.94,2880.0
1200000,0.44,3025.0,0.93,1185.0
1230000,0.585,1670.0,0.95,1517.5
1260000,0.475,350.0,0.945,612.5
1290000,0.58,-2.5,0.925,822.5
1320000,0.53,1890.0,0.91,2009.9999999999998
1350000,0.475,-800.0,0.945,1750.0
1380000,0.55,-2912.5,0.93,762.5
1410000,0.535,962.5,0.91,627.5
1440000,0.485,-107.5,0.96,1137.5
1470000,0.445,-4112.5,0.89,142.5
1500000,0.405,-3977.5,0.945,1470.0
1530000,0.55,2430.0,0.925,790.0
1560000,0.565,-1427.5,0.91,750.0
1590000,0.52,-2272.5,0.905,2000.0
1620000,0.465,-2500.0,0.935,717.5
1650000,0.435,-2335.0,0.96,2200.0
1680000,0.5,-1760.0,0.93,1877.5
1710000,0.565,2007.4999999999998,0.925,1182.5
1740000,0.49,-4477.5,0.925,1130.0
1770000,0.515,-267.5,0.925,805.0
1800000,0.55,-1505.0,0.97,1690.0
1830000,0.485,-1085.0,0.9,530.0
1860000,0.47,-1505.0,0.955,1512.5
1890000,0.48,-1330.0,0.935,1570.0
1920000,0.52,-385.0,0.915,-157.5
1950000,0.52,3962.5,0.93,880.0
1980000,0.575,-867.5,0.94,1295.0
2010000,0.505,-662.5,0.94,1160.0
2040000,0.475,-1962.5,0.93,2122.5
2070000,0.58,-1610.0,0.93,1122.5
2100000,0.525,-85.0,0.935,1055.0
2130000,0.515,-1120.0,0.915,1332.5
2160000,0.44,-2052.5,0.935,1080.0
2190000,0.47,-2667.5,0.9,1062.5
2220000,0.53,972.5,0.93,805.0
2250000,0.485,-342.5,0.96,1400.0
2280000,0.52,627.5,0.95,1050.0
2310000,0.525,-3445.0,0.935,1460.0
2340000,0.52,-1612.5,0.945,1857.5
2370000,0.565,-250.0,0.96,1810.0
