episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
30000,0.65,2412.5,0.905,-40.0
60000,0.605,4905.0,0.91,997.5
90000,0.6,615.0,0.95,322.5
120000,0.495,1975.0,0.895,-567.5
150000,0.51,187.5,0.93,585.0
180000,0.555,160.0,0.945,1405.0
210000,0.52,365.0,0.935,1440.0
240000,0.53,-1605.0,0.94,1352.5
270000,0.5,-1380.0,0.92,997.5
300000,0.58,3480.0,0.94,1040.0
330000,0.565,-1170.0,0.915,410.0
360000,0.53,-2985.0,0.94,1587.5
390000,0.615,4812.5,0.93,1547.5
420000,0.475,110.0,0.9,1642.5
450000,0.555,725.0,0.93,950.0
480000,0.51,207.5,0.93,865.0
510000,0.53,-1502.5,0.92,775.0
540000,0.545,452.5,0.925,1795.0
570000,0.48,-3435.0,0.945,2312.5
600000,0.475,-3882.5,0.93,1127.5
630000,0.525,-2245.0,0.925,1785.0
660000,0.515,-1100.0,0.925,1270.0
690000,0.52,-1377.5,0.92,2347.5
720000,0.515,-182.5,0.925,1075.0
750000,0.5,122.5,0.93,960.0
780000,0.46,-1242.5,0.94,1630.0
810000,0.555,3710.0,0.955,1160.0
840000,0.45,-2642.5,0.945,1195.0
870000,0.53,-1477.5,0.94,830.0
900000,0.49,172.5,0.95,1742.5
930000,0.505,-2585.0,0.93,2122.5
960000,0.495,-3282.5,0.94,1720.0
990000,0.485,-2835.0,0.98,1612.5
1020000,0.525,430.0,0.93,1572.5
1050000,0.51,3350.0,0.94,1000.0
1080000,0.495,-855.0,0.915,1262.5
1110000,0.485,-1447.5,0.945,1295.0
1140000,0.495,467.5,0.925,1217.5
1170000,0.515,-1747.5,0.92,1362.5
1200000,0.51,-3372.5,0.935,820.0
1230000,0.445,-3572.5,0.93,977.5
1260000,0.51,-1717.5,0.94,1257.5
1290000,0.485,-1310.0,0.915,1290.0
1320000,0.53,540.0,0.915,722.5
1350000,0.56,2992.5,0.895,697.5
1380000,0.455,-5700.0,0.95,1192.5
1410000,0.355,-5795.0,0.935,467.5
1440000,0.495,1102.5,0.92,680.0
1470000,0.485,1135.0,0.92,910.0
1500000,0.55,-1190.0,0.92,1472.5
1530000,0.425,-700.0,0.925,682.5
1560000,0.48,-267.5,0.92,290.0
1590000,0.44,-4072.5,0.98,2187.5
1620000,0.55,-365.0,0.955,1202.5
1650000,0.5,3130.0,0.925,467.5
1680000,0.5,-1670.0,0.92,1800.0
1710000,0.475,-1535.0,0.955,1017.5000000000001
1740000,0.535,722.5,0.89,862.5
1770000,0.5,-1880.0,0.955,1160.0
1800000,0.515,-962.5,0.92,1165.0
1830000,0.485,-3285.0,0.905,927.5
1860000,0.56,-1792.5,0.94,425.0
1890000,0.46,-5077.5,0.925,1645.0
1920000,0.57,627.5,0.935,740.0
1950000,0.42,-2300.0,0.955,1617.5
1980000,0.495,-3642.5,0.895,787.5
2010000,0.47,-2647.5,0.94,650.0
2040000,0.47,-4052.5,0.935,995.0
