episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
30000,0.795,10397.5,0.945,202.5
60000,0.575,4620.0,0.885,72.5
90000,0.58,2787.5,0.935,880.0
120000,0.67,3257.5,0.94,312.5
150000,0.6,5797.5,0.915,1305.0
180000,0.54,3595.0,0.925,310.0
210000,0.515,682.5,0.87,-2250.0
240000,0.54,3897.5,0.93,2077.5
270000,0.535,952.5,0.93,3157.5
300000,0.555,1665.0,0.935,847.5
330000,0.475,-1480.0,0.92,350.0
360000,0.56,0.0,0.93,65.0
390000,0.56,1967.5,0.915,1230.0
420000,0.52,-2120.0,0.93,85.0
450000,0.515,-2797.5,0.92,-222.5
480000,0.52,142.5,0.965,2485.0
510000,0.505,367.5,0.93,1640.0
540000,0.455,1560.0,0.945,455.0
570000,0.5,882.5,0.93,415.0
600000,0.495,782.5,0.94,840.0
630000,0.475,150.0,0.93,880.0
660000,0.58,-407.5,0.93,1037.5
690000,0.53,-2612.5,0.95,565.0
720000,0.535,1330.0,0.96,-35.0
750000,0.615,2415.0,0.945,1970.0
780000,0.55,1335.0,0.945,1750.0
810000,0.46,-1897.5,0.935,-255.0
840000,0.5,1385.0,0.935,630.0
870000,0.515,-1427.5,0.935,1227.5
900000,0.535,-1140.0,0.94,1300.0
930000,0.49,750.0,0.955,1362.5
960000,0.565,-590.0,0.94,770.0
990000,0.52,267.5,0.915,962.5
1020000,0.495,-125.0,0.925,1037.5
1050000,0.53,1865.0,0.92,1075.0
1080000,0.525,670.0,0.92,-15.0
1110000,0.545,535.0,0.94,1262.5
1140000,0.495,1255.0,0.9,702.5
1170000,0.47,940.0,0.91,2215.0
1200000,0.52,-4035.0,0.905,1737.5
1230000,0.495,370.0,0.91,965.0
1260000,0.575,1425.0,0.92,1715.0
1290000,0.525,-3845.0,0.955,1037.5
1320000,0.51,-4070.0000000000005,0.94,272.5
1350000,0.48,-2607.5,0.91,247.5
1380000,0.54,-1165.0,0.94,677.5
1410000,0.565,-480.0,0.92,855.0
1440000,0.54,-1120.0,0.96,1770.0
1470000,0.45,-2195.0,0.925,817.5
1500000,0.47,1707.5,0.935,1350.0
1530000,0.465,-2305.0,0.92,2462.5
1560000,0.45,2122.5,0.92,712.5
1590000,0.505,-2190.0,0.93,1817.5
1620000,0.49,-1685.0,0.935,1185.0
1650000,0.505,-677.5,0.905,950.0
1680000,0.535,-725.0,0.935,1142.5
1710000,0.515,175.0,0.94,1172.5
1740000,0.525,-1807.5,0.935,405.0
1770000,0.495,1555.0,0.9,610.0
1800000,0.48,-630.0,0.9,685.0
1830000,0.52,-2452.5,0.955,872.5
1860000,0.555,3097.5,0.95,2117.5
1890000,0.545,1837.5,0.935,175.0
1920000,0.41,-265.0,0.92,2027.4999999999998
1950000,0.525,-1265.0,0.925,480.0
1980000,0.53,-307.5,0.94,-87.5
2010000,0.505,-1665.0,0.915,477.5
2040000,0.5,3592.5,0.895,-150.0
2070000,0.58,2267.5,0.925,990.0
2100000,0.555,-675.0,0.945,1327.5
2130000,0.485,-512.5,0.93,42.5
2160000,0.485,-2322.5,0.915,1017.5000000000001
2190000,0.52,565.0,0.95,342.5
2220000,0.52,3152.5,0.94,125.0
2250000,0.505,127.5,0.925,255.0
2280000,0.475,-1310.0,0.915,665.0
2310000,0.53,2432.5,0.91,445.0
2340000,0.505,-1912.5,0.96,1322.5
2370000,0.57,-2170.0,0.935,942.5
2400000,0.555,-870.0,0.935,537.5
2430000,0.505,-1490.0,0.96,1185.0
2460000,0.505,-2780.0,0.945,1082.5
2490000,0.515,-1747.5,0.94,795.0
2520000,0.46,-1720.0,0.955,1305.0
2550000,0.5,-2620.0,0.92,877.5
2580000,0.53,-527.5,0.9,1062.5
2610000,0.56,-2082.5,0.93,210.0
2640000,0.46,-3095.0,0.965,872.5
2670000,0.58,-905.0,0.905,12.5
2700000,0.56,-2360.0,0.93,900.0
2730000,0.465,-350.0,0.915,1010.0
2760000,0.49,-2735.0,0.94,1535.0
2790000,0.58,2165.0,0.94,1020.0
2820000,0.6,-705.0,0.955,967.5
2850000,0.545,-2230.0,0.92,832.5
2880000,0.475,-4552.5,0.945,1672.5
2910000,0.555,-305.0,0.95,605.0
2940000,0.585,82.5,0.915,757.5
2970000,0.56,-1717.5,0.925,760.0
3000000,0.5,-1392.5,0.93,1590.0
3030000,0.525,-2890.0,0.945,1770.0
3060000,0.47,-2282.5,0.94,1735.0
3090000,0.575,1627.5,0.93,1182.5
3120000,0.55,-387.5,0.925,787.5
3150000,0.47,867.5,0.925,1620.0
3180000,0.45,-4675.0,0.935,1210.0
3210000,0.53,-1857.5,0.935,1677.5
3240000,0.51,-2727.5,0.925,1715.0
3270000,0.495,-2175.0,0.97,1700.0
3300000,0.54,1065.0,0.945,1190.0
3330000,0.585,3142.5,0.94,1190.0
3360000,0.485,-785.0,0.915,447.5
3390000,0.495,-575.0,0.955,1010.0
3420000,0.525,3605.0,0.96,875.0
3450000,0.52,647.5,0.91,477.5
3480000,0.52,-4647.5,0.925,920.0
3510000,0.535,-3460.0,0.945,1067.5
3540000,0.465,-4547.5,0.925,1345.0
3570000,0.49,-2875.0,0.94,792.5
3600000,0.52,-1132.5,0.925,692.5
3630000,0.455,-2925.0,0.92,2140.0
3660000,0.54,-2545.0,0.935,1177.5
3690000,0.55,-940.0,0.925,787.5
3720000,0.47,700.0,0.9,1180.0
3750000,0.505,-2537.5,0.91,810.0
3780000,0.52,-2977.5,0.935,327.5
3810000,0.505,-2392.5,0.92,372.5
3840000,0.51,-2127.5,0.925,1347.5
3870000,0.525,-4242.5,0.935,1572.5
3900000,0.555,432.5,0.92,757.5
3930000,0.565,172.5,0.93,135.0
3960000,0.47,-5057.5,0.93,900.0
3990000,0.56,-5872.5,0.945,2027.4999999999998
4020000,0.525,-2057.5,0.93,992.5
4050000,0.55,-2812.5,0.94,1255.0
4080000,0.525,-1245.0,0.935,1372.5
4110000,0.565,950.0,0.97,1345.0
4140000,0.525,2357.5,0.935,1917.5
4170000,0.55,-1460.0,0.955,1057.5
4200000,0.535,732.5,0.95,1300.0
4230000,0.505,-132.5,0.955,1677.5
4260000,0.525,220.0,0.885,1330.0
4290000,0.565,-2805.0,0.925,1210.0
4320000,0.55,-357.5,0.935,1470.0
4350000,0.465,-1980.0,0.96,1380.0
4380000,0.51,-3382.5,0.935,1475.0
4410000,0.535,677.5,0.905,1377.5
4440000,0.56,1637.5,0.955,-77.5
4470000,0.585,-1375.0,0.905,1362.5
4500000,0.515,-977.5,0.91,1720.0
4530000,0.54,-185.0,0.935,1002.5
4560000,0.53,3607.5,0.97,1192.5
4590000,0.48,-1722.5,0.9,815.0
4620000,0.48,-3525.0,0.935,1047.5
4650000,0.595,1545.0,0.975,712.5
4680000,0.59,1740.0,0.955,1452.5
4710000,0.52,1265.0,0.91,1867.5
4740000,0.57,4195.0,0.94,1062.5
4770000,0.525,-617.5,0.945,1962.5
4800000,0.48,-3965.0,0.955,857.5
4830000,0.535,597.5,0.925,980.0
4860000,0.555,-1905.0,0.935,1152.5
4890000,0.51,-4342.5,0.91,325.0
4920000,0.47,-2485.0,0.955,720.0
4950000,0.48,-4622.5,0.915,430.0
4980000,0.52,-4857.5,0.945,1507.5
5010000,0.48,-2520.0,0.935,1565.0
5040000,0.56,-1735.0,0.95,867.5
5070000,0.53,-3240.0,0.9,-50.0
5100000,0.525,-1807.5,0.945,812.5
5130000,0.555,-857.5,0.905,982.5
5160000,0.5,-1105.0,0.955,915.0
5190000,0.535,690.0,0.875,840.0
5220000,0.495,-462.5,0.955,1442.5
5250000,0.49,-2142.5,0.925,380.0
5280000,0.52,1417.5,0.91,780.0
5310000,0.47,-60.0,0.955,1165.0
5340000,0.525,-1655.0,0.89,500.0
5370000,0.47,-2457.5,0.83,897.5
5400000,0.48,-2137.5,0.905,632.5
5430000,0.52,122.5,0.92,1415.0
5460000,0.525,-1855.0,0.855,77.5
5490000,0.455,-1830.0,0.875,752.5
5520000,0.435,1155.0,0.8,365.0
5550000,0.495,-1545.0,0.855,862.5
5580000,0.47,-2505.0,0.77,870.0
5610000,0.4,-1765.0,0.8,222.5
5640000,0.46,-2642.5,0.815,675.0
5670000,0.42,-2907.5,0.785,940.0
5700000,0.375,-330.0,0.765,447.5
5730000,0.38,-1475.0,0.735,720.0
5760000,0.405,-537.5,0.705,445.0
5790000,0.355,-2910.0,0.745,425.0
5820000,0.39,-1402.5,0.695,610.0
5850000,0.375,-1122.5,0.685,260.0
5880000,0.35,-1630.0,0.64,-132.5
5910000,0.33,-597.5,0.67,412.5
5940000,0.32,-2132.5,0.695,937.5
5970000,0.36,2222.5,0.665,317.5
6000000,0.38,-965.0,0.625,-50.0
6030000,0.35,-1520.0,0.635,452.5
6060000,0.305,652.5,0.585,232.5
6090000,0.375,-1295.0,0.635,845.0
6120000,0.34,-167.5,0.6,392.5
6150000,0.29,-580.0,0.615,340.0
6180000,0.285,-1577.5,0.635,72.5
6210000,0.345,217.5,0.62,347.5
6240000,0.345,-1197.5,0.63,717.5
6270000,0.31,-2167.5,0.625,427.5
6300000,0.3,-1407.5,0.61,817.5
6330000,0.28,67.5,0.605,447.5
6360000,0.315,-1495.0,0.61,332.5
6390000,0.34,-330.0,0.575,267.5
6420000,0.36,265.0,0.55,827.5
6450000,0.335,-535.0,0.565,307.5
6480000,0.32,-1195.0,0.585,142.5
6510000,0.36,-2490.0,0.57,662.5
6540000,0.29,272.5,0.565,322.5
6570000,0.29,-1240.0,0.55,20.0
6600000,0.295,-1940.0,0.585,237.5
6630000,0.305,-1105.0,0.6,132.5
6660000,0.32,-247.5,0.61,347.5
6690000,0.31,-1535.0,0.62,390.0
6720000,0.245,-1230.0,0.585,242.5
6750000,0.365,1355.0,0.57,30.0
6780000,0.33,172.5,0.58,117.5
6810000,0.275,597.5,0.57,237.5
6840000,0.285,-1050.0,0.55,80.0
6870000,0.275,-112.5,0.575,147.5
6900000,0.315,37.5,0.565,-77.5
6930000,0.26,262.5,0.585,297.5
6960000,0.28,-90.0,0.545,187.5
6990000,0.33,-300.0,0.54,805.0
7020000,0.25,-57.5,0.54,230.0
7050000,0.32,717.5,0.505,227.5
7080000,0.285,-577.5,0.535,160.0
7110000,0.235,105.0,0.54,245.0
7140000,0.325,-522.5,0.515,-590.0
7170000,0.305,-605.0,0.535,230.0
7200000,0.255,-862.5,0.555,225.0
7230000,0.305,-485.0,0.56,230.0
7260000,0.325,-225.0,0.57,152.5
7290000,0.24,-520.0,0.54,152.5
7320000,0.23,-905.0,0.515,172.5
7350000,0.255,-1282.5,0.575,-227.5
7380000,0.265,-932.5,0.485,77.5
7410000,0.255,-832.5,0.53,702.5
7440000,0.32,457.5,0.51,132.5
7470000,0.285,482.5,0.525,142.5
7500000,0.255,-22.5,0.45,-107.5
