run,vsCFR,vsRand,vsSTA,vsNIT,vsLAG,vsMAN,vsTAG
off_s1,-648.2,-322.7,-85.4,-25.3,-131.0,-446.3,-101.8
off_s2,-618.8,-231.5,-47.5,-35.9,-152.0,-564.2,-125.6
off_s3,-648.6,-336.3,-69.9,-23.4,-132.3,-497.8,-95.6
off_s4,-651.7,-353.9,-97.6,-23.7,-140.1,-478.6,-107.3
off_s5,-649.6,-326.3,-111.5,-26.4,-136.9,-489.2,-103.6
fixed5_s1,-406.5,784.8,293.4,92.8,-131.3,-1177.5,-34.4
fixed5_s2,-430.1,955.4,243.6,34.0,-211.8,-1335.6,-82.2
fixed5_s3,-378.7,759.6,283.5,36.9,-137.4,-1043.8,-159.3
fixed5_s4,-439.8,566.0,205.6,33.6,-144.3,-1053.3,-27.4
fixed5_s5,-518.6,272.3,383.6,120.6,-11.6,-905.1,75.3
chec_a30_s1,-329.1,978.0,389.3,66.2,-273.3,-1494.2,-73.4
chec_a30_s2,-404.7,841.3,171.4,99.9,-227.6,-1443.7,-25.2
chec_a30_s3,-322.6,1337.6,349.7,42.6,-251.1,-1587.0,-216.7
chec_a30_s4,-362.1,960.7,232.4,9.2,-252.2,-1488.6,-190.6
chec_a30_s5,-430.6,623.5,207.6,12.7,-192.1,-1139.1,-156.3
pure_s1,-594.1,420.6,601.2,-19.0,-245.6,-998.6,-166.6
pure_s2,-615.1,236.8,84.0,3.9,-264.7,-1655.8,-94.5
pure_s3,-609.0,315.8,286.9,-1.7,-264.9,-1288.1,-110.4
pure_s4,-609.5,342.9,203.6,-9.1,-288.0,-1254.9,-153.0
pure_s5,-619.2,299.2,115.8,-13.6,-295.5,-1364.0,-200.1
