episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
30000,0.92,28615.0,0.905,-3765.0
60000,0.81,16517.5,0.91,-3525.0
90000,0.81,10390.0,0.935,525.0
120000,0.825,13085.0,0.915,-2677.5
150000,0.825,15052.5,0.925,-1327.5
180000,0.81,14455.0,0.9,-4710.0
210000,0.825,16877.5,0.91,-1752.5
240000,0.805,13650.0,0.945,45.0
270000,0.83,17572.5,0.925,-1777.5
300000,0.81,17240.0,0.96,195.0
330000,0.795,11087.5,0.945,680.0
360000,0.75,9967.5,0.93,-772.5
390000,0.835,13712.5,0.935,-2490.0
420000,0.765,13530.0,0.9,-4062.5
450000,0.825,16152.5,0.955,700.0
480000,0.81,18290.0,0.915,-2340.0
510000,0.86,19315.0,0.94,1252.5
540000,0.8,16195.0,0.92,-1187.5
570000,0.785,11652.5,0.955,1497.5
600000,0.79,12760.0,0.91,-1055.0
630000,0.76,9137.5,0.915,-3585.0
660000,0.75,10182.5,0.9,-3772.5
690000,0.79,12225.0,0.905,-2872.5
720000,0.785,6567.5,0.92,-747.5
750000,0.78,9232.5,0.93,-1415.0
780000,0.755,9175.0,0.915,-3637.5
810000,0.75,6165.0,0.915,-1577.5
840000,0.775,8567.5,0.91,-2650.0
870000,0.73,2257.5,0.905,-2740.0
900000,0.8,11200.0,0.955,2175.0
930000,0.72,6025.0,0.935,-2322.5
960000,0.765,15522.5,0.93,-997.5
990000,0.815,13585.0,0.915,-1447.5
1020000,0.745,7570.0,0.92,-3100.0
1050000,0.765,10935.0,0.91,-1662.5
1080000,0.78,11302.5,0.88,-4590.0
1110000,0.775,18452.5,0.89,-3857.5
1140000,0.745,5250.0,0.905,-1937.5
1170000,0.73,5775.0,0.91,-2157.5
1200000,0.78,12652.5,0.925,-2467.5
1230000,0.765,11980.0,0.955,-122.5
1260000,0.76,6960.0,0.895,-3802.5
1290000,0.79,10745.0,0.93,-1650.0
1320000,0.775,8725.0,0.875,-5605.0
1350000,0.755,11917.5,0.895,-1705.0
1380000,0.735,10865.0,0.935,2072.5
1410000,0.7,4137.5,0.93,-2009.9999999999998
1440000,0.745,8752.5,0.915,-565.0
1470000,0.785,14095.0,0.93,-3312.5
1500000,0.765,13897.5,0.915,-760.0
1530000,0.745,11532.5,0.935,-2297.5
1560000,0.74,5715.0,0.93,-1402.5
1590000,0.72,2895.0,0.9,-2775.0
1620000,0.805,16312.5,0.915,-3032.5
1650000,0.84,18332.5,0.93,350.0
1680000,0.72,10500.0,0.945,222.5
1710000,0.71,1952.5,0.925,-2637.5
1740000,0.815,15532.5,0.93,-2277.5
1770000,0.705,6305.0,0.905,-1635.0
1800000,0.82,15900.0,0.93,-795.0
1830000,0.815,10830.0,0.93,-1255.0
1860000,0.775,12307.5,0.925,590.0
1890000,0.825,13720.0,0.92,-1697.5
1920000,0.78,12775.0,0.95,42.5
1950000,0.755,13857.5,0.9,-4012.5
1980000,0.68,5347.5,0.945,-495.0
2010000,0.745,11817.5,0.935,-1760.0
2040000,0.78,14957.5,0.935,-1442.5
2070000,0.775,10315.0,0.905,-1232.5
2100000,0.735,8685.0,0.935,805.0
2130000,0.745,12392.5,0.905,-4275.0
2160000,0.765,11012.5,0.905,-2052.5
2190000,0.8,13790.0,0.91,-3755.0
2220000,0.765,12082.5,0.92,-2387.5
2250000,0.785,9575.0,0.925,-1305.0
2280000,0.74,8122.500000000001,0.94,597.5
2310000,0.725,2690.0,0.875,-4922.5
2340000,0.83,18560.0,0.905,-2905.0
2370000,0.745,6172.5,0.905,-3692.5
2400000,0.765,10962.5,0.9,-2850.0
2430000,0.755,10125.0,0.915,-1372.5
2460000,0.75,13182.5,0.895,-3397.5
2490000,0.755,12315.0,0.94,-32.5
2520000,0.74,10295.0,0.92,-1570.0
2550000,0.7,5562.5,0.925,-142.5
2580000,0.76,10775.0,0.905,-2930.0
2610000,0.755,10922.5,0.885,-3050.0
2640000,0.775,15487.5,0.96,-340.0
2670000,0.72,9780.0,0.88,-4527.5
2700000,0.805,17847.5,0.93,-1677.5
2730000,0.775,8882.5,0.91,-1830.0
2760000,0.75,9685.0,0.94,-647.5
2790000,0.79,13870.0,0.92,-3225.0
2820000,0.785,9097.5,0.915,-2385.0
2850000,0.77,8870.0,0.895,-940.0
2880000,0.785,12995.0,0.945,1712.5
2910000,0.765,10497.5,0.935,55.0
2940000,0.745,10030.0,0.925,-430.0
2970000,0.745,12457.5,0.9,-2597.5
3000000,0.785,14450.0,0.95,-465.0
3030000,0.735,9372.5,0.955,-602.5
3060000,0.74,9587.5,0.91,-1532.5
3090000,0.68,9082.5,0.94,-387.5
3120000,0.695,9725.0,0.92,-560.0
3150000,0.725,8817.5,0.915,-1750.0
3180000,0.78,16750.0,0.935,1315.0
3210000,0.73,8067.500000000001,0.93,810.0
3240000,0.765,14757.5,0.915,-1615.0
3270000,0.7,4955.0,0.945,122.5
3300000,0.72,6515.0,0.925,-662.5
3330000,0.74,10467.5,0.9,525.0
3360000,0.75,9845.0,0.915,-1532.5
3390000,0.805,13630.0,0.885,-3420.0
3420000,0.755,13827.5,0.925,-852.5
3450000,0.775,14117.5,0.905,-2572.5
3480000,0.785,15120.0,0.945,-517.5
3510000,0.765,7360.0,0.925,-1725.0
3540000,0.765,6587.5,0.915,-210.0
3570000,0.745,10852.5,0.91,-1282.5
3600000,0.725,6967.5,0.92,-1360.0
3630000,0.74,7680.0,0.93,-2332.5
3660000,0.78,14927.5,0.92,-505.0
3690000,0.78,9760.0,0.94,-1737.5
3720000,0.725,9042.5,0.91,-702.5
3750000,0.73,4995.0,0.94,-137.5
3780000,0.66,7487.5,0.905,-2075.0
3810000,0.715,7110.0,0.89,-2785.0
3840000,0.775,13745.0,0.9,-3887.5
3870000,0.775,13855.0,0.91,-2957.5
3900000,0.715,10310.0,0.91,-652.5
3930000,0.695,10230.0,0.925,-2202.5
3960000,0.77,11305.0,0.875,-3557.5
3990000,0.71,9980.0,0.925,-1550.0
4020000,0.75,11182.5,0.895,-812.5
4050000,0.69,10835.0,0.925,387.5
4080000,0.705,7300.0,0.895,-287.5
4110000,0.735,6940.0,0.895,-375.0
4140000,0.74,6907.5,0.915,-392.5
4170000,0.66,7195.0,0.915,362.5
4200000,0.74,9020.0,0.89,-2287.5
4230000,0.705,11515.0,0.9,-1415.0
4260000,0.765,11385.0,0.91,-432.5
4290000,0.795,13085.0,0.885,-1580.0
4320000,0.725,10267.5,0.9,-2112.5
4350000,0.75,12040.0,0.885,-87.5
4380000,0.675,10197.5,0.875,-3047.5
4410000,0.7,12932.5,0.915,-1780.0
4440000,0.75,12770.0,0.87,-2542.5
4470000,0.695,8747.5,0.92,-1637.5
4500000,0.675,6892.5,0.89,-1347.5
4530000,0.65,-30.0,0.885,-2802.5
4560000,0.615,202.5,0.895,-3180.0
4590000,0.685,7072.5,0.92,-3257.5
4620000,0.705,6022.5,0.92,-1467.5
4650000,0.74,6805.0,0.895,-287.5
4680000,0.685,400.0,0.92,-1515.0
4710000,0.625,5227.5,0.915,-965.0
4740000,0.7,8800.0,0.88,-1022.5
4770000,0.66,7810.0,0.89,-2107.5
4800000,0.715,10515.0,0.94,-927.5
4830000,0.645,3730.0,0.9,-1307.5
4860000,0.615,5687.5,0.875,-1402.5
4890000,0.635,2307.5,0.905,-637.5
4920000,0.655,5435.0,0.895,-1045.0
4950000,0.68,6307.5,0.87,-3330.0
4980000,0.655,6625.0,0.895,-315.0
5010000,0.7,10675.0,0.88,-1860.0
5040000,0.635,4152.5,0.925,-342.5
5070000,0.625,2342.5,0.9,-840.0
5100000,0.545,307.5,0.87,607.5
5130000,0.59,5417.5,0.89,-977.5
5160000,0.64,10505.0,0.93,590.0
5190000,0.65,11182.5,0.915,-930.0
5220000,0.615,6010.0,0.885,-257.5
5250000,0.635,5507.5,0.9,-1582.5
5280000,0.535,2807.5,0.875,-1520.0
5310000,0.625,1682.5,0.835,-2125.0
5340000,0.59,3165.0,0.895,-402.5
5370000,0.625,4760.0,0.915,1145.0
5400000,0.665,7655.0,0.865,-870.0
5430000,0.6,4442.5,0.905,-550.0
5460000,0.625,5172.5,0.87,-3610.0
5490000,0.56,1770.0,0.88,-1875.0
5520000,0.62,7427.5,0.885,-1242.5
5550000,0.545,2470.0,0.885,-1720.0
5580000,0.56,3127.5,0.915,-2947.5
5610000,0.6,6085.0,0.915,-2100.0
5640000,0.455,435.0,0.855,-1255.0
5670000,0.55,-297.5,0.905,-1050.0
5700000,0.605,1125.0,0.88,-1027.5
5730000,0.58,1000.0,0.905,140.0
5760000,0.55,-1505.0,0.885,-527.5
5790000,0.45,-1550.0,0.86,-217.5
5820000,0.535,3940.0,0.88,-307.5
5850000,0.505,-1142.5,0.895,-762.5
5880000,0.51,3935.0,0.86,-1537.5
5910000,0.465,4515.0,0.885,-47.5
5940000,0.56,872.5,0.835,-370.0
5970000,0.46,767.5,0.86,200.0
6000000,0.49,2527.5,0.78,-355.0
6030000,0.475,1805.0,0.805,110.0
6060000,0.475,3607.5,0.74,115.0
6090000,0.445,-427.5,0.71,-30.0
6120000,0.47,1112.5,0.77,-432.5
6150000,0.445,2830.0,0.74,90.0
6180000,0.52,6185.0,0.785,-835.0
6210000,0.46,5915.0,0.775,-787.5
6240000,0.45,4345.0,0.72,-67.5
6270000,0.37,1027.5,0.71,-580.0
6300000,0.405,2597.5,0.765,-717.5
6330000,0.415,442.5,0.72,-532.5
6360000,0.335,-257.5,0.705,362.5
6390000,0.425,1207.5,0.72,660.0
6420000,0.44,875.0,0.725,-1247.5
6450000,0.41,142.5,0.71,-712.5
6480000,0.42,515.0,0.69,825.0
6510000,0.32,295.0,0.655,387.5
6540000,0.39,945.0,0.62,110.0
6570000,0.32,1510.0,0.665,470.0
6600000,0.395,1687.5,0.685,375.0
6630000,0.315,-10.0,0.6,-227.5
6660000,0.41,2702.5,0.615,-447.5
6690000,0.305,397.5,0.6,-575.0
6720000,0.385,2525.0,0.57,-1230.0
6750000,0.32,747.5,0.6,-725.0
6780000,0.41,1230.0,0.72,-527.5
6810000,0.3,547.5,0.57,-455.0
6840000,0.37,-195.0,0.675,35.0
6870000,0.355,1170.0,0.615,230.0
6900000,0.375,775.0,0.6,-90.0
6930000,0.37,1197.5,0.625,-605.0
6960000,0.325,-2042.5,0.63,192.5
6990000,0.325,-135.0,0.555,-342.5
7020000,0.35,70.0,0.58,-257.5
7050000,0.285,202.5,0.565,-55.0
7080000,0.38,535.0,0.605,190.0
7110000,0.31,1527.5,0.56,-295.0
7140000,0.26,200.0,0.475,-347.5
7170000,0.35,1050.0,0.625,-225.0
7200000,0.355,1295.0,0.59,340.0
7230000,0.345,-212.5,0.59,272.5
7260000,0.34,767.5,0.615,307.5
7290000,0.38,2832.5,0.615,1040.0
7320000,0.265,-397.5,0.625,-275.0
7350000,0.335,752.5,0.635,-235.0
7380000,0.28,-585.0,0.53,-1277.5
7410000,0.305,242.5,0.575,155.0
7440000,0.375,1027.5,0.64,-1555.0
7470000,0.31,-20.0,0.645,40.0
7500000,0.375,1520.0,0.615,-60.0
