episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
75000,0.64,6880.0,0.935,-1612.5
150000,0.51,-1627.5,0.93,1375.0
225000,0.51,560.0,0.93,1130.0
300000,0.55,-1560.0,0.94,1035.0
375000,0.485,-500.0,0.935,135.0
450000,0.52,1472.5,0.9,-640.0
525000,0.56,3752.5,0.935,1287.5
600000,0.57,2377.5,0.97,1417.5
675000,0.575,3590.0,0.945,572.5
750000,0.515,-2975.0,0.94,1667.5
825000,0.515,-345.0,0.925,607.5
900000,0.495,-2665.0,0.915,1325.0
975000,0.53,-600.0,0.935,1522.5
1050000,0.535,-935.0,0.935,1807.5
1125000,0.485,-1240.0,0.945,1475.0
1200000,0.57,1612.5,0.955,762.5
1275000,0.525,-3182.5,0.97,1017.5000000000001
1350000,0.55,-1565.0,0.94,1305.0
1425000,0.535,2122.5,0.915,1297.5
1500000,0.465,1197.5,0.96,895.0
1575000,0.52,1172.5,0.93,-260.0
1650000,0.53,177.5,0.94,960.0
1725000,0.51,-2897.5,0.915,1390.0
1800000,0.555,902.5,0.95,1192.5
1875000,0.495,-2780.0,0.915,550.0
1950000,0.58,2837.5,0.935,1142.5
2025000,0.53,-3215.0,0.94,972.5
2100000,0.51,-2242.5,0.955,1095.0
2175000,0.565,2300.0,0.93,1665.0
2250000,0.505,-295.0,0.92,780.0
2325000,0.525,-3125.0,0.945,1115.0
2400000,0.53,910.0,0.94,612.5
2475000,0.585,-1877.5,0.965,2177.5
2550000,0.535,1652.5,0.92,920.0
2625000,0.485,2920.0,0.925,1277.5
2700000,0.565,-270.0,0.955,1680.0
2775000,0.56,17.5,0.93,-462.5
2850000,0.485,-2707.5,0.94,1877.5
2925000,0.52,-1022.5,0.95,992.5
3000000,0.455,-957.5,0.94,162.5
3075000,0.5,545.0,0.95,2482.5
3150000,0.525,3705.0,0.945,982.5
3225000,0.525,1010.0,0.925,690.0
3300000,0.52,477.5,0.925,755.0
3375000,0.53,-177.5,0.92,1052.5
3450000,0.58,-677.5,0.93,735.0
3525000,0.575,840.0,0.935,727.5
3600000,0.59,2440.0,0.915,110.0
3675000,0.525,2015.0000000000002,0.925,1060.0
3750000,0.55,3707.5,0.95,1435.0
3825000,0.525,-330.0,0.96,877.5
3900000,0.51,540.0,0.955,982.5
3975000,0.48,-1620.0,0.925,1047.5
4050000,0.515,-2000.0,0.91,682.5
4125000,0.495,1007.5000000000001,0.895,145.0
4200000,0.57,-1330.0,0.945,990.0
