run,vsCFR,vsRand,vsTAG
off_s1,-649.8,-349.9,-95.9
off_s2,-584.3,-245.1,-60.3
off_s3,-648.3,-341.4,-99.0
off_s4,-651.2,-387.8,-96.9
off_s5,-648.2,-310.1,-91.6
fixed5_s1,-439.9,565.1,35.4
fixed5_s2,-454.3,722.5,-56.3
fixed5_s3,-494.6,366.9,-4.9
fixed5_s4,-451.8,512.4,-75.5
fixed5_s5,-463.8,420.7,-38.1
chec_a30_s1,-349.6,1028.4,-108.0
chec_a30_s2,-329.3,1287.7,-139.3
chec_a30_s3,-327.3,1089.2,-120.6
chec_a30_s4,-343.9,1302.0,-99.7
chec_a30_s5,-323.0,1376.0,-148.6
pure_s1,-606.9,298.6,-60.8
pure_s2,-613.8,287.6,-84.9
pure_s3,-614.9,236.7,-107.3
pure_s4,-101.7,773.9,-92.6
pure_s5,-614.8,320.3,-109.3
