episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
75000,0.88,19740.0,0.91,-3412.5
150000,0.775,4552.5,0.89,-6380.0
225000,0.83,12400.0,0.945,-800.0
300000,0.825,11595.0,0.935,-2550.0
375000,0.765,8342.5,0.92,-2837.5
450000,0.82,18905.0,0.925,-95.0
525000,0.77,12045.0,0.91,-1622.5
600000,0.805,13415.0,0.905,-3742.5
675000,0.775,12592.5,0.94,-652.5
750000,0.765,10920.0,0.935,-1330.0
825000,0.795,16280.000000000002,0.9,-4262.5
900000,0.805,16825.0,0.945,-1257.5
975000,0.835,17782.5,0.93,-405.0
1050000,0.795,10807.5,0.96,995.0
1125000,0.82,19565.0,0.955,62.5
1200000,0.775,9652.5,0.95,-495.0
1275000,0.79,10610.0,0.935,-1325.0
1350000,0.795,14040.0,0.935,-2290.0
1425000,0.825,13500.0,0.935,-360.0
1500000,0.835,13627.5,0.94,-462.5
1575000,0.76,3925.0,0.955,-2185.0
1650000,0.815,20852.5,0.955,135.0
1725000,0.78,9630.0,0.925,-360.0
1800000,0.745,7632.5,0.92,-2787.5
1875000,0.805,12882.5,0.92,-1117.5
1950000,0.795,6415.0,0.93,-1530.0
2025000,0.775,11237.5,0.92,-2297.5
2100000,0.785,12662.5,0.91,-4405.0
2175000,0.785,5092.5,0.915,-2732.5
2250000,0.805,12855.0,0.915,-1207.5
2325000,0.795,12970.0,0.93,632.5
2400000,0.805,16017.499999999998,0.93,440.0
2475000,0.745,7267.5,0.95,722.5
2550000,0.78,8922.5,0.93,-1605.0
2625000,0.8,16460.0,0.905,-1735.0
2700000,0.73,6242.5,0.94,-1697.5
2775000,0.85,18437.5,0.955,-815.0
2850000,0.77,11530.0,0.945,120.0
2925000,0.805,16120.000000000002,0.93,-1165.0
3000000,0.78,6800.0,0.89,-3395.0
3075000,0.71,9845.0,0.955,225.0
3150000,0.79,11112.5,0.94,302.5
3225000,0.82,17075.0,0.94,-1787.5
3300000,0.735,3117.5,0.895,-4882.5
3375000,0.805,15785.0,0.94,-1995.0
3450000,0.8,13512.5,0.945,-2.5
3525000,0.785,10047.5,0.93,-1700.0
3600000,0.79,15022.5,0.92,-1430.0
3675000,0.74,5282.5,0.935,962.5
3750000,0.77,12787.5,0.905,-1602.5
3825000,0.745,9617.5,0.91,-4040.0
3900000,0.82,14262.5,0.955,-1245.0
3975000,0.76,9630.0,0.93,-1095.0
4050000,0.765,9927.5,0.935,-25.0
4125000,0.81,15365.0,0.95,930.0
4200000,0.77,11240.0,0.94,-1347.5
