episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
75000,0.85,20195.0,0.91,-2755.0
150000,0.825,10272.5,0.905,-4855.0
225000,0.795,10885.0,0.925,-2605.0
300000,0.8,12992.5,0.905,-3175.0
375000,0.8,13265.0,0.91,-3037.5
450000,0.825,15815.0,0.92,-2947.5
525000,0.785,13922.5,0.9,-2682.5
600000,0.785,10342.5,0.915,-2025.0
675000,0.71,-2009.9999999999998,0.91,-3040.0
750000,0.75,11397.5,0.885,-2907.5
825000,0.795,13165.0,0.93,-850.0
900000,0.725,5425.0,0.915,-2082.5
975000,0.835,18265.0,0.92,322.5
1050000,0.735,12360.0,0.925,-722.5
1125000,0.76,9670.0,0.925,-500.0
1200000,0.73,9345.0,0.925,-1272.5
1275000,0.785,13262.5,0.95,-312.5
1350000,0.74,9502.5,0.845,-5397.5
1425000,0.76,9332.5,0.905,-510.0
1500000,0.74,7140.0,0.91,-310.0
1575000,0.815,16817.5,0.905,-2075.0
1650000,0.8,12872.5,0.89,-3817.5
1725000,0.75,7862.5,0.86,-6250.0
1800000,0.75,6280.0,0.925,-2600.0
1875000,0.795,12092.5,0.935,-1660.0
1950000,0.765,10580.0,0.915,-1125.0
2025000,0.77,11960.0,0.93,1332.5
2100000,0.74,11167.5,0.94,-372.5
2175000,0.725,5902.5,0.92,-1582.5
2250000,0.765,9360.0,0.89,-1880.0
2325000,0.815,16535.0,0.925,-1980.0
2400000,0.75,10792.5,0.89,-2637.5
2475000,0.775,12777.5,0.905,-3197.5
2550000,0.735,5262.5,0.9,-2165.0
2625000,0.725,6770.0,0.895,-1412.5
2700000,0.735,12587.5,0.935,-795.0
2775000,0.72,3625.0,0.905,-2242.5
2850000,0.73,8747.5,0.88,-632.5
2925000,0.73,7162.5,0.85,-4162.5
3000000,0.75,9725.0,0.88,-3682.5
3075000,0.765,13492.5,0.895,-3662.5
3150000,0.745,3612.5,0.935,-330.0
3225000,0.755,12985.0,0.875,-3652.5
3300000,0.71,5402.5,0.87,-1142.5
3375000,0.755,12205.0,0.935,-765.0
3450000,0.74,8770.0,0.895,-1722.5
3525000,0.765,12647.5,0.915,-960.0
3600000,0.805,17452.5,0.885,-2012.5000000000002
3675000,0.79,10850.0,0.895,-3677.5
3750000,0.71,8485.0,0.855,-2127.5
3825000,0.745,14422.5,0.885,-3297.5
3900000,0.685,252.5,0.855,-2277.5
3975000,0.755,10517.5,0.905,-3375.0
4050000,0.75,9870.0,0.875,-3622.5
4125000,0.72,14105.0,0.93,-1990.0
4200000,0.74,9805.0,0.885,-3112.5
4275000,0.78,10160.0,0.91,-1745.0
4350000,0.77,15692.5,0.885,-1627.5
4425000,0.775,10850.0,0.85,-1180.0
4500000,0.78,13797.5,0.915,-2015.0000000000002
4575000,0.79,11232.5,0.87,-3252.5
4650000,0.735,6985.0,0.9,-2755.0
4725000,0.74,9710.0,0.865,-2067.5
4800000,0.76,10625.0,0.9,-1382.5
4875000,0.725,12952.5,0.865,-2172.5
4950000,0.805,16097.5,0.885,-2802.5
5025000,0.735,15290.0,0.865,-2885.0
5100000,0.725,11300.0,0.865,-3777.5
5175000,0.82,14650.0,0.91,-2582.5
5250000,0.75,11552.5,0.89,-2397.5
5325000,0.775,14755.0,0.93,-1632.5
5400000,0.705,9150.0,0.855,-4292.5
5475000,0.74,10687.5,0.915,-87.5
5550000,0.705,7095.0,0.91,-1512.5
5625000,0.745,9585.0,0.89,-347.5
5700000,0.665,2822.5,0.865,-2337.5
5775000,0.7,6427.5,0.9,-2312.5
5850000,0.695,6122.5,0.895,-1100.0
5925000,0.715,12565.0,0.885,-2200.0
6000000,0.72,7967.5,0.895,-1610.0
6075000,0.765,14625.0,0.89,-1542.5
6150000,0.745,9000.0,0.9,-2112.5
6225000,0.695,6675.0,0.87,-6032.5
6300000,0.81,17120.0,0.88,-1257.5
6375000,0.68,6510.0,0.85,-5350.0
6450000,0.745,12107.5,0.895,-2077.5
6525000,0.735,13165.0,0.875,-2955.0
6600000,0.725,15500.0,0.87,-2260.0
6675000,0.735,10000.0,0.895,-1485.0
6750000,0.715,6567.5,0.865,-3522.5
6825000,0.73,12190.0,0.91,-1042.5
6900000,0.735,10820.0,0.835,-5300.0
6975000,0.67,9130.0,0.855,-2015.0000000000002
7050000,0.725,10042.5,0.86,-3987.5
7125000,0.7,6465.0,0.875,225.0
7200000,0.725,14072.5,0.84,-1327.5
7275000,0.71,10727.5,0.865,-1437.5
7350000,0.74,16300.0,0.945,-170.0
7425000,0.73,9287.5,0.895,-3172.5
7500000,0.7,11477.5,0.885,-3352.5
7575000,0.71,11510.0,0.865,-3417.5
7650000,0.69,2012.5000000000002,0.895,-815.0
7725000,0.64,1467.5,0.835,-6032.5
7800000,0.67,6787.5,0.86,-3837.5
7875000,0.71,9785.0,0.875,-2462.5
7950000,0.8,11677.5,0.85,-4490.0
8025000,0.695,5837.5,0.885,630.0
8100000,0.66,7650.0,0.87,-2987.5
8175000,0.725,10730.0,0.895,-2577.5
8250000,0.695,2472.5,0.88,-2842.5
8325000,0.705,14137.5,0.905,-410.0
8400000,0.63,7025.0,0.94,870.0
8475000,0.73,9462.5,0.85,492.5
8550000,0.71,13987.5,0.86,-145.0
8625000,0.69,13315.0,0.835,-2047.4999999999998
8700000,0.645,2697.5,0.82,-3157.5
8775000,0.635,5772.5,0.855,-2370.0
8850000,0.61,11160.0,0.85,-4075.0
8925000,0.715,11480.0,0.82,-2585.0
9000000,0.695,11180.0,0.88,-662.5
9075000,0.69,6727.5,0.865,-1537.5
9150000,0.695,10710.0,0.915,1300.0
9225000,0.62,3630.0,0.86,-792.5
9300000,0.7,9507.5,0.875,-1667.5
9375000,0.615,7155.0,0.85,-1437.5
9450000,0.64,4525.0,0.85,-1050.0
9525000,0.72,8560.0,0.805,-1860.0
9600000,0.685,15185.0,0.865,-1410.0
9675000,0.665,10302.5,0.865,132.5
9750000,0.64,4852.5,0.85,-2810.0
9825000,0.705,11715.0,0.85,-2507.5
9900000,0.6,4847.5,0.86,-1125.0
9975000,0.615,6677.5,0.815,-992.5
10050000,0.625,3102.5,0.84,-1267.5
10125000,0.585,5675.0,0.915,87.5
10200000,0.645,4477.5,0.855,-1480.0
10275000,0.66,9802.5,0.815,-4390.0
10350000,0.655,8067.500000000001,0.835,-3637.5
10425000,0.635,8505.0,0.845,-555.0
10500000,0.6,5417.5,0.815,-920.0
10575000,0.615,762.5,0.83,-2315.0
10650000,0.655,8012.499999999999,0.85,-390.0
10725000,0.555,3472.5,0.905,-240.0
10800000,0.555,6237.5,0.84,-812.5
10875000,0.675,9392.5,0.825,-277.5
10950000,0.545,627.5,0.89,-667.5
11025000,0.58,9400.0,0.865,-1270.0
11100000,0.625,9675.0,0.825,-1487.5
11175000,0.62,4815.0,0.855,-3167.5
11250000,0.59,4415.0,0.895,-992.5
11325000,0.57,3685.0,0.77,-2632.5
11400000,0.585,6505.0,0.795,-672.5
11475000,0.555,1257.5,0.83,-3190.0
11550000,0.575,2682.5,0.83,-700.0
11625000,0.56,9422.5,0.86,-1610.0
11700000,0.56,6020.0,0.795,-1260.0
11775000,0.49,435.0,0.795,-370.0
11850000,0.565,6585.0,0.865,-155.0
11925000,0.535,1987.5,0.8,-2277.5
12000000,0.5,2345.0,0.8,-1310.0
12075000,0.525,4262.5,0.815,-575.0
12150000,0.535,5132.5,0.78,-907.5
12225000,0.415,-2480.0,0.77,-1495.0
12300000,0.55,1065.0,0.775,-1350.0
12375000,0.5,2100.0,0.745,-965.0
12450000,0.485,3160.0,0.735,-832.5
12525000,0.435,3477.5,0.765,-790.0
12600000,0.53,470.0,0.885,285.0
12675000,0.415,1250.0,0.76,-302.5
12750000,0.48,2385.0,0.75,-390.0
12825000,0.5,2645.0,0.77,-545.0
12900000,0.52,2985.0,0.75,-962.5
12975000,0.48,2845.0,0.775,-690.0
13050000,0.435,1530.0,0.73,162.5
13125000,0.46,7127.5,0.67,-2547.5
13200000,0.445,2107.5,0.735,-235.0
13275000,0.435,1517.5,0.665,-557.5
13350000,0.42,2750.0,0.725,-717.5
13425000,0.38,1582.5,0.72,-325.0
13500000,0.41,6537.5,0.715,-387.5
13575000,0.425,802.5,0.79,-1270.0
13650000,0.335,475.0,0.685,-637.5
13725000,0.35,2897.5,0.64,-945.0
13800000,0.375,3780.0,0.615,-220.0
13875000,0.285,80.0,0.61,-1037.5
13950000,0.31,-480.0,0.65,142.5
14025000,0.315,627.5,0.625,-535.0
14100000,0.335,145.0,0.59,777.5
14175000,0.305,255.0,0.59,-792.5
14250000,0.32,1117.5,0.55,-850.0
14325000,0.265,-200.0,0.5,65.0
14400000,0.195,72.5,0.485,-92.5
14475000,0.22,-167.5,0.47,-110.0
14550000,0.205,292.5,0.48,5.0
14625000,0.16,-1572.5,0.425,-390.0
14700000,0.235,-757.5,0.455,12.5
14775000,0.225,-760.0,0.465,-550.0
14850000,0.17,-495.0,0.41,-127.5
14925000,0.2,-582.5,0.46,-262.5
15000000,0.22,-437.5,0.435,-67.5
15075000,0.145,-82.5,0.375,-177.5
15150000,0.205,-462.5,0.445,-57.5
15225000,0.23,407.5,0.445,-50.0
15300000,0.2,-192.5,0.395,-150.0
15375000,0.23,-390.0,0.435,-82.5
15450000,0.215,350.0,0.415,-110.0
15525000,0.205,10.0,0.405,-190.0
15600000,0.155,-185.0,0.41,-127.5
15675000,0.175,-22.5,0.42,-85.0
15750000,0.215,-237.5,0.415,-120.0
15825000,0.21,50.0,0.425,-70.0
15900000,0.195,-465.0,0.395,-85.0
15975000,0.16,-5.0,0.43,-80.0
16050000,0.175,-47.5,0.435,-117.5
16125000,0.19,52.5,0.41,-130.0
16200000,0.2,-460.0,0.42,-95.0
16275000,0.21,-840.0,0.405,-137.5
16350000,0.215,-425.0,0.41,-105.0
16425000,0.22,577.5,0.445,-65.0
16500000,0.175,-515.0,0.405,-142.5
16575000,0.175,-512.5,0.44,-112.5
16650000,0.17,10.0,0.405,-147.5
16725000,0.225,-415.0,0.405,-100.0
16800000,0.19,-455.0,0.42,-112.5
16875000,0.18,-407.5,0.425,-75.0
16950000,0.185,-815.0,0.42,-112.5
17025000,0.21,-405.0,0.43,-75.0
17100000,0.165,-547.5,0.415,-110.0
17175000,0.2,-445.0,0.42,-115.0
17250000,0.2,-460.0,0.42,-107.5
17325000,0.2,-487.5,0.43,-87.5
17400000,0.24,75.0,0.41,-107.5
17475000,0.175,-500.0,0.44,462.5
17550000,0.205,-425.0,0.42,-87.5
17625000,0.18,-470.0,0.41,-110.0
17700000,0.155,-422.5,0.42,-107.5
17775000,0.17,12.5,0.39,-152.5
17850000,0.18,-297.5,0.445,-80.0
17925000,0.18,457.5,0.415,-102.5
18000000,0.16,-440.0,0.425,-97.5
18075000,0.185,-452.5,0.415,-112.5
18150000,0.16,-320.0,0.415,-122.5
18225000,0.22,-402.5,0.425,-72.5
18300000,0.19,-32.5,0.425,-77.5
18375000,0.205,-385.0,0.395,-102.5
18450000,0.21,-417.5,0.46,-37.5
18525000,0.185,-500.0,0.43,415.0
18600000,0.185,-52.5,0.4,-140.0
18675000,0.18,-452.5,0.44,-60.0
18750000,0.2,-217.5,0.43,-97.5
