episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
75000,0.72,11232.5,0.88,-1587.5
150000,0.78,14850.0,0.9,-2965.0
225000,0.735,8780.0,0.845,-5657.5
300000,0.765,10152.5,0.87,-3295.0
375000,0.775,14535.0,0.915,-2847.5
450000,0.645,3750.0,0.825,-2335.0
525000,0.79,16192.499999999998,0.915,-1332.5
600000,0.775,13155.0,0.9,157.5
675000,0.735,8172.499999999999,0.875,-4360.0
750000,0.715,9025.0,0.91,-4305.0
825000,0.73,10605.0,0.885,-3650.0
900000,0.785,15692.5,0.91,-2490.0
975000,0.775,10717.5,0.94,-1870.0
1050000,0.78,16870.0,0.86,-4022.5
1125000,0.76,14727.5,0.93,-3705.0
1200000,0.75,16120.000000000002,0.875,-1955.0
1275000,0.8,12335.0,0.91,-5727.5
1350000,0.81,16442.5,0.865,-2912.5
1425000,0.715,5245.0,0.92,-3645.0
1500000,0.77,11212.5,0.91,-932.5
1575000,0.775,16530.0,0.93,-1282.5
1650000,0.775,17190.0,0.875,-1497.5
1725000,0.735,5690.0,0.9,-1370.0
1800000,0.805,18607.5,0.935,-535.0
1875000,0.78,14265.0,0.91,-3945.0
1950000,0.78,17672.5,0.9,-5010.0
2025000,0.785,14120.0,0.87,-4395.0
2100000,0.795,12090.0,0.925,-940.0
2175000,0.81,15135.0,0.925,-4115.0
2250000,0.81,14812.5,0.89,-2355.0
2325000,0.84,19815.0,0.885,-5902.5
2400000,0.86,20750.0,0.905,-850.0
2475000,0.735,13117.5,0.895,-3955.0
2550000,0.77,10817.5,0.88,-5262.5
2625000,0.755,8707.5,0.93,-1142.5
2700000,0.77,11020.0,0.89,-4377.5
2775000,0.815,12695.0,0.94,-3335.0
2850000,0.79,15760.0,0.895,-1677.5
2925000,0.775,13045.0,0.915,-2227.5
3000000,0.825,14507.5,0.89,-3857.5
3075000,0.8,19002.5,0.935,-715.0
3150000,0.8,14000.0,0.925,-1920.0
3225000,0.795,17815.0,0.91,-2060.0
3300000,0.79,11252.5,0.95,-37.5
3375000,0.815,16340.0,0.91,1002.5
3450000,0.785,15410.0,0.93,-1152.5
3525000,0.805,10420.0,0.9,-2777.5
3600000,0.83,21275.0,0.895,-4510.0
3675000,0.75,14600.0,0.91,-1700.0
3750000,0.81,10257.5,0.895,-1962.5
3825000,0.785,13965.0,0.91,-1942.5
3900000,0.74,12550.0,0.86,-4362.5
3975000,0.81,11552.5,0.92,-2462.5
4050000,0.835,12617.5,0.925,-2947.5
4125000,0.82,15055.0,0.93,1145.0
4200000,0.775,19387.5,0.905,237.5
4275000,0.8,19625.0,0.87,-5520.0
4350000,0.78,12667.5,0.905,-2607.5
4425000,0.775,13715.0,0.9,-3257.5
4500000,0.81,16535.0,0.915,-3125.0
4575000,0.81,16405.0,0.925,-1732.5
4650000,0.805,15150.0,0.9,-1875.0
4725000,0.84,15835.0,0.925,-4242.5
4800000,0.775,10240.0,0.9,-2040.0
4875000,0.72,6582.5,0.94,-575.0
4950000,0.77,12945.0,0.87,-2925.0
5025000,0.76,8625.0,0.9,-3810.0
5100000,0.76,5492.5,0.91,-1680.0
5175000,0.785,8802.5,0.88,-3327.5
5250000,0.8,10772.5,0.93,-475.0
5325000,0.755,7755.0,0.895,-1337.5
5400000,0.885,21557.5,0.905,-2692.5
5475000,0.735,9910.0,0.915,-3427.5
5550000,0.815,15390.0,0.885,-4530.0
5625000,0.805,12597.5,0.95,-25.0
5700000,0.825,17820.0,0.905,-242.5
5775000,0.81,20295.0,0.88,-4357.5
5850000,0.725,7657.5,0.92,-1075.0
5925000,0.815,18955.0,0.92,-910.0
6000000,0.735,11207.5,0.925,-287.5
6075000,0.785,9410.0,0.915,262.5
6150000,0.81,21205.0,0.94,-2217.5
6225000,0.745,4955.0,0.905,-2402.5
6300000,0.83,20437.5,0.935,-1075.0
6375000,0.8,17767.5,0.905,-1152.5
