episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
8000,0.545,3722.5,0.955,1415.0
16000,0.565,4907.5,0.92,-755.0
24000,0.62,-622.5,0.97,1032.5
32000,0.555,712.5,0.925,322.5
40000,0.505,1110.0,0.925,865.0
48000,0.535,622.5,0.905,225.0
56000,0.505,895.0,0.9,800.0
64000,0.525,-927.5,0.88,1105.0
72000,0.525,1535.0,0.97,2017.5
80000,0.535,3872.5,0.94,257.5
88000,0.52,-552.5,0.94,1400.0
96000,0.495,337.5,0.89,452.5
104000,0.53,4720.0,0.94,-10.0
112000,0.62,7117.5,0.935,885.0
120000,0.56,255.0,0.91,632.5
128000,0.51,3540.0,0.93,275.0
136000,0.525,75.0,0.915,782.5
144000,0.545,722.5,0.955,770.0
152000,0.545,1972.5,0.935,2972.5
160000,0.43,-657.5,0.92,252.5
168000,0.475,110.0,0.925,1767.5
176000,0.52,1730.0,0.93,507.49999999999994
184000,0.53,-1295.0,0.955,895.0
192000,0.585,1730.0,0.94,1665.0
200000,0.51,1415.0,0.905,42.5
208000,0.555,580.0,0.93,385.0
216000,0.51,-720.0,0.925,2337.5
224000,0.555,2980.0,0.94,970.0
232000,0.575,4452.5,0.935,647.5
240000,0.51,327.5,0.935,1175.0
248000,0.485,1227.5,0.955,882.5
256000,0.465,-122.5,0.935,790.0
264000,0.505,587.5,0.925,1202.5
272000,0.48,1315.0,0.935,1370.0
280000,0.51,2405.0,0.91,-327.5
288000,0.48,-5105.0,0.95,872.5
296000,0.435,-2680.0,0.895,545.0
304000,0.56,3715.0,0.95,857.5
312000,0.55,-335.0,0.955,1352.5
320000,0.585,2090.0,0.96,875.0
328000,0.58,1117.5,0.94,120.0
336000,0.565,90.0,0.925,1067.5
344000,0.565,3325.0,0.94,825.0
352000,0.555,4777.5,0.905,807.5
360000,0.48,715.0,0.92,1287.5
368000,0.555,3710.0,0.98,1957.5
376000,0.59,1455.0,0.945,400.0
384000,0.54,215.0,0.905,665.0
392000,0.605,445.0,0.96,892.5
400000,0.465,-875.0,0.955,1467.5
408000,0.535,1772.5,0.905,197.5
416000,0.515,-5262.5,0.95,717.5
424000,0.54,-1252.5,0.97,1105.0
432000,0.525,-5492.5,0.92,877.5
440000,0.49,-2167.5,0.945,1625.0
448000,0.475,-1245.0,0.92,792.5
456000,0.48,127.5,0.91,1705.0
464000,0.565,2047.4999999999998,0.945,732.5
472000,0.535,1752.5,0.935,2652.5
480000,0.505,-385.0,0.925,1255.0
488000,0.505,587.5,0.925,1337.5
496000,0.495,3410.0,0.9,575.0
504000,0.525,3740.0,0.955,1325.0
512000,0.525,1060.0,0.955,897.5
520000,0.55,-855.0,0.92,1247.5
528000,0.485,-1195.0,0.93,680.0
536000,0.6,7287.5,0.935,1190.0
544000,0.47,-1270.0,0.92,920.0
552000,0.465,1152.5,0.955,917.5
560000,0.46,-192.5,0.905,647.5
568000,0.525,-1912.5,0.925,1685.0
576000,0.44,-2125.0,0.95,302.5
584000,0.525,5177.5,0.945,792.5
592000,0.53,-1830.0,0.94,257.5
600000,0.485,-3352.5,0.89,140.0
608000,0.53,1632.5,0.94,1215.0
616000,0.52,1040.0,0.93,767.5
624000,0.55,1445.0,0.955,1375.0
632000,0.485,-220.0,0.935,805.0
640000,0.54,1512.5,0.95,2205.0
648000,0.555,167.5,0.93,370.0
