episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
8000,0.625,-1485.0,0.94,842.5
16000,0.52,2690.0,0.92,1350.0
24000,0.58,4482.5,0.915,-367.5
32000,0.565,4217.5,0.97,1945.0
40000,0.575,2232.5,0.935,670.0
48000,0.48,555.0,0.92,400.0
56000,0.47,-590.0,0.945,-512.5
64000,0.53,-790.0,0.93,1172.5
72000,0.54,680.0,0.92,295.0
80000,0.495,-1895.0,0.92,285.0
88000,0.545,885.0,0.925,845.0
96000,0.48,-220.0,0.94,1337.5
104000,0.5,-980.0,0.905,730.0
112000,0.525,3560.0,0.93,1270.0
120000,0.605,-930.0,0.935,790.0
128000,0.545,2557.5,0.935,795.0
136000,0.485,220.0,0.905,825.0
144000,0.51,-240.0,0.925,1307.5
152000,0.545,-1047.5,0.94,1352.5
160000,0.545,2250.0,0.94,1825.0
168000,0.53,-1822.5,0.94,2330.0
176000,0.475,362.5,0.93,1242.5
184000,0.495,-655.0,0.925,212.5
192000,0.48,-570.0,0.915,800.0
200000,0.58,2155.0,0.905,610.0
208000,0.6,2690.0,0.93,815.0
216000,0.51,777.5,0.935,592.5
224000,0.505,-890.0,0.9,697.5
232000,0.535,1765.0,0.945,942.5
240000,0.5,-1812.5,0.965,1492.5
248000,0.605,-1052.5,0.89,555.0
256000,0.455,117.5,0.94,852.5
264000,0.435,-1640.0,0.925,1190.0
272000,0.435,-787.5,0.91,775.0
280000,0.505,-1685.0,0.945,1342.5
288000,0.455,1140.0,0.905,730.0
296000,0.53,1440.0,0.93,460.0
304000,0.47,-715.0,0.885,-187.5
312000,0.51,55.0,0.94,1332.5
320000,0.53,-162.5,0.935,817.5
328000,0.51,-620.0,0.91,155.0
336000,0.43,-2125.0,0.95,842.5
344000,0.565,2745.0,0.94,867.5
352000,0.495,-117.5,0.9,565.0
360000,0.535,2132.5,0.955,1227.5
368000,0.555,-272.5,0.93,217.5
376000,0.48,-850.0,0.91,1100.0
384000,0.515,-832.5,0.955,817.5
392000,0.51,2737.5,0.915,700.0
400000,0.46,-382.5,0.935,1085.0
408000,0.5,2507.5,0.925,732.5
416000,0.56,1002.5,0.935,737.5
424000,0.465,-2677.5,0.955,932.5
432000,0.425,-2267.5,0.94,1797.5
440000,0.49,1745.0,0.95,787.5
448000,0.44,-3220.0,0.93,1267.5
456000,0.56,1602.5,0.915,342.5
464000,0.55,3310.0,0.925,1352.5
472000,0.445,-300.0,0.915,775.0
480000,0.51,200.0,0.915,17.5
488000,0.545,-2127.5,0.92,715.0
496000,0.425,-2072.5,0.915,1157.5
504000,0.475,1705.0,0.905,1737.5
512000,0.56,5035.0,0.95,402.5
520000,0.525,-47.5,0.935,1187.5
528000,0.475,477.5,0.93,935.0
536000,0.505,-217.5,0.91,1217.5
544000,0.505,-187.5,0.93,912.5
552000,0.51,1710.0,0.91,792.5
560000,0.52,1345.0,0.96,1370.0
568000,0.54,3015.0,0.94,930.0
576000,0.5,505.0,0.925,2347.5
584000,0.515,-495.0,0.92,802.5
592000,0.475,67.5,0.925,1260.0
600000,0.455,-677.5,0.945,1395.0
608000,0.525,-50.0,0.975,955.0
616000,0.485,-2640.0,0.915,745.0
624000,0.53,750.0,0.89,667.5
632000,0.45,-1372.5,0.925,1312.5
640000,0.53,65.0,0.93,1300.0
648000,0.57,1240.0,0.92,692.5
656000,0.475,-1012.5,0.915,690.0
664000,0.53,2425.0,0.945,1307.5
672000,0.535,-282.5,0.935,1425.0
680000,0.45,-730.0,0.95,1030.0
688000,0.48,-405.0,0.92,1705.0
696000,0.465,-510.0,0.905,702.5
704000,0.405,-1702.5,0.94,845.0
712000,0.445,847.5,0.96,885.0
720000,0.535,-285.0,0.955,1332.5
728000,0.555,-3782.5,0.94,895.0
736000,0.5,-555.0,0.92,750.0
744000,0.455,347.5,0.925,862.5
