episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
8000,0.605,4367.5,0.92,367.5
16000,0.545,3212.5,0.915,-602.5
24000,0.525,577.5,0.955,-10.0
32000,0.535,852.5,0.93,190.0
40000,0.555,2127.5,0.92,1790.0
48000,0.535,1617.5,0.91,115.0
56000,0.5,27.5,0.95,1805.0
64000,0.45,-1777.5,0.89,932.5
72000,0.545,-565.0,0.96,477.5
80000,0.52,2080.0,0.94,317.5
88000,0.49,-1245.0,0.955,1390.0
96000,0.445,-1620.0,0.895,1135.0
104000,0.47,82.5,0.9,542.5
112000,0.6,3482.5,0.95,1332.5
120000,0.56,1867.5,0.925,2205.0
128000,0.495,605.0,0.92,837.5
136000,0.515,700.0,0.905,-665.0
144000,0.515,537.5,0.94,735.0
152000,0.5,-3810.0,0.93,1230.0
160000,0.46,1575.0,0.92,12.5
168000,0.47,-1900.0,0.94,1357.5
176000,0.565,4662.5,0.9,692.5
184000,0.5,-322.5,0.955,845.0
192000,0.565,2302.5,0.94,2312.5
200000,0.455,-2547.5,0.935,1310.0
208000,0.58,832.5,0.945,685.0
216000,0.465,3217.5,0.93,1497.5
224000,0.415,-1192.5,0.915,1220.0
232000,0.545,4780.0,0.94,902.5
240000,0.505,505.0,0.955,837.5
248000,0.51,-285.0,0.945,817.5
256000,0.46,-205.0,0.93,820.0
264000,0.565,1932.5,0.945,730.0
272000,0.545,-1365.0,0.935,1365.0
280000,0.46,120.0,0.915,1282.5
288000,0.505,-1182.5,0.95,910.0
296000,0.5,-982.5,0.9,587.5
304000,0.515,2535.0,0.915,707.5
312000,0.505,-4072.5,0.945,832.5
320000,0.63,3082.5,0.96,842.5
328000,0.59,1925.0,0.94,1232.5
336000,0.5,155.0,0.945,915.0
344000,0.57,2612.5,0.945,1355.0
352000,0.385,-335.0,0.91,560.0
360000,0.53,325.0,0.93,685.0
368000,0.455,865.0,0.975,1520.0
376000,0.505,-360.0,0.95,955.0
384000,0.55,4315.0,0.915,765.0
392000,0.495,-1727.5,0.93,1317.5
400000,0.475,-1300.0,0.93,817.5
408000,0.53,2400.0,0.91,-75.0
416000,0.52,72.5,0.94,847.5
424000,0.525,-2710.0,0.955,845.0
432000,0.55,640.0,0.915,492.5
440000,0.495,-2012.5000000000002,0.935,817.5
448000,0.455,-925.0,0.96,892.5
456000,0.47,-1315.0,0.915,1477.5
464000,0.56,5660.0,0.945,797.5
472000,0.565,4930.0,0.925,655.0
480000,0.465,-2780.0,0.955,922.5
488000,0.52,-1165.0,0.94,1355.0
496000,0.485,-740.0,0.955,1872.5
504000,0.44,-305.0,0.92,970.0
512000,0.46,-1660.0,0.935,287.5
520000,0.475,-1907.5,0.915,50.0
528000,0.46,-1115.0,0.915,1320.0
536000,0.525,-865.0,0.925,587.5
544000,0.54,1252.5,0.93,910.0
552000,0.49,-1014.9999999999999,0.9,1745.0
560000,0.49,-2087.5,0.945,1377.5
568000,0.48,-1622.5,0.94,1237.5
576000,0.535,-632.5,0.895,600.0
584000,0.61,982.5,0.95,1082.5
592000,0.475,955.0,0.95,835.0
600000,0.44,-4112.5,0.885,715.0
608000,0.455,-1260.0,0.95,857.5
616000,0.475,-695.0,0.92,662.5
624000,0.42,-1065.0,0.925,1740.0
632000,0.535,280.0,0.95,1310.0
640000,0.485,-1340.0,0.92,1717.5
648000,0.475,-685.0,0.94,1240.0
656000,0.54,2540.0,0.94,770.0
664000,0.54,360.0,0.935,1250.0
672000,0.565,-815.0,0.91,707.5
680000,0.525,-352.5,0.94,825.0
688000,0.395,-2635.0,0.905,1105.0
696000,0.49,1367.5,0.945,1760.0
704000,0.46,-342.5,0.935,805.0
712000,0.55,790.0,0.91,1670.0
720000,0.53,390.0,0.91,750.0
728000,0.605,1260.0,0.955,947.5
736000,0.58,3170.0,0.93,1212.5
744000,0.505,-807.5,0.97,1470.0
752000,0.46,1625.0,0.96,1357.5
760000,0.495,-1115.0,0.925,780.0
768000,0.535,2405.0,0.89,602.5
776000,0.56,1842.5,0.915,1185.0
784000,0.515,3262.5,0.93,1257.5
792000,0.49,-4410.0,0.925,827.5
800000,0.57,1272.5,0.935,772.5
808000,0.46,1565.0,0.97,1107.5
816000,0.515,1797.5,0.935,280.0
824000,0.555,-1362.5,0.95,892.5
832000,0.46,1990.0,0.93,1242.5
840000,0.585,1037.5,0.96,1710.0
848000,0.545,2782.5,0.92,1237.5
856000,0.515,-520.0,0.935,1230.0
864000,0.52,1687.5,0.95,1345.0
872000,0.495,-3422.5,0.915,750.0
880000,0.5,-500.0,0.915,1692.5
888000,0.62,4382.5,0.905,645.0
896000,0.52,647.5,0.94,1282.5
904000,0.45,862.5,0.91,187.5
912000,0.425,-1292.5,0.915,1230.0
920000,0.485,-712.5,0.905,295.0
928000,0.46,-2742.5,0.925,2300.0
936000,0.56,1997.5,0.935,3767.5
944000,0.555,305.0,0.91,707.5
952000,0.635,1070.0,0.95,1807.5
960000,0.535,2370.0,0.92,327.5
968000,0.465,625.0,0.89,170.0
976000,0.475,162.5,0.915,682.5
984000,0.615,765.0,0.97,927.5
992000,0.495,-1105.0,0.9,205.0
1000000,0.53,-300.0,0.93,607.5
1008000,0.49,0.0,0.945,775.0
1016000,0.51,-652.5,0.92,700.0
1024000,0.495,1547.5,0.94,967.5
1032000,0.475,-35.0,0.92,737.5
1040000,0.55,1025.0,0.94,870.0
1048000,0.555,2325.0,0.93,817.5
1056000,0.6,1887.5,0.935,765.0
1064000,0.49,2827.5,0.925,1232.5
1072000,0.535,1442.5,0.94,717.5
1080000,0.515,1502.5,0.945,1295.0
1088000,0.53,3935.0,0.905,855.0
1096000,0.56,3497.5,0.92,1815.0
1104000,0.485,555.0,0.895,77.5
1112000,0.595,4900.0,0.96,840.0
1120000,0.575,3152.5,0.95,1887.5
1128000,0.54,2955.0,0.925,927.5
1136000,0.535,1840.0,0.915,1220.0
1144000,0.585,3030.0,0.915,722.5
1152000,0.555,2325.0,0.94,725.0
1160000,0.575,1682.5,0.945,365.0
1168000,0.545,1077.5,0.95,995.0
1176000,0.575,1427.5,0.95,815.0
1184000,0.56,-4295.0,0.92,822.5
1192000,0.48,-405.0,0.905,725.0
1200000,0.56,3087.5,0.95,767.5
1208000,0.44,-1014.9999999999999,0.935,815.0
1216000,0.54,155.0,0.925,1217.5
1224000,0.52,1420.0,0.905,1600.0
1232000,0.495,927.5,0.895,622.5
1240000,0.38,-2460.0,0.91,257.5
1248000,0.475,1752.5,0.935,715.0
1256000,0.49,3050.0,0.935,257.5
1264000,0.515,197.5,0.95,882.5
1272000,0.485,-1372.5,0.95,1387.5
1280000,0.5,1455.0,0.93,770.0
1288000,0.49,-1460.0,0.92,867.5
1296000,0.525,-1800.0,0.915,775.0
1304000,0.5,-1902.5,0.925,1330.0
1312000,0.535,-3015.0,0.915,770.0
1320000,0.615,-82.5,0.925,1075.0
1328000,0.54,275.0,0.92,1147.5
1336000,0.555,-1585.0,0.92,627.5
1344000,0.46,-1582.5,0.9,125.0
1352000,0.58,2625.0,0.92,680.0
1360000,0.495,-1032.5,0.935,770.0
1368000,0.455,-17.5,0.905,642.5
1376000,0.495,-55.0,0.935,815.0
1384000,0.52,-525.0,0.92,715.0
1392000,0.555,-1085.0,0.89,1307.5
1400000,0.555,75.0,0.945,915.0
1408000,0.59,2180.0,0.905,185.0
1416000,0.515,2280.0,0.925,365.0
1424000,0.545,-2740.0,0.95,1437.5
1432000,0.495,562.5,0.905,780.0
1440000,0.555,2480.0,0.945,317.5
1448000,0.57,-400.0,0.94,1310.0
1456000,0.51,-2317.5,0.93,692.5
1464000,0.545,3567.5,0.94,1240.0
1472000,0.505,3067.5,0.92,750.0
1480000,0.45,-1040.0,0.925,230.0
1488000,0.51,-2945.0,0.935,1377.5
1496000,0.46,-1160.0,0.93,780.0
1504000,0.52,-147.5,0.925,1222.5
1512000,0.475,1397.5,0.92,805.0
1520000,0.545,2837.5,0.95,1000.0
1528000,0.525,1410.0,0.935,1365.0
1536000,0.635,2417.5,0.92,810.0
1544000,0.49,-2102.5,0.905,1142.5
