episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
8000,0.52,-1085.0,0.93,1832.5
16000,0.53,-857.5,0.94,817.5
24000,0.645,5122.5,0.935,672.5
32000,0.595,5945.0,0.925,1302.5
40000,0.6,2117.5,0.915,892.5
48000,0.54,1747.5,0.92,1835.0
56000,0.485,-117.5,0.945,832.5
64000,0.525,847.5,0.925,802.5
72000,0.56,-2517.5,0.945,410.0
80000,0.59,5767.5,0.93,802.5
88000,0.535,5960.0,0.91,1675.0
96000,0.575,627.5,0.935,1710.0
104000,0.495,-715.0,0.925,1242.5
112000,0.625,2297.5,0.945,1247.5
120000,0.545,1645.0,0.96,1932.5
128000,0.48,-2085.0,0.92,1352.5
136000,0.485,-3590.0,0.925,-255.0
144000,0.455,-2245.0,0.96,1387.5
152000,0.54,2867.5,0.94,1350.0
160000,0.59,765.0,0.945,-210.0
168000,0.52,-582.5,0.93,512.5
176000,0.635,-475.0,0.915,717.5
184000,0.48,1437.5,0.94,1297.5
192000,0.565,4595.0,0.945,305.0
200000,0.56,-477.5,0.925,727.5
208000,0.62,4330.0,0.945,5.0
216000,0.585,5497.5,0.95,850.0
224000,0.54,-1967.5,0.94,1447.5
232000,0.63,1945.0,0.94,1797.5
240000,0.555,-117.5,0.94,780.0
248000,0.525,-1425.0,0.935,825.0
256000,0.625,4405.0,0.965,2392.5
264000,0.58,-1872.5,0.935,780.0
272000,0.56,-4470.0,0.955,875.0
280000,0.555,140.0,0.92,1275.0
288000,0.465,677.5,0.935,930.0
296000,0.405,-695.0,0.945,1310.0
304000,0.58,2495.0,0.92,752.5
312000,0.5,3325.0,0.965,930.0
320000,0.49,-2257.5,0.925,705.0
328000,0.55,495.0,0.935,755.0
336000,0.55,-155.0,0.92,-162.5
344000,0.46,-765.0,0.95,860.0
352000,0.53,-980.0,0.94,807.5
360000,0.54,-197.5,0.945,1375.0
368000,0.585,3040.0,0.945,475.0
376000,0.55,-377.5,0.93,757.5
384000,0.525,2175.0,0.88,125.0
392000,0.555,4390.0,0.945,1235.0
400000,0.6,1347.5,0.94,442.5
408000,0.48,-2937.5,0.92,702.5
416000,0.565,4105.0,0.92,800.0
424000,0.49,-1402.5,0.935,1412.5
432000,0.53,2865.0,0.92,772.5
440000,0.45,1115.0,0.905,692.5
448000,0.555,520.0,0.935,335.0
456000,0.545,-182.5,0.935,1240.0
464000,0.51,-2020.0,0.925,835.0
472000,0.54,1557.5,0.97,927.5
480000,0.62,6220.0,0.97,950.0
488000,0.535,1522.5,0.94,1685.0
496000,0.525,3837.5,0.94,707.5
504000,0.51,182.5,0.93,275.0
512000,0.55,1060.0,0.955,885.0
520000,0.625,4262.5,0.88,497.5
528000,0.485,-2577.5,0.885,660.0
536000,0.6,3090.0,0.955,882.5
544000,0.5,592.5,0.89,707.5
552000,0.495,1100.0,0.93,975.0
560000,0.56,1567.5,0.94,1357.5
568000,0.585,2825.0,0.93,767.5
576000,0.57,207.5,0.925,282.5
584000,0.585,5742.5,0.94,775.0
592000,0.635,5812.5,0.945,807.5
600000,0.52,1740.0,0.93,792.5
608000,0.455,-5040.0,0.93,1320.0
616000,0.505,2502.5,0.895,1147.5
624000,0.54,4797.5,0.97,912.5
632000,0.515,492.5,0.965,1010.0
640000,0.54,1605.0,0.935,872.5
648000,0.615,4317.5,0.925,745.0
656000,0.52,-2797.5,0.905,595.0
664000,0.55,300.0,0.915,532.5
672000,0.62,3600.0,0.93,1255.0
680000,0.54,2470.0,0.93,1162.5
688000,0.59,1682.5,0.925,737.5
696000,0.565,2780.0,0.94,880.0
704000,0.545,1417.5,0.94,905.0
712000,0.545,1287.5,0.86,457.5
720000,0.515,2167.5,0.94,842.5
728000,0.54,-337.5,0.935,772.5
736000,0.585,3700.0,0.965,1022.5
744000,0.59,1642.5,0.92,1165.0
752000,0.63,4920.0,0.935,1892.5
760000,0.555,2220.0,0.945,1335.0
768000,0.565,3107.5,0.92,272.5
776000,0.485,-130.0,0.935,837.5
784000,0.5,-1457.5,0.945,780.0
792000,0.575,-2125.0,0.92,645.0
800000,0.66,1552.5,0.93,897.5
808000,0.565,-1787.5,0.94,377.5
816000,0.575,4577.5,0.93,795.0
824000,0.52,790.0,0.9,537.5
832000,0.52,2630.0,0.915,785.0
840000,0.51,-75.0,0.955,975.0
848000,0.595,2242.5,0.92,1152.5
856000,0.525,-3172.5,0.915,755.0
864000,0.55,4345.0,0.965,952.5
872000,0.505,-1132.5,0.925,692.5
880000,0.57,-117.5,0.935,710.0
888000,0.605,2217.5,0.945,772.5
896000,0.605,4405.0,0.96,840.0
904000,0.5,60.0,0.94,787.5
912000,0.55,-325.0,0.935,1722.5
920000,0.515,-1462.5,0.93,785.0
928000,0.59,-1517.5,0.95,737.5
936000,0.59,2760.0,0.95,1827.5
944000,0.575,855.0,0.95,902.5
952000,0.6,2355.0,0.94,1687.5
960000,0.625,2597.5,0.925,662.5
968000,0.585,6345.0,0.955,965.0
976000,0.665,3712.5,0.935,1317.5
984000,0.56,1190.0,0.93,1342.5
992000,0.55,-477.5,0.94,570.0
1000000,0.545,-570.0,0.945,877.5
1008000,0.58,2802.5,0.925,697.5
1016000,0.575,1762.5,0.95,892.5
1024000,0.445,1525.0,0.915,1317.5
1032000,0.54,-467.5,0.94,865.0
1040000,0.62,4785.0,0.92,665.0
1048000,0.55,3527.5,0.925,832.5
1056000,0.645,4180.0,0.915,1232.5
1064000,0.605,3107.5,0.945,1297.5
1072000,0.595,4832.5,0.93,695.0
1080000,0.63,5560.0,0.93,745.0
1088000,0.63,4075.0,0.94,827.5
1096000,0.62,4002.5000000000005,0.945,840.0
1104000,0.57,3337.5,0.925,825.0
1112000,0.57,1250.0,0.93,1370.0
1120000,0.6,2362.5,0.97,872.5
1128000,0.575,737.5,0.9,685.0
1136000,0.58,742.5,0.945,1250.0
1144000,0.6,540.0,0.945,905.0
1152000,0.565,-130.0,0.935,605.0
1160000,0.59,7125.0,0.95,842.5
1168000,0.645,3587.5,0.935,860.0
1176000,0.565,-227.5,0.965,1865.0
1184000,0.545,-927.5,0.96,900.0
1192000,0.535,1055.0,0.94,1330.0
1200000,0.58,3267.5,0.94,820.0
1208000,0.595,2237.5,0.915,745.0
1216000,0.64,6970.0,0.935,850.0
1224000,0.515,1427.5,0.92,757.5
1232000,0.585,6195.0,0.945,842.5
1240000,0.555,3427.5,0.965,447.5
1248000,0.58,-2207.5,0.95,1125.0
1256000,0.615,-395.0,0.95,847.5
1264000,0.6,2895.0,0.915,647.5
1272000,0.605,2610.0,0.94,825.0
1280000,0.615,4735.0,0.955,1375.0
1288000,0.555,-127.5,0.925,705.0
1296000,0.53,-4002.5000000000005,0.915,647.5
1304000,0.53,-1955.0,0.915,705.0
1312000,0.505,2025.0,0.91,1172.5
1320000,0.6,-607.5,0.88,1025.0
1328000,0.64,-437.5,0.945,785.0
1336000,0.635,4527.5,0.94,862.5
1344000,0.61,3420.0,0.905,690.0
1352000,0.565,-4275.0,0.945,835.0
1360000,0.575,-2660.0,0.92,1252.5
1368000,0.62,4302.5,0.925,1632.5
1376000,0.555,-1617.5,0.93,765.0
1384000,0.58,-490.0,0.96,1797.5
1392000,0.59,-1110.0,0.94,790.0
1400000,0.65,-662.5,0.935,780.0
1408000,0.575,2557.5,0.925,1242.5
1416000,0.645,2737.5,0.94,822.5
1424000,0.605,1992.5,0.92,1240.0
1432000,0.58,520.0,0.92,737.5
1440000,0.57,-3580.0,0.955,860.0
1448000,0.655,7635.0,0.975,1505.0
1456000,0.61,4920.0,0.945,825.0
1464000,0.575,-1902.5,0.935,807.5
1472000,0.67,4975.0,0.96,1440.0
1480000,0.61,2147.5,0.95,790.0
1488000,0.645,4332.5,0.955,912.5
1496000,0.535,-125.0,0.92,777.5
1504000,0.595,102.5,0.95,880.0
1512000,0.59,-295.0,0.93,810.0
1520000,0.565,6405.0,0.96,967.5
1528000,0.595,2237.5,0.95,752.5
1536000,0.585,1550.0,0.955,1355.0
1544000,0.545,1905.0,0.945,1302.5
1552000,0.625,7840.0,0.945,1360.0
1560000,0.635,1405.0,0.925,1187.5
1568000,0.595,3430.0,0.955,727.5
1576000,0.635,5907.5,0.925,715.0
1584000,0.625,2342.5,0.96,875.0
1592000,0.55,-1365.0,0.88,627.5
1600000,0.565,-1627.5,0.985,1425.0
1608000,0.555,-1347.5,0.935,757.5
1616000,0.575,1260.0,0.925,1290.0
1624000,0.535,-6110.0,0.915,1177.5
1632000,0.56,-2395.0,0.925,1257.5
1640000,0.625,2355.0,0.945,772.5
