episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
8000,0.545,3722.5,0.955,1415.0
16000,0.565,4907.5,0.92,-755.0
24000,0.62,-622.5,0.97,1032.5
32000,0.555,712.5,0.925,322.5
40000,0.505,1110.0,0.925,865.0
48000,0.535,622.5,0.905,225.0
56000,0.505,895.0,0.9,800.0
64000,0.525,-927.5,0.88,1105.0
72000,0.525,1612.5,0.97,2032.5000000000002
80000,0.605,5477.5,0.94,267.5
88000,0.52,-1197.5,0.935,1417.5
96000,0.485,-72.5,0.885,447.5
104000,0.6,6467.5,0.92,975.0
112000,0.53,2815.0,0.935,1687.5
120000,0.565,3820.0,0.905,2007.4999999999998
128000,0.515,1932.5,0.945,1305.0
136000,0.515,325.0,0.92,180.0
144000,0.44,-1882.5,0.965,820.0
152000,0.52,645.0,0.94,1572.5
160000,0.555,2117.5,0.93,812.5
168000,0.61,4010.0,0.905,2257.5
176000,0.555,1592.5,0.925,237.5
184000,0.59,1937.5,0.95,760.0
192000,0.6,5717.5,0.915,177.5
200000,0.475,-437.5,0.91,1615.0
208000,0.55,-1772.5,0.95,1890.0
216000,0.47,3262.5,0.925,1575.0
224000,0.505,-255.0,0.935,1235.0
232000,0.56,1342.5,0.93,795.0
240000,0.465,715.0,0.95,865.0
248000,0.53,2455.0,0.94,867.5
256000,0.495,-345.0,0.93,1185.0
264000,0.59,2057.5,0.935,1790.0
272000,0.485,-1002.5,0.925,732.5
280000,0.545,3022.5,0.925,787.5
288000,0.48,-582.5,0.95,835.0
296000,0.45,-297.5,0.915,1182.5
304000,0.53,1452.5,0.93,1777.5
312000,0.45,-4412.5,0.905,662.5
320000,0.635,3487.5,0.96,1270.0
328000,0.43,7.5,0.915,707.5
336000,0.57,-105.0,0.94,677.5
344000,0.565,2670.0,0.93,1250.0
352000,0.475,2277.5,0.915,467.5
360000,0.495,2372.5,0.93,1365.0
368000,0.53,965.0,0.95,845.0
376000,0.525,-630.0,0.93,825.0
384000,0.57,2827.5,0.905,1047.5
392000,0.565,-3760.0,0.945,340.0
400000,0.465,-205.0,0.95,977.5
408000,0.54,1482.5,0.915,237.5
416000,0.52,-3550.0,0.96,1282.5
424000,0.575,2427.5,0.945,257.5
432000,0.53,640.0,0.9,717.5
440000,0.46,-217.5,0.96,1747.5
448000,0.485,562.5,0.91,-690.0
456000,0.495,-1572.5,0.93,1737.5
464000,0.585,8527.5,0.945,687.5
472000,0.585,1325.0,0.95,690.0
480000,0.485,240.0,0.935,702.5
488000,0.53,45.0,0.945,897.5
496000,0.48,-555.0,0.905,345.0
504000,0.46,2235.0,0.92,397.5
512000,0.45,1555.0,0.94,817.5
520000,0.49,-1125.0,0.905,927.5
528000,0.435,887.5,0.94,652.5
536000,0.53,-1572.5,0.93,-437.5
544000,0.505,-300.0,0.93,1152.5
552000,0.55,3700.0,0.92,1245.0
560000,0.525,1315.0,0.94,757.5
568000,0.56,-1285.0,0.94,1802.5
576000,0.59,895.0,0.94,640.0
584000,0.52,4045.0,0.92,315.0
592000,0.55,35.0,0.93,1370.0
600000,0.575,6012.5,0.92,622.5
608000,0.55,180.0,0.935,235.0
616000,0.51,-832.5,0.94,1242.5
624000,0.455,-980.0,0.925,1265.0
632000,0.525,3612.5,0.94,1285.0
640000,0.525,-1620.0,0.94,827.5
