episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
8000,0.61,2477.5,0.965,950.0
16000,0.445,-5060.0,0.93,497.5
24000,0.52,2417.5,0.9,595.0
32000,0.51,1332.5,0.935,800.0
40000,0.53,3375.0,0.955,482.5
48000,0.52,2517.5,0.925,2262.5
56000,0.46,420.0,0.94,510.0
64000,0.485,820.0,0.885,602.5
72000,0.525,3742.5,0.935,550.0
80000,0.45,-637.5,0.92,285.0
88000,0.51,865.0,0.935,1397.5
96000,0.45,-2080.0,0.915,692.5
104000,0.405,1550.0,0.94,2430.0
112000,0.51,-95.0,0.925,190.0
120000,0.495,3715.0,0.94,745.0
128000,0.47,-160.0,0.92,1185.0
136000,0.45,-1720.0,0.91,552.5
144000,0.495,157.5,0.895,47.5
152000,0.48,937.5,0.94,850.0
160000,0.465,997.5,0.955,477.5
168000,0.49,-455.0,0.93,1375.0
176000,0.53,1822.5,0.94,-187.5
184000,0.445,-2350.0,0.92,625.0
192000,0.475,-1365.0,0.955,1825.0
200000,0.465,362.5,0.92,717.5
208000,0.525,1780.0,0.94,1827.5
216000,0.52,2087.5,0.935,1242.5
224000,0.425,3302.5,0.95,-182.5
232000,0.505,-637.5,0.935,1397.5
240000,0.485,25.0,0.91,1800.0
248000,0.44,-2587.5,0.945,720.0
256000,0.445,-757.5,0.945,1225.0
264000,0.42,325.0,0.915,747.5
272000,0.505,1527.5,0.9,782.5
280000,0.46,367.5,0.915,795.0
288000,0.5,17.5,0.87,637.5
296000,0.42,-1610.0,0.93,330.0
304000,0.495,2340.0,0.91,332.5
312000,0.465,-90.0,0.885,577.5
320000,0.475,315.0,0.9,410.0
328000,0.415,-932.5,0.955,885.0
336000,0.455,450.0,0.92,742.5
344000,0.455,-395.0,0.89,495.0
352000,0.45,-862.5,0.935,1402.5
360000,0.43,2560.0,0.88,622.5
368000,0.5,-875.0,0.95,1075.0
376000,0.42,-1260.0,0.925,1662.5
384000,0.41,-290.0,0.885,515.0
392000,0.425,582.5,0.945,1297.5
400000,0.495,2397.5,0.92,737.5
408000,0.49,-810.0,0.935,1290.0
416000,0.515,775.0,0.885,1082.5
424000,0.43,165.0,0.92,830.0
432000,0.515,200.0,0.945,1025.0
440000,0.42,-937.5,0.92,560.0
448000,0.485,-377.5,0.96,877.5
456000,0.48,687.5,0.93,775.0
464000,0.475,-1192.5,0.88,1107.5
472000,0.455,-515.0,0.925,1237.5
480000,0.465,572.5,0.935,772.5
488000,0.485,1735.0,0.935,1275.0
496000,0.515,270.0,0.925,800.0
504000,0.44,-887.5,0.895,1052.5
512000,0.41,-385.0,0.88,1122.5
520000,0.505,-632.5,0.925,1672.5
528000,0.475,-655.0,0.9,700.0
536000,0.47,-1180.0,0.905,1205.0
544000,0.415,827.5,0.9,202.5
552000,0.495,-227.5,0.875,1150.0
560000,0.425,-192.5,0.895,635.0
568000,0.485,-3022.5,0.92,1685.0
576000,0.48,-862.5,0.905,740.0
584000,0.41,-310.0,0.935,322.5
592000,0.445,70.0,0.94,1350.0
600000,0.5,-150.0,0.94,-180.0
608000,0.425,-1967.5,0.905,1147.5
616000,0.49,1712.5,0.905,155.0
624000,0.47,1190.0,0.95,1787.5
632000,0.495,-2017.5,0.92,712.5
640000,0.385,582.5,0.92,642.5
648000,0.435,-1022.5,0.93,782.5
656000,0.405,-1372.5,0.9,1715.0
664000,0.475,327.5,0.905,690.0
672000,0.465,-312.5,0.93,255.0
680000,0.48,717.5,0.955,762.5
688000,0.475,-1712.5,0.92,927.5
696000,0.455,-2700.0,0.885,642.5
704000,0.44,-1465.0,0.93,727.5
712000,0.47,-90.0,0.95,1335.0
720000,0.48,-1052.5,0.91,680.0
728000,0.415,-1617.5,0.915,692.5
736000,0.44,-427.5,0.865,620.0
744000,0.415,310.0,0.93,1390.0
752000,0.39,-237.5,0.895,657.5
760000,0.46,390.0,0.955,820.0
768000,0.475,895.0,0.895,672.5
776000,0.445,255.0,0.92,657.5
784000,0.415,2122.5,0.9,562.5
792000,0.405,-97.5,0.92,657.5
800000,0.43,-1442.5,0.9,1182.5
808000,0.45,572.5,0.93,785.0
816000,0.455,-852.5,0.935,797.5
824000,0.365,277.5,0.875,1075.0
832000,0.42,-400.0,0.94,757.5
840000,0.465,587.5,0.93,1407.5
848000,0.44,542.5,0.9,705.0
856000,0.46,352.5,0.905,1132.5
864000,0.41,-605.0,0.89,782.5
872000,0.475,842.5,0.915,685.0
880000,0.45,475.0,0.885,1177.5
888000,0.44,-825.0,0.89,640.0
896000,0.35,-465.0,0.94,717.5
904000,0.49,-270.0,0.895,627.5
912000,0.345,-1332.5,0.885,2065.0
920000,0.52,-125.0,0.93,1215.0
928000,0.39,285.0,0.895,-342.5
936000,0.43,-927.5,0.965,1910.0
944000,0.395,1660.0,0.915,1132.5
952000,0.405,2087.5,0.88,1572.5
960000,0.405,-392.5,0.91,145.0
968000,0.415,215.0,0.89,667.5
976000,0.5,-440.0,0.95,907.5
984000,0.51,160.0,0.915,1210.0
992000,0.41,615.0,0.84,530.0
1000000,0.495,-427.5,0.93,777.5
1008000,0.47,-840.0,0.9,1115.0
1016000,0.455,-182.5,0.905,1230.0
1024000,0.46,-295.0,0.925,202.5
1032000,0.445,-600.0,0.9,657.5
1040000,0.36,15.0,0.875,607.5
1048000,0.425,-1555.0,0.91,715.0
1056000,0.385,-55.0,0.895,642.5
1064000,0.46,277.5,0.93,695.0
1072000,0.5,327.5,0.945,772.5
1080000,0.375,117.5,0.945,805.0
1088000,0.465,-227.5,0.885,625.0
1096000,0.45,-130.0,0.915,745.0
1104000,0.355,-497.5,0.885,1110.0
1112000,0.46,-650.0,0.9,637.5
1120000,0.435,-667.5,0.905,737.5
1128000,0.475,-1115.0,0.87,1545.0
1136000,0.4,-312.5,0.915,1207.5
1144000,0.455,-100.0,0.93,1252.5
1152000,0.485,2057.5,0.92,807.5
1160000,0.4,682.5,0.935,1237.5
1168000,0.385,917.5,0.915,1225.0
1176000,0.385,-475.0,0.855,550.0
1184000,0.405,-645.0,0.95,837.5
1192000,0.46,-525.0,0.91,645.0
1200000,0.45,417.5,0.9,582.5
1208000,0.445,-837.5,0.93,1275.0
1216000,0.455,-932.5,0.925,262.5
1224000,0.435,910.0,0.89,620.0
1232000,0.49,-1045.0,0.905,675.0
1240000,0.45,-622.5,0.91,875.0
1248000,0.445,2215.0,0.935,1257.5
1256000,0.405,-635.0,0.84,1492.5
1264000,0.35,-900.0,0.895,670.0
1272000,0.39,402.5,0.91,672.5
1280000,0.42,-1350.0,0.915,697.5
1288000,0.445,-510.0,0.925,785.0
1296000,0.37,-847.5,0.89,1645.0
1304000,0.43,-420.0,0.93,742.5
1312000,0.5,-522.5,0.93,860.0
1320000,0.44,162.5,0.92,705.0
1328000,0.45,-672.5,0.935,805.0
1336000,0.38,-365.0,0.92,1225.0
1344000,0.43,-92.5,0.91,1122.5
1352000,0.4,-432.5,0.885,1097.5
1360000,0.475,-695.0,0.915,647.5
1368000,0.435,-592.5,0.945,1262.5
1376000,0.48,-1125.0,0.9,715.0
1384000,0.385,-255.0,0.945,742.5
1392000,0.435,-535.0,0.925,1140.0
1400000,0.405,800.0,0.91,1170.0
1408000,0.46,-137.5,0.875,1107.5
1416000,0.38,-822.5,0.855,547.5
1424000,0.445,-252.5,0.89,1185.0
1432000,0.425,-232.5,0.935,747.5
1440000,0.43,-807.5,0.895,630.0
1448000,0.4,447.5,0.91,1172.5
1456000,0.37,-410.0,0.91,697.5
1464000,0.405,-297.5,0.855,510.0
1472000,0.465,427.5,0.915,222.5
1480000,0.365,-432.5,0.885,630.0
1488000,0.415,-85.0,0.895,620.0
1496000,0.34,-402.5,0.89,612.5
1504000,0.315,-497.5,0.935,757.5
1512000,0.415,-350.0,0.935,755.0
1520000,0.4,-217.5,0.875,655.0
1528000,0.36,-332.5,0.9,1637.5
1536000,0.45,-242.5,0.92,1240.0
1544000,0.34,1155.0,0.895,642.5
1552000,0.455,-37.5,0.885,1560.0
1560000,0.415,-157.5,0.84,500.0
1568000,0.465,-532.5,0.935,820.0
1576000,0.39,2.5,0.865,125.0
1584000,0.415,-267.5,0.915,662.5
1592000,0.42,-612.5,0.915,637.5
1600000,0.33,185.0,0.865,607.5
1608000,0.38,-517.5,0.88,1095.0
1616000,0.395,350.0,0.88,-337.5
1624000,0.39,-750.0,0.885,582.5
1632000,0.405,187.5,0.895,1127.5
1640000,0.365,-215.0,0.915,715.0
1648000,0.395,-405.0,0.88,567.5
1656000,0.35,-275.0,0.905,1177.5
1664000,0.35,-800.0,0.935,735.0
1672000,0.405,-590.0,0.875,590.0
1680000,0.425,-652.5,0.865,565.0
1688000,0.355,-737.5,0.855,517.5
1696000,0.41,125.0,0.9,1185.0
1704000,0.415,-582.5,0.925,1215.0
1712000,0.375,-730.0,0.875,577.5
1720000,0.37,235.0,0.845,542.5
1728000,0.415,-697.5,0.915,1142.5
1736000,0.325,-900.0,0.9,610.0
1744000,0.385,-335.0,0.9,725.0
1752000,0.44,-485.0,0.88,620.0
1760000,0.315,260.0,0.835,992.5
1768000,0.395,832.5,0.75,445.0
1776000,0.36,-780.0,0.905,652.5
1784000,0.44,-540.0,0.91,675.0
1792000,0.38,-257.5,0.7,377.5
1800000,0.365,-212.5,0.865,582.5
1808000,0.38,-297.5,0.845,545.0
1816000,0.48,-250.0,0.855,510.0
1824000,0.31,-225.0,0.79,442.5
1832000,0.46,-27.5,0.915,687.5
1840000,0.365,-795.0,0.875,140.0
1848000,0.36,-242.5,0.82,455.0
1856000,0.42,-695.0,0.9,590.0
1864000,0.495,980.0,0.93,1290.0
1872000,0.415,-532.5,0.88,1622.5
1880000,0.36,-322.5,0.885,2107.5
1888000,0.38,-685.0,0.895,665.0
1896000,0.42,-455.0,0.875,607.5
1904000,0.42,-580.0,0.84,515.0
1912000,0.445,-442.5,0.915,720.0
1920000,0.305,-622.5,0.73,420.0
1928000,0.375,230.0,0.91,1140.0
1936000,0.395,-680.0,0.88,610.0
1944000,0.445,-510.0,0.86,1087.5
1952000,0.4,-62.5,0.92,675.0
1960000,0.39,-175.0,0.905,665.0
1968000,0.43,-72.5,0.885,637.5
1976000,0.335,-535.0,0.73,340.0
1984000,0.415,-120.0,0.87,587.5
1992000,0.455,-415.0,0.875,612.5
2000000,0.45,-465.0,0.875,587.5
