episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
8000,0.565,1575.0,0.905,300.0
16000,0.52,5415.0,0.935,1357.5
24000,0.49,1665.0,0.935,752.5
32000,0.495,5517.5,0.935,1752.5
40000,0.525,637.5,0.965,2382.5
48000,0.445,-312.5,0.95,392.5
56000,0.44,252.5,0.91,1160.0
64000,0.585,2457.5,0.955,802.5
72000,0.495,-1722.5,0.89,522.5
80000,0.47,2092.5,0.93,2297.5
88000,0.54,2027.4999999999998,0.94,942.5
96000,0.5,1182.5,0.915,1642.5
104000,0.505,260.0,0.95,1390.0
112000,0.455,-2477.5,0.915,-710.0
120000,0.535,537.5,0.905,627.5
128000,0.56,2997.5,0.895,1630.0
136000,0.51,-30.0,0.93,902.5
144000,0.485,685.0,0.935,2292.5
152000,0.44,-142.5,0.915,745.0
160000,0.485,467.5,0.925,1202.5
168000,0.485,430.0,0.93,755.0
176000,0.435,1040.0,0.94,-160.0
184000,0.53,585.0,0.955,755.0
192000,0.475,20.0,0.94,727.5
200000,0.505,2175.0,0.905,-330.0
208000,0.485,-1082.5,0.945,1795.0
216000,0.49,22.5,0.895,612.5
224000,0.51,3297.5,0.96,412.5
232000,0.495,1147.5,0.945,1325.0
240000,0.47,392.5,0.935,862.5
248000,0.53,2220.0,0.915,1212.5
256000,0.505,862.5,0.945,790.0
264000,0.475,227.5,0.915,1260.0
272000,0.44,552.5,0.945,812.5
280000,0.475,-617.5,0.91,912.5
288000,0.475,1000.0,0.955,810.0
296000,0.51,87.5,0.92,770.0
304000,0.46,952.5,0.89,-247.5
312000,0.545,-55.0,0.945,1925.0
320000,0.55,2372.5,0.93,1257.5
328000,0.535,-2130.0,0.95,845.0
336000,0.47,602.5,0.9,115.0
344000,0.41,-1577.5,0.945,817.5
352000,0.555,2290.0,0.915,1110.0
360000,0.545,3205.0,0.95,1377.5
368000,0.515,1022.5,0.95,765.0
376000,0.49,1045.0,0.915,197.5
384000,0.46,735.0,0.94,1237.5
392000,0.475,-497.5,0.945,855.0
400000,0.44,400.0,0.935,1257.5
408000,0.415,-1117.5,0.915,1165.0
416000,0.455,330.0,0.945,852.5
424000,0.49,-320.0,0.935,817.5
432000,0.475,-965.0,0.96,860.0
440000,0.515,77.5,0.94,1402.5
448000,0.45,77.5,0.92,317.5
456000,0.47,1235.0,0.96,975.0
464000,0.425,-117.5,0.915,1230.0
472000,0.47,-225.0,0.915,1310.0
480000,0.53,3777.5,0.94,135.0
488000,0.47,1547.5,0.92,1750.0
496000,0.47,267.5,0.93,775.0
504000,0.465,1045.0,0.93,1705.0
512000,0.435,-637.5,0.965,950.0
520000,0.485,-2630.0,0.935,772.5
528000,0.495,6175.0,0.93,1295.0
536000,0.52,2517.5,0.925,300.0
544000,0.42,-12.5,0.915,235.0
552000,0.47,1937.5,0.93,290.0
560000,0.52,1362.5,0.915,1175.0
568000,0.46,340.0,0.925,892.5
576000,0.505,107.5,0.925,1715.0
584000,0.42,-425.0,0.94,720.0
592000,0.39,-222.5,0.925,952.5
600000,0.475,2070.0,0.915,662.5
608000,0.42,-910.0,0.92,790.0
