episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
8000,0.66,2102.5,0.94,842.5
16000,0.535,685.0,0.92,665.0
24000,0.51,1247.5,0.92,402.5
32000,0.465,1222.5,0.945,647.5
40000,0.53,370.0,0.95,860.0
48000,0.455,1302.5,0.92,530.0
56000,0.565,-2240.0,0.93,-162.5
64000,0.47,-1445.0,0.925,-245.0
72000,0.445,-1820.0,0.93,1682.5
80000,0.485,-2467.5,0.94,1860.0
88000,0.515,-5.0,0.925,740.0
96000,0.5,195.0,0.905,1250.0
104000,0.52,-212.5,0.895,-407.5
112000,0.485,1597.5,0.915,485.0
120000,0.505,220.0,0.94,1420.0
128000,0.48,-1355.0,0.92,855.0
136000,0.445,110.0,0.94,825.0
144000,0.515,-927.5,0.925,1275.0
152000,0.535,5260.0,0.945,1335.0
160000,0.565,2277.5,0.915,1195.0
168000,0.51,3250.0,0.93,1312.5
176000,0.495,452.5,0.925,772.5
184000,0.5,485.0,0.925,532.5
192000,0.505,-72.5,0.9,762.5
200000,0.515,875.0,0.905,645.0
208000,0.525,-442.5,0.925,832.5
216000,0.495,-2947.5,0.93,1332.5
224000,0.515,565.0,0.92,1767.5
232000,0.54,1525.0,0.93,1190.0
240000,0.455,-630.0,0.915,1172.5
248000,0.575,1670.0,0.935,1217.5
256000,0.51,915.0,0.915,227.5
264000,0.44,-1810.0,0.91,642.5
272000,0.55,2070.0,0.92,770.0
280000,0.565,-5.0,0.925,2220.0
288000,0.48,2347.5,0.91,-120.0
296000,0.57,1957.5,0.935,652.5
304000,0.465,195.0,0.935,737.5
312000,0.53,-2747.5,0.915,1100.0
320000,0.48,807.5,0.915,882.5
328000,0.505,-922.5,0.93,752.5
336000,0.43,2525.0,0.92,247.5
344000,0.575,2570.0,0.925,812.5
352000,0.54,-1207.5,0.875,512.5
360000,0.505,1905.0,0.94,1245.0
368000,0.51,-2607.5,0.945,782.5
376000,0.54,-117.5,0.96,2367.5
384000,0.51,-430.0,0.935,877.5
392000,0.51,-1055.0,0.88,492.5
400000,0.49,4400.0,0.945,945.0
408000,0.53,3230.0,0.94,785.0
416000,0.52,1700.0,0.925,770.0
424000,0.565,2067.5,0.965,980.0
432000,0.535,792.5,0.94,1875.0
440000,0.465,-3825.0,0.955,1820.0
448000,0.505,-1805.0,0.92,807.5
456000,0.585,65.0,0.925,847.5
464000,0.56,-1232.5,0.95,890.0
472000,0.47,-1087.5,0.94,1000.0
480000,0.58,3255.0,0.915,1705.0
488000,0.5,-2455.0,0.93,290.0
496000,0.495,-2385.0,0.92,1742.5
504000,0.51,-772.5,0.92,2170.0
512000,0.505,-237.5,0.945,1807.5
520000,0.49,-220.0,0.9,462.5
528000,0.495,802.5,0.945,985.0
536000,0.45,-377.5,0.935,1817.5
544000,0.435,-1725.0,0.925,857.5
552000,0.485,2782.5,0.93,782.5
560000,0.515,1930.0,0.915,612.5
568000,0.5,-5067.5,0.93,940.0
576000,0.545,307.5,0.95,865.0
584000,0.485,1402.5,0.91,1737.5
592000,0.44,-185.0,0.885,505.0
600000,0.455,-2527.5,0.95,1285.0
608000,0.585,590.0,0.985,1032.5
616000,0.52,975.0,0.94,885.0
624000,0.5,-3315.0,0.91,697.5
632000,0.435,-2322.5,0.92,825.0
640000,0.515,570.0,0.94,900.0
648000,0.48,-1507.5,0.935,727.5
656000,0.46,-752.5,0.96,817.5
664000,0.48,-1727.5,0.92,727.5
672000,0.525,-612.5,0.935,922.5
680000,0.485,-1802.5,0.91,585.0
688000,0.505,1192.5,0.92,765.0
696000,0.55,-457.5,0.915,717.5
704000,0.375,-2085.0,0.945,807.5
712000,0.445,-1182.5,0.94,797.5
720000,0.565,-662.5,0.945,865.0
728000,0.55,-47.5,0.93,852.5
736000,0.49,3015.0,0.9,625.0
744000,0.405,-205.0,0.92,1302.5
752000,0.465,-1535.0,0.91,685.0
760000,0.49,1567.5,0.91,730.0
768000,0.545,117.5,0.905,662.5
776000,0.55,-1572.5,0.95,942.5
784000,0.475,-2142.5,0.945,1300.0
792000,0.455,-1432.5,0.94,1370.0
800000,0.54,2227.5,0.935,290.0
808000,0.545,1870.0,0.955,782.5
816000,0.56,4382.5,0.96,787.5
824000,0.495,-412.5,0.94,415.0
832000,0.475,-955.0,0.87,535.0
840000,0.46,-570.0,0.905,737.5
848000,0.475,-1270.0,0.915,2250.0
856000,0.45,-1680.0,0.95,812.5
864000,0.5,-580.0,0.94,807.5
872000,0.48,-440.0,0.945,1830.0
880000,0.56,2035.0000000000002,0.925,1247.5
888000,0.465,-1057.5,0.945,1330.0
896000,0.48,-487.5,0.94,1035.0
904000,0.47,-747.5,0.925,1147.5
912000,0.49,1445.0,0.965,1085.0
920000,0.495,-2417.5,0.905,787.5
928000,0.455,-150.0,0.935,815.0
936000,0.505,-1007.5000000000001,0.925,1267.5
944000,0.46,-290.0,0.895,1177.5
