episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
8000,0.625,6300.0,0.94,202.5
16000,0.48,1285.0,0.92,950.0
24000,0.545,200.0,0.93,1320.0
32000,0.445,847.5,0.935,1237.5
40000,0.515,1595.0,0.905,77.5
48000,0.525,3567.5,0.95,1312.5
56000,0.515,3340.0,0.92,712.5
64000,0.565,4410.0,0.915,2125.0
72000,0.505,1685.0,0.905,692.5
80000,0.455,2415.0,0.945,810.0
88000,0.445,1302.5,0.91,722.5
96000,0.495,940.0,0.92,1397.5
104000,0.475,4132.5,0.955,295.0
112000,0.515,1032.5,0.925,702.5
120000,0.425,200.0,0.93,760.0
128000,0.51,942.5,0.95,885.0
136000,0.475,-617.5,0.87,122.5
144000,0.505,30.0,0.935,1675.0
152000,0.435,367.5,0.935,800.0
160000,0.445,-2712.5,0.93,1322.5
168000,0.505,1660.0,0.925,1670.0
176000,0.4,1060.0,0.915,257.5
184000,0.495,812.5,0.96,772.5
192000,0.435,-320.0,0.9,1140.0
200000,0.445,2152.5,0.91,630.0
208000,0.46,402.5,0.93,1170.0
216000,0.49,-807.5,0.9,1595.0
224000,0.475,335.0,0.935,1312.5
232000,0.49,1520.0,0.955,1977.5
240000,0.505,1142.5,0.925,622.5
248000,0.51,-1067.5,0.895,-495.0
256000,0.53,235.0,0.955,850.0
264000,0.47,1710.0,0.925,832.5
272000,0.475,910.0,0.945,342.5
280000,0.37,-625.0,0.9,1132.5
288000,0.415,-550.0,0.94,277.5
296000,0.45,-1320.0,0.92,1217.5
304000,0.45,-3260.0,0.885,155.0
312000,0.405,-1617.5,0.945,1345.0
320000,0.505,907.5,0.935,880.0
328000,0.45,-980.0,0.945,885.0
336000,0.5,-237.5,0.935,1352.5
344000,0.435,-72.5,0.94,1190.0
352000,0.505,595.0,0.905,737.5
360000,0.435,1002.5,0.94,762.5
368000,0.48,610.0,0.925,-255.0
376000,0.47,-545.0,0.915,150.0
384000,0.455,60.0,0.93,747.5
392000,0.485,1637.5,0.935,317.5
400000,0.44,662.5,0.925,1345.0
408000,0.42,240.0,0.94,877.5
416000,0.415,-857.5,0.93,172.5
424000,0.46,797.5,0.93,1765.0
432000,0.44,-1200.0,0.945,1335.0
440000,0.515,870.0,0.93,1850.0
448000,0.49,1670.0,0.915,1087.5
456000,0.435,65.0,0.955,1065.0
464000,0.465,45.0,0.93,1245.0
472000,0.5,1262.5,0.915,692.5
480000,0.505,-1120.0,0.94,197.5
488000,0.44,142.5,0.92,1272.5
496000,0.47,1100.0,0.93,722.5
504000,0.43,872.5,0.915,592.5
512000,0.505,1180.0,0.955,847.5
520000,0.385,550.0,0.93,772.5
528000,0.375,-307.5,0.895,690.0
536000,0.525,795.0,0.905,1230.0
544000,0.415,-840.0,0.88,1100.0
552000,0.425,507.49999999999994,0.91,707.5
560000,0.51,-505.0,0.935,822.5
568000,0.41,-305.0,0.925,1180.0
576000,0.505,-45.0,0.94,2297.5
584000,0.53,775.0,0.95,1242.5
592000,0.37,-135.0,0.875,1175.0
600000,0.43,60.0,0.94,1785.0
608000,0.535,-1372.5,0.92,662.5
616000,0.475,-322.5,0.92,940.0
624000,0.46,590.0,0.93,985.0
632000,0.42,-1050.0,0.885,662.5
640000,0.47,-972.5,0.93,1777.5
648000,0.52,867.5,0.905,312.5
656000,0.425,-1297.5,0.91,782.5
664000,0.51,1282.5,0.915,1135.0
672000,0.49,300.0,0.935,715.0
680000,0.49,257.5,0.94,2260.0
688000,0.455,307.5,0.92,202.5
696000,0.455,415.0,0.945,1327.5
704000,0.535,-585.0,0.88,1022.5
712000,0.43,452.5,0.9,1175.0
720000,0.46,-955.0,0.94,315.0
728000,0.51,175.0,0.935,777.5
736000,0.44,-572.5,0.92,720.0
744000,0.435,132.5,0.915,845.0
752000,0.405,635.0,0.91,575.0
760000,0.495,-92.5,0.915,1265.0
768000,0.51,215.0,0.96,1342.5
776000,0.5,182.5,0.9,752.5
784000,0.43,1622.5,0.925,630.0
792000,0.42,-802.5,0.945,917.5
800000,0.555,1295.0,0.94,857.5
808000,0.435,-1225.0,0.915,715.0
816000,0.415,10.0,0.9,590.0
824000,0.405,-530.0,0.875,1105.0
832000,0.475,-77.5,0.895,1140.0
840000,0.49,165.0,0.925,1270.0
848000,0.405,637.5,0.9,615.0
856000,0.41,140.0,0.905,1182.5
864000,0.445,-1657.5,0.915,187.5
872000,0.46,-307.5,0.89,695.0
880000,0.41,180.0,0.9,682.5
888000,0.515,-187.5,0.915,1185.0
896000,0.445,732.5,0.905,692.5
904000,0.415,-1187.5,0.94,2255.0
912000,0.45,-715.0,0.935,735.0
920000,0.475,797.5,0.93,1425.0
