episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
8000,0.595,1737.5,0.925,-1145.0
16000,0.465,4225.0,0.94,2642.5
24000,0.445,2750.0,0.95,780.0
32000,0.46,875.0,0.955,67.5
40000,0.47,2550.0,0.9,1692.5
48000,0.505,3342.5,0.925,1275.0
56000,0.415,-580.0,0.91,1287.5
64000,0.435,-237.5,0.925,805.0
72000,0.525,1017.5000000000001,0.91,167.5
80000,0.41,-362.5,0.88,725.0
88000,0.44,1725.0,0.925,840.0
96000,0.46,527.5,0.925,222.5
104000,0.505,-640.0,0.91,717.5
112000,0.475,2762.5,0.895,1192.5
120000,0.54,3020.0,0.9,1727.5
128000,0.48,1280.0,0.935,747.5
136000,0.45,-255.0,0.92,1345.0
144000,0.535,-3140.0,0.905,-3280.0
152000,0.5,677.5,0.895,212.5
160000,0.425,-382.5,0.95,1405.0
168000,0.47,1765.0,0.93,710.0
176000,0.465,17.5,0.935,282.5
184000,0.445,-610.0,0.93,637.5
192000,0.47,1192.5,0.95,1552.5
200000,0.47,1717.5,0.94,845.0
208000,0.49,-62.5,0.92,2112.5
216000,0.48,-572.5,0.92,420.0
224000,0.53,1465.0,0.92,1245.0
232000,0.56,2370.0,0.925,80.0
240000,0.44,-537.5,0.925,1325.0
248000,0.515,862.5,0.895,702.5
256000,0.485,1740.0,0.935,855.0
264000,0.43,787.5,0.93,845.0
272000,0.485,-247.5,0.945,415.0
280000,0.43,-2472.5,0.915,237.5
288000,0.48,835.0,0.935,805.0
296000,0.43,-650.0,0.955,1280.0
304000,0.485,525.0,0.935,1750.0
312000,0.5,505.0,0.935,810.0
320000,0.5,3202.5,0.96,852.5
328000,0.44,-920.0,0.955,1320.0
336000,0.475,2240.0,0.935,1850.0
344000,0.465,-1207.5,0.94,1347.5
352000,0.47,-72.5,0.96,2015.0000000000002
360000,0.425,-980.0,0.93,285.0
368000,0.42,-892.5,0.945,1790.0
376000,0.455,535.0,0.92,722.5
384000,0.455,-72.5,0.95,1332.5
392000,0.455,-1207.5,0.94,1475.0
400000,0.485,695.0,0.915,590.0
408000,0.48,595.0,0.935,1200.0
416000,0.525,2880.0,0.91,1317.5
424000,0.495,2070.0,0.955,1765.0
432000,0.43,860.0,0.945,-160.0
440000,0.485,415.0,0.96,870.0
448000,0.405,-675.0,0.915,-242.5
456000,0.445,-702.5,0.93,847.5
464000,0.49,1355.0,0.945,807.5
472000,0.46,-807.5,0.935,335.0
480000,0.435,-372.5,0.92,572.5
488000,0.49,2720.0,0.95,2340.0
496000,0.47,852.5,0.92,1720.0
504000,0.46,1092.5,0.96,1845.0
512000,0.45,225.0,0.95,1245.0
520000,0.54,1330.0,0.905,675.0
528000,0.435,-760.0,0.935,1267.5
536000,0.56,1025.0,0.94,1415.0
544000,0.43,-1075.0,0.92,247.5
552000,0.415,620.0,0.94,270.0
560000,0.47,-2102.5,0.935,755.0
568000,0.525,105.0,0.945,810.0
576000,0.45,-1117.5,0.93,787.5
584000,0.5,-542.5,0.9,-302.5
592000,0.41,352.5,0.89,25.0
600000,0.525,1245.0,0.915,1260.0
608000,0.505,1215.0,0.945,1262.5
616000,0.43,512.5,0.9,1707.5
624000,0.445,222.5,0.935,1220.0
632000,0.465,-95.0,0.94,1795.0
640000,0.45,-500.0,0.97,945.0
648000,0.475,-585.0,0.895,765.0
656000,0.5,820.0,0.955,1332.5
664000,0.515,-40.0,0.905,755.0
672000,0.45,1387.5,0.94,1782.5
680000,0.53,-387.5,0.92,770.0
688000,0.455,-85.0,0.955,1402.5
696000,0.435,-700.0,0.95,855.0
704000,0.445,-947.5,0.95,805.0
712000,0.5,1762.5,0.93,1390.0
720000,0.475,1072.5,0.895,520.0
728000,0.455,-217.5,0.89,122.5
736000,0.44,985.0,0.935,530.0
744000,0.395,-737.5,0.935,762.5
752000,0.48,-245.0,0.91,242.5
760000,0.445,-617.5,0.94,795.0
768000,0.45,-147.5,0.92,430.0
776000,0.465,-665.0,0.93,1200.0
784000,0.475,-367.5,0.935,752.5
792000,0.505,-535.0,0.94,1337.5
800000,0.425,-427.5,0.92,705.0
808000,0.435,300.0,0.91,732.5
816000,0.45,175.0,0.925,785.0
824000,0.44,-267.5,0.93,260.0
832000,0.38,-1155.0,0.925,1705.0
840000,0.4,-982.5,0.93,830.0
848000,0.485,-555.0,0.94,775.0
856000,0.455,-667.5,0.93,1280.0
864000,0.445,-95.0,0.895,642.5
872000,0.425,-1620.0,0.925,230.0
880000,0.465,-330.0,0.905,1165.0
888000,0.5,-160.0,0.91,702.5
896000,0.545,645.0,0.945,1237.5
904000,0.455,-1572.5,0.91,727.5
912000,0.435,-1600.0,0.96,930.0
920000,0.425,-852.5,0.93,1262.5
928000,0.49,-760.0,0.92,857.5
936000,0.45,1222.5,0.935,822.5
944000,0.5,395.0,0.91,752.5
952000,0.43,-325.0,0.945,1285.0
960000,0.465,95.0,0.955,927.5
968000,0.4,-672.5,0.885,640.0
976000,0.495,-105.0,0.93,815.0
984000,0.495,315.0,0.94,792.5
992000,0.455,-152.5,0.94,807.5
1000000,0.455,-562.5,0.94,1337.5
1008000,0.405,520.0,0.945,1197.5
1016000,0.465,-80.0,0.885,675.0
1024000,0.42,842.5,0.945,862.5
1032000,0.44,-572.5,0.915,637.5
1040000,0.39,-132.5,0.95,922.5
1048000,0.445,-385.0,0.93,765.0
1056000,0.48,-142.5,0.92,657.5
1064000,0.355,-1047.5,0.9,175.0
1072000,0.465,-52.5,0.93,872.5
1080000,0.455,492.5,0.945,817.5
1088000,0.395,-1747.5,0.94,250.0
1096000,0.44,-632.5,0.9,702.5
1104000,0.49,-605.0,0.905,720.0
1112000,0.485,-165.0,0.91,235.0
1120000,0.42,-340.0,0.885,1075.0
1128000,0.415,-912.5,0.92,1252.5
1136000,0.425,777.5,0.905,1155.0
1144000,0.45,-682.5,0.945,910.0
1152000,0.405,-927.5,0.935,757.5
1160000,0.42,-815.0,0.915,207.5
1168000,0.44,-877.5,0.925,832.5
1176000,0.475,1045.0,0.935,1280.0
1184000,0.445,180.0,0.915,795.0
1192000,0.44,1362.5,0.92,715.0
1200000,0.44,-2352.5,0.93,825.0
1208000,0.455,197.5,0.905,-340.0
1216000,0.485,492.5,0.9,617.5
1224000,0.43,997.5,0.925,1277.5
1232000,0.47,-117.5,0.915,727.5
1240000,0.43,182.5,0.915,1237.5
1248000,0.51,192.5,0.905,912.5
1256000,0.45,-52.5,0.92,720.0
1264000,0.48,-157.5,0.925,782.5
1272000,0.445,-1625.0,0.92,1447.5
1280000,0.455,380.0,0.93,657.5
1288000,0.45,-1042.5,0.915,752.5
1296000,0.495,645.0,0.955,922.5
1304000,0.435,215.0,0.95,780.0
1312000,0.405,-1022.5,0.925,1285.0
1320000,0.43,-135.0,0.905,167.5
1328000,0.435,-885.0,0.91,720.0
1336000,0.44,905.0,0.93,795.0
1344000,0.455,130.0,0.91,1222.5
1352000,0.46,-90.0,0.925,697.5
1360000,0.395,625.0,0.93,822.5
1368000,0.455,197.5,0.92,687.5
1376000,0.47,682.5,0.95,332.5
1384000,0.425,1210.0,0.865,930.0
1392000,0.475,-452.5,0.93,870.0
1400000,0.45,-1092.5,0.915,1140.0
1408000,0.46,-825.0,0.94,760.0
1416000,0.44,1177.5,0.905,597.5
1424000,0.47,-510.0,0.94,812.5
1432000,0.47,952.5,0.94,360.0
1440000,0.51,-615.0,0.93,695.0
1448000,0.41,237.5,0.92,1775.0
1456000,0.375,-1062.5,0.92,1177.5
1464000,0.52,-712.5,0.95,1872.5
1472000,0.465,340.0,0.92,770.0
1480000,0.455,45.0,0.945,1375.0
1488000,0.41,-205.0,0.94,815.0
1496000,0.475,-242.5,0.925,740.0
1504000,0.455,-472.5,0.895,677.5
1512000,0.41,-445.0,0.925,700.0
1520000,0.465,-340.0,0.915,772.5
1528000,0.415,122.5,0.925,1357.5
1536000,0.45,-70.0,0.915,637.5
1544000,0.445,-592.5,0.905,897.5
1552000,0.395,-380.0,0.93,782.5
1560000,0.385,-257.5,0.925,1270.0
1568000,0.4,-302.5,0.91,1192.5
1576000,0.435,740.0,0.945,805.0
1584000,0.39,380.0,0.92,1230.0
1592000,0.395,-252.5,0.905,1137.5
1600000,0.46,970.0,0.87,522.5
1608000,0.495,-17.5,0.95,787.5
1616000,0.445,-192.5,0.915,765.0
1624000,0.39,-855.0,0.935,837.5
1632000,0.375,-845.0,0.93,1260.0
1640000,0.44,-677.5,0.895,647.5
1648000,0.43,-270.0,0.955,952.5
1656000,0.375,22.5,0.95,767.5
1664000,0.47,-162.5,0.93,802.5
1672000,0.47,-677.5,0.935,1720.0
1680000,0.5,-525.0,0.945,795.0
1688000,0.43,-762.5,0.92,715.0
1696000,0.425,-657.5,0.915,632.5
1704000,0.42,-757.5,0.895,622.5
1712000,0.455,-570.0,0.91,692.5
1720000,0.455,-92.5,0.885,1090.0
1728000,0.395,-722.5,0.885,647.5
