episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
8000,0.315,392.5,0.475,270.0
16000,0.25,-1495.0,0.44,-295.0
24000,0.28,2372.5,0.47,47.5
32000,0.235,1062.5,0.475,110.0
40000,0.225,337.5,0.46,390.0
48000,0.28,-317.5,0.48,620.0
56000,0.26,355.0,0.47,-545.0
64000,0.33,2285.0,0.49,1045.0
72000,0.26,-970.0,0.455,602.5
80000,0.2,-1187.5,0.45,947.5
88000,0.245,-897.5,0.475,40.0
96000,0.28,1682.5,0.465,140.0
104000,0.275,185.0,0.485,600.0
112000,0.305,2645.0,0.45,-425.0
120000,0.33,847.5,0.465,-955.0
128000,0.31,3237.5,0.45,835.0
136000,0.265,-535.0,0.475,607.5
144000,0.265,722.5,0.465,110.0
152000,0.26,-1155.0,0.475,105.0
160000,0.295,965.0,0.465,7.5
168000,0.245,585.0,0.465,487.5
176000,0.29,985.0,0.475,50.0
184000,0.34,1702.5,0.475,-20.0
192000,0.28,70.0,0.48,255.0
200000,0.24,-677.5,0.465,572.5
208000,0.27,-532.5,0.495,705.0
216000,0.26,-300.0,0.485,77.5
224000,0.255,1162.5,0.47,160.0
232000,0.31,1302.5,0.48,205.0
240000,0.2,-652.5,0.455,100.0
248000,0.27,-635.0,0.455,57.5
256000,0.205,-662.5,0.44,-82.5
264000,0.24,-580.0,0.415,-582.5
272000,0.225,-1242.5,0.46,30.0
280000,0.27,40.0,0.485,730.0
288000,0.28,-925.0,0.455,45.0
296000,0.25,-465.0,0.485,1215.0
304000,0.305,2627.5,0.47,167.5
312000,0.27,822.5,0.47,97.5
320000,0.275,-730.0,0.46,167.5
328000,0.31,1322.5,0.455,450.0
336000,0.25,700.0,0.47,202.5
344000,0.27,275.0,0.455,-370.0
352000,0.265,387.5,0.46,317.5
360000,0.22,-127.5,0.46,-45.0
368000,0.275,-500.0,0.48,147.5
376000,0.31,557.5,0.455,12.5
384000,0.27,600.0,0.485,272.5
392000,0.275,-195.0,0.47,115.0
400000,0.3,620.0,0.46,-50.0
408000,0.25,82.5,0.465,117.5
416000,0.26,-1240.0,0.46,-167.5
424000,0.35,150.0,0.495,652.5
432000,0.305,1442.5,0.47,192.5
440000,0.255,1527.5,0.465,57.5
448000,0.295,-207.5,0.465,55.0
456000,0.255,-530.0,0.455,15.0
464000,0.265,1935.0,0.49,125.0
472000,0.22,-705.0,0.46,-35.0
480000,0.24,-630.0,0.46,-360.0
488000,0.2,437.5,0.44,10.0
496000,0.235,-627.5,0.455,-382.5
504000,0.275,550.0,0.475,1042.5
512000,0.27,775.0,0.45,547.5
520000,0.26,395.0,0.49,652.5
528000,0.235,-95.0,0.465,462.5
536000,0.275,-92.5,0.465,-15.0
544000,0.255,-132.5,0.465,-110.0
552000,0.27,457.5,0.465,40.0
560000,0.3,-1425.0,0.46,22.5
568000,0.31,-17.5,0.48,175.0
576000,0.3,2840.0,0.48,77.5
584000,0.31,1975.0,0.465,-12.5
592000,0.345,442.5,0.475,-30.0
600000,0.29,1330.0,0.465,52.5
608000,0.215,-550.0,0.42,395.0
616000,0.31,1042.5,0.45,20.0
624000,0.31,52.5,0.48,-1327.5
632000,0.305,1597.5,0.47,-390.0
640000,0.285,735.0,0.485,130.0
648000,0.285,1250.0,0.475,1095.0
656000,0.245,-530.0,0.455,-52.5
664000,0.275,580.0,0.465,37.5
672000,0.215,-940.0,0.47,570.0
680000,0.255,55.0,0.465,587.5
688000,0.3,-1317.5,0.46,-185.0
696000,0.255,-2675.0,0.48,627.5
704000,0.19,-1235.0,0.475,-15.0
712000,0.195,-742.5,0.48,185.0
720000,0.29,-1035.0,0.45,465.0
728000,0.28,957.5,0.485,207.5
736000,0.24,-555.0,0.44,-57.5
744000,0.245,-110.0,0.47,172.5
752000,0.245,-1050.0,0.46,15.0
760000,0.315,2552.5,0.49,262.5
768000,0.235,47.5,0.465,155.0
776000,0.305,-470.0,0.465,-15.0
784000,0.325,1910.0,0.485,152.5
792000,0.28,635.0,0.45,-20.0
800000,0.275,-537.5,0.485,597.5
808000,0.23,-542.5,0.46,85.0
816000,0.265,-380.0,0.455,565.0
824000,0.225,-657.5,0.455,62.5
832000,0.25,-462.5,0.475,652.5
840000,0.26,-652.5,0.465,72.5
848000,0.265,1560.0,0.44,-50.0
856000,0.23,442.5,0.44,35.0
864000,0.2,-582.5,0.45,-515.0
872000,0.26,412.5,0.465,-30.0
880000,0.27,157.5,0.455,-590.0
888000,0.245,-505.0,0.475,20.0
896000,0.285,-185.0,0.47,137.5
904000,0.265,-375.0,0.465,945.0
912000,0.275,1280.0,0.47,92.5
920000,0.235,-647.5,0.475,617.5
928000,0.275,290.0,0.475,105.0
936000,0.27,-237.5,0.455,35.0
944000,0.3,-670.0,0.47,47.5
952000,0.32,2637.5,0.485,642.5
960000,0.26,2522.5,0.495,657.5
968000,0.23,-450.0,0.46,-25.0
976000,0.265,1210.0,0.465,135.0
984000,0.26,65.0,0.475,-32.5
992000,0.245,-1617.5,0.47,117.5
1000000,0.25,-3227.5,0.46,0.0
1008000,0.28,-505.0,0.48,130.0
1016000,0.195,-650.0,0.445,67.5
1024000,0.265,225.0,0.46,585.0
1032000,0.28,1607.5,0.465,-480.0
1040000,0.265,-430.0,0.46,112.5
1048000,0.255,-1085.0,0.46,20.0
1056000,0.26,70.0,0.44,0.0
1064000,0.295,677.5,0.465,152.5
1072000,0.215,-687.5,0.455,-87.5
1080000,0.245,-640.0,0.47,107.5
1088000,0.3,527.5,0.445,492.5
1096000,0.195,-857.5,0.46,-5.0
1104000,0.25,-492.5,0.47,55.0
1112000,0.2,-285.0,0.46,35.0
1120000,0.285,-307.5,0.46,80.0
1128000,0.23,-477.5,0.47,117.5
1136000,0.26,-710.0,0.455,-37.5
1144000,0.345,1847.5,0.48,80.0
1152000,0.33,-60.0,0.48,610.0
1160000,0.32,4960.0,0.445,-10.0
1168000,0.22,692.5,0.485,232.5
1176000,0.315,1787.5,0.47,602.5
1184000,0.29,-2002.5,0.485,90.0
1192000,0.32,3820.0,0.45,357.5
1200000,0.265,1180.0,0.475,72.5
1208000,0.27,-127.5,0.465,502.49999999999994
1216000,0.28,167.5,0.455,-30.0
1224000,0.3,-192.5,0.455,75.0
1232000,0.285,-347.5,0.45,560.0
1240000,0.24,-95.0,0.46,77.5
1248000,0.21,-710.0,0.445,987.5
1256000,0.27,892.5,0.46,537.5
1264000,0.225,-332.5,0.475,112.5
1272000,0.24,-615.0,0.45,-35.0
1280000,0.24,-715.0,0.45,-47.5
1288000,0.24,-1172.5,0.47,540.0
1296000,0.23,-560.0,0.44,-47.5
1304000,0.27,1917.5,0.465,15.0
1312000,0.255,-510.0,0.455,-5.0
1320000,0.24,380.0,0.465,125.0
1328000,0.26,-370.0,0.455,17.5
1336000,0.22,-182.5,0.465,47.5
1344000,0.26,-345.0,0.465,7.5
1352000,0.235,-637.5,0.475,70.0
1360000,0.28,-410.0,0.465,97.5
1368000,0.225,-995.0,0.46,-42.5
1376000,0.275,-1650.0,0.49,85.0
1384000,0.26,-507.49999999999994,0.485,142.5
1392000,0.28,-545.0,0.465,52.5
1400000,0.26,-627.5,0.44,-42.5
1408000,0.265,195.0,0.44,-130.0
1416000,0.31,1205.0,0.45,-30.0
1424000,0.26,-1627.5,0.48,265.0
1432000,0.215,-822.5,0.46,17.5
1440000,0.28,267.5,0.465,45.0
1448000,0.305,-350.0,0.475,130.0
1456000,0.21,-627.5,0.48,562.5
1464000,0.27,-445.0,0.47,105.0
1472000,0.22,-580.0,0.455,610.0
1480000,0.29,-800.0,0.45,-82.5
1488000,0.295,132.5,0.465,10.0
1496000,0.285,-1170.0,0.465,587.5
1504000,0.235,-715.0,0.47,82.5
1512000,0.18,-2355.0,0.46,27.5
1520000,0.255,-657.5,0.48,42.5
1528000,0.23,-82.5,0.47,35.0
1536000,0.26,-425.0,0.475,32.5
1544000,0.235,-555.0,0.46,30.0
1552000,0.22,-542.5,0.47,647.5
1560000,0.265,-477.5,0.43,442.5
1568000,0.25,-467.5,0.46,542.5
1576000,0.23,-1482.5,0.445,-17.5
1584000,0.24,1327.5,0.43,-610.0
1592000,0.26,-1340.0,0.465,20.0
1600000,0.235,1060.0,0.455,-5.0
1608000,0.22,-565.0,0.45,10.0
1616000,0.255,15.0,0.445,35.0
1624000,0.225,442.5,0.47,117.5
1632000,0.265,-415.0,0.46,-437.5
1640000,0.215,-200.0,0.44,-30.0
1648000,0.23,-692.5,0.455,-5.0
1656000,0.255,-447.5,0.455,-80.0
1664000,0.265,187.5,0.455,10.0
1672000,0.28,-415.0,0.47,100.0
1680000,0.26,-452.5,0.475,67.5
1688000,0.24,-597.5,0.465,52.5
1696000,0.255,-410.0,0.465,-2.5
1704000,0.21,-1740.0,0.49,170.0
1712000,0.285,-1955.0,0.47,542.5
1720000,0.235,-600.0,0.45,20.0
1728000,0.285,-387.5,0.46,60.0
1736000,0.235,-507.49999999999994,0.445,72.5
1744000,0.23,-315.0,0.475,665.0
1752000,0.275,-442.5,0.465,7.5
1760000,0.3,642.5,0.46,77.5
1768000,0.275,32.5,0.48,35.0
1776000,0.215,-542.5,0.455,67.5
1784000,0.265,25.0,0.48,57.5
1792000,0.25,-455.0,0.445,985.0
1800000,0.195,-710.0,0.465,120.0
1808000,0.26,-827.5,0.48,637.5
1816000,0.215,-587.5,0.455,637.5
1824000,0.27,-1170.0,0.47,82.5
1832000,0.22,-10.0,0.475,50.0
1840000,0.27,-1227.5,0.48,165.0
1848000,0.27,-410.0,0.46,60.0
1856000,0.295,-285.0,0.47,40.0
1864000,0.25,-370.0,0.455,115.0
1872000,0.28,-387.5,0.45,-37.5
1880000,0.27,-400.0,0.435,-592.5
1888000,0.245,35.0,0.48,602.5
1896000,0.29,462.5,0.46,-10.0
1904000,0.305,-330.0,0.485,122.5
1912000,0.24,-460.0,0.465,60.0
1920000,0.24,-480.0,0.45,32.5
1928000,0.24,-515.0,0.46,545.0
