episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
8000,0.555,5680.0,0.95,1357.5
16000,0.595,3252.5,0.94,1510.0
24000,0.525,250.0,0.925,820.0
32000,0.54,750.0,0.925,2032.5000000000002
40000,0.49,1485.0,0.92,7.5
48000,0.485,1945.0,0.97,485.0
56000,0.57,410.0,0.935,775.0
64000,0.48,540.0,0.955,1767.5
72000,0.59,2755.0,0.915,267.5
80000,0.485,705.0,0.93,870.0
88000,0.475,1505.0,0.88,1587.5
96000,0.46,-1455.0,0.89,837.5
104000,0.46,865.0,0.965,1522.5
112000,0.485,-770.0,0.915,180.0
120000,0.44,-320.0,0.93,470.0
128000,0.44,-135.0,0.965,1930.0
136000,0.45,-1660.0,0.92,2252.5
144000,0.535,2352.5,0.93,1755.0
152000,0.475,-600.0,0.92,1260.0
160000,0.49,2062.5,0.93,855.0
168000,0.505,285.0,0.925,792.5
176000,0.485,-2290.0,0.925,722.5
184000,0.5,1762.5,0.94,1387.5
192000,0.47,-835.0,0.975,1060.0
200000,0.6,2267.5,0.945,1315.0
208000,0.49,-1177.5,0.925,815.0
216000,0.48,-392.5,0.91,912.5
224000,0.545,-297.5,0.955,922.5
232000,0.53,150.0,0.94,852.5
240000,0.455,-2600.0,0.905,887.5
248000,0.43,2715.0,0.91,697.5
256000,0.485,1275.0,0.95,840.0
264000,0.485,-2107.5,0.955,1130.0
272000,0.5,-42.5,0.92,717.5
280000,0.46,2307.5,0.875,907.5
288000,0.47,-1252.5,0.945,770.0
296000,0.555,2762.5,0.935,1315.0
304000,0.57,47.5,0.895,370.0
312000,0.57,-330.0,0.92,-205.0
320000,0.515,1950.0,0.9,605.0
328000,0.505,-947.5,0.92,1290.0
336000,0.48,377.5,0.935,1270.0
344000,0.465,-615.0,0.95,820.0
352000,0.47,1037.5,0.92,752.5
360000,0.54,1892.5,0.945,1735.0
368000,0.49,-17.5,0.915,1152.5
376000,0.47,2177.5,0.93,1332.5
384000,0.46,1220.0,0.935,45.0
392000,0.495,-412.5,0.93,1247.5
400000,0.53,-710.0,0.885,1600.0
408000,0.52,20.0,0.925,722.5
416000,0.535,1742.5,0.94,1280.0
424000,0.495,660.0,0.9,260.0
432000,0.47,-1995.0,0.955,1525.0
440000,0.435,465.0,0.935,1712.5
448000,0.49,2302.5,0.935,1380.0
456000,0.5,520.0,0.925,750.0
464000,0.5,1590.0,0.95,857.5
472000,0.48,1575.0,0.9,637.5
480000,0.535,4059.9999999999995,0.92,725.0
488000,0.48,-652.5,0.91,1250.0
496000,0.45,802.5,0.9,155.0
504000,0.495,-707.5,0.945,802.5
512000,0.485,-860.0,0.915,642.5
520000,0.475,-1455.0,0.915,1270.0
528000,0.42,817.5,0.945,785.0
536000,0.51,-2355.0,0.905,765.0
544000,0.56,812.5,0.935,837.5
552000,0.505,-757.5,0.95,1467.5
560000,0.445,777.5,0.945,1485.0
568000,0.505,-902.5,0.925,-217.5
576000,0.425,2045.0,0.96,925.0
584000,0.48,1350.0,0.97,335.0
592000,0.49,3362.5,0.93,767.5
600000,0.5,-1707.5,0.905,620.0
608000,0.42,575.0,0.915,675.0
616000,0.465,-955.0,0.925,-145.0
624000,0.5,3560.0,0.93,1212.5
632000,0.46,-1905.0,0.93,327.5
640000,0.445,-867.5,0.92,752.5
648000,0.475,-275.0,0.94,1927.5
656000,0.52,-2067.5,0.925,1177.5
664000,0.495,882.5,0.955,832.5
672000,0.52,392.5,0.95,1185.0
680000,0.565,57.5,0.925,795.0
688000,0.54,1850.0,0.925,-1177.5
696000,0.46,507.49999999999994,0.965,1367.5
704000,0.475,1632.5,0.94,420.0
712000,0.5,112.5,0.91,635.0
720000,0.445,-1887.5,0.91,595.0
728000,0.515,-247.5,0.94,830.0
736000,0.515,1527.5,0.95,1307.5
744000,0.53,2237.5,0.895,562.5
752000,0.455,462.5,0.9,1127.5
760000,0.5,372.5,0.935,1360.0
768000,0.435,-657.5,0.92,687.5
776000,0.52,-565.0,0.895,1745.0
784000,0.455,2317.5,0.91,1660.0
792000,0.505,787.5,0.935,772.5
800000,0.49,40.0,0.92,1180.0
808000,0.475,-520.0,0.925,1365.0
816000,0.515,-1857.5,0.95,1800.0
824000,0.47,-1365.0,0.945,1802.5
832000,0.445,-1677.5,0.925,767.5
840000,0.465,760.0,0.92,670.0
848000,0.545,-1275.0,0.915,692.5
856000,0.505,27.5,0.925,695.0
864000,0.465,-1105.0,0.925,795.0
872000,0.51,77.5,0.95,910.0
880000,0.455,1285.0,0.93,975.0
888000,0.47,-475.0,0.91,362.5
896000,0.445,-1602.5,0.905,1147.5
904000,0.48,-1075.0,0.915,742.5
912000,0.46,-932.5,0.91,767.5
920000,0.465,-612.5,0.945,777.5
928000,0.455,-250.0,0.935,1830.0
936000,0.475,-117.5,0.915,710.0
944000,0.5,1515.0,0.94,792.5
952000,0.455,-2017.5,0.95,875.0
960000,0.45,862.5,0.92,672.5
968000,0.495,-337.5,0.935,1725.0
976000,0.495,-992.5,0.905,1130.0
984000,0.56,810.0,0.94,837.5
992000,0.49,607.5,0.935,1262.5
1000000,0.53,-842.5,0.89,120.0
1008000,0.48,1387.5,0.935,827.5
1016000,0.515,-680.0,0.92,1710.0
1024000,0.49,1877.5,0.89,650.0
1032000,0.455,-1250.0,0.935,832.5
1040000,0.435,-3770.0,0.93,735.0
1048000,0.49,-420.0,0.865,1095.0
1056000,0.415,845.0,0.93,742.5
1064000,0.44,-77.5,0.945,755.0
1072000,0.46,-237.5,0.955,1375.0
1080000,0.405,-722.5,0.94,805.0
1088000,0.535,-777.5,0.915,1265.0
1096000,0.45,1285.0,0.93,755.0
1104000,0.53,512.5,0.94,745.0
1112000,0.46,1535.0,0.905,667.5
1120000,0.56,-327.5,0.91,727.5
1128000,0.49,-952.5,0.92,750.0
1136000,0.48,-1980.0,0.945,792.5
1144000,0.465,-162.5,0.945,1400.0
1152000,0.51,-3517.5,0.915,655.0
1160000,0.44,-647.5,0.885,652.5
1168000,0.44,-190.0,0.945,1322.5
1176000,0.475,447.5,0.92,737.5
1184000,0.46,1670.0,0.945,1275.0
1192000,0.39,-295.0,0.93,1350.0
1200000,0.495,-2760.0,0.925,677.5
1208000,0.465,-1272.5,0.9,695.0
1216000,0.47,-762.5,0.92,632.5
1224000,0.46,2965.0,0.885,532.5
1232000,0.5,30.0,0.95,782.5
1240000,0.465,-1390.0,0.915,1270.0
1248000,0.45,-1300.0,0.915,720.0
1256000,0.48,-1060.0,0.935,795.0
1264000,0.375,-897.5,0.92,745.0
1272000,0.45,-617.5,0.93,785.0
1280000,0.37,-272.5,0.905,1285.0
1288000,0.455,-2917.5,0.96,870.0
1296000,0.43,-2107.5,0.925,755.0
1304000,0.48,-722.5,0.945,955.0
1312000,0.47,-1852.5,0.93,910.0
1320000,0.415,-2645.0,0.9,730.0
1328000,0.49,-1620.0,0.915,675.0
1336000,0.455,-3965.0,0.955,877.5
1344000,0.385,-3767.5,0.95,765.0
1352000,0.43,-1030.0,0.925,1295.0
1360000,0.505,2412.5,0.92,765.0
1368000,0.5,-2355.0,0.91,815.0
1376000,0.555,-812.5,0.92,725.0
1384000,0.465,-22.5,0.92,835.0
1392000,0.5,1072.5,0.92,897.5
1400000,0.42,-660.0,0.925,782.5
1408000,0.45,1865.0,0.955,860.0
1416000,0.45,1417.5,0.92,782.5
1424000,0.455,-57.5,0.92,632.5
1432000,0.425,-1612.5,0.915,790.0
1440000,0.535,130.0,0.93,770.0
1448000,0.5,1045.0,0.925,730.0
1456000,0.47,272.5,0.92,762.5
1464000,0.45,-455.0,0.94,800.0
1472000,0.47,-2400.0,0.935,1300.0
1480000,0.46,922.5,0.925,770.0
1488000,0.45,-2072.5,0.91,637.5
1496000,0.465,1835.0,0.885,675.0
1504000,0.46,1967.5,0.94,835.0
1512000,0.505,1062.5,0.935,810.0
1520000,0.435,332.5,0.925,772.5
1528000,0.505,-1387.5,0.925,860.0
1536000,0.455,-2000.0,0.925,692.5
1544000,0.48,-472.5,0.955,805.0
1552000,0.515,460.0,0.94,800.0
1560000,0.46,-1505.0,0.925,780.0
1568000,0.47,52.5,0.93,1195.0
1576000,0.495,562.5,0.95,805.0
1584000,0.475,-937.5,0.93,722.5
1592000,0.45,-992.5,0.895,622.5
1600000,0.505,1632.5,0.935,837.5
1608000,0.38,-3270.0,0.9,620.0
1616000,0.495,1062.5,0.905,700.0
1624000,0.45,-2490.0,0.92,715.0
1632000,0.425,-1612.5,0.87,635.0
1640000,0.54,200.0,0.965,1422.5
1648000,0.49,540.0,0.955,850.0
1656000,0.505,705.0,0.895,682.5
1664000,0.485,1000.0,0.915,682.5
1672000,0.41,-2177.5,0.93,815.0
1680000,0.49,-2357.5,0.91,797.5
1688000,0.47,-992.5,0.935,230.0
1696000,0.49,-1050.0,0.955,800.0
1704000,0.425,-2102.5,0.905,220.0
1712000,0.425,1152.5,0.94,837.5
1720000,0.41,-1620.0,0.895,1202.5
1728000,0.435,-92.5,0.93,675.0
1736000,0.44,1435.0,0.925,895.0
1744000,0.44,1452.5,0.905,1170.0
1752000,0.43,-1092.5,0.94,752.5
1760000,0.435,-1567.5,0.93,745.0
1768000,0.43,-192.5,0.945,1295.0
1776000,0.5,532.5,0.9,672.5
1784000,0.495,80.0,0.925,722.5
1792000,0.48,-2547.5,0.94,825.0
1800000,0.58,2305.0,0.915,725.0
1808000,0.43,1942.5,0.945,1467.5
1816000,0.445,-77.5,0.95,1322.5
1824000,0.535,-1300.0,0.945,870.0
1832000,0.445,-1555.0,0.92,755.0
1840000,0.455,-90.0,0.965,1452.5
1848000,0.44,-615.0,0.925,777.5
1856000,0.465,-492.5,0.935,767.5
1864000,0.475,-17.5,0.93,782.5
1872000,0.44,-2082.5,0.945,795.0
1880000,0.49,1152.5,0.925,720.0
1888000,0.485,-347.5,0.96,822.5
1896000,0.46,-1382.5,0.925,740.0
1904000,0.49,1077.5,0.93,697.5
1912000,0.525,707.5,0.955,887.5
1920000,0.465,-1462.5,0.93,1247.5
1928000,0.465,-785.0,0.925,712.5
1936000,0.475,2092.5,0.975,875.0
1944000,0.545,2212.5,0.94,775.0
1952000,0.45,-125.0,0.915,1252.5
1960000,0.465,-2380.0,0.95,770.0
1968000,0.48,-1402.5,0.915,762.5
1976000,0.59,380.0,0.905,690.0
1984000,0.45,497.5,0.91,655.0
1992000,0.47,7.5,0.905,1197.5
2000000,0.51,-265.0,0.895,632.5
