episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
8000,0.46,5095.0,0.785,-520.0
16000,0.415,-82.5,0.785,-842.5
24000,0.345,-730.0,0.665,295.0
32000,0.42,2300.0,0.825,-385.0
40000,0.355,70.0,0.75,855.0
48000,0.35,435.0,0.565,1407.5
56000,0.285,790.0,0.575,845.0
64000,0.395,-47.5,0.84,512.5
72000,0.275,1452.5,0.505,1002.5
80000,0.305,1330.0,0.54,585.0
88000,0.36,1500.0,0.645,690.0
96000,0.39,2082.5,0.82,-1877.5
104000,0.43,57.5,0.785,-450.0
112000,0.285,-67.5,0.5,-50.0
120000,0.26,532.5,0.55,2172.5
128000,0.26,25.0,0.51,607.5
136000,0.37,1775.0,0.625,-1270.0
144000,0.35,1622.5,0.615,310.0
152000,0.255,50.0,0.52,10.0
160000,0.42,1677.5,0.725,-697.5
168000,0.445,5535.0,0.755,935.0
176000,0.32,847.5,0.59,1125.0
184000,0.355,610.0,0.555,500.0
192000,0.37,2520.0,0.69,32.5
200000,0.26,270.0,0.51,-430.0
208000,0.345,-1082.5,0.69,360.0
216000,0.35,-1352.5,0.755,160.0
224000,0.295,-25.0,0.64,1190.0
232000,0.405,1510.0,0.69,697.5
240000,0.345,702.5,0.625,137.5
248000,0.41,1047.5,0.775,317.5
256000,0.295,95.0,0.61,255.0
264000,0.345,-110.0,0.69,292.5
272000,0.29,-217.5,0.56,170.0
280000,0.355,1402.5,0.56,542.5
288000,0.245,652.5,0.575,162.5
296000,0.405,-205.0,0.7,-130.0
304000,0.255,-440.0,0.46,-37.5
312000,0.265,-432.5,0.485,-960.0
320000,0.375,1135.0,0.785,42.5
328000,0.36,1715.0,0.58,2580.0
336000,0.285,665.0,0.585,712.5
344000,0.25,-760.0,0.465,-477.5
352000,0.365,1275.0,0.645,-757.5
360000,0.225,345.0,0.58,122.5
368000,0.21,-2692.5,0.49,32.5
376000,0.42,250.0,0.815,440.0
384000,0.23,67.5,0.465,-632.5
392000,0.295,-155.0,0.59,1010.0
400000,0.41,315.0,0.715,852.5
408000,0.31,10.0,0.57,597.5
416000,0.3,-32.5,0.585,127.5
424000,0.3,3185.0,0.505,-20.0
432000,0.315,-930.0,0.595,702.5
440000,0.36,-120.0,0.74,415.0
448000,0.32,1940.0,0.525,1157.5
456000,0.315,-2487.5,0.47,455.0
464000,0.285,140.0,0.585,235.0
472000,0.33,1722.5,0.56,217.5
480000,0.31,1047.5,0.6,1142.5
488000,0.325,-540.0,0.62,-175.0
496000,0.29,-57.5,0.605,182.5
504000,0.25,87.5,0.58,152.5
512000,0.235,1215.0,0.52,122.5
520000,0.35,47.5,0.605,1735.0
528000,0.295,447.5,0.52,605.0
536000,0.25,1167.5,0.475,497.5
544000,0.27,-610.0,0.59,212.5
552000,0.275,302.5,0.47,5.0
560000,0.295,45.0,0.485,-520.0
568000,0.28,1010.0,0.655,1290.0
576000,0.3,835.0,0.535,140.0
584000,0.265,60.0,0.56,7.5
592000,0.32,-520.0,0.62,150.0
600000,0.325,-1047.5,0.565,645.0
608000,0.275,-565.0,0.49,62.5
616000,0.25,-580.0,0.47,-430.0
624000,0.325,-1255.0,0.715,742.5
632000,0.26,-235.0,0.545,-380.0
640000,0.255,112.5,0.46,27.5
648000,0.33,247.5,0.66,712.5
656000,0.265,-62.5,0.52,-397.5
664000,0.29,-1700.0,0.53,542.5
672000,0.25,327.5,0.515,292.5
680000,0.3,1125.0,0.525,60.0
688000,0.295,87.5,0.485,-182.5
696000,0.24,-557.5,0.495,62.5
704000,0.3,57.5,0.585,-300.0
712000,0.28,-27.5,0.505,115.0
720000,0.245,-842.5,0.55,195.0
728000,0.285,22.5,0.64,225.0
736000,0.32,2035.0000000000002,0.595,797.5
744000,0.325,-465.0,0.52,1037.5
752000,0.29,112.5,0.485,10.0
760000,0.425,62.5,0.745,345.0
768000,0.335,-912.5,0.525,702.5
776000,0.265,-1257.5,0.54,-7.5
784000,0.26,-127.5,0.51,100.0
792000,0.215,-477.5,0.475,90.0
800000,0.355,1847.5,0.53,95.0
808000,0.215,-600.0,0.455,-95.0
816000,0.285,717.5,0.515,-47.5
824000,0.23,-590.0,0.495,-442.5
832000,0.3,907.5,0.545,-45.0
840000,0.245,-612.5,0.5,42.5
848000,0.23,-500.0,0.47,487.5
856000,0.245,-72.5,0.455,-57.5
864000,0.26,832.5,0.48,42.5
872000,0.21,-62.5,0.46,-15.0
880000,0.285,682.5,0.5,175.0
888000,0.25,480.0,0.505,590.0
896000,0.205,-565.0,0.475,40.0
904000,0.2,-230.0,0.455,-47.5
912000,0.23,-482.5,0.465,-5.0
920000,0.27,-490.0,0.49,162.5
928000,0.31,1410.0,0.545,587.5
936000,0.25,7.5,0.48,585.0
944000,0.31,717.5,0.65,222.5
952000,0.23,-722.5,0.46,-435.0
960000,0.25,-422.5,0.48,-35.0
968000,0.28,-442.5,0.535,175.0
976000,0.28,227.5,0.615,122.5
984000,0.29,1107.5,0.47,-180.0
992000,0.285,-367.5,0.445,-235.0
1000000,0.295,142.5,0.5,90.0
1008000,0.26,-235.0,0.5,575.0
1016000,0.26,-135.0,0.575,627.5
1024000,0.26,1195.0,0.515,52.5
1032000,0.29,-330.0,0.615,182.5
1040000,0.215,877.5,0.45,-27.5
1048000,0.21,-647.5,0.455,40.0
1056000,0.25,80.0,0.465,-87.5
1064000,0.255,-447.5,0.56,250.0
1072000,0.235,307.5,0.605,170.0
1080000,0.275,-330.0,0.425,40.0
1088000,0.275,525.0,0.59,175.0
1096000,0.24,562.5,0.475,7.5
1104000,0.265,-35.0,0.58,17.5
1112000,0.335,515.0,0.59,-397.5
1120000,0.285,-395.0,0.53,52.5
1128000,0.29,212.5,0.575,-295.0
1136000,0.24,205.0,0.46,417.5
1144000,0.265,597.5,0.47,-17.5
1152000,0.295,1127.5,0.525,-10.0
1160000,0.22,367.5,0.45,-520.0
1168000,0.24,-1075.0,0.585,172.5
1176000,0.24,-482.5,0.48,-52.5
1184000,0.275,-522.5,0.47,-442.5
1192000,0.27,202.5,0.44,-107.5
1200000,0.22,-552.5,0.435,-127.5
1208000,0.285,-522.5,0.585,-402.5
1216000,0.24,27.5,0.495,102.5
1224000,0.28,-400.0,0.46,-82.5
1232000,0.29,-365.0,0.49,-427.5
1240000,0.245,7.5,0.445,-25.0
1248000,0.275,-380.0,0.47,77.5
1256000,0.25,-542.5,0.51,40.0
1264000,0.225,52.5,0.44,-52.5
1272000,0.205,-612.5,0.465,-75.0
1280000,0.235,-490.0,0.44,507.49999999999994
1288000,0.255,-505.0,0.43,-55.0
1296000,0.285,-312.5,0.475,2.5
1304000,0.22,-15.0,0.465,977.5
1312000,0.28,17.5,0.55,155.0
1320000,0.275,-397.5,0.45,97.5
1328000,0.205,-75.0,0.445,-35.0
1336000,0.215,-552.5,0.46,-27.5
1344000,0.26,-355.0,0.455,532.5
1352000,0.25,-440.0,0.475,532.5
1360000,0.24,77.5,0.465,25.0
1368000,0.21,-997.5,0.44,-132.5
1376000,0.225,-537.5,0.455,-82.5
1384000,0.225,-492.5,0.465,-5.0
1392000,0.255,-340.0,0.47,60.0
1400000,0.225,22.5,0.485,10.0
1408000,0.265,-387.5,0.485,557.5
1416000,0.19,470.0,0.48,35.0
1424000,0.235,12.5,0.47,470.0
1432000,0.27,-367.5,0.485,0.0
1440000,0.34,-385.0,0.505,22.5
1448000,0.24,105.0,0.485,35.0
1456000,0.235,72.5,0.44,412.5
1464000,0.2,907.5,0.475,0.0
1472000,0.305,-310.0,0.455,-52.5
1480000,0.195,-562.5,0.46,-382.5
1488000,0.255,-385.0,0.455,-42.5
1496000,0.28,85.0,0.445,-1057.5
1504000,0.245,-367.5,0.445,-495.0
1512000,0.24,-437.5,0.455,-75.0
1520000,0.245,-932.5,0.45,-40.0
1528000,0.23,-430.0,0.46,330.0
1536000,0.265,-455.0,0.5,102.5
1544000,0.215,47.5,0.475,-17.5
1552000,0.265,-415.0,0.475,-12.5
1560000,0.23,-457.5,0.465,450.0
1568000,0.215,-482.5,0.48,0.0
1576000,0.24,-442.5,0.45,-32.5
1584000,0.22,37.5,0.425,-550.0
1592000,0.235,-530.0,0.485,117.5
1600000,0.23,-480.0,0.435,-100.0
1608000,0.255,-375.0,0.435,-17.5
1616000,0.24,-422.5,0.45,-42.5
1624000,0.2,-572.5,0.44,-82.5
1632000,0.285,-377.5,0.475,-50.0
1640000,0.255,-385.0,0.46,-32.5
1648000,0.23,-430.0,0.43,-122.5
1656000,0.275,-367.5,0.465,-20.0
1664000,0.24,-402.5,0.465,472.5
1672000,0.185,-530.0,0.475,-10.0
1680000,0.21,-525.0,0.465,-10.0
1688000,0.24,-470.0,0.455,-37.5
1696000,0.265,1097.5,0.445,-102.5
1704000,0.235,75.0,0.475,-7.5
1712000,0.24,-470.0,0.46,5.0
1720000,0.21,22.5,0.465,-10.0
1728000,0.185,-85.0,0.48,487.5
1736000,0.21,107.5,0.45,-30.0
1744000,0.21,-975.0,0.47,10.0
1752000,0.24,45.0,0.475,0.0
1760000,0.205,-5.0,0.445,-10.0
1768000,0.245,-425.0,0.47,10.0
1776000,0.27,122.5,0.46,-27.5
1784000,0.23,-17.5,0.46,-75.0
1792000,0.29,637.5,0.48,500.0
1800000,0.215,-562.5,0.465,-22.5
1808000,0.22,25.0,0.44,-12.5
1816000,0.18,-540.0,0.45,480.0
1824000,0.26,-897.5,0.43,-87.5
1832000,0.265,-400.0,0.48,-10.0
1840000,0.195,-7.5,0.44,-70.0
1848000,0.245,85.0,0.475,7.5
1856000,0.21,20.0,0.48,-20.0
1864000,0.215,-445.0,0.475,-7.5
1872000,0.19,-532.5,0.44,-122.5
1880000,0.245,-350.0,0.475,-37.5
1888000,0.235,57.5,0.455,-15.0
1896000,0.215,-402.5,0.435,-67.5
1904000,0.24,47.5,0.45,967.5
1912000,0.265,-310.0,0.455,467.5
1920000,0.225,-475.0,0.455,-25.0
1928000,0.255,112.5,0.48,30.0
1936000,0.215,-420.0,0.42,365.0
1944000,0.23,15.0,0.455,-42.5
1952000,0.26,-387.5,0.48,52.5
1960000,0.21,-5.0,0.47,447.5
1968000,0.25,177.5,0.455,-57.5
1976000,0.225,-225.0,0.475,595.0
1984000,0.245,565.0,0.44,1370.0
1992000,0.2,-527.5,0.45,-60.0
2000000,0.26,757.5,0.465,470.0
