episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
8000,0.595,5807.5,0.94,295.0
16000,0.62,1405.0,0.925,1290.0
24000,0.535,-1852.5,0.94,372.5
32000,0.645,700.0,0.965,1200.0
40000,0.65,7085.0,0.925,-780.0
48000,0.7,5532.5,0.965,-485.0
56000,0.69,4615.0,0.955,-320.0
64000,0.68,-922.5,0.945,1660.0
72000,0.625,2875.0,0.92,-765.0
80000,0.65,-1075.0,0.95,-240.0
88000,0.53,-4175.0,0.945,-1147.5
96000,0.725,6872.5,0.97,1287.5
104000,0.76,10897.5,0.96,-232.5
112000,0.725,5295.0,0.935,540.0
120000,0.595,-1092.5,0.965,1802.5
128000,0.64,-2182.5,0.93,-1547.5
136000,0.57,-1670.0,0.95,1027.5
144000,0.62,-1702.5,0.945,1097.5
152000,0.59,950.0,0.935,157.5
160000,0.55,-5837.5,0.915,887.5
168000,0.695,197.5,0.935,-660.0
176000,0.635,132.5,0.925,1240.0
184000,0.705,722.5,0.96,1710.0
192000,0.72,3320.0,0.935,-812.5
200000,0.64,6565.0,0.955,1192.5
208000,0.63,-2145.0,0.975,630.0
216000,0.61,1265.0,0.945,1515.0
224000,0.605,2815.0,0.925,30.0
232000,0.595,2862.5,0.915,1030.0
240000,0.555,-3992.5,0.915,-555.0
248000,0.625,3770.0,0.955,645.0
256000,0.605,-1700.0,0.94,567.5
264000,0.635,980.0,0.94,180.0
272000,0.7,4680.0,0.955,365.0
280000,0.56,162.5,0.94,665.0
288000,0.665,4842.5,0.945,1135.0
296000,0.66,4325.0,0.93,707.5
304000,0.595,-1522.5,0.965,885.0
312000,0.605,-4872.5,0.945,927.5
320000,0.69,6230.0,0.91,-2505.0
328000,0.6,1975.0,0.96,995.0
336000,0.7,6507.5,0.99,1075.0
344000,0.595,-3782.5,0.95,877.5
352000,0.665,4442.5,0.955,987.5
360000,0.735,5890.0,0.935,-272.5
368000,0.645,2390.0,0.94,-795.0
376000,0.72,4160.0,0.89,-3367.5
384000,0.625,-1500.0,0.985,1415.0
392000,0.635,-1012.5,0.955,1292.5
400000,0.62,2460.0,0.975,950.0
408000,0.605,772.5,0.925,660.0
416000,0.65,2152.5,0.94,90.0
424000,0.565,3145.0,0.93,962.5
432000,0.545,1982.5,0.94,835.0
440000,0.615,2915.0,0.94,810.0
448000,0.58,-100.0,0.96,815.0
456000,0.525,-6175.0,0.915,640.0
464000,0.58,100.0,0.945,800.0
472000,0.53,-5555.0,0.95,825.0
480000,0.695,577.5,0.93,597.5
488000,0.61,-3260.0,0.975,1495.0
496000,0.635,-537.5,0.95,582.5
504000,0.685,3120.0,0.95,2182.5
512000,0.58,-390.0,0.945,777.5
520000,0.605,-667.5,0.94,1482.5
528000,0.69,5970.0,0.965,1355.0
536000,0.65,3867.5,0.965,1332.5
544000,0.64,3785.0,0.955,907.5
552000,0.64,3385.0,0.93,1667.5
560000,0.62,702.5,0.945,702.5
568000,0.585,-1070.0,0.925,655.0
576000,0.58,857.5,0.965,1122.5
584000,0.635,2830.0,0.93,2057.5
592000,0.565,1175.0,0.91,690.0
600000,0.6,-3610.0,0.925,810.0
608000,0.63,-2015.0000000000002,0.97,955.0
616000,0.605,70.0,0.965,805.0
624000,0.675,3405.0,0.955,302.5
632000,0.52,-2727.5,0.935,1225.0
640000,0.615,-85.0,0.945,-95.0
648000,0.64,132.5,0.96,1287.5
656000,0.635,-1375.0,0.94,310.0
664000,0.64,-465.0,0.935,572.5
672000,0.68,4555.0,0.935,642.5
680000,0.7,912.5,0.955,1177.5
688000,0.74,4385.0,0.945,555.0
696000,0.72,-1222.5,0.955,865.0
704000,0.61,-2037.5,0.915,-755.0
712000,0.615,940.0,0.96,792.5
720000,0.61,-5300.0,0.96,580.0
728000,0.65,1302.5,0.95,787.5
736000,0.61,-1507.5,0.93,790.0
744000,0.54,792.5,0.925,1302.5
752000,0.585,-832.5,0.95,1335.0
760000,0.65,1332.5,0.95,772.5
768000,0.64,1862.5,0.945,2747.5
776000,0.635,5142.5,0.94,620.0
784000,0.625,-1415.0,0.955,1770.0
792000,0.655,-1077.5,0.955,902.5
800000,0.63,5062.5,0.935,267.5
808000,0.64,1242.5,0.945,755.0
816000,0.62,1550.0,0.935,890.0
824000,0.625,-492.5,0.955,627.5
832000,0.675,4922.5,0.945,1162.5
840000,0.7,2275.0,0.935,1327.5
848000,0.61,1527.5,0.96,1777.5
856000,0.635,3215.0,0.925,690.0
864000,0.575,605.0,0.925,825.0
872000,0.545,-2855.0,0.93,835.0
880000,0.645,-1515.0,0.935,787.5
888000,0.555,-3240.0,0.955,922.5
896000,0.605,2427.5,0.91,727.5
904000,0.68,-295.0,0.945,1007.5000000000001
912000,0.705,2525.0,0.965,1085.0
920000,0.685,1952.5,0.97,840.0
928000,0.735,5045.0,0.965,1000.0
936000,0.7,3465.0,0.93,477.5
944000,0.605,522.5,0.95,677.5
952000,0.62,1337.5,0.92,792.5
960000,0.66,-4765.0,0.945,642.5
968000,0.69,2057.5,0.92,695.0
976000,0.665,800.0,0.965,315.0
984000,0.715,5247.5,0.925,685.0
992000,0.615,165.0,0.955,1280.0
1000000,0.62,-380.0,0.955,800.0
1008000,0.635,-392.5,0.95,805.0
1016000,0.665,1425.0,0.93,745.0
1024000,0.645,1980.0,0.94,755.0
1032000,0.665,-1055.0,0.955,632.5
1040000,0.625,-785.0,0.92,897.5
1048000,0.675,320.0,0.96,890.0
1056000,0.64,-210.0,0.935,487.5
1064000,0.59,547.5,0.945,1527.5
1072000,0.665,4027.5,0.95,1360.0
1080000,0.655,4967.5,0.93,697.5
1088000,0.61,2145.0,0.925,732.5
1096000,0.68,1777.5,0.955,1412.5
1104000,0.68,2117.5,0.945,665.0
1112000,0.665,2472.5,0.935,597.5
1120000,0.64,237.5,0.95,660.0
1128000,0.6,-4842.5,0.935,1390.0
1136000,0.635,-302.5,0.955,482.5
1144000,0.635,-3597.5,0.96,1250.0
1152000,0.69,3082.5,0.965,787.5
1160000,0.71,2020.0,0.945,632.5
1168000,0.655,-90.0,0.96,732.5
1176000,0.555,-997.5,0.94,747.5
1184000,0.655,4017.5,0.93,1392.5
1192000,0.705,4902.5,0.965,940.0
1200000,0.67,5670.0,0.93,672.5
1208000,0.625,932.5,0.96,1030.0
1216000,0.63,1910.0,0.925,350.0
1224000,0.65,-3327.5,0.955,917.5
1232000,0.685,4387.5,0.955,842.5
1240000,0.655,7915.0,0.935,707.5
1248000,0.62,2325.0,0.925,815.0
1256000,0.57,-4277.5,0.96,935.0
1264000,0.62,-575.0,0.95,942.5
1272000,0.645,-2242.5,0.955,985.0
1280000,0.665,60.0,0.97,922.5
1288000,0.7,1312.5,0.955,925.0
1296000,0.725,5447.5,0.955,687.5
1304000,0.665,4192.5,0.94,730.0
1312000,0.675,2250.0,0.95,847.5
1320000,0.685,1367.5,0.93,710.0
1328000,0.645,660.0,0.965,1047.5
1336000,0.565,-3012.5,0.95,730.0
1344000,0.66,-1025.0,0.94,847.5
1352000,0.64,-805.0,0.95,877.5
1360000,0.635,4792.5,0.94,805.0
1368000,0.635,-4437.5,0.95,880.0
1376000,0.66,5372.5,0.955,800.0
1384000,0.645,3730.0,0.93,947.5
1392000,0.67,1292.5,0.965,905.0
1400000,0.685,3020.0,0.935,712.5
1408000,0.665,1467.5,0.915,602.5
1416000,0.55,-5665.0,0.945,812.5
1424000,0.655,162.5,0.955,852.5
1432000,0.72,2350.0,0.92,1025.0
1440000,0.665,-1557.5,0.96,910.0
1448000,0.66,42.5,0.915,440.0
1456000,0.705,7987.5,0.945,750.0
1464000,0.62,-1812.5,0.945,737.5
1472000,0.69,4452.5,0.93,710.0
1480000,0.68,-1830.0,0.95,855.0
1488000,0.675,4185.0,0.93,685.0
1496000,0.635,1710.0,0.95,817.5
1504000,0.68,17.5,0.93,820.0
1512000,0.665,850.0,0.955,850.0
1520000,0.72,1875.0,0.935,707.5
1528000,0.645,3605.0,0.955,940.0
1536000,0.615,17.5,0.93,962.5
1544000,0.68,5172.5,0.94,1135.0
1552000,0.605,-197.5,0.945,1277.5
1560000,0.65,3552.5,0.95,967.5
