episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
8000,0.465,-715.0,0.92,1900.0
16000,0.43,-1400.0,0.955,1307.5
24000,0.455,740.0,0.94,1280.0
32000,0.425,-1035.0,0.94,-195.0
40000,0.465,2710.0,0.905,1147.5
48000,0.415,-1472.5,0.905,585.0
56000,0.43,-367.5,0.95,1760.0
64000,0.44,-362.5,0.935,825.0
72000,0.45,-295.0,0.925,292.5
80000,0.49,395.0,0.905,825.0
88000,0.445,-365.0,0.92,842.5
96000,0.475,-707.5,0.915,1265.0
104000,0.415,-902.5,0.915,1570.0
112000,0.535,45.0,0.905,1092.5
120000,0.435,-572.5,0.94,735.0
128000,0.425,-867.5,0.96,900.0
136000,0.44,-1265.0,0.94,855.0
144000,0.405,42.5,0.92,717.5
152000,0.45,-380.0,0.875,567.5
160000,0.465,110.0,0.91,605.0
168000,0.45,-895.0,0.91,1245.0
176000,0.46,-245.0,0.92,790.0
184000,0.525,-572.5,0.885,937.5
192000,0.415,-850.0,0.9,477.5
200000,0.425,-1167.5,0.9,707.5
208000,0.48,-607.5,0.92,930.0
216000,0.445,-220.0,0.945,745.0
224000,0.415,225.0,0.96,2392.5
232000,0.435,100.0,0.915,1285.0
240000,0.545,125.0,0.94,-660.0
248000,0.435,-312.5,0.905,85.0
256000,0.445,-862.5,0.92,645.0
264000,0.495,-535.0,0.92,285.0
272000,0.42,-975.0,0.925,1802.5
280000,0.475,-742.5,0.9,255.0
288000,0.42,-675.0,0.915,727.5
296000,0.47,-1195.0,0.93,1380.0
304000,0.425,-1320.0,0.925,755.0
312000,0.445,-440.0,0.9,620.0
320000,0.455,-417.5,0.93,1307.5
328000,0.51,-145.0,0.935,1275.0
336000,0.46,-885.0,0.91,225.0
344000,0.425,-915.0,0.905,1242.5
352000,0.495,-937.5,0.92,682.5
360000,0.395,197.5,0.945,310.0
368000,0.425,-375.0,0.925,850.0
376000,0.405,-460.0,0.895,640.0
384000,0.43,-1280.0,0.925,1087.5
392000,0.475,-590.0,0.935,1302.5
400000,0.54,-580.0,0.91,1192.5
408000,0.44,-285.0,0.9,690.0
416000,0.415,-845.0,0.915,722.5
424000,0.435,-1377.5,0.945,347.5
432000,0.455,-1130.0,0.915,850.0
440000,0.455,302.5,0.92,1165.0
448000,0.395,-582.5,0.92,707.5
456000,0.48,-185.0,0.92,1252.5
464000,0.51,-1062.5,0.925,1332.5
472000,0.405,-597.5,0.89,1497.5
480000,0.425,302.5,0.95,935.0
488000,0.495,-627.5,0.935,362.5
496000,0.5,-635.0,0.915,695.0
504000,0.425,-647.5,0.93,712.5
512000,0.415,-1465.0,0.925,937.5
520000,0.475,-642.5,0.905,547.5
528000,0.42,-322.5,0.91,712.5
536000,0.405,-535.0,0.88,422.5
544000,0.475,-695.0,0.945,320.0
552000,0.435,-785.0,0.91,1212.5
560000,0.46,-335.0,0.92,522.5
568000,0.39,-1122.5,0.93,752.5
576000,0.47,-305.0,0.91,1747.5
584000,0.44,652.5,0.96,1397.5
592000,0.44,-155.0,0.91,682.5
600000,0.41,-925.0,0.935,707.5
608000,0.435,-292.5,0.91,777.5
616000,0.49,-192.5,0.93,860.0
624000,0.49,-517.5,0.94,1775.0
632000,0.5,27.5,0.915,602.5
640000,0.425,152.5,0.925,1122.5
648000,0.48,-162.5,0.93,797.5
656000,0.445,-662.5,0.935,1350.0
664000,0.37,-1022.5,0.92,435.0
672000,0.43,-227.5,0.915,737.5
680000,0.51,-65.0,0.92,732.5
688000,0.405,-352.5,0.925,727.5
696000,0.43,-695.0,0.915,695.0
704000,0.455,-1165.0,0.935,1340.0
712000,0.46,-662.5,0.95,797.5
720000,0.42,-995.0,0.925,1250.0
728000,0.45,152.5,0.87,670.0
736000,0.35,-460.0,0.935,765.0
744000,0.42,-387.5,0.935,830.0
752000,0.45,110.0,0.895,1207.5
760000,0.46,-227.5,0.905,22.5
768000,0.45,-137.5,0.92,1505.0
776000,0.43,-392.5,0.93,880.0
784000,0.46,-830.0,0.95,855.0
792000,0.475,-752.5,0.91,665.0
800000,0.49,325.0,0.9,570.0
808000,0.415,-950.0,0.945,870.0
816000,0.455,-945.0,0.935,925.0
824000,0.46,100.0,0.94,857.5
832000,0.41,-625.0,0.91,225.0
840000,0.415,-900.0,0.905,1050.0
848000,0.42,67.5,0.94,657.5
856000,0.43,-797.5,0.915,587.5
864000,0.395,-355.0,0.915,637.5
872000,0.435,-945.0,0.915,765.0
880000,0.395,-327.5,0.915,685.0
888000,0.445,-342.5,0.93,820.0
896000,0.455,-1200.0,0.945,857.5
904000,0.465,-610.0,0.92,745.0
912000,0.39,-1035.0,0.905,275.0
920000,0.385,-1497.5,0.935,1342.5
928000,0.49,-620.0,0.935,860.0
936000,0.38,-1070.0,0.875,462.5
944000,0.475,-765.0,0.94,832.5
952000,0.46,-765.0,0.925,742.5
960000,0.53,-82.5,0.92,1762.5
968000,0.41,-1122.5,0.895,1567.5
976000,0.42,-930.0,0.94,675.0
984000,0.42,-847.5,0.94,927.5
992000,0.4,-485.0,0.925,797.5
1000000,0.45,-745.0,0.95,297.5
1008000,0.42,-867.5,0.935,1012.5
1016000,0.45,-755.0,0.935,825.0
1024000,0.46,-825.0,0.91,1105.0
1032000,0.495,-602.5,0.91,707.5
1040000,0.42,-825.0,0.95,802.5
1048000,0.445,-752.5,0.93,732.5
1056000,0.42,-362.5,0.925,702.5
1064000,0.41,-840.0,0.9,1105.0
1072000,0.44,-837.5,0.92,605.0
1080000,0.44,-842.5,0.84,470.0
1088000,0.445,-725.0,0.95,747.5
1096000,0.49,-545.0,0.905,807.5
1104000,0.48,-840.0,0.905,-290.0
1112000,0.5,-590.0,0.945,1365.0
1120000,0.43,-812.5,0.905,685.0
1128000,0.395,-972.5,0.905,657.5
1136000,0.445,-945.0,0.94,845.0
1144000,0.42,-847.5,0.91,740.0
1152000,0.44,-877.5,0.935,812.5
1160000,0.445,-855.0,0.93,975.0
1168000,0.425,-632.5,0.905,287.5
1176000,0.465,-570.0,0.935,800.0
1184000,0.46,-550.0,0.915,1292.5
1192000,0.475,-445.0,0.92,687.5
1200000,0.395,-905.0,0.93,757.5
1208000,0.435,-787.5,0.94,1302.5
1216000,0.47,-677.5,0.91,622.5
1224000,0.465,-625.0,0.935,1427.5
1232000,0.445,-817.5,0.945,1145.0
1240000,0.47,-562.5,0.915,815.0
1248000,0.435,-812.5,0.9,695.0
1256000,0.395,-430.0,0.895,625.0
1264000,0.43,-860.0,0.91,705.0
1272000,0.42,-760.0,0.95,1620.0
1280000,0.445,-750.0,0.94,805.0
1288000,0.485,-845.0,0.94,1267.5
1296000,0.47,-755.0,0.92,242.5
1304000,0.435,-837.5,0.91,1307.5
1312000,0.46,-735.0,0.925,772.5
