episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
8000,0.475,3860.0,0.73,-2005.0
16000,0.57,4762.5,0.835,540.0
24000,0.515,3810.0,0.95,1632.5
32000,0.545,3572.5,0.95,1702.5
40000,0.535,2027.4999999999998,0.965,2180.0
48000,0.475,-2750.0,0.91,200.0
56000,0.495,4260.0,0.9,-20.0
64000,0.42,4557.5,0.86,425.0
72000,0.425,-592.5,0.925,347.5
80000,0.6,9427.5,0.915,1097.5
88000,0.475,2417.5,0.89,210.0
96000,0.505,1962.5,0.94,1647.5
104000,0.49,295.0,0.88,-867.5
112000,0.505,4485.0,0.905,1890.0
120000,0.48,1480.0,0.88,607.5
128000,0.44,-7007.5,0.95,1377.5
136000,0.525,3217.5,0.905,460.0
144000,0.45,907.5,0.945,472.5
152000,0.495,4062.5,0.91,135.0
160000,0.54,4375.0,0.885,-952.5
168000,0.48,890.0,0.87,-665.0
176000,0.575,3810.0,0.93,1707.5
184000,0.44,4232.5,0.835,675.0
192000,0.5,817.5,0.91,647.5
200000,0.495,2262.5,0.895,990.0
208000,0.49,5492.5,0.885,-315.0
216000,0.475,3372.5,0.88,642.5
224000,0.505,207.5,0.94,185.0
232000,0.52,2627.5,0.91,-295.0
240000,0.565,-552.5,0.865,-820.0
248000,0.495,-32.5,0.925,1255.0
256000,0.475,1837.5,0.935,617.5
264000,0.47,-1487.5,0.895,1177.5
272000,0.5,3490.0,0.9,-1050.0
280000,0.63,7052.5,0.9,1827.5
288000,0.485,3185.0,0.86,-442.5
296000,0.44,1395.0,0.9,1297.5
304000,0.495,5220.0,0.955,777.5
312000,0.535,4735.0,0.96,1987.5
320000,0.54,2040.0,0.91,322.5
328000,0.42,3290.0,0.89,727.5
336000,0.45,1485.0,0.935,752.5
344000,0.6,7655.0,0.92,632.5
352000,0.52,3520.0,0.88,1120.0
360000,0.37,3275.0,0.885,190.0
368000,0.51,4387.5,0.92,762.5
376000,0.505,3592.5,0.88,1215.0
384000,0.51,3130.0,0.9,1945.0
392000,0.495,677.5,0.89,-930.0
400000,0.465,2807.5,0.855,-37.5
408000,0.475,1167.5,0.91,682.5
416000,0.565,3997.5,0.93,1545.0
424000,0.44,-2355.0,0.905,1610.0
432000,0.48,2235.0,0.87,570.0
440000,0.435,4032.4999999999995,0.915,612.5
448000,0.49,2487.5,0.86,1197.5
456000,0.475,67.5,0.87,2057.5
464000,0.48,3147.5,0.94,-142.5
472000,0.52,5520.0,0.915,-495.0
480000,0.555,1067.5,0.92,1242.5
488000,0.625,3590.0,0.925,2180.0
496000,0.51,602.5,0.93,1125.0
504000,0.405,-567.5,0.91,1117.5
512000,0.505,4485.0,0.92,-322.5
520000,0.46,-757.5,0.945,1622.5
528000,0.505,-1252.5,0.925,1562.5
536000,0.575,1447.5,0.91,977.5
544000,0.475,2540.0,0.91,717.5
552000,0.52,-870.0,0.935,397.5
560000,0.6,2020.0,0.895,1375.0
568000,0.525,-562.5,0.935,495.0
576000,0.41,1447.5,0.93,742.5
584000,0.51,-2505.0,0.885,687.5
592000,0.515,397.5,0.91,-1017.5000000000001
600000,0.535,3010.0,0.92,740.0
608000,0.45,4832.5,0.805,142.5
616000,0.54,1032.5,0.89,550.0
624000,0.555,2520.0,0.915,205.0
632000,0.605,5087.5,0.94,1387.5
640000,0.57,2232.5,0.955,402.5
648000,0.5,-2862.5,0.91,12.5
656000,0.565,775.0,0.93,1290.0
664000,0.52,2970.0,0.95,2235.0
672000,0.44,-400.0,0.9,872.5
680000,0.525,-620.0,0.92,1582.5
688000,0.475,627.5,0.895,1007.5000000000001
696000,0.545,1807.5,0.925,1610.0
704000,0.505,2117.5,0.845,897.5
712000,0.585,3265.0,0.905,1014.9999999999999
720000,0.475,415.0,0.91,925.0
728000,0.435,-820.0,0.92,227.5
736000,0.55,3297.5,0.905,1107.5
744000,0.55,1702.5,0.94,795.0
752000,0.565,3497.5,0.93,925.0
760000,0.445,2337.5,0.87,62.5
768000,0.555,5877.5,0.885,615.0
776000,0.485,1600.0,0.935,237.5
784000,0.485,-882.5,0.94,455.0
792000,0.41,1560.0,0.915,1690.0
800000,0.48,512.5,0.94,1365.0
808000,0.55,3217.5,0.92,1180.0
816000,0.425,-3737.5,0.91,1975.0
824000,0.565,1195.0,0.935,1762.5
832000,0.545,4645.0,0.9,1642.5
840000,0.53,332.5,0.94,685.0
848000,0.49,3255.0,0.92,1087.5
856000,0.455,2870.0,0.915,167.5
864000,0.435,200.0,0.92,182.5
872000,0.455,4262.5,0.915,1632.5
880000,0.555,1612.5,0.95,1907.5
888000,0.485,4102.5,0.915,1590.0
896000,0.505,777.5,0.92,1735.0
904000,0.43,1232.5,0.905,667.5
912000,0.505,1770.0,0.935,322.5
920000,0.51,-1830.0,0.915,1232.5
928000,0.565,1490.0,0.905,455.0
936000,0.52,-175.0,0.87,415.0
944000,0.53,1100.0,0.93,810.0
952000,0.405,1427.5,0.875,42.5
960000,0.52,5712.5,0.915,-85.0
968000,0.485,672.5,0.945,1762.5
976000,0.375,-200.0,0.885,1070.0
984000,0.465,482.5,0.92,757.5
992000,0.505,940.0,0.92,230.0
1000000,0.455,3610.0,0.91,185.0
1008000,0.5,3312.5,0.93,392.5
1016000,0.42,1325.0,0.885,605.0
1024000,0.515,1360.0,0.93,260.0
1032000,0.49,3130.0,0.935,1185.0
1040000,0.415,4277.5,0.915,1747.5
1048000,0.425,162.5,0.87,377.5
1056000,0.44,-272.5,0.895,1580.0
1064000,0.43,-62.5,0.9,602.5
1072000,0.44,455.0,0.895,1122.5
1080000,0.47,175.0,0.935,782.5
1088000,0.475,1982.5,0.91,1110.0
1096000,0.515,4765.0,0.93,212.5
1104000,0.55,-710.0,0.9,2150.0
1112000,0.54,930.0,0.885,-375.0
1120000,0.545,342.5,0.91,730.0
1128000,0.43,1004.9999999999999,0.92,1620.0
1136000,0.37,-665.0,0.88,697.5
1144000,0.475,-1425.0,0.935,1925.0
1152000,0.49,1030.0,0.915,732.5
1160000,0.505,-512.5,0.94,1107.5
1168000,0.445,277.5,0.915,1192.5
1176000,0.48,2092.5,0.935,1352.5
1184000,0.495,-655.0,0.915,797.5
1192000,0.505,547.5,0.89,680.0
1200000,0.455,-52.5,0.895,92.5
1208000,0.47,317.5,0.925,760.0
1216000,0.42,-647.5,0.885,180.0
1224000,0.43,1727.5,0.885,47.5
1232000,0.385,792.5,0.755,347.5
1240000,0.455,1000.0,0.91,642.5
1248000,0.475,80.0,0.92,1665.0
1256000,0.465,-545.0,0.93,807.5
1264000,0.405,-552.5,0.92,782.5
1272000,0.45,182.5,0.91,1372.5
1280000,0.455,230.0,0.915,1720.0
1288000,0.425,1677.5,0.875,637.5
1296000,0.395,2029.9999999999998,0.88,1077.5
1304000,0.465,2230.0,0.88,552.5
1312000,0.4,-1070.0,0.83,1137.5
1320000,0.48,2710.0,0.915,787.5
1328000,0.455,745.0,0.925,852.5
1336000,0.47,-357.5,0.845,-250.0
1344000,0.495,-857.5,0.925,752.5
1352000,0.44,142.5,0.8,612.5
1360000,0.45,35.0,0.885,690.0
1368000,0.44,-612.5,0.895,1137.5
1376000,0.37,-1745.0,0.73,395.0
1384000,0.275,-1447.5,0.595,150.0
1392000,0.36,-1092.5,0.765,492.5
1400000,0.35,-522.5,0.71,350.0
1408000,0.3,1120.0,0.73,510.0
1416000,0.345,-477.5,0.62,252.5
1424000,0.365,207.5,0.67,285.0
1432000,0.29,-1082.5,0.615,422.5
1440000,0.345,-210.0,0.605,-112.5
1448000,0.24,457.5,0.465,555.0
1456000,0.255,442.5,0.49,115.0
1464000,0.295,-212.5,0.51,120.0
1472000,0.26,-367.5,0.505,67.5
1480000,0.26,752.5,0.51,90.0
1488000,0.245,-570.0,0.465,-80.0
1496000,0.205,-250.0,0.45,265.0
1504000,0.22,-215.0,0.445,-137.5
1512000,0.265,-437.5,0.455,-15.0
1520000,0.255,120.0,0.44,-222.5
1528000,0.295,1035.0,0.48,32.5
1536000,0.29,457.5,0.46,1014.9999999999999
1544000,0.295,-65.0,0.465,-12.5
1552000,0.27,265.0,0.45,330.0
1560000,0.275,252.5,0.46,50.0
1568000,0.27,875.0,0.435,-170.0
1576000,0.275,487.5,0.44,-12.5
1584000,0.235,-95.0,0.475,60.0
1592000,0.225,-595.0,0.48,895.0
1600000,0.25,-1170.0,0.475,50.0
1608000,0.27,-810.0,0.465,540.0
1616000,0.305,590.0,0.47,-90.0
1624000,0.21,-370.0,0.48,142.5
1632000,0.25,670.0,0.47,1000.0
1640000,0.23,382.5,0.445,-27.5
1648000,0.265,427.5,0.475,1032.5
1656000,0.23,512.5,0.475,67.5
1664000,0.235,-472.5,0.465,-72.5
1672000,0.245,580.0,0.46,540.0
1680000,0.245,-280.0,0.475,50.0
1688000,0.23,-652.5,0.45,-80.0
1696000,0.225,337.5,0.46,27.5
1704000,0.215,-132.5,0.455,-455.0
1712000,0.205,-257.5,0.44,-52.5
1720000,0.235,-392.5,0.475,-5.0
1728000,0.265,197.5,0.435,442.5
1736000,0.245,20.0,0.45,-70.0
1744000,0.28,115.0,0.47,-55.0
1752000,0.22,-52.5,0.445,937.5
1760000,0.235,47.5,0.455,-50.0
1768000,0.245,15.0,0.45,447.5
1776000,0.25,242.5,0.47,-462.5
1784000,0.25,-207.5,0.475,500.0
1792000,0.275,-20.0,0.445,-732.5
1800000,0.265,-300.0,0.45,-345.0
1808000,0.28,-225.0,0.47,1017.5000000000001
1816000,0.295,360.0,0.455,-127.5
1824000,0.24,-510.0,0.45,107.5
1832000,0.265,-10.0,0.45,1427.5
1840000,0.24,-590.0,0.47,372.5
1848000,0.235,285.0,0.455,7.5
1856000,0.265,-685.0,0.45,-77.5
1864000,0.255,85.0,0.47,-382.5
1872000,0.21,697.5,0.475,2.5
1880000,0.22,750.0,0.475,7.5
1888000,0.255,-667.5,0.45,2.5
1896000,0.245,-305.0,0.48,450.0
1904000,0.27,-477.5,0.46,22.5
1912000,0.28,307.5,0.46,-100.0
1920000,0.23,-760.0,0.47,-5.0
1928000,0.275,750.0,0.455,340.0
1936000,0.26,1180.0,0.48,622.5
1944000,0.22,-685.0,0.47,-435.0
1952000,0.205,-150.0,0.475,515.0
1960000,0.285,-462.5,0.465,-35.0
1968000,0.23,557.5,0.45,250.0
1976000,0.275,-805.0,0.45,-602.5
1984000,0.26,-85.0,0.455,522.5
1992000,0.23,-527.5,0.455,-85.0
2000000,0.26,-490.0,0.465,30.0
