episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
8000,0.58,4442.5,0.935,-1170.0
16000,0.52,2907.5,0.895,467.5
24000,0.605,4107.5,0.9,200.0
32000,0.495,2.5,0.945,402.5
40000,0.525,-1367.5,0.92,427.5
48000,0.48,-1897.5,0.955,800.0
56000,0.425,-3165.0,0.915,1065.0
64000,0.51,4140.0,0.91,1150.0
72000,0.49,2192.5,0.94,-215.0
80000,0.37,-3000.0,0.905,-290.0
88000,0.515,3842.5,0.89,225.0
96000,0.57,560.0,0.93,2260.0
104000,0.545,6267.5,0.915,490.0
112000,0.495,3362.5,0.93,512.5
120000,0.555,-2227.5,0.89,655.0
128000,0.49,4177.5,0.925,2220.0
136000,0.54,2857.5,0.935,1207.5
144000,0.49,2252.5,0.89,-175.0
152000,0.56,1295.0,0.955,760.0
160000,0.5,660.0,0.91,725.0
168000,0.45,992.5,0.9,-242.5
176000,0.535,500.0,0.925,2730.0
184000,0.425,-117.5,0.885,35.0
192000,0.445,790.0,0.885,132.5
200000,0.54,2615.0,0.945,790.0
208000,0.545,602.5,0.92,810.0
216000,0.59,-2312.5,0.965,472.5
224000,0.605,1110.0,0.89,1027.5
232000,0.69,4835.0,0.955,675.0
240000,0.55,1752.5,0.92,692.5
248000,0.48,-1475.0,0.895,1272.5
256000,0.52,2455.0,0.93,360.0
264000,0.45,1062.5,0.935,1077.5
272000,0.49,-3070.0,0.885,1780.0
280000,0.45,222.5,0.915,230.0
288000,0.59,622.5,0.915,752.5
296000,0.52,-320.0,0.925,1137.5
304000,0.615,2465.0,0.91,2090.0
312000,0.52,1735.0,0.925,1257.5
320000,0.41,-720.0,0.91,712.5
328000,0.56,-3310.0,0.935,370.0
336000,0.515,2515.0,0.905,997.5
344000,0.55,-1480.0,0.945,1670.0
352000,0.525,2707.5,0.905,935.0
360000,0.42,-1910.0,0.895,42.5
368000,0.505,1707.5,0.925,1255.0
376000,0.53,2212.5,0.925,1800.0
384000,0.435,-1112.5,0.885,465.0
392000,0.595,6522.5,0.905,2127.5
400000,0.53,-420.0,0.9,1532.5
408000,0.52,692.5,0.93,552.5
416000,0.525,1960.0,0.925,-265.0
424000,0.54,-7037.5,0.97,1630.0
432000,0.55,-2827.5,0.935,647.5
440000,0.5,-1102.5,0.905,2612.5
448000,0.52,-1850.0,0.915,530.0
456000,0.45,-4280.0,0.93,1572.5
464000,0.54,1215.0,0.96,430.0
472000,0.555,-2557.5,0.915,1095.0
480000,0.555,1600.0,0.95,960.0
488000,0.56,2805.0,0.96,412.5
496000,0.52,1180.0,0.865,722.5
504000,0.495,-322.5,0.93,1482.5
512000,0.655,-30.0,0.925,-532.5
520000,0.44,-1845.0,0.92,1717.5
528000,0.52,-4192.5,0.92,1450.0
536000,0.555,287.5,0.94,702.5
544000,0.43,-1817.5,0.92,997.5
552000,0.475,-1852.5,0.92,1667.5
560000,0.6,277.5,0.95,3075.0
568000,0.495,1497.5,0.955,1760.0
576000,0.65,2785.0,0.935,830.0
584000,0.44,1672.5,0.9,772.5
592000,0.46,25.0,0.905,-552.5
600000,0.54,270.0,0.925,767.5
608000,0.56,2330.0,0.935,657.5
616000,0.585,-2475.0,0.925,847.5
624000,0.455,917.5,0.88,350.0
632000,0.455,1077.5,0.88,1027.5
640000,0.56,1105.0,0.9,930.0
648000,0.5,-4059.9999999999995,0.945,1327.5
656000,0.525,1640.0,0.925,775.0
664000,0.55,1397.5,0.925,742.5
672000,0.46,-267.5,0.895,1220.0
680000,0.54,-4647.5,0.93,780.0
688000,0.63,7060.0,0.905,-1155.0
696000,0.56,-1762.5,0.965,970.0
704000,0.56,2480.0,0.925,752.5
712000,0.565,565.0,0.925,1175.0
720000,0.6,3907.5,0.94,1117.5
728000,0.5,-465.0,0.93,710.0
736000,0.56,-495.0,0.935,1040.0
744000,0.58,660.0,0.935,872.5
752000,0.5,-2027.4999999999998,0.92,920.0
760000,0.44,-5090.0,0.93,1325.0
768000,0.595,427.5,0.945,920.0
776000,0.51,-2997.5,0.945,1322.5
784000,0.5,-4407.5,0.93,710.0
792000,0.575,1270.0,0.945,535.0
800000,0.555,-3442.5,0.945,602.5
808000,0.61,-1685.0,0.96,1402.5
816000,0.475,-3960.0,0.93,375.0
824000,0.63,1172.5,0.93,1822.5
832000,0.455,-2907.5,0.89,742.5
840000,0.47,-137.5,0.945,812.5
848000,0.55,3480.0,0.91,1202.5
856000,0.6,1187.5,0.955,1302.5
864000,0.59,-720.0,0.97,935.0
872000,0.485,315.0,0.95,892.5
880000,0.55,4310.0,0.935,717.5
888000,0.535,-457.5,0.87,532.5
896000,0.53,872.5,0.9,660.0
904000,0.43,-392.5,0.915,2320.0
912000,0.445,-512.5,0.93,1650.0
920000,0.56,1670.0,0.955,1387.5
928000,0.575,-595.0,0.94,865.0
936000,0.46,-7132.5,0.95,1350.0
944000,0.565,795.0,0.945,1030.0
952000,0.485,-1660.0,0.93,362.5
960000,0.575,4545.0,0.91,1187.5
968000,0.585,-420.0,0.935,1792.5
