episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
8000,0.81,16112.5,0.915,-4460.0
16000,0.855,16710.0,0.955,-2417.5
24000,0.78,15910.0,0.87,-6667.5
32000,0.855,15992.5,0.955,-1255.0
40000,0.71,10512.5,0.905,-1952.5
48000,0.715,6660.0,0.9,-1995.0
56000,0.835,16187.5,0.89,-3542.5
64000,0.81,19065.0,0.925,-2315.0
72000,0.785,18020.0,0.945,-2072.5
80000,0.725,9990.0,0.935,-2497.5
88000,0.755,11835.0,0.935,-1695.0
96000,0.615,9945.0,0.775,15.0
104000,0.72,9832.5,0.93,692.5
112000,0.765,15412.5,0.97,635.0
120000,0.73,10895.0,0.905,-2540.0
128000,0.695,15602.5,0.765,-2522.5
136000,0.785,12792.5,0.91,-2542.5
144000,0.8,8450.0,0.905,-4660.0
152000,0.605,5337.5,0.75,-4567.5
160000,0.645,10957.5,0.93,1105.0
168000,0.76,14160.0,0.94,1797.5
176000,0.795,12817.5,0.945,-147.5
184000,0.64,12832.5,0.8,1360.0
192000,0.485,6877.5,0.705,-1547.5
200000,0.7,7377.5,0.925,-4287.5
208000,0.58,8735.0,0.695,380.0
216000,0.715,11332.5,0.93,-2807.5
224000,0.66,5827.5,0.79,-1327.5
232000,0.615,13847.5,0.72,750.0
240000,0.48,7555.0,0.625,-1585.0
248000,0.535,11697.5,0.585,-1487.5
256000,0.655,10612.5,0.72,-2210.0
264000,0.635,5140.0,0.96,85.0
272000,0.545,6250.0,0.65,-3025.0
280000,0.535,11090.0,0.68,-2182.5
288000,0.74,11787.5,0.945,-1302.5
296000,0.57,6930.0,0.7,-2412.5
304000,0.55,7822.5,0.64,-157.5
312000,0.615,7125.0,0.71,-2912.5
320000,0.685,9650.0,0.77,-557.5
328000,0.535,3405.0,0.79,-560.0
336000,0.595,8067.500000000001,0.775,-495.0
344000,0.7,10057.5,0.935,-1275.0
352000,0.575,8420.0,0.805,272.5
360000,0.575,7655.0,0.695,-2180.0
368000,0.455,8720.0,0.61,-1140.0
376000,0.58,6675.0,0.63,-1837.5
384000,0.62,9152.5,0.79,-417.5
392000,0.53,6552.5,0.75,-562.5
400000,0.5,8822.5,0.675,-290.0
408000,0.405,6202.5,0.575,1030.0
416000,0.53,8792.5,0.83,-1602.5
424000,0.54,4867.5,0.905,372.5
432000,0.425,4267.5,0.65,-1212.5
