episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
8000,0.78,10812.5,0.925,-3577.5
16000,0.77,9610.0,0.95,-1245.0
24000,0.83,15665.0,0.955,295.0
32000,0.815,12962.5,0.94,-817.5
40000,0.725,8020.0,0.92,-3197.5
48000,0.785,14785.0,0.945,-3015.0
56000,0.77,12532.5,0.945,-1710.0
64000,0.715,13752.5,0.93,-2160.0
72000,0.575,4405.0,0.74,2680.0
80000,0.81,10290.0,0.96,-1417.5
88000,0.865,12815.0,0.91,-5025.0
96000,0.795,12197.5,0.93,-2410.0
104000,0.62,12497.5,0.785,-2665.0
112000,0.625,15237.5,0.78,-1072.5
120000,0.785,13737.5,0.95,-1142.5
128000,0.545,6130.0,0.74,-2655.0
136000,0.75,10127.5,0.95,-155.0
144000,0.625,9190.0,0.78,-1770.0
152000,0.695,7992.5,0.955,607.5
160000,0.67,9212.5,0.95,-2060.0
168000,0.725,11345.0,0.935,-580.0
176000,0.555,5367.5,0.76,-3362.5
184000,0.57,4397.5,0.755,-1902.5
192000,0.64,10335.0,0.71,-2552.5
200000,0.7,10452.5,0.79,-2525.0
208000,0.465,9177.5,0.68,120.0
216000,0.54,11510.0,0.645,-2555.0
224000,0.74,17635.0,0.9,-1200.0
232000,0.575,13990.0,0.63,-2517.5
240000,0.5,4957.5,0.63,-837.5
248000,0.825,19147.5,0.925,-3770.0
256000,0.51,8330.0,0.66,-1115.0
264000,0.49,6655.0,0.715,-567.5
272000,0.515,11025.0,0.56,-2400.0
280000,0.44,7115.0,0.615,-1367.5
288000,0.44,6177.5,0.68,-1040.0
296000,0.52,4820.0,0.7,-3705.0
304000,0.615,15897.5,0.755,-1120.0
312000,0.7,6937.5,0.95,1910.0
320000,0.565,8150.0,0.56,-1720.0
328000,0.665,13905.0,0.885,512.5
336000,0.81,15482.5,0.97,865.0
344000,0.595,14437.5,0.75,-287.5
352000,0.795,20432.5,0.95,712.5
360000,0.56,8750.0,0.745,90.0
368000,0.51,7182.5,0.79,220.0
376000,0.49,6420.0,0.665,407.5
384000,0.52,5462.5,0.73,430.0
392000,0.46,6530.0,0.595,170.0
400000,0.485,5607.5,0.745,-42.5
408000,0.425,4317.5,0.555,265.0
416000,0.47,6950.0,0.71,37.5
424000,0.37,3022.5,0.515,150.0
432000,0.565,13990.0,0.805,-482.5
440000,0.55,8880.0,0.64,-370.0
448000,0.535,6282.5,0.805,-1370.0
456000,0.505,2832.5,0.695,177.5
464000,0.585,12340.0,0.775,-1007.5000000000001
472000,0.52,10012.5,0.75,-2490.0
480000,0.645,4447.5,0.855,-2957.5
488000,0.435,3657.5,0.65,-782.5
496000,0.415,3417.5,0.625,-430.0
504000,0.52,6075.0,0.755,1690.0
512000,0.365,6655.0,0.555,-555.0
520000,0.56,7525.0,0.745,597.5
528000,0.47,3882.5,0.65,-1562.5
536000,0.47,2955.0,0.65,-1825.0
544000,0.38,3282.5,0.685,-80.0
552000,0.38,-1102.5,0.645,-2120.0
560000,0.405,5752.5,0.595,-1137.5
568000,0.435,11007.5,0.55,-67.5
576000,0.605,6090.0,0.87,20.0
584000,0.52,7062.5,0.685,-1282.5
592000,0.505,5772.5,0.795,585.0
600000,0.36,4712.5,0.44,-570.0
608000,0.46,4025.0000000000005,0.825,170.0
616000,0.52,5762.5,0.71,-410.0
624000,0.345,5145.0,0.545,90.0
632000,0.42,2990.0,0.57,-270.0
640000,0.28,4222.5,0.49,2.5
648000,0.34,2932.5,0.525,-1392.5
656000,0.37,4202.5,0.54,320.0
664000,0.42,5490.0,0.665,250.0
672000,0.58,9382.5,0.82,-1490.0
680000,0.435,5455.0,0.8,475.0
688000,0.49,2045.0,0.81,585.0
696000,0.425,5537.5,0.61,-1062.5
704000,0.405,5475.0,0.73,-1025.0
712000,0.31,3097.5,0.525,320.0
720000,0.265,2375.0,0.47,-895.0
728000,0.445,2657.5,0.65,210.0
736000,0.325,4692.5,0.465,-820.0
744000,0.38,3770.0,0.645,-180.0
752000,0.435,3292.5,0.6,-2220.0
760000,0.435,4892.5,0.54,-1780.0
