episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
8000,0.495,-1125.0,0.955,1552.5
16000,0.58,6020.0,0.905,-1547.5
24000,0.61,920.0,0.955,1035.0
32000,0.555,-1207.5,0.91,207.5
40000,0.535,1160.0,0.95,1285.0
48000,0.515,560.0,0.895,655.0
56000,0.405,75.0,0.935,755.0
64000,0.47,962.5,0.95,912.5
72000,0.575,-240.0,0.925,735.0
80000,0.54,2097.5,0.935,1190.0
88000,0.58,810.0,0.935,892.5
96000,0.535,1620.0,0.93,822.5
104000,0.475,1232.5,0.9,622.5
112000,0.48,-1222.5,0.945,1357.5
120000,0.52,-20.0,0.905,1142.5
128000,0.495,-92.5,0.935,2352.5
136000,0.515,-1872.5,0.915,735.0
144000,0.46,-1622.5,0.96,1280.0
152000,0.55,2252.5,0.925,1625.0
160000,0.425,60.0,0.895,165.0
168000,0.52,-167.5,0.915,1837.5
176000,0.49,1625.0,0.92,315.0
184000,0.51,-930.0,0.95,887.5
192000,0.5,2082.5,0.94,1892.5
200000,0.43,-1462.5,0.93,795.0
208000,0.52,-485.0,0.925,667.5
216000,0.46,2127.5,0.925,1217.5
224000,0.465,117.5,0.92,1255.0
232000,0.51,612.5,0.955,902.5
240000,0.495,357.5,0.955,810.0
248000,0.53,-800.0,0.955,1340.0
256000,0.535,-1745.0,0.93,1680.0
264000,0.515,-537.5,0.91,1692.5
272000,0.5,-1227.5,0.915,725.0
280000,0.46,977.5,0.915,252.5
288000,0.515,795.0,0.93,730.0
296000,0.485,-1707.5,0.96,897.5
304000,0.5,457.5,0.95,877.5
312000,0.445,-2365.0,0.94,1347.5
320000,0.565,-350.0,0.965,905.0
328000,0.53,775.0,0.945,1780.0
336000,0.555,2725.0,0.94,830.0
344000,0.53,1345.0,0.905,170.0
352000,0.475,2157.5,0.925,635.0
360000,0.54,1227.5,0.92,1265.0
368000,0.46,10.0,0.925,875.0
376000,0.525,322.5,0.93,777.5
384000,0.445,-3532.5,0.92,792.5
392000,0.635,937.5,0.945,1335.0
400000,0.49,-197.5,0.95,870.0
408000,0.49,3220.0,0.875,1140.0
416000,0.555,1260.0,0.95,790.0
424000,0.495,2332.5,0.915,705.0
432000,0.53,147.5,0.9,252.5
440000,0.51,-317.5,0.96,1350.0
448000,0.47,1882.5,0.925,795.0
456000,0.42,-1410.0,0.92,1295.0
464000,0.54,6357.5,0.955,810.0
472000,0.52,1797.5,0.94,1767.5
480000,0.48,-655.0,0.925,740.0
488000,0.475,-587.5,0.93,950.0
496000,0.54,1355.0,0.91,662.5
504000,0.4,-5537.5,0.94,815.0
512000,0.515,-2355.0,0.905,-312.5
520000,0.44,1292.5,0.885,582.5
528000,0.52,1725.0,0.925,1325.0
536000,0.485,1350.0,0.935,917.5
544000,0.46,-1642.5,0.93,1280.0
552000,0.5,1490.0,0.93,1737.5
560000,0.515,232.5,0.93,807.5
568000,0.51,-1942.5,0.94,1380.0
576000,0.495,-962.5,0.92,812.5
584000,0.47,437.5,0.93,970.0
592000,0.475,-1127.5,0.92,792.5
600000,0.46,-2175.0,0.925,1315.0
608000,0.52,1402.5,0.94,677.5
616000,0.465,-1572.5,0.93,757.5
624000,0.525,2552.5,0.935,1815.0
632000,0.45,-3047.5,0.93,1322.5
640000,0.52,732.5,0.94,1270.0
648000,0.495,1880.0,0.925,800.0
656000,0.51,2022.5,0.95,825.0
664000,0.495,-80.0,0.905,780.0
672000,0.535,-257.5,0.95,1757.5
680000,0.535,-1122.5,0.945,902.5
688000,0.435,-5.0,0.92,707.5
696000,0.455,1500.0,0.935,1222.5
704000,0.5,347.5,0.925,790.0
712000,0.49,-1840.0,0.895,387.5
720000,0.525,1942.5,0.955,1004.9999999999999
728000,0.555,470.0,0.94,1377.5
736000,0.415,995.0,0.91,525.0
744000,0.535,77.5,0.95,707.5
752000,0.5,-3330.0,0.93,820.0
760000,0.485,177.5,0.87,977.5
768000,0.475,517.5,0.895,670.0
776000,0.425,-2187.5,0.92,1177.5
784000,0.525,60.0,0.93,1222.5
792000,0.495,-832.5,0.925,1702.5
800000,0.47,-592.5,0.95,890.0
808000,0.485,-650.0,0.925,860.0
816000,0.44,-1782.5,0.905,170.0
824000,0.455,-600.0,0.89,630.0
832000,0.505,-687.5,0.97,1405.0
840000,0.55,947.5,0.945,877.5
848000,0.47,772.5,0.94,812.5
856000,0.415,-225.0,0.94,890.0
864000,0.545,1197.5,0.93,1750.0
872000,0.455,-3397.5,0.93,1375.0
880000,0.435,2192.5,0.925,300.0
888000,0.425,-817.5,0.955,1412.5
896000,0.555,-1782.5,0.94,712.5
904000,0.485,480.0,0.895,145.0
912000,0.455,-2545.0,0.915,730.0
920000,0.455,-805.0,0.92,715.0
928000,0.445,1270.0,0.93,1390.0
936000,0.52,167.5,0.915,1237.5
944000,0.49,410.0,0.93,1227.5
952000,0.635,965.0,0.915,-187.5
960000,0.51,2602.5,0.925,1275.0
968000,0.485,-2840.0,0.94,807.5
976000,0.585,1132.5,0.93,812.5
984000,0.44,-2430.0,0.94,925.0
992000,0.505,-165.0,0.91,220.0
1000000,0.45,85.0,0.915,1255.0
1008000,0.45,-912.5,0.9,745.0
1016000,0.55,-1060.0,0.92,667.5
1024000,0.54,1192.5,0.935,460.0
1032000,0.485,462.5,0.925,1235.0
1040000,0.525,732.5,0.925,730.0
1048000,0.55,-402.5,0.93,857.5
1056000,0.55,-452.5,0.91,712.5
1064000,0.45,1990.0,0.925,2695.0
1072000,0.48,1055.0,0.945,1755.0
1080000,0.51,2085.0,0.905,717.5
1088000,0.505,-4350.0,0.93,822.5
1096000,0.505,785.0,0.935,820.0
1104000,0.52,-325.0,0.945,492.5
1112000,0.53,462.5,0.935,1270.0
1120000,0.435,-5047.5,0.935,700.0
1128000,0.52,3120.0,0.93,1412.5
1136000,0.54,2622.5,0.94,350.0
1144000,0.55,1072.5,0.945,977.5
1152000,0.51,200.0,0.95,825.0
1160000,0.48,-1580.0,0.945,852.5
1168000,0.46,-1657.5,0.905,720.0
1176000,0.465,1847.5,0.95,1342.5
1184000,0.435,1617.5,0.925,332.5
1192000,0.45,-680.0,0.95,1422.5
1200000,0.475,-2937.5,0.92,667.5
1208000,0.515,-3075.0,0.935,782.5
1216000,0.555,-42.5,0.905,712.5
1224000,0.53,-2.5,0.92,635.0
