episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
8000,0.51,2070.0,0.915,-800.0
16000,0.525,2252.5,0.93,535.0
24000,0.48,-150.0,0.95,1717.5
32000,0.565,3237.5,0.95,1182.5
40000,0.605,9557.5,0.935,795.0
48000,0.565,2612.5,0.925,227.5
56000,0.535,700.0,0.955,15.0
64000,0.535,2902.5,0.93,940.0
72000,0.535,87.5,0.915,617.5
80000,0.515,-1327.5,0.89,-10.0
88000,0.535,220.0,0.93,1775.0
96000,0.575,-342.5,0.92,1755.0
104000,0.505,2867.5,0.915,517.5
112000,0.645,11527.5,0.925,172.5
120000,0.545,3305.0,0.925,1267.5
128000,0.51,105.0,0.925,802.5
136000,0.55,3235.0,0.935,650.0
144000,0.515,6090.0,0.93,595.0
152000,0.535,397.5,0.935,737.5
160000,0.555,4535.0,0.925,580.0
168000,0.55,852.5,0.96,767.5
176000,0.415,555.0,0.93,325.0
184000,0.51,1410.0,0.945,745.0
192000,0.47,1310.0,0.95,1272.5
200000,0.525,365.0,0.935,2120.0
208000,0.435,1007.5000000000001,0.92,-997.5
216000,0.59,-567.5,0.885,-427.5
224000,0.495,625.0,0.945,1162.5
232000,0.46,-1200.0,0.95,630.0
240000,0.535,-872.5,0.91,1165.0
248000,0.515,122.5,0.945,1200.0
256000,0.54,-360.0,0.955,867.5
264000,0.53,195.0,0.905,1205.0
272000,0.5,252.5,0.95,2360.0
280000,0.535,-3775.0,0.89,370.0
288000,0.43,1622.5,0.925,1477.5
296000,0.45,425.0,0.925,180.0
304000,0.565,3342.5,0.94,707.5
312000,0.575,4572.5,0.955,392.5
320000,0.525,367.5,0.965,2327.5
328000,0.545,1967.5,0.92,70.0
336000,0.59,-375.0,0.925,695.0
344000,0.57,1882.5,0.925,955.0
352000,0.455,2477.5,0.94,740.0
360000,0.485,17.5,0.945,865.0
368000,0.535,2882.5,0.92,880.0
376000,0.455,-1787.5,0.95,1152.5
384000,0.515,-75.0,0.935,745.0
392000,0.575,875.0,0.905,-132.5
400000,0.505,-242.5,0.93,747.5
408000,0.48,-1542.5,0.92,1067.5
416000,0.585,2992.5,0.955,1860.0
424000,0.55,390.0,0.925,707.5
432000,0.54,-2557.5,0.935,640.0
440000,0.48,-597.5,0.925,640.0
448000,0.535,-1280.0,0.93,1350.0
456000,0.505,532.5,0.945,277.5
464000,0.54,5215.0,0.925,605.0
472000,0.575,1140.0,0.9,612.5
480000,0.52,-1780.0,0.945,627.5
488000,0.52,4237.5,0.935,820.0
496000,0.495,922.5,0.935,757.5
504000,0.455,-1652.5,0.91,645.0
512000,0.54,1245.0,0.93,760.0
520000,0.515,-1460.0,0.92,667.5
528000,0.495,-1612.5,0.905,712.5
536000,0.52,1557.5,0.91,570.0
544000,0.505,-2117.5,0.9,225.0
552000,0.57,4042.5000000000005,0.915,1557.5
560000,0.51,-1467.5,0.935,682.5
568000,0.475,-2882.5,0.905,1605.0
576000,0.505,-270.0,0.915,1692.5
584000,0.485,-37.5,0.92,1660.0
592000,0.505,2670.0,0.935,847.5
600000,0.515,1212.5,0.92,995.0
608000,0.52,-2147.5,0.94,875.0
616000,0.54,-782.5,0.925,752.5
624000,0.56,3010.0,0.925,1252.5
632000,0.555,582.5,0.915,597.5
640000,0.475,-147.5,0.9,-377.5
648000,0.545,2552.5,0.95,842.5
656000,0.52,-1770.0,0.93,507.49999999999994
664000,0.535,-440.0,0.9,512.5
672000,0.55,4917.5,0.915,1220.0
680000,0.53,3422.5,0.935,737.5
688000,0.555,1322.5,0.935,1727.5
696000,0.535,695.0,0.97,1037.5
704000,0.48,397.5,0.915,767.5
712000,0.58,3980.0,0.935,1177.5
720000,0.53,-2055.0,0.935,357.5
728000,0.57,4207.5,0.935,1197.5
736000,0.505,1205.0,0.92,507.49999999999994
744000,0.515,-2540.0,0.925,1222.5
752000,0.55,815.0,0.94,1750.0
760000,0.52,2470.0,0.92,730.0
768000,0.53,-2585.0,0.935,1737.5
776000,0.505,2225.0,0.89,1040.0
784000,0.5,-1235.0,0.925,752.5
792000,0.545,2525.0,0.92,1800.0
800000,0.5,-762.5,0.9,722.5
808000,0.495,2367.5,0.895,1150.0
816000,0.53,-125.0,0.955,1332.5
824000,0.515,490.0,0.92,1080.0
832000,0.51,2625.0,0.935,1162.5
840000,0.545,-142.5,0.93,875.0
848000,0.555,4092.5000000000005,0.94,1975.0
856000,0.525,1955.0,0.935,775.0
864000,0.54,-610.0,0.955,1320.0
872000,0.575,3555.0,0.92,960.0
880000,0.445,277.5,0.945,307.5
888000,0.455,460.0,0.945,760.0
896000,0.42,1480.0,0.93,857.5
904000,0.575,2352.5,0.94,755.0
912000,0.465,-625.0,0.925,715.0
920000,0.475,1782.5,0.905,950.0
928000,0.465,-2175.0,0.91,1240.0
936000,0.565,4772.5,0.935,577.5
944000,0.465,-897.5,0.875,547.5
952000,0.505,-272.5,0.915,1227.5
960000,0.57,1055.0,0.97,677.5
968000,0.45,-617.5,0.88,375.0
976000,0.535,1402.5,0.955,1305.0
984000,0.51,-292.5,0.925,602.5
992000,0.47,172.5,0.945,1327.5
1000000,0.535,3350.0,0.945,1280.0
1008000,0.555,1192.5,0.945,1270.0
1016000,0.56,2402.5,0.925,785.0
1024000,0.57,-1505.0,0.94,1267.5
1032000,0.515,-2577.5,0.945,645.0
1040000,0.505,2385.0,0.95,1340.0
1048000,0.47,-205.0,0.94,695.0
1056000,0.435,-4902.5,0.93,1240.0
1064000,0.56,912.5,0.92,1135.0
1072000,0.57,-1762.5,0.95,567.5
1080000,0.58,2067.5,0.915,655.0
1088000,0.55,-332.5,0.91,642.5
1096000,0.525,2020.0,0.94,1072.5
1104000,0.59,1655.0,0.925,997.5
1112000,0.57,807.5,0.945,695.0
1120000,0.6,2955.0,0.93,802.5
1128000,0.48,282.5,0.955,842.5
1136000,0.555,1625.0,0.91,1035.0
1144000,0.585,1410.0,0.925,660.0
1152000,0.53,360.0,0.955,725.0
1160000,0.55,397.5,0.96,955.0
1168000,0.505,-90.0,0.915,660.0
1176000,0.585,440.0,0.915,222.5
1184000,0.5,-440.0,0.93,1397.5
1192000,0.475,237.5,0.94,910.0
1200000,0.535,-470.0,0.96,977.5
1208000,0.59,2515.0,0.92,667.5
1216000,0.55,3447.5,0.91,1190.0
1224000,0.48,-1345.0,0.95,610.0
1232000,0.525,207.5,0.92,577.5
1240000,0.555,-567.5,0.915,670.0
1248000,0.535,-337.5,0.915,592.5
1256000,0.555,4527.5,0.965,882.5
1264000,0.55,3022.5,0.955,865.0
1272000,0.495,97.5,0.925,647.5
1280000,0.605,2187.5,0.945,842.5
1288000,0.605,2772.5,0.945,790.0
1296000,0.525,3997.5,0.93,665.0
1304000,0.485,-372.5,0.9,542.5
1312000,0.495,-1965.0,0.935,782.5
1320000,0.585,3232.5,0.91,700.0
1328000,0.55,3415.0,0.955,807.5
1336000,0.455,-132.5,0.895,592.5
1344000,0.55,912.5,0.89,345.0
1352000,0.57,3495.0,0.93,1012.5
1360000,0.575,-1535.0,0.945,880.0
1368000,0.565,3035.0,0.935,525.0
1376000,0.48,797.5,0.89,630.0
1384000,0.505,-3752.5,0.945,1014.9999999999999
1392000,0.61,3617.5,0.96,755.0
1400000,0.585,1120.0,0.945,667.5
1408000,0.48,-297.5,0.93,570.0
1416000,0.525,1250.0,0.935,685.0
1424000,0.575,2850.0,0.93,820.0
1432000,0.565,1030.0,0.94,625.0
1440000,0.55,4012.5,0.925,1370.0
1448000,0.585,4807.5,0.955,912.5
1456000,0.555,1847.5,0.945,790.0
1464000,0.53,2212.5,0.98,1512.5
1472000,0.615,1120.0,0.93,660.0
1480000,0.54,3047.5,0.935,707.5
1488000,0.545,750.0,0.925,502.49999999999994
1496000,0.58,-647.5,0.925,772.5
1504000,0.585,467.5,0.915,542.5
1512000,0.59,-115.0,0.935,642.5
1520000,0.575,5732.5,0.915,1187.5
1528000,0.53,-310.0,0.935,920.0
1536000,0.57,-465.0,0.94,970.0
1544000,0.575,2587.5,0.895,712.5
1552000,0.61,4010.0,0.95,770.0
1560000,0.5,3830.0,0.89,650.0
1568000,0.635,5262.5,0.885,510.0
1576000,0.595,4992.5,0.94,782.5
1584000,0.54,-1390.0,0.9,567.5
1592000,0.58,-50.0,0.92,777.5
1600000,0.485,2340.0,0.95,815.0
1608000,0.67,7890.0,0.92,720.0
1616000,0.485,2215.0,0.9,817.5
1624000,0.61,3007.5,0.92,560.0
1632000,0.535,-3887.5,0.93,1327.5
1640000,0.57,2025.0,0.935,730.0
1648000,0.655,7627.5,0.93,717.5
1656000,0.565,2755.0,0.96,910.0
1664000,0.51,2537.5,0.95,855.0
1672000,0.485,-2182.5,0.96,1347.5
1680000,0.63,3905.0,0.935,742.5
1688000,0.565,810.0,0.92,640.0
1696000,0.52,-990.0,0.94,795.0
1704000,0.555,227.5,0.955,810.0
1712000,0.575,1725.0,0.935,775.0
1720000,0.54,1010.0,0.95,820.0
1728000,0.52,4022.5,0.945,852.5
1736000,0.56,2772.5,0.955,1067.5
1744000,0.505,-532.5,0.94,1004.9999999999999
1752000,0.63,3095.0,0.955,992.5
1760000,0.525,2307.5,0.93,785.0
1768000,0.54,647.5,0.95,932.5
1776000,0.49,2317.5,0.925,742.5
1784000,0.57,3347.5,0.945,750.0
1792000,0.57,-795.0,0.94,1385.0
1800000,0.64,4477.5,0.945,780.0
1808000,0.625,7407.5,0.92,672.5
1816000,0.585,3720.0,0.905,557.5
1824000,0.495,267.5,0.935,855.0
1832000,0.59,1635.0,0.94,952.5
1840000,0.575,-1577.5,0.94,772.5
1848000,0.57,3872.5,0.945,687.5
1856000,0.64,2925.0,0.925,1282.5
1864000,0.5,-2145.0,0.935,780.0
1872000,0.47,-1535.0,0.925,755.0
1880000,0.615,4590.0,0.96,972.5
1888000,0.61,4205.0,0.945,872.5
1896000,0.6,5827.5,0.92,615.0
1904000,0.615,2375.0,0.935,810.0
1912000,0.435,1617.5,0.955,1385.0
1920000,0.5,560.0,0.915,1000.0
1928000,0.63,535.0,0.96,865.0
1936000,0.51,2460.0,0.935,745.0
1944000,0.605,4617.5,0.93,750.0
1952000,0.54,-2972.5,0.93,617.5
1960000,0.515,1187.5,0.915,677.5
1968000,0.655,2572.5,0.945,857.5
1976000,0.59,4822.5,0.955,455.0
1984000,0.55,1865.0,0.95,1267.5
1992000,0.505,-1407.5,0.92,1270.0
2000000,0.595,3320.0,0.94,927.5
