episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
8000,0.28,1725.0,0.495,157.5
16000,0.345,2297.5,0.47,1092.5
24000,0.26,310.0,0.46,165.0
32000,0.32,535.0,0.5,775.0
40000,0.395,3605.0,0.585,722.5
48000,0.325,2525.0,0.45,212.5
56000,0.275,-532.5,0.485,902.5
64000,0.265,-1957.5,0.47,2.5
72000,0.245,-557.5,0.485,132.5
80000,0.29,-12.5,0.465,82.5
88000,0.26,-917.5,0.45,-437.5
96000,0.275,122.5,0.475,125.0
104000,0.265,947.5,0.47,-487.5
112000,0.225,-1152.5,0.47,185.0
120000,0.27,-352.5,0.49,-355.0
128000,0.235,242.5,0.46,-17.5
136000,0.19,800.0,0.485,647.5
144000,0.28,1442.5,0.445,-447.5
152000,0.25,687.5,0.475,172.5
160000,0.27,-1140.0,0.45,22.5
168000,0.31,-1572.5,0.48,47.5
176000,0.29,370.0,0.455,102.5
184000,0.25,-502.49999999999994,0.465,490.0
192000,0.225,-1880.0,0.465,117.5
200000,0.22,-370.0,0.47,575.0
208000,0.295,215.0,0.485,47.5
216000,0.295,2780.0,0.47,142.5
224000,0.235,-550.0,0.475,1025.0
232000,0.325,-532.5,0.47,125.0
240000,0.28,-387.5,0.47,42.5
248000,0.255,-625.0,0.47,62.5
256000,0.29,1457.5,0.47,100.0
264000,0.3,985.0,0.48,-337.5
272000,0.235,-1007.5000000000001,0.465,72.5
280000,0.265,-67.5,0.44,977.5
288000,0.28,62.5,0.475,137.5
296000,0.315,-502.49999999999994,0.46,22.5
304000,0.24,-2102.5,0.43,460.0
312000,0.325,295.0,0.465,12.5
320000,0.31,1045.0,0.445,57.5
328000,0.26,-82.5,0.49,1615.0
336000,0.295,1200.0,0.49,105.0
344000,0.25,50.0,0.47,-422.5
352000,0.265,2912.5,0.465,-392.5
360000,0.275,2212.5,0.45,25.0
368000,0.325,1737.5,0.47,37.5
376000,0.255,242.5,0.45,12.5
384000,0.27,1670.0,0.465,22.5
392000,0.26,-235.0,0.455,37.5
400000,0.165,275.0,0.46,72.5
408000,0.265,2490.0,0.47,622.5
416000,0.315,3055.0,0.585,-225.0
424000,0.355,1880.0,0.47,790.0
432000,0.29,537.5,0.47,102.5
440000,0.23,-117.5,0.485,612.5
448000,0.25,-552.5,0.47,-885.0
456000,0.205,-92.5,0.46,580.0
464000,0.22,975.0,0.475,90.0
472000,0.21,-640.0,0.465,47.5
480000,0.275,-405.0,0.435,952.5
488000,0.255,-502.49999999999994,0.45,-897.5
496000,0.22,-252.5,0.45,962.5
504000,0.23,-717.5,0.47,70.0
512000,0.235,-1342.5,0.42,-145.0
520000,0.245,-315.0,0.47,130.0
528000,0.305,-160.0,0.46,-32.5
536000,0.255,975.0,0.48,607.5
544000,0.255,12.5,0.5,2057.5
552000,0.31,4277.5,0.46,-190.0
560000,0.275,157.5,0.465,-937.5
568000,0.325,4620.0,0.475,1017.5000000000001
576000,0.305,1014.9999999999999,0.475,1052.5
584000,0.325,1640.0,0.47,1017.5000000000001
592000,0.26,-612.5,0.465,450.0
600000,0.26,-997.5,0.445,42.5
608000,0.2,-1707.5,0.46,147.5
616000,0.23,-637.5,0.435,62.5
624000,0.265,72.5,0.445,-575.0
632000,0.27,60.0,0.475,142.5
640000,0.275,-835.0,0.46,20.0
648000,0.27,2102.5,0.475,-22.5
656000,0.265,-430.0,0.47,585.0
664000,0.315,1737.5,0.48,667.5
672000,0.275,795.0,0.485,60.0
680000,0.355,1922.5,0.47,557.5
688000,0.31,930.0,0.465,-50.0
696000,0.28,-467.5,0.46,887.5
704000,0.275,680.0,0.475,40.0
712000,0.315,-955.0,0.485,100.0
720000,0.285,1435.0,0.475,622.5
728000,0.235,-117.5,0.465,1092.5
736000,0.335,-1002.5,0.47,425.0
744000,0.295,480.0,0.465,622.5
752000,0.265,2325.0,0.485,170.0
760000,0.325,-292.5,0.47,585.0
768000,0.27,-667.5,0.49,105.0
776000,0.24,960.0,0.455,-495.0
784000,0.25,465.0,0.475,100.0
792000,0.235,-155.0,0.445,482.5
800000,0.295,1482.5,0.485,105.0
808000,0.285,-375.0,0.45,62.5
816000,0.22,-1575.0,0.435,-50.0
824000,0.3,1017.5000000000001,0.465,575.0
832000,0.26,567.5,0.46,27.5
840000,0.285,1775.0,0.475,1110.0
848000,0.23,-207.5,0.47,50.0
856000,0.22,-1180.0,0.46,57.5
864000,0.275,-1675.0,0.475,107.5
872000,0.245,-105.0,0.45,592.5
880000,0.32,-1125.0,0.475,-15.0
888000,0.245,-495.0,0.475,1105.0
896000,0.245,-395.0,0.475,1010.0
904000,0.29,-1282.5,0.45,-5.0
912000,0.295,20.0,0.465,50.0
920000,0.29,-132.5,0.47,122.5
928000,0.285,-460.0,0.465,70.0
936000,0.245,-1707.5,0.46,570.0
944000,0.31,240.0,0.445,15.0
952000,0.23,-115.0,0.45,-102.5
960000,0.275,1437.5,0.49,55.0
968000,0.25,-582.5,0.46,-245.0
976000,0.265,-2162.5,0.47,485.0
984000,0.26,152.5,0.465,-30.0
992000,0.295,-422.5,0.465,40.0
1000000,0.285,-390.0,0.46,1110.0
1008000,0.245,-62.5,0.465,-20.0
1016000,0.26,-615.0,0.48,100.0
1024000,0.255,-532.5,0.47,60.0
1032000,0.265,-172.5,0.46,-17.5
1040000,0.255,-445.0,0.47,202.5
1048000,0.335,-1387.5,0.465,87.5
1056000,0.225,207.5,0.47,687.5
1064000,0.21,-527.5,0.45,470.0
1072000,0.245,-585.0,0.47,445.0
1080000,0.28,-440.0,0.475,85.0
1088000,0.275,-415.0,0.47,12.5
1096000,0.3,-517.5,0.485,82.5
1104000,0.255,7.5,0.48,85.0
1112000,0.24,-690.0,0.48,577.5
1120000,0.245,-2102.5,0.485,1080.0
1128000,0.36,2722.5,0.48,192.5
1136000,0.305,-402.5,0.48,125.0
1144000,0.29,1760.0,0.48,1105.0
1152000,0.235,-197.5,0.475,655.0
1160000,0.225,50.0,0.445,415.0
1168000,0.27,-472.5,0.45,-22.5
1176000,0.205,-537.5,0.455,52.5
1184000,0.275,-457.5,0.48,122.5
