ep,temp,t_real,checks
48,10.00,56,1:12.0;2:12.0;3:78.0
60,10.00,34,1:36.0
121,10.00,9,1:8.0
178,10.00,198,1:36.0
183,10.00,199,1:14.0
303,10.00,199,1:8.0
325,10.00,199,1:8.0
339,10.00,5,1:4.0
370,10.00,2,0:4.0
407,10.00,32,1:22.0
670,10.00,48,1:20.0
673,10.00,199,1:8.0;2:8.0
685,10.00,7,1:4.0
703,10.00,19,1:8.0
769,10.00,199,1:4.0
896,10.00,8,1:8.0
923,10.00,20,1:28.0
972,10.00,198,0:4.0;1:4.0
998,10.00,34,1:36.0
1131,10.00,5,1:12.0
1161,10.00,139,1:16.0
1202,10.00,18,1:16.0
1207,10.00,199,1:8.0
1461,10.00,27,1:8.0
1522,10.00,23,2:50.0
1578,10.00,8,0:4.0
1648,10.00,198,1:8.0
1740,10.00,6,0:4.0
1754,10.00,198,3:140.0
1798,10.00,198,0:4.0
1818,10.00,124,1:28.0
1843,10.00,111,1:56.0
1904,10.00,19,1:28.0
1974,10.00,3,0:4.0
2051,10.00,5,1:4.0
2091,10.00,199,1:4.0
2111,10.00,15,1:4.0
2344,10.00,8,0:4.0
2466,10.00,198,1:8.0
2542,10.00,198,0:4.0
2568,10.00,-202,3:350.0
2578,10.00,26,1:8.0
2636,10.00,12,0:4.0
2677,10.00,71,1:16.0
2710,10.00,198,0:4.0
2730,10.00,2,0:4.0;1:4.0
2937,10.00,199,1:260.0
2961,10.00,17,1:4.0
3030,10.00,198,0:4.0;2:8.0
3166,9.99,2,0:4.0
3254,9.99,3,0:4.0
3317,9.99,199,1:8.0;2:8.0
3346,9.99,198,1:16.0
3412,9.99,2,0:4.0
3440,9.99,98,2:40.0;3:200.0
3480,9.99,2,0:4.0
3528,9.99,34,1:36.0
3573,9.99,13,1:4.0
3678,9.99,5,1:10.0
3960,9.99,160,1:36.0
4028,9.99,16,0:4.0
4056,9.99,198,1:12.0
4066,9.99,198,1:12.0
4082,9.99,198,0:4.0
4173,9.99,3,1:4.0
4222,9.99,198,1:36.0
4358,9.99,10,1:8.0
4392,9.99,25,0:4.0
4524,9.99,23,1:10.0
4552,9.99,8,0:4.0
4610,9.99,35,0:4.0
4627,9.99,16,1:14.0
4633,9.99,9,1:4.0
4828,9.99,12,0:4.0
4879,9.99,199,1:4.0
4883,9.99,5,1:4.0
4963,9.99,9,1:4.0
4970,9.99,16,0:4.0
5002,9.99,4,0:4.0
5007,9.99,3,1:4.0
5034,9.99,10,1:16.0
5041,9.99,17,1:4.0
5113,9.99,199,1:12.0
5271,9.99,3,1:4.0;2:4.0
5287,9.99,47,1:24.0
5312,9.99,6,0:4.0
5358,9.99,34,1:8.0;2:8.0
5359,9.99,34,1:28.0
5453,9.99,41,1:28.0
5470,9.99,198,2:60.0
5484,9.99,198,0:4.0
5497,9.99,199,1:12.0
5650,9.99,198,0:4.0
5708,9.99,198,0:4.0
5785,9.99,97,1:28.0
5787,9.99,4,1:4.0;2:4.0
5793,9.99,199,1:26.0
5865,9.99,27,1:28.0
5966,9.99,198,1:16.0
5972,9.99,198,0:4.0;1:4.0
5998,9.99,4,0:4.0
6135,9.99,89,1:12.0
6195,9.99,9,1:10.0
6291,9.99,199,1:4.0
6304,9.99,12,0:4.0
6327,9.99,55,1:8.0;2:8.0
6488,9.99,3,0:4.0
6582,9.99,12,0:4.0;1:4.0
6631,9.99,17,1:4.0
6635,9.99,7,1:4.0
6712,9.99,12,0:4.0
6750,9.99,198,0:4.0
6808,9.99,16,0:4.0;1:4.0
6839,9.99,5,1:4.0
6928,9.99,4,1:8.0
6954,9.99,2,0:4.0
6966,9.99,3,0:4.0
7077,9.99,97,1:28.0
7081,9.99,9,1:4.0
7102,9.99,6,0:4.0
7132,9.99,178,0:4.0
7220,9.99,198,2:56.0
7298,9.99,8,2:20.0
7316,9.99,198,0:4.0
7350,9.99,88,1:20.0
7363,9.99,199,1:8.0
7378,9.99,198,1:10.0
7413,9.99,127,1:4.0
7457,9.99,197,1:44.0
7504,9.99,6,0:4.0
7522,9.99,198,2:252.0
7582,9.99,14,1:8.0
7620,9.99,54,1:28.0
7632,9.99,33,1:28.0
7674,9.99,2,0:4.0
7736,9.99,54,1:28.0
7846,9.99,2,0:4.0;1:4.0
7874,9.99,46,1:8.0
7900,9.99,8,0:4.0
7960,9.99,198,1:20.0
7998,9.99,198,3:120.0
8008,9.99,12,0:4.0
8060,9.99,8,0:4.0
8092,9.99,52,1:36.0
8210,9.99,198,3:72.0
8270,9.99,198,0:4.0
8272,9.99,6,0:4.0;1:4.0
8303,9.99,199,1:16.0
8389,9.99,5,1:4.0
8420,9.99,8,1:10.0
8510,9.99,2,0:4.0
8517,9.99,53,1:12.0
8568,9.99,96,1:28.0
8575,9.99,199,1:16.0
8590,9.99,198,0:4.0
8653,9.99,176,1:4.0
8673,9.99,7,1:8.0
8675,9.99,9,1:8.0
8822,9.99,198,1:12.0
8838,9.99,198,2:56.0
8855,9.99,13,1:4.0
8892,9.99,198,0:4.0
8967,9.99,17,1:4.0
8979,9.99,199,1:12.0
9034,9.99,198,2:112.0
9131,9.99,35,1:8.0
9178,9.99,12,0:4.0
9228,9.99,166,1:8.0
9234,9.99,198,1:28.0
9238,9.99,198,1:10.0
9429,9.99,11,1:16.0
9492,9.98,198,3:120.0
9500,9.98,4,1:8.0
9529,9.98,199,1:4.0
9540,9.98,187,1:36.0
9625,9.98,125,1:28.0
9702,9.98,-2,1:16.0;2:16.0
9748,9.98,22,1:8.0
9801,9.98,43,1:22.0
9808,9.98,16,1:12.0
9820,9.98,8,1:8.0
9890,9.98,198,0:4.0;1:4.0
9909,9.98,199,1:4.0
9952,9.98,6,0:4.0
9954,9.98,12,0:4.0
10008,9.98,71,2:36.0
10114,9.98,198,1:28.0
10129,9.98,199,1:8.0
10131,9.98,47,1:4.0
10245,9.98,3,1:4.0
10301,9.98,17,1:4.0
10351,9.98,29,1:4.0
10375,9.98,20,1:28.0
10438,9.98,8,1:8.0
10443,9.98,7,1:4.0
10491,9.98,9,1:8.0
10497,9.98,7,1:4.0
10526,9.98,198,0:4.0
10626,9.98,198,1:8.0
10660,9.98,16,0:4.0
10708,9.98,198,1:10.0
10775,9.98,199,1:8.0;2:8.0
10828,9.98,88,1:20.0
10850,9.98,48,0:4.0
10925,9.98,199,1:8.0
10966,9.98,198,2:40.0
11078,9.98,33,1:10.0
11082,9.98,168,2:16.0
11084,9.98,6,0:4.0
11089,9.98,55,1:16.0
11113,9.98,199,1:10.0
11194,9.98,2,0:4.0
11226,9.98,2,0:4.0
11250,9.98,198,0:4.0
11298,9.98,4,0:4.0
11447,9.98,199,1:16.0
11484,9.98,198,1:36.0
11505,9.98,34,1:10.0
11555,9.98,7,1:4.0
11571,9.98,35,1:8.0
11611,9.98,7,1:8.0
11616,9.98,198,3:140.0
11664,9.98,198,2:72.0
11711,9.98,19,1:8.0
11712,9.98,10,1:10.0
11809,9.98,34,1:10.0
11818,9.98,2,0:4.0
11840,9.98,12,0:4.0
11892,9.98,40,1:28.0
11993,9.98,3,1:4.0;2:4.0
12000,9.98,18,1:20.0;2:20.0
12058,9.98,70,1:36.0
12284,9.98,198,2:100.0
12319,9.98,17,1:4.0
12326,9.98,124,2:252.0
12384,9.98,198,1:20.0
12433,9.98,114,1:4.0
12467,9.98,3,1:4.0
12527,9.98,32,1:22.0;2:22.0
12560,9.98,52,1:36.0
12596,9.98,198,1:28.0
12612,9.98,16,0:4.0
12740,9.98,198,2:144.0
12833,9.98,-1,1:4.0;2:4.0;3:-13.3
12900,9.98,198,0:4.0
13000,9.98,10,1:10.0
13028,9.98,2,0:4.0
13136,9.98,4,0:4.0
13188,9.98,35,1:50.0
13284,9.98,198,1:28.0
13325,9.98,9,1:8.0
13328,9.98,43,1:10.0
13334,9.98,4,1:8.0
13466,9.98,18,1:16.0
13470,9.98,4,0:4.0
13530,9.98,198,0:4.0
13581,9.98,199,1:8.0
13590,9.98,3,0:4.0
13668,9.98,10,1:10.0
13718,9.98,198,1:50.0
13724,9.98,6,1:8.0
13744,9.98,30,3:64.0
13794,9.98,68,1:28.0
13875,9.98,3,1:4.0
13918,9.98,34,1:8.0
14061,9.98,17,1:4.0
14063,9.98,31,1:16.0;2:16.0
14104,9.98,198,1:20.0
14110,9.98,18,0:4.0
14148,9.98,2,0:4.0
14168,9.98,198,1:8.0
14261,9.98,38,1:4.0
14399,9.98,11,1:10.0
14406,9.98,13,1:10.0
14478,9.98,8,0:4.0
14486,9.98,2,0:4.0
14552,9.98,48,1:20.0
14591,9.98,21,1:22.0;2:22.0
14643,9.98,199,1:4.0
14688,9.98,2,0:4.0
14706,9.98,16,0:4.0
14740,9.98,4,0:4.0
14792,9.98,198,3:120.0
14796,9.98,16,0:4.0;1:4.0
14807,9.98,5,1:4.0
14810,9.98,6,0:4.0
14842,9.98,10,1:8.0
14844,9.98,4,1:8.0
14866,9.98,198,0:4.0;2:36.0
15040,9.98,2,0:4.0
15068,9.98,40,1:12.0
15192,9.98,2,0:4.0
15244,9.98,12,0:4.0
15264,9.98,38,0:4.0;1:4.0
15300,9.98,198,1:12.0
15453,9.98,11,1:8.0
15560,9.98,8,2:20.0
15564,9.98,2,0:4.0
15666,9.98,88,1:20.0
15798,9.97,198,0:4.0
15808,9.97,12,0:4.0
15810,9.97,198,2:30.0
15828,9.97,3,1:10.0;2:10.0
15847,9.97,11,1:8.0
15896,9.97,8,0:4.0
15930,9.97,4,0:4.0
16028,9.97,23,2:50.0
16184,9.97,3,0:4.0
16223,9.97,199,1:14.0
16224,9.97,3,0:4.0;1:4.0
16271,9.97,199,1:22.0
16295,9.97,199,1:4.0
16366,9.97,178,3:360.0
16444,9.97,2,0:4.0
16452,9.97,198,3:140.0
16456,9.97,16,1:12.0
16462,9.97,48,1:20.0
16498,9.97,8,1:8.0
16679,9.97,34,1:10.0
16834,9.97,198,1:28.0
17017,9.97,111,1:4.0
17138,9.97,14,1:8.0
17143,9.97,26,1:22.0
17174,9.97,16,0:4.0
17199,9.97,53,1:12.0
17217,9.97,5,1:4.0
17221,9.97,9,1:8.0
17256,9.97,2,0:4.0
17344,9.97,6,1:8.0
17346,9.97,96,1:28.0
17466,9.97,77,1:106.0
17469,9.97,5,1:4.0
17512,9.97,4,0:4.0
17674,9.97,96,2:30.0
17763,9.97,199,1:16.0;2:16.0
17779,9.97,9,1:10.0
18091,9.97,3,1:4.0
18157,9.97,44,1:10.0
18180,9.97,25,1:36.0
18182,9.97,12,0:4.0;1:4.0
18233,9.97,199,1:8.0
18276,9.97,26,1:8.0
18334,9.97,18,1:10.0
18344,9.97,198,3:60.0
18350,9.97,124,1:36.0
18376,9.97,38,1:16.0
18493,9.97,13,1:4.0
18515,9.97,3,1:4.0
18582,9.97,198,0:4.0
18637,9.97,21,1:22.0
18691,9.97,41,1:12.0
18695,9.97,51,1:26.0
18713,9.97,4,1:4.0
18797,9.97,11,1:16.0
18800,9.97,198,0:4.0
18967,9.97,5,1:4.0
19010,9.97,34,1:8.0
19034,9.97,54,1:28.0
19059,9.97,11,1:12.0
19098,9.97,4,0:4.0;1:4.0
19111,9.97,35,1:8.0
19286,9.97,43,1:30.0
19324,9.97,198,1:36.0;3:90.0
19334,9.97,30,1:16.0
19397,9.97,15,1:22.0
19410,9.97,16,0:4.0
19428,9.97,34,1:8.0
19431,9.97,7,1:8.0
19483,9.97,9,1:4.0
19532,9.97,28,1:12.0
19556,9.97,198,0:4.0
19578,9.97,198,2:24.0
19621,9.97,11,1:8.0
19624,9.97,12,0:4.0
19644,9.97,198,0:4.0
19746,9.97,58,1:16.0
19747,9.97,46,1:28.0;2:28.0
19832,9.97,198,0:4.0;1:4.0
19869,9.97,5,1:4.0
19910,9.97,198,1:8.0
19932,9.97,6,0:4.0
19955,9.97,4,1:4.0
19960,9.97,8,0:4.0
19991,9.97,199,1:16.0
20028,9.97,4,1:8.0
20080,9.97,198,1:12.0
20111,9.97,35,1:8.0
20152,9.97,26,1:8.0
20192,9.97,198,0:4.0
20239,9.97,17,1:4.0
20412,9.97,198,1:16.0
20439,9.97,199,1:8.0
20478,9.97,34,1:8.0
20496,9.97,13,2:30.0
20508,9.97,2,0:4.0
20548,9.97,4,0:4.0
20571,9.97,7,1:4.0
20592,9.97,33,1:10.0
20609,9.97,43,1:22.0
20706,9.97,34,1:36.0
20716,9.97,4,0:4.0
20836,9.97,6,0:4.0
20846,9.97,12,0:4.0
20906,9.97,96,1:36.0;2:36.0
20926,9.97,6,0:4.0;1:4.0
20932,9.97,4,0:4.0
21004,9.97,4,0:4.0
21034,9.97,6,0:4.0
21108,9.97,2,0:4.0
21123,9.97,34,1:10.0
21210,9.97,133,1:10.0
21340,9.97,54,2:112.0
21430,9.97,26,1:28.0
21616,9.97,145,0:4.0
21665,9.97,83,1:4.0
21721,9.97,17,1:12.0
21776,9.97,163,3:120.0
21828,9.97,72,1:12.0
21842,9.97,122,1:62.0
21873,9.97,29,1:12.0
21903,9.97,19,1:8.0
21954,9.97,6,0:4.0
21957,9.97,199,1:14.0
21966,9.97,33,1:28.0
21972,9.97,198,2:24.0
21983,9.97,27,1:28.0
22006,9.97,18,1:8.0;2:8.0
22038,9.97,198,0:4.0
22053,9.97,185,1:124.0
22198,9.96,2,0:4.0
22216,9.96,54,1:8.0
22310,9.96,2,0:4.0
22371,9.96,3,1:4.0
22457,9.96,10,1:22.0
22508,9.96,6,1:8.0
22517,9.96,199,1:4.0
22533,9.96,39,1:16.0
22540,9.96,25,2:54.0
22660,9.96,6,0:4.0
22672,9.96,43,1:10.0;3:30.0
22790,9.96,2,0:4.0;1:4.0
22843,9.96,87,1:4.0
22923,9.96,63,1:32.0
23088,9.96,6,0:4.0
23130,9.96,10,1:8.0
23218,9.96,68,1:20.0
23291,9.96,11,1:12.0
23306,9.96,18,1:8.0
23380,9.96,198,1:36.0
23389,9.96,5,1:8.0
23392,9.96,2,0:4.0
23488,9.96,103,0:4.0
23538,9.96,2,0:4.0
23627,9.96,3,1:4.0
23666,9.96,198,1:16.0
23667,9.96,1,1:4.0
23762,9.96,14,1:8.0
23772,9.96,3,0:4.0
23877,9.96,3,1:4.0
23918,9.96,4,0:4.0
23922,9.96,34,1:8.0
23954,9.96,4,0:4.0
24026,9.96,18,1:8.0
24068,9.96,23,1:10.0
24175,9.96,13,1:4.0
24361,9.96,32,1:22.0
24430,9.96,6,1:8.0
24507,9.96,35,1:8.0
24573,9.96,199,1:4.0
24625,9.96,43,1:22.0
24626,9.96,198,1:30.0
24923,9.96,17,1:4.0
25020,9.96,2,0:4.0
25024,9.96,198,1:16.0
25111,9.96,7,1:4.0
25127,9.96,69,1:28.0
25154,9.96,198,1:8.0
25187,9.96,199,1:52.0;2:52.0
25262,9.96,198,2:60.0
25340,9.96,8,0:4.0
25356,9.96,126,1:8.0
25376,9.96,198,1:12.0
25414,9.96,48,1:20.0
25548,9.96,198,2:72.0
25710,9.96,198,1:36.0
25757,9.96,9,1:4.0
25808,9.96,2,0:4.0
25904,9.96,198,2:48.0;3:162.0
25982,9.96,16,0:4.0;1:4.0
25994,9.96,198,1:8.0
26018,9.96,142,0:4.0
26052,9.96,52,1:12.0
26208,9.96,3,0:4.0
26253,9.96,199,1:22.0
26301,9.96,125,1:28.0
26370,9.96,198,1:20.0
26392,9.96,18,1:8.0
26444,9.96,54,1:28.0
26445,9.96,3,1:4.0
26450,9.96,12,0:4.0
26487,9.96,5,1:4.0
26504,9.96,198,1:134.0
26525,9.96,9,1:4.0;2:4.0
26534,9.96,0,0:4.0;1:4.0
26562,9.96,198,1:16.0
26622,9.96,193,1:8.0
26693,9.96,54,1:22.0
26712,9.96,4,0:4.0
26766,9.96,8,1:10.0
26798,9.96,198,1:8.0
26806,9.96,8,0:4.0
26864,9.96,12,1:28.0
26881,9.96,27,1:8.0
26900,9.96,16,1:36.0;2:36.0;3:36.0
27056,9.96,16,0:4.0
27061,9.96,11,1:8.0
27114,9.96,198,1:36.0
27122,9.96,158,2:24.0
27180,9.96,12,0:4.0
27414,9.96,2,0:4.0
27459,9.96,3,1:4.0
27480,9.96,26,1:8.0
27494,9.96,3,0:4.0
27505,9.96,199,1:28.0
27524,9.96,43,3:90.0
27538,9.96,12,0:4.0
27609,9.96,17,1:4.0
27612,9.96,30,1:16.0;2:16.0
27626,9.96,198,3:100.0
27652,9.96,2,0:4.0
27703,9.96,21,1:22.0
27788,9.96,6,1:8.0
27799,9.96,9,1:4.0
27806,9.96,43,1:36.0
27834,9.96,198,3:48.0
27848,9.96,16,0:4.0
27862,9.96,2,0:4.0
27871,9.96,4,1:4.0
27970,9.96,12,0:4.0
28114,9.96,8,0:4.0
28222,9.96,198,3:162.0
28336,9.96,198,0:4.0;3:180.0
28358,9.96,2,0:4.0
28434,9.95,10,1:16.0
28438,9.95,2,0:4.0
28468,9.95,8,0:4.0
28490,9.95,8,0:4.0
28502,9.95,4,0:4.0
28648,9.95,198,3:252.0
28710,9.95,12,0:4.0
28764,9.95,10,1:12.0
28791,9.95,9,1:10.0;2:10.0
28793,9.95,3,1:4.0
28819,9.95,20,1:28.0
28858,9.95,26,1:8.0
28862,9.95,6,0:4.0
28882,9.95,78,3:160.0
28907,9.95,7,1:4.0
28929,9.95,97,1:28.0
28931,9.95,14,1:20.0
28933,9.95,199,1:12.0
28974,9.95,6,0:4.0
29008,9.95,18,1:20.0
29048,9.95,38,1:16.0
29064,9.95,4,0:4.0
29072,9.95,12,0:4.0
29094,9.95,198,1:74.0
29100,9.95,103,0:4.0
29174,9.95,17,0:4.0;2:8.0
29190,9.95,198,1:16.0
29211,9.95,199,1:16.0
29228,9.95,54,1:28.0
29264,9.95,198,0:4.0
29308,9.95,54,1:16.0
29344,9.95,198,2:234.0
29454,9.95,6,0:4.0
29628,9.95,12,0:4.0
29650,9.95,198,1:8.0
29651,9.95,4,1:4.0
29716,9.95,198,0:4.0
29810,9.95,198,2:330.0
29907,9.95,131,1:8.0
29925,9.95,199,1:16.0
29954,9.95,4,0:4.0
29996,9.95,18,1:10.0
30004,9.95,198,0:4.0
30014,9.95,198,0:4.0
30022,9.95,6,0:4.0
30069,9.95,6,1:10.0
30130,9.95,3,0:4.0;1:4.0
30238,9.95,6,0:4.0
30264,9.95,6,0:4.0
30278,9.95,198,1:16.0
30314,9.95,16,1:36.0
30412,9.95,7,1:12.0
30419,9.95,4,1:4.0
30450,9.95,2,0:4.0
30512,9.95,3,0:4.0;1:4.0
30616,9.95,12,0:4.0
30634,9.95,187,3:108.0
30676,9.95,40,1:12.0
30714,9.95,16,0:4.0
30784,9.95,8,1:10.0
30892,9.95,4,0:4.0
30939,9.95,7,1:16.0
30952,9.95,13,1:12.0
31090,9.95,198,2:24.0
31181,9.95,11,1:8.0
31269,9.95,199,1:50.0
31299,9.95,96,1:28.0
31311,9.95,3,1:4.0;2:4.0
31426,9.95,124,3:168.0
31486,9.95,38,1:20.0
31496,9.95,198,3:180.0
31538,9.95,2,0:4.0
31592,9.95,48,1:20.0
31798,9.95,6,1:8.0
31807,9.95,47,1:12.0
31846,9.95,148,2:40.0
31852,9.95,118,2:40.0
31910,9.95,198,0:4.0
31914,9.95,16,1:12.0;2:12.0
31970,9.95,30,1:16.0
31985,9.95,23,1:8.0
32044,9.95,70,1:16.0
32174,9.95,70,0:4.0;1:4.0
32314,9.95,198,1:28.0
32318,9.95,198,0:4.0
32346,9.95,6,1:8.0
32366,9.95,106,1:24.0
32368,9.95,198,0:4.0;1:4.0
32379,9.95,11,1:12.0
32446,9.95,198,1:12.0
32527,9.95,199,1:12.0
32596,9.95,8,0:4.0
32625,9.95,17,1:4.0
32636,9.95,33,1:28.0
32643,9.95,32,1:22.0
