episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
30000,0.665,5385.0,0.915,-1542.5
60000,0.525,357.5,0.895,-1682.5
90000,0.595,3212.5,0.92,872.5
120000,0.53,-762.5,0.93,302.5
150000,0.535,-217.5,0.915,522.5
180000,0.545,75.0,0.925,1225.0
210000,0.535,3215.0,0.95,1665.0
240000,0.445,1560.0,0.935,1087.5
270000,0.435,-2587.5,0.95,1120.0
300000,0.535,772.5,0.925,555.0
330000,0.505,-3462.5,0.93,1507.5
360000,0.525,-2352.5,0.94,1495.0
390000,0.54,-605.0,0.885,-860.0
420000,0.585,5685.0,0.95,1357.5
450000,0.505,-1237.5,0.94,1027.5
480000,0.555,-1367.5,0.92,782.5
510000,0.47,-1760.0,0.955,1910.0
540000,0.53,1330.0,0.955,1362.5
570000,0.595,1290.0,0.93,1392.5
600000,0.57,-865.0,0.975,2212.5
630000,0.56,2735.0,0.93,392.5
660000,0.51,300.0,0.92,1860.0
690000,0.52,2500.0,0.93,540.0
720000,0.535,-2497.5,0.945,1022.5
750000,0.51,532.5,0.935,1370.0
780000,0.54,-1720.0,0.94,1540.0
810000,0.475,-3965.0,0.955,892.5
840000,0.59,3285.0,0.935,225.0
870000,0.495,-3105.0,0.94,580.0
900000,0.455,-902.5,0.93,657.5
930000,0.47,-910.0,0.93,750.0
960000,0.44,-1607.5,0.935,1667.5
990000,0.51,5767.5,0.935,637.5
1020000,0.5,-3977.5,0.955,1450.0
1050000,0.52,-3952.5,0.895,117.5
1080000,0.59,4145.0,0.95,1167.5
1110000,0.5,-730.0,0.945,2135.0
1140000,0.515,-275.0,0.93,2427.5
1170000,0.445,-4475.0,0.915,907.5
1200000,0.545,2515.0,0.935,1405.0
1230000,0.52,-3120.0,0.9,1150.0
1260000,0.54,1442.5,0.945,2485.0
1290000,0.535,-1172.5,0.93,855.0
1320000,0.52,390.0,0.95,942.5
1350000,0.535,-1630.0,0.935,1360.0
1380000,0.54,2085.0,0.92,2322.5
1410000,0.505,150.0,0.915,425.0
1440000,0.505,-4390.0,0.92,1545.0
1470000,0.51,-4232.5,0.96,1640.0
1500000,0.545,317.5,0.935,577.5
1530000,0.49,-1447.5,0.95,1350.0
1560000,0.555,-3332.5,0.92,1180.0
1590000,0.455,-3652.5,0.9,522.5
1620000,0.475,-1855.0,0.94,902.5
1650000,0.475,1270.0,0.96,1237.5
1680000,0.57,175.0,0.95,1605.0
1710000,0.525,-887.5,0.91,570.0
1740000,0.515,-492.5,0.935,655.0
1770000,0.53,1775.0,0.92,2625.0
1800000,0.525,-432.5,0.93,1282.5
1830000,0.535,2650.0,0.9,1260.0
1860000,0.545,2475.0,0.94,1067.5
1890000,0.485,567.5,0.93,1032.5
1920000,0.46,-580.0,0.91,885.0
1950000,0.485,815.0,0.96,2045.0
1980000,0.535,-942.5,0.925,1505.0
2010000,0.52,2842.5,0.935,1010.0
2040000,0.59,1582.5,0.925,1270.0
2070000,0.51,-327.5,0.93,1155.0
2100000,0.5,630.0,0.935,832.5
2130000,0.45,-3600.0,0.925,815.0
2160000,0.475,502.49999999999994,0.905,977.5
2190000,0.5,-117.5,0.93,995.0
2220000,0.43,-3167.5,0.94,695.0
2250000,0.52,2577.5,0.975,2220.0
2280000,0.515,-60.0,0.925,1462.5
2310000,0.52,-2167.5,0.92,642.5
2340000,0.515,-1152.5,0.93,1385.0
2370000,0.51,-1907.5,0.92,1585.0
2400000,0.47,-6007.5,0.92,670.0
2430000,0.46,1847.5,0.935,2065.0
2460000,0.5,-5015.0,0.93,637.5
2490000,0.52,-3095.0,0.92,1000.0
2520000,0.525,-1190.0,0.935,1887.5
2550000,0.5,-1422.5,0.92,905.0
2580000,0.495,-652.5,0.895,807.5
2610000,0.525,-825.0,0.935,1222.5
2640000,0.545,-377.5,0.945,1380.0
2670000,0.425,-700.0,0.935,625.0
2700000,0.445,-4280.0,0.94,1120.0
2730000,0.545,-3872.5,0.955,1077.5
2760000,0.505,-2357.5,0.935,802.5
2790000,0.495,-2457.5,0.95,425.0
2820000,0.47,-2102.5,0.95,1295.0
2850000,0.505,-1462.5,0.96,2032.5000000000002
2880000,0.525,-1477.5,0.92,780.0
2910000,0.52,-3512.5,0.915,1402.5
2940000,0.49,-3045.0,0.885,1187.5
2970000,0.6,1585.0,0.965,1300.0
3000000,0.545,-67.5,0.93,1012.5
3030000,0.485,-1795.0,0.93,892.5
3060000,0.525,3162.5,0.925,1170.0
3090000,0.43,217.5,0.925,1072.5
3120000,0.455,385.0,0.955,797.5
3150000,0.45,-1930.0,0.965,1787.5
3180000,0.515,50.0,0.905,1360.0
3210000,0.46,-2442.5,0.925,1307.5
3240000,0.51,-1770.0,0.905,737.5
3270000,0.58,1540.0,0.92,1220.0
3300000,0.51,-102.5,0.945,1755.0
3330000,0.495,-2132.5,0.93,1435.0
3360000,0.47,-2775.0,0.945,1382.5
3390000,0.455,-3440.0,0.9,242.5
3420000,0.49,-140.0,0.915,1685.0
3450000,0.525,392.5,0.92,627.5
3480000,0.52,-27.5,0.94,1497.5
3510000,0.545,685.0,0.925,782.5
3540000,0.535,345.0,0.915,875.0
3570000,0.465,-4017.5,0.92,2205.0
3600000,0.5,-2665.0,0.96,1480.0
3630000,0.49,135.0,0.935,1552.5
3660000,0.505,542.5,0.94,1335.0
3690000,0.52,-2007.4999999999998,0.935,1460.0
3720000,0.48,-1022.5,0.93,1387.5
3750000,0.55,2402.5,0.94,2080.0
3780000,0.51,565.0,0.925,1110.0
