episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
30000,0.665,8430.0,0.925,-1495.0
60000,0.54,2822.5,0.925,2875.0
90000,0.52,2412.5,0.915,482.5
120000,0.53,225.0,0.95,57.5
150000,0.49,-3582.5,0.935,1740.0
180000,0.57,3220.0,0.925,-330.0
210000,0.475,2257.5,0.935,1602.5
240000,0.535,-2485.0,0.96,2082.5
270000,0.5,2677.5,0.93,1477.5
300000,0.52,280.0,0.96,627.5
330000,0.5,1002.5,0.925,965.0
360000,0.535,-1002.5,0.92,347.5
390000,0.52,-1765.0,0.885,-1170.0
420000,0.565,-432.5,0.945,1452.5
450000,0.585,-155.0,0.945,1952.5
480000,0.525,955.0,0.92,307.5
510000,0.51,2572.5,0.945,1147.5
540000,0.505,-650.0,0.945,1257.5
570000,0.555,260.0,0.93,2530.0
600000,0.445,-2172.5,0.925,-135.0
630000,0.515,135.0,0.925,2022.5
660000,0.46,-3007.5,0.94,1697.5
690000,0.54,-1757.5,0.95,947.5
720000,0.53,1522.5,0.935,1775.0
750000,0.515,-2077.5,0.93,1035.0
780000,0.52,-1495.0,0.89,1375.0
810000,0.55,2207.5,0.945,467.5
840000,0.59,1177.5,0.91,542.5
870000,0.53,970.0,0.93,2472.5
900000,0.525,-647.5,0.95,1067.5
930000,0.475,442.5,0.96,1972.5
960000,0.55,-3605.0,0.935,1800.0
990000,0.495,-2672.5,0.945,1215.0
1020000,0.46,-1127.5,0.96,1275.0
1050000,0.505,-3447.5,0.95,305.0
1080000,0.555,-1562.5,0.92,897.5
1110000,0.535,972.5,0.935,912.5
1140000,0.505,-657.5,0.93,1900.0
1170000,0.465,-3275.0,0.93,540.0
1200000,0.58,-545.0,0.92,857.5
1230000,0.475,-1515.0,0.915,1635.0
1260000,0.495,2580.0,0.95,1675.0
1290000,0.51,310.0,0.95,450.0
1320000,0.58,765.0,0.92,20.0
1350000,0.49,-4300.0,0.91,1487.5
1380000,0.485,-2065.0,0.945,1725.0
1410000,0.51,-1175.0,0.945,3127.5
1440000,0.575,1280.0,0.9,662.5
1470000,0.525,-1160.0,0.94,1052.5
1500000,0.52,2630.0,0.945,1230.0
