episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
8000,0.63,5952.5,0.935,-350.0
16000,0.525,987.5,0.93,1945.0
24000,0.535,-1135.0,0.945,145.0
32000,0.525,437.5,0.945,1725.0
40000,0.565,4732.5,0.935,1220.0
48000,0.525,1967.5,0.955,1180.0
56000,0.495,497.5,0.91,375.0
64000,0.515,4785.0,0.92,200.0
72000,0.515,-37.5,0.94,2202.5
80000,0.44,-865.0,0.9,45.0
88000,0.51,-1090.0,0.945,1215.0
96000,0.56,407.5,0.935,1575.0
104000,0.54,2095.0,0.955,2322.5
112000,0.56,-292.5,0.955,252.5
120000,0.565,1565.0,0.91,2862.5
128000,0.5,-720.0,0.93,635.0
136000,0.52,672.5,0.945,712.5
144000,0.535,4760.0,0.945,1342.5
152000,0.505,762.5,0.915,1285.0
160000,0.48,582.5,0.925,767.5
168000,0.54,137.5,0.93,467.5
176000,0.52,3350.0,0.94,1310.0
184000,0.535,2432.5,0.925,752.5
192000,0.535,2220.0,0.93,800.0
200000,0.58,3887.5,0.94,1205.0
208000,0.575,3060.0,0.94,1157.5
216000,0.51,-732.5,0.895,767.5
224000,0.54,805.0,0.945,740.0
232000,0.525,2400.0,0.925,297.5
240000,0.485,2675.0,0.925,412.5
248000,0.555,390.0,0.93,795.0
256000,0.515,-1067.5,0.94,820.0
264000,0.6,6197.5,0.915,227.5
272000,0.48,1245.0,0.935,645.0
280000,0.48,-1302.5,0.915,187.5
288000,0.455,-842.5,0.915,122.5
296000,0.475,687.5,0.94,1182.5
304000,0.485,40.0,0.935,807.5
312000,0.57,1212.5,0.94,1457.5
320000,0.56,3225.0,0.95,2332.5
328000,0.505,1217.5,0.92,710.0
336000,0.565,-87.5,0.945,1257.5
344000,0.595,2445.0,0.93,1620.0
352000,0.515,940.0,0.955,1017.5000000000001
360000,0.52,1027.5,0.93,1252.5
368000,0.515,1967.5,0.945,1855.0
376000,0.5,-382.5,0.925,-1107.5
384000,0.615,6127.5,0.915,765.0
392000,0.535,1670.0,0.905,315.0
400000,0.52,-5702.5,0.945,87.5
408000,0.585,8830.0,0.905,1590.0
416000,0.57,-862.5,0.96,1472.5
424000,0.575,2672.5,0.895,1045.0
432000,0.54,4232.5,0.93,1197.5
440000,0.505,1477.5,0.915,1662.5
448000,0.45,-1412.5,0.93,752.5
456000,0.535,2265.0,0.925,905.0
464000,0.515,272.5,0.925,1217.5
472000,0.47,3112.5,0.905,180.0
480000,0.53,687.5,0.915,1525.0
488000,0.555,260.0,0.915,867.5
496000,0.515,-497.5,0.91,-192.5
504000,0.43,680.0,0.915,1155.0
512000,0.51,-555.0,0.95,937.5
520000,0.465,-170.0,0.925,707.5
528000,0.6,3732.5,0.94,632.5
536000,0.505,2492.5,0.935,657.5
544000,0.465,-487.5,0.92,690.0
552000,0.555,3222.5,0.925,1787.5
560000,0.57,3595.0,0.95,1222.5
568000,0.55,3247.5,0.92,577.5
576000,0.54,1802.5,0.915,1550.0
584000,0.485,-240.0,0.935,760.0
592000,0.575,4242.5,0.93,802.5
600000,0.495,1432.5,0.895,295.0
608000,0.5,-2772.5,0.915,667.5
616000,0.42,-2155.0,0.97,877.5
624000,0.545,797.5,0.925,685.0
632000,0.5,2375.0,0.935,720.0
640000,0.495,1325.0,0.935,745.0
648000,0.525,-2817.5,0.93,1077.5
656000,0.58,-330.0,0.925,810.0
664000,0.475,-710.0,0.91,502.49999999999994
672000,0.515,425.0,0.92,737.5
680000,0.495,-747.5,0.9,730.0
688000,0.575,2655.0,0.92,930.0
696000,0.575,2265.0,0.94,877.5
704000,0.505,1825.0,0.955,1297.5
712000,0.455,-1107.5,0.915,607.5
720000,0.525,-3680.0,0.93,715.0
728000,0.495,1610.0,0.895,1120.0
