episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
8000,0.58,8497.5,0.92,370.0
16000,0.585,4350.0,0.95,4012.5
24000,0.505,-1272.5,0.955,1422.5
32000,0.485,-2102.5,0.935,995.0
40000,0.56,3997.5,0.925,1177.5
48000,0.495,1117.5,0.93,670.0
56000,0.575,-635.0,0.93,730.0
64000,0.56,6630.0,0.935,1650.0
72000,0.58,5122.5,0.95,2242.5
80000,0.53,-1187.5,0.89,382.5
88000,0.405,160.0,0.925,1245.0
96000,0.595,760.0,0.925,2055.0
104000,0.51,-607.5,0.925,1602.5
112000,0.615,3497.5,0.945,-507.49999999999994
120000,0.595,2310.0,0.92,1817.5
128000,0.455,110.0,0.92,42.5
136000,0.45,-1960.0,0.93,665.0
144000,0.545,3945.0,0.92,92.5
152000,0.505,-652.5,0.905,2625.0
160000,0.51,-1220.0,0.925,565.0
168000,0.575,1945.0,0.95,1295.0
176000,0.565,6055.0,0.92,475.0
184000,0.595,4967.5,0.945,790.0
192000,0.54,1817.5,0.92,665.0
200000,0.56,-22.5,0.94,327.5
208000,0.465,17.5,0.92,355.0
216000,0.515,82.5,0.905,1567.5
224000,0.535,195.0,0.95,1165.0
232000,0.57,40.0,0.935,802.5
240000,0.525,3990.0,0.94,1222.5
248000,0.52,-1720.0,0.915,655.0
256000,0.58,1215.0,0.925,695.0
264000,0.515,1050.0,0.935,1027.5
272000,0.55,575.0,0.93,1552.5
280000,0.55,660.0,0.935,780.0
288000,0.545,-4157.5,0.93,1125.0
296000,0.45,-722.5,0.91,977.5
304000,0.585,7370.0,0.93,692.5
312000,0.55,2622.5,0.925,680.0
320000,0.515,1252.5,0.91,1207.5
328000,0.525,47.5,0.965,1147.5
336000,0.55,4407.5,0.93,602.5
344000,0.6,4152.5,0.93,352.5
352000,0.535,2760.0,0.945,850.0
360000,0.48,-1500.0,0.955,910.0
368000,0.525,990.0,0.93,1240.0
376000,0.545,1652.5,0.93,-305.0
384000,0.465,-1582.5,0.955,962.5
392000,0.48,-715.0,0.915,705.0
400000,0.51,-2330.0,0.92,80.0
408000,0.49,2740.0,0.905,1387.5
416000,0.51,940.0,0.89,945.0
424000,0.575,-1050.0,0.925,787.5
432000,0.53,87.5,0.95,757.5
440000,0.485,1615.0,0.94,695.0
448000,0.5,-217.5,0.925,472.5
456000,0.52,-3712.5,0.905,572.5
464000,0.49,1127.5,0.895,2042.5
472000,0.54,2405.0,0.92,1152.5
480000,0.52,-1027.5,0.905,1267.5
488000,0.49,-190.0,0.91,810.0
496000,0.56,27.5,0.94,880.0
504000,0.535,2662.5,0.93,1202.5
512000,0.515,3535.0,0.93,562.5
520000,0.545,102.5,0.92,185.0
528000,0.595,8325.0,0.925,452.5
536000,0.575,1612.5,0.925,240.0
544000,0.48,1400.0,0.895,655.0
552000,0.58,2637.5,0.945,1237.5
560000,0.48,-2575.0,0.895,335.0
568000,0.555,-1392.5,0.89,1112.5
576000,0.52,2120.0,0.915,2520.0
584000,0.53,2902.5,0.915,1110.0
592000,0.62,260.0,0.935,727.5
600000,0.515,-2272.5,0.92,437.5
608000,0.52,-1187.5,0.94,707.5
616000,0.48,-2990.0,0.97,1052.5
624000,0.53,-425.0,0.935,895.0
632000,0.48,612.5,0.925,682.5
640000,0.545,2440.0,0.93,1155.0
648000,0.555,3615.0,0.94,705.0
656000,0.645,3900.0,0.96,820.0
664000,0.52,-2092.5,0.955,985.0
672000,0.545,1150.0,0.94,602.5
680000,0.53,4187.5,0.98,1440.0
688000,0.5,-190.0,0.945,985.0
696000,0.515,567.5,0.945,925.0
704000,0.455,1105.0,0.9,1215.0
712000,0.545,887.5,0.95,747.5
