episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
30000,0.68,9360.0,0.935,-1965.0
60000,0.565,787.5,0.93,1220.0
90000,0.515,-757.5,0.915,-135.0
120000,0.55,2047.4999999999998,0.945,1085.0
150000,0.465,-2915.0,0.955,1330.0
180000,0.555,2945.0,0.9,1260.0
210000,0.57,27.5,0.91,265.0
240000,0.65,5107.5,0.915,-377.5
270000,0.505,-2090.0,0.925,1135.0
300000,0.605,2627.5,0.91,1417.5
330000,0.55,2765.0,0.945,1492.5
360000,0.495,2202.5,0.92,610.0
390000,0.55,840.0,0.935,1090.0
420000,0.46,-2050.0,0.92,1450.0
450000,0.435,-2045.0,0.915,2612.5
480000,0.495,-182.5,0.94,1517.5
510000,0.495,-1557.5,0.95,1120.0
540000,0.555,-412.5,0.91,-622.5
570000,0.485,-855.0,0.925,1640.0
600000,0.445,-1312.5,0.94,957.5
630000,0.5,347.5,0.95,1550.0
660000,0.54,2460.0,0.92,150.0
690000,0.495,-2675.0,0.93,1065.0
720000,0.535,-440.0,0.93,1340.0
750000,0.515,-1112.5,0.92,965.0
780000,0.515,-1042.5,0.95,1042.5
810000,0.535,2360.0,0.935,1330.0
840000,0.44,-5080.0,0.94,1140.0
870000,0.455,-3160.0,0.95,1090.0
900000,0.485,-377.5,0.89,427.5
930000,0.51,-565.0,0.935,1087.5
960000,0.55,-2402.5,0.9,287.5
990000,0.465,162.5,0.91,550.0
1020000,0.53,1722.5,0.93,1892.5
1050000,0.45,-3987.5,0.935,1162.5
1080000,0.51,-912.5,0.91,1017.5000000000001
1110000,0.53,1947.5,0.905,-482.5
1140000,0.57,-3157.5,0.93,1585.0
1170000,0.545,-355.0,0.94,1267.5
1200000,0.51,897.5,0.91,1052.5
1230000,0.485,1302.5,0.94,632.5
1260000,0.485,-1517.5,0.925,1975.0
1290000,0.555,3275.0,0.93,1185.0
1320000,0.495,-972.5,0.925,1285.0
1350000,0.5,-1295.0,0.925,1890.0
1380000,0.455,-605.0,0.92,1505.0
1410000,0.47,-945.0,0.93,982.5
1440000,0.505,560.0,0.915,237.5
1470000,0.555,1120.0,0.925,1340.0
1500000,0.525,-957.5,0.93,1310.0
1530000,0.525,-142.5,0.92,552.5
1560000,0.59,2035.0000000000002,0.91,1302.5
1590000,0.51,1060.0,0.945,1425.0
1620000,0.505,-2222.5,0.92,1815.0
1650000,0.545,585.0,0.965,2200.0
1680000,0.485,-2282.5,0.91,122.5
1710000,0.515,-1410.0,0.93,1605.0
1740000,0.515,1460.0,0.91,627.5
1770000,0.51,-500.0,0.94,800.0
1800000,0.555,-427.5,0.92,1067.5
1830000,0.455,-1262.5,0.935,2127.5
1860000,0.5,-1515.0,0.945,1672.5
