mode,eps_min,alpha_min,weight
absorption,2.4004,0.336155,8
absorption,0.6161,0.063245,9
absorption,2.2575,0.316141,5
absorption,0.6014,0.061737,5
absorption,2.4431,0.342143,5
absorption,0.5268,0.054077,4
absorption,0.6001,0.052575,3
absorption,1.0085,0.088352,1
absorption,2.9710,0.416059,3
absorption,1.6263,0.166944,8
absorption,0.8413,0.086354,1
absorption,2.7453,0.384463,6
absorption,0.7901,0.081104,6
absorption,0.4381,0.061347,5
absorption,1.2952,0.132956,3
absorption,0.6229,0.063941,3
absorption,1.8598,0.190904,3
absorption,0.3644,0.037402,3
absorption,0.2629,0.036811,4
absorption,1.6020,0.164450,4
absorption,2.3639,0.331046,4
absorption,0.1908,0.019584,12
absorption,1.2180,0.125027,3
absorption,0.6058,0.062182,4
absorption,1.2774,0.131130,1
absorption,2.3922,0.335007,7
absorption,1.8331,0.188165,5
absorption,0.9615,0.098702,3
absorption,0.7858,0.110048,3
absorption,1.9331,0.169357,4
absorption,2.2562,0.231600,4
absorption,1.3117,0.183698,3
absorption,3.8979,0.545875,3
absorption,3.0821,0.431626,3
absorption,1.1561,0.118678,1
absorption,2.3592,0.242170,6
absorption,1.6855,0.173017,4
absorption,0.2186,0.019151,1
absorption,1.2441,0.127705,4
absorption,2.2129,0.309897,6
absorption,1.3047,0.133931,6
absorption,1.4940,0.209220,8
absorption,1.8091,0.185709,11
absorption,5.7985,0.812036,6
absorption,1.1786,0.120986,5
absorption,0.9611,0.098660,3
absorption,0.6570,0.067444,6
absorption,0.7582,0.066424,2
absorption,1.4240,0.146169,5
absorption,4.5526,0.637559,2
absorption,0.3746,0.038449,10
absorption,0.1486,0.013019,1
absorption,1.2003,0.123214,2
absorption,0.1999,0.020516,1
absorption,0.4400,0.027196,1
absorption,1.9072,0.267090,3
absorption,0.2950,0.018231,1
absorption,0.1069,0.014966,5
absorption,2.6578,0.232843,1
absorption,2.3958,0.245931,4
absorption,2.2326,0.229179,3
absorption,0.1652,0.010210,1
absorption,0.5123,0.071749,2
absorption,9.6604,1.352869,3
absorption,0.0708,0.006203,2
absorption,0.2838,0.039738,5
absorption,4.6193,0.646897,3
absorption,2.2046,0.226307,1
absorption,1.4182,0.145577,1
absorption,0.3464,0.035561,2
absorption,1.3120,0.183731,3
absorption,2.1980,0.225629,5
absorption,0.6278,0.064443,1
absorption,1.6445,0.168806,4
absorption,0.1629,0.014271,1
absorption,0.5107,0.031567,1
absorption,2.3264,0.325796,4
absorption,0.0937,0.009619,1
absorption,0.2995,0.030739,3
absorption,1.8972,0.194744,2
absorption,1.1705,0.102546,1
absorption,0.9763,0.100212,2
absorption,0.3505,0.021664,1
absorption,0.4700,0.048247,2
absorption,2.1422,0.219898,1
absorption,0.0207,0.002128,2
absorption,1.9992,0.205222,2
absorption,0.2087,0.018286,1
absorption,0.4583,0.064188,1
absorption,1.8300,0.187851,2
absorption,1.2368,0.126958,1
absorption,0.0510,0.004469,1
absorption,0.6701,0.068788,1
absorption,0.2168,0.013400,1
absorption,0.8744,0.089753,1
absorption,1.6469,0.144281,1
absorption,2.1820,0.223987,1
absorption,2.3938,0.196539,6
absorption,3.4652,0.284498,4
absorption,1.0799,0.106866,7
absorption,1.5166,0.124516,5
absorption,1.4113,0.139663,3
absorption,2.6828,0.220264,2
absorption,2.2896,0.187983,1
absorption,0.0118,0.000967,4
absorption,3.9437,0.390271,6
absorption,1.1583,0.046635,2
absorption,0.4826,0.039626,1
absorption,0.9050,0.074299,2
absorption,2.6081,0.258100,4
absorption,0.0633,0.005199,5
absorption,0.6904,0.056679,1
absorption,0.9373,0.076958,2
absorption,1.0226,0.083958,5
absorption,2.4748,0.244913,4
absorption,1.3596,0.111622,9
absorption,2.2268,0.182828,4
absorption,1.7235,0.108445,1
absorption,5.0686,0.501589,3
absorption,2.1808,0.179051,3
absorption,1.3037,0.082031,4
absorption,1.6900,0.138754,9
absorption,1.7486,0.173038,3
absorption,2.8814,0.236565,5
absorption,2.4367,0.200061,4
absorption,3.7734,0.373422,4
absorption,7.0213,0.694838,3
absorption,4.7160,0.466697,4
absorption,1.3311,0.131730,8
absorption,0.8575,0.084859,5
absorption,0.4201,0.026436,2
absorption,0.4822,0.039593,1
absorption,2.5825,0.212025,1
absorption,0.4549,0.037350,5
absorption,1.0182,0.100763,4
absorption,1.9184,0.120705,2
absorption,1.5520,0.127423,2
absorption,0.8880,0.035753,2
absorption,1.7232,0.170531,6
absorption,2.6732,0.219473,5
absorption,0.0469,0.004643,5
absorption,0.9571,0.078579,3
absorption,2.2543,0.223083,4
absorption,3.9783,0.393694,1
absorption,1.1240,0.092283,3
absorption,1.4230,0.116828,5
absorption,3.6499,0.229651,1
absorption,1.1883,0.097560,4
absorption,1.3650,0.085889,1
absorption,1.6202,0.133023,5
absorption,2.6572,0.218160,5
absorption,2.4567,0.201697,1
absorption,3.5379,0.222607,2
absorption,3.2430,0.320929,4
absorption,0.0387,0.002437,3
absorption,7.5022,0.742424,1
absorption,0.9881,0.081126,2
absorption,2.4717,0.202933,4
absorption,5.9458,0.588400,2
absorption,0.5757,0.036222,1
absorption,1.2871,0.105673,4
absorption,1.0295,0.084520,4
absorption,0.2957,0.011906,2
absorption,0.4721,0.046716,2
absorption,0.4517,0.037086,1
absorption,2.3926,0.236772,3
absorption,17.2381,1.705900,2
absorption,1.7876,0.146769,4
absorption,0.0636,0.006291,1
absorption,1.9605,0.194009,5
absorption,0.7024,0.057668,2
absorption,0.5101,0.032097,2
absorption,1.1344,0.112263,3
absorption,1.7926,0.147172,3
absorption,0.5759,0.047284,1
absorption,1.9821,0.162733,4
absorption,0.7367,0.046355,1
absorption,1.4181,0.116429,3
absorption,0.8343,0.033590,1
absorption,3.1668,0.259996,2
absorption,1.5193,0.124735,4
absorption,6.3955,0.632902,2
absorption,0.0537,0.002164,1
absorption,0.2032,0.016685,2
absorption,0.7813,0.064147,1
absorption,2.5914,0.256443,3
absorption,1.2599,0.124683,3
absorption,2.1732,0.178421,2
absorption,0.0963,0.007907,3
absorption,5.2520,0.519743,2
absorption,1.1358,0.071466,1
absorption,1.4446,0.118602,1
absorption,1.1382,0.093449,2
absorption,1.9009,0.076533,1
absorption,0.9383,0.077040,1
absorption,2.6466,0.217289,1
absorption,1.8388,0.150971,1
absorption,1.6968,0.139310,2
absorption,0.0189,0.001190,1
absorption,0.3033,0.024897,1
absorption,1.1385,0.071637,1
absorption,0.5980,0.037624,2
absorption,3.9308,0.506114,2
absorption,0.2132,0.014845,3
absorption,1.2030,0.154893,3
absorption,1.2432,0.106095,2
absorption,0.8269,0.106473,6
absorption,2.0169,0.259693,5
absorption,2.1448,0.094320,1
absorption,0.7608,0.064926,2
absorption,1.1096,0.094693,5
