mode,eps_min,alpha_min,weight
absorption,3.3153,0.167968,7
absorption,0.0468,0.002369,8
absorption,3.6524,0.374414,21
absorption,2.9745,0.150704,10
absorption,3.2123,0.162747,8
absorption,3.2910,0.159279,6
absorption,3.7768,0.182793,8
absorption,2.0416,0.098811,7
absorption,14.4889,0.701241,15
absorption,3.1991,0.154830,5
absorption,1.0480,0.050720,7
absorption,3.3896,0.159949,7
absorption,4.4808,0.211442,18
absorption,5.1011,0.240715,9
absorption,2.4920,0.117593,6
absorption,4.0171,0.189561,8
absorption,6.2630,0.168200,7
absorption,11.1747,0.508967,7
absorption,4.6047,0.209727,18
absorption,4.6909,0.213654,9
absorption,3.4995,0.159390,9
absorption,15.5115,0.706497,6
absorption,3.3978,0.160948,5
absorption,3.7340,0.176874,9
absorption,6.1526,0.291437,7
absorption,17.1813,0.813853,14
absorption,3.9402,0.186643,5
masking,0.8650,0.246513,14
