mode,eps_min,alpha_min,weight
absorption,2.6442,0.079737,3
absorption,3.4313,0.103471,1
absorption,1.0851,0.032722,5
absorption,6.1293,0.103022,2
absorption,3.1661,0.095473,2
absorption,1.4038,0.042333,4
absorption,3.1477,0.094920,2
absorption,4.5026,0.135778,1
absorption,6.0997,0.183937,2
absorption,5.6231,0.169566,2
absorption,4.4344,0.133719,1
absorption,7.7027,0.232277,1
absorption,3.9383,0.118762,1
absorption,3.5893,0.108235,1
absorption,5.6277,0.169706,3
absorption,4.9151,0.148217,1
absorption,0.4112,0.012400,3
absorption,6.0967,0.183848,1
absorption,4.6088,0.138980,4
absorption,3.8406,0.115814,2
absorption,3.6927,0.111355,3
absorption,5.5799,0.168263,1
absorption,6.4116,0.193342,1
absorption,4.1840,0.126169,1
absorption,2.9036,0.048805,2
absorption,1.7297,0.052158,1
absorption,4.9067,0.147963,1
absorption,0.4796,0.014464,1
absorption,5.5050,0.166003,1
absorption,4.1002,0.123643,2
absorption,4.8602,0.146560,1
absorption,3.5776,0.107883,1
absorption,4.7074,0.141952,1
absorption,1.7174,0.051787,1
absorption,2.7401,0.082628,1
absorption,4.9627,0.149650,1
absorption,3.3792,0.095612,3
absorption,6.7630,0.191355,2
absorption,1.2816,0.036263,4
absorption,5.6147,0.158863,2
absorption,2.5545,0.072277,1
absorption,5.6020,0.158504,2
absorption,3.5931,0.101664,2
absorption,3.5752,0.101156,1
absorption,3.6938,0.104514,1
absorption,4.4146,0.124907,1
absorption,2.5234,0.071397,1
absorption,3.5827,0.101371,4
absorption,4.8547,0.137361,1
absorption,1.6711,0.047282,3
absorption,4.4541,0.126025,1
absorption,3.6978,0.104626,4
absorption,4.8087,0.136060,2
absorption,6.0698,0.171742,2
absorption,6.0529,0.171263,4
absorption,3.6431,0.103078,1
absorption,5.7319,0.162181,1
absorption,6.6509,0.188181,1
absorption,4.6877,0.080822,2
absorption,5.5749,0.157737,1
absorption,2.1387,0.060513,1
absorption,4.3730,0.123730,1
absorption,0.4702,0.013304,4
absorption,5.1112,0.144618,2
absorption,4.5254,0.128042,1
absorption,3.5233,0.099688,2
absorption,4.6222,0.079694,1
absorption,5.5030,0.155705,1
absorption,4.8839,0.084204,1
absorption,3.6330,0.102792,1
absorption,2.9943,0.051626,1
absorption,3.8128,0.107881,1
absorption,2.7421,0.083025,1
absorption,4.8073,0.145556,3
absorption,6.1547,0.186354,1
absorption,1.0815,0.032746,5
absorption,4.3989,0.081135,2
absorption,2.7790,0.084142,2
absorption,0.5072,0.015358,4
absorption,4.0857,0.123709,1
absorption,3.9198,0.118686,1
absorption,3.8675,0.117102,1
absorption,5.7483,0.174049,2
absorption,4.8355,0.146410,1
absorption,2.4377,0.073809,2
absorption,2.5550,0.077360,1
absorption,2.8918,0.087560,1
absorption,2.6466,0.080135,2
absorption,3.1115,0.094212,3
absorption,3.0085,0.091093,1
absorption,0.2097,0.012152,6
absorption,5.4113,0.163844,1
absorption,4.1968,0.127071,3
absorption,4.1427,0.125434,1
absorption,3.2489,0.098371,4
absorption,0.0108,0.000326,1
absorption,4.6870,0.141913,2
absorption,3.0163,0.091327,2
absorption,5.0334,0.152404,4
absorption,1.9462,0.058928,1
absorption,2.4809,0.075118,1
absorption,8.1999,0.151243,2
absorption,6.0142,0.182099,1
absorption,3.4124,0.103322,1
absorption,3.1918,0.096643,2
absorption,4.0104,0.121429,1
absorption,3.3405,0.101144,2
absorption,0.8253,0.024987,1
absorption,0.3996,0.007371,1
absorption,4.5413,0.137503,1
absorption,6.4583,0.119120,1
absorption,4.6473,0.140713,1
absorption,5.1757,0.156710,1
absorption,12.1406,0.353936,3
absorption,7.2403,0.125796,1
absorption,3.3695,0.098230,2
absorption,3.3307,0.097101,4
absorption,5.0953,0.148544,2
absorption,7.4611,0.217514,1
absorption,5.0664,0.147700,2
absorption,5.4983,0.160293,2
absorption,3.1026,0.090451,1
absorption,5.4644,0.159305,1
absorption,3.7069,0.108068,1
absorption,3.5342,0.103033,1
absorption,4.8978,0.142787,3
absorption,4.9316,0.143772,1
absorption,5.3192,0.155071,2
absorption,4.6142,0.134518,1
absorption,4.5717,0.133281,3
absorption,7.0817,0.206455,2
absorption,5.3362,0.155568,1
absorption,7.5110,0.218970,4
absorption,2.5956,0.075671,1
absorption,5.0880,0.148330,1
absorption,4.8204,0.140529,1
absorption,7.5243,0.130731,2
absorption,3.7597,0.109608,1
absorption,3.2639,0.095154,1
absorption,8.0124,0.233588,1
absorption,2.5650,0.044565,2
absorption,6.3354,0.184696,2
absorption,7.4826,0.218141,1
absorption,4.6346,0.135112,1
absorption,2.8645,0.049769,1
absorption,2.3322,0.067990,1
absorption,1.1006,0.019123,1
absorption,4.5437,0.132465,1
absorption,3.8327,0.111735,1
absorption,7.1499,0.189285,3
absorption,7.5984,0.201157,2
absorption,6.4532,0.170839,2
absorption,3.0940,0.081910,1
absorption,6.2424,0.165259,2
absorption,3.1849,0.084316,2
absorption,7.0935,0.187792,1
absorption,8.8547,0.234416,1
absorption,6.8191,0.180528,1
absorption,4.2144,0.111570,2
absorption,4.0802,0.108019,4
absorption,5.4646,0.144669,1
absorption,2.6074,0.069027,3
absorption,4.6504,0.123115,1
absorption,7.2280,0.191351,3
absorption,6.5134,0.172434,2
absorption,4.6256,0.122457,2
absorption,7.6967,0.203761,4
absorption,2.9721,0.078683,1
absorption,5.8993,0.156177,1
absorption,3.9133,0.064340,2
absorption,6.4649,0.171149,1
absorption,2.4475,0.064795,1
absorption,5.6662,0.150006,1
absorption,0.9041,0.014865,1
absorption,4.9550,0.131177,2
absorption,8.7294,0.231100,1
absorption,4.8237,0.127701,1
absorption,4.4361,0.117441,1
absorption,5.5709,0.147482,1
absorption,5.0775,0.083482,1
absorption,7.2938,0.193094,1
absorption,3.4118,0.090322,1
absorption,5.7334,0.151783,1
masking,0.3211,0.018611,5
