mode,eps_min,alpha_min,weight
absorption,1.9750,0.059555,3
absorption,2.6347,0.079449,1
absorption,0.7689,0.023188,5
absorption,5.1232,0.086112,2
absorption,2.4083,0.072622,2
absorption,1.0053,0.030316,4
absorption,2.3928,0.072155,2
absorption,0.2851,0.008596,3
absorption,2.3216,0.039022,2
absorption,1.2522,0.037761,1
absorption,0.3333,0.010049,1
absorption,2.7614,0.083271,1
absorption,1.2428,0.037476,1
absorption,2.0534,0.061920,1
absorption,2.7696,0.078364,3
absorption,0.9981,0.028241,4
absorption,2.0514,0.058043,1
absorption,2.9607,0.083771,2
absorption,2.9446,0.083315,1
absorption,3.0514,0.086337,1
absorption,2.0249,0.057292,1
absorption,2.9514,0.083508,4
absorption,1.3136,0.037167,3
absorption,3.0550,0.086439,4
absorption,3.0057,0.085043,1
absorption,3.8551,0.066467,2
absorption,1.7002,0.048106,1
absorption,3.6753,0.103989,1
absorption,0.3593,0.010165,4
absorption,2.8981,0.081999,2
absorption,3.7978,0.065480,1
absorption,4.0275,0.069440,1
absorption,2.9966,0.084785,1
absorption,2.4054,0.041472,1
absorption,3.1592,0.089387,1
absorption,3.6005,0.066408,2
absorption,0.1673,0.009697,6
absorption,0.3080,0.005681,1
absorption,5.4591,0.100689,1
absorption,6.1871,0.107498,1
absorption,2.0522,0.035656,2
absorption,2.3012,0.039982,1
absorption,0.8633,0.015000,1
absorption,2.4522,0.064920,1
absorption,2.5301,0.066982,2
absorption,3.4383,0.091025,2
absorption,3.3172,0.087820,4
absorption,2.0412,0.054038,3
absorption,2.3483,0.062169,1
absorption,3.1824,0.052324,2
absorption,1.9083,0.050520,1
absorption,0.7074,0.011630,1
absorption,3.6404,0.096374,1
absorption,4.1931,0.068941,1
absorption,2.7262,0.072172,1
