mode,eps_min,alpha_min,weight
absorption,1.1788,0.163365,10
absorption,3.2127,0.287144,13
absorption,1.0715,0.148496,13
absorption,2.2311,0.309205,14
absorption,1.7934,0.160291,22
absorption,4.7499,0.658277,8
absorption,2.4786,0.221530,5
absorption,1.2080,0.063626,3
absorption,2.5644,0.355397,12
absorption,1.0575,0.146561,6
absorption,2.5451,0.227473,8
absorption,1.2668,0.113221,17
absorption,2.7875,0.249136,11
absorption,0.9095,0.081288,4
absorption,2.5897,0.161176,3
absorption,0.2238,0.019999,6
absorption,2.3775,0.212490,4
absorption,0.1001,0.005274,1
absorption,1.0533,0.065558,1
absorption,1.7052,0.152407,4
absorption,0.1670,0.025298,14
absorption,0.1540,0.023331,12
absorption,2.1396,0.324140,13
absorption,4.0112,0.607668,11
absorption,1.2042,0.182422,10
absorption,1.1634,0.176246,8
absorption,1.1354,0.172004,13
absorption,2.3982,0.363310,8
absorption,0.3029,0.026569,9
absorption,0.0419,0.003678,5
absorption,1.7161,0.150549,5
absorption,2.8107,0.185322,4
absorption,0.1765,0.008180,3
absorption,0.9458,0.143289,5
absorption,0.3980,0.060291,7
absorption,0.0310,0.002716,1
absorption,0.6290,0.095293,8
absorption,0.6772,0.059408,4
absorption,0.4511,0.068336,7
absorption,0.2602,0.022825,4
absorption,4.4338,0.671684,8
absorption,1.5268,0.133938,12
absorption,0.0825,0.003822,1
absorption,0.7318,0.048251,1
absorption,1.8455,0.161897,2
absorption,0.5686,0.026356,2
absorption,0.4506,0.020887,1
absorption,1.2517,0.119298,12
absorption,1.4652,0.139645,13
absorption,1.9163,0.302492,8
absorption,1.4964,0.142615,9
absorption,2.1753,0.207317,15
absorption,0.3155,0.049803,15
absorption,1.0142,0.160097,8
absorption,0.0823,0.007842,3
absorption,2.2422,0.213696,3
absorption,0.2784,0.015614,1
absorption,2.2359,0.352929,12
absorption,1.2912,0.123058,7
absorption,3.1023,0.489688,10
absorption,0.6617,0.063066,8
absorption,0.3744,0.059098,8
absorption,0.3465,0.033019,10
absorption,1.4183,0.223869,14
absorption,2.4861,0.236934,10
absorption,2.3316,0.368037,6
absorption,1.6539,0.261070,6
absorption,0.5953,0.056731,7
absorption,0.8978,0.050347,1
absorption,1.8291,0.174327,6
absorption,0.0849,0.013404,8
absorption,0.4652,0.026087,2
absorption,0.0339,0.001901,1
absorption,1.6349,0.155812,2
absorption,0.0853,0.004783,2
absorption,1.4909,0.083601,1
absorption,0.6775,0.037990,1
absorption,1.9448,0.185349,1
absorption,0.6918,0.038793,1
absorption,0.8298,0.060620,1
absorption,2.7673,0.436809,3
absorption,0.2935,0.016457,1
absorption,1.8517,0.168876,17
absorption,2.7980,0.488635,13
absorption,1.4759,0.134598,9
absorption,0.1161,0.020274,12
absorption,0.9875,0.172452,15
absorption,0.8289,0.144763,10
absorption,1.5837,0.276574,10
absorption,0.3438,0.022647,1
absorption,0.8603,0.056667,1
absorption,2.0917,0.190764,4
absorption,0.0284,0.004964,11
absorption,1.1338,0.103401,5
absorption,2.3137,0.211013,8
absorption,1.4681,0.133887,6
absorption,0.4258,0.074367,9
absorption,2.2027,0.200890,7
absorption,1.0165,0.072478,2
absorption,2.0855,0.148702,1
absorption,2.5264,0.230407,10
absorption,1.2273,0.111931,11
absorption,1.4704,0.134101,2
absorption,2.9994,0.213864,4
absorption,2.5301,0.230745,4
absorption,4.6150,0.805962,5
absorption,1.0139,0.072293,3
absorption,3.3056,0.235695,1
absorption,0.1897,0.012494,1
absorption,0.3444,0.022686,1
absorption,0.9823,0.064702,1
absorption,1.0883,0.111571,4
absorption,0.1236,0.022152,13
absorption,0.3983,0.040833,19
absorption,1.7517,0.179576,4
absorption,2.0170,0.361621,8
absorption,1.4930,0.267679,6
absorption,2.2898,0.234746,12
absorption,5.1431,0.922085,6
absorption,0.9929,0.101792,4
absorption,1.5686,0.160806,8
absorption,1.3879,0.142286,10
absorption,0.8529,0.152915,8
absorption,0.7097,0.072752,6
absorption,0.3396,0.060882,6
absorption,1.5802,0.161997,10
absorption,1.3102,0.234891,7
absorption,1.2942,0.132679,15
absorption,2.5130,0.450549,14
absorption,0.4754,0.085238,10
absorption,0.1008,0.010335,1
absorption,1.3241,0.135745,3
absorption,0.3882,0.022807,1
absorption,1.3316,0.136510,4
absorption,2.7671,0.496093,6
absorption,0.7532,0.044256,1
absorption,0.0927,0.005444,1
masking,0.8595,0.075400,7
masking,3.0384,0.170378,1
