mode,eps_min,alpha_min,weight
absorption,3.9343,0.203293,3
absorption,2.9933,0.154671,5
absorption,3.0191,0.156001,4
absorption,3.9646,0.136711,1
absorption,1.6828,0.084193,5
absorption,4.2790,0.214089,5
absorption,6.0621,0.187853,1
absorption,4.1871,0.196508,3
absorption,1.1118,0.052178,6
absorption,5.1411,0.241279,2
absorption,3.6255,0.170151,2
absorption,2.6746,0.125521,1
absorption,6.6921,0.214385,1
absorption,0.9004,0.032578,1
absorption,3.8962,0.216726,1
absorption,4.5244,0.240523,2
absorption,1.6880,0.055407,4
