episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
30000,0.86,16570.0,0.93,-3222.5
60000,0.84,17357.5,0.915,-3222.5
90000,0.82,16685.0,0.925,-3392.5
120000,0.8,13907.5,0.965,-967.5
150000,0.86,17165.0,0.96,642.5
180000,0.795,11592.5,0.975,2977.5
210000,0.855,20045.0,0.96,695.0
240000,0.83,12687.5,0.93,-1632.5
270000,0.835,13750.0,0.95,652.5
300000,0.83,13715.0,0.98,2540.0
330000,0.815,15375.0,0.94,-1282.5
360000,0.82,13655.0,0.97,-47.5
390000,0.81,16882.5,0.935,-1885.0
420000,0.785,4947.5,0.965,1295.0
450000,0.815,11335.0,0.935,-1977.5
480000,0.895,23512.5,0.96,1172.5
510000,0.82,21047.5,0.975,-160.0
540000,0.825,10805.0,0.95,-102.5
570000,0.835,13892.5,0.965,890.0
600000,0.835,17277.5,0.955,840.0
630000,0.85,18165.0,0.955,187.5
660000,0.85,19737.5,0.925,-1102.5
690000,0.795,12222.5,0.925,-2455.0
720000,0.815,13242.5,0.91,-3407.5
750000,0.81,12420.0,0.985,2325.0
780000,0.845,18910.0,0.955,-762.5
810000,0.775,11310.0,0.96,307.5
840000,0.85,13280.0,0.97,-160.0
870000,0.775,8039.999999999999,0.97,535.0
900000,0.805,6935.0,0.955,-900.0
930000,0.81,16327.5,0.94,-1855.0
960000,0.86,17487.5,0.945,-347.5
990000,0.79,7472.5,0.96,-1237.5
1020000,0.835,13202.5,0.925,-1552.5
1050000,0.815,14812.5,0.96,-325.0
1080000,0.825,16695.0,0.95,967.5
1110000,0.84,14422.5,0.915,-3030.0
1140000,0.855,17492.5,0.965,-1105.0
1170000,0.88,22547.5,0.925,-1885.0
1200000,0.8,12852.5,0.955,62.5
1230000,0.865,21390.0,0.955,1004.9999999999999
1260000,0.795,8505.0,0.96,580.0
1290000,0.845,18512.5,0.965,225.0
1320000,0.825,9860.0,0.965,-677.5
1350000,0.895,19657.5,0.97,1272.5
1380000,0.835,18850.0,0.94,-2912.5
1410000,0.875,20030.0,0.97,947.5
1440000,0.845,17980.0,0.935,247.5
1470000,0.825,14942.5,0.945,-830.0
1500000,0.81,11897.5,0.965,-1412.5
1530000,0.83,12902.5,0.955,-1537.5
1560000,0.825,13555.0,0.965,1995.0
1590000,0.82,12822.5,0.92,-1775.0
1620000,0.815,14725.0,0.96,162.5
1650000,0.845,18842.5,0.975,2672.5
1680000,0.815,12810.0,0.935,-2865.0
1710000,0.735,7690.0,0.94,-590.0
1740000,0.815,16032.499999999998,0.97,1595.0
1770000,0.86,18777.5,0.97,1887.5
1800000,0.825,14502.5,0.96,417.5
1830000,0.81,18122.5,0.96,-290.0
1860000,0.82,8600.0,0.96,-827.5
1890000,0.83,14837.5,0.97,605.0
1920000,0.835,16379.999999999998,0.965,817.5
1950000,0.84,17507.5,0.97,847.5
1980000,0.805,13417.5,0.965,1055.0
2010000,0.845,16842.5,0.97,247.5
2040000,0.84,16200.0,0.96,-415.0
2070000,0.79,12295.0,0.975,1887.5
2100000,0.84,15655.0,0.945,-1875.0
2130000,0.82,16690.0,0.945,-1362.5
2160000,0.82,16465.0,0.955,-460.0
2190000,0.835,12500.0,0.95,-1112.5
2220000,0.815,15010.0,0.965,1120.0
2250000,0.815,14567.5,0.96,765.0
2280000,0.79,6345.0,0.965,97.5
2310000,0.85,13807.5,0.965,920.0
2340000,0.82,11185.0,0.945,-3037.5
2370000,0.77,7560.0,0.985,2355.0
2400000,0.82,10722.5,0.955,-65.0
2430000,0.78,10732.5,0.965,445.0
2460000,0.85,16452.5,0.955,-367.5
2490000,0.805,12222.5,0.95,-207.5
2520000,0.815,15620.0,0.955,-400.0
2550000,0.83,17157.5,0.955,-192.5
2580000,0.825,12472.5,0.94,-1330.0
2610000,0.83,14155.0,0.95,-1345.0
2640000,0.81,11370.0,0.965,510.0
2670000,0.85,19550.0,0.92,-3075.0
2700000,0.805,12665.0,0.965,60.0
2730000,0.835,14342.5,0.955,-1122.5
2760000,0.835,14085.0,0.935,-517.5
2790000,0.8,12010.0,0.96,60.0
2820000,0.825,14325.0,0.94,-2217.5
2850000,0.815,13390.0,0.935,-972.5
2880000,0.855,18437.5,0.975,1665.0
2910000,0.81,9752.5,0.93,352.5
2940000,0.835,17987.5,0.965,482.5
2970000,0.775,9952.5,0.96,1480.0
3000000,0.815,9560.0,0.965,457.5
3030000,0.805,11912.5,0.97,940.0
3060000,0.84,15592.5,0.95,-160.0
3090000,0.805,13615.0,0.955,237.5
