alpha_f_min,weight
0.317417,339
0.030660,516
0.160392,449
0.085541,353
0.003924,302
0.087659,391
0.032802,453
0.052685,202
0.774017,2737
0.275874,2341
1.109252,2319
0.809361,2482
0.378105,2410
0.578232,2187
2.188708,2342
0.563898,2498
0.039527,2274
0.440316,2310
0.785086,1985
0.211876,2178
0.371012,2090
0.293267,1981
0.760412,1942
1.962493,1870
0.309680,1874
0.027055,1689
1.429985,1609
3.215004,1080
0.857394,589
0.673865,5596
3.185694,4597
0.414000,5635
1.486807,4672
1.380059,4387
0.373892,4524
0.637901,3413
2.922959,4535
0.549332,3931
0.832635,4402
0.857055,4173
2.672088,4321
0.661669,4344
1.496626,3921
1.382924,4207
0.592289,3610
0.445929,3324
0.859005,3407
0.477738,2036
1.970020,2106
0.700156,1689
1.380113,1466
1.208645,1249
0.478317,1618
7.353684,1348
4.107837,1289
0.869184,1561
0.550461,1541
10.765218,1386
5.987567,1331
1.375757,1067
3.639502,1418
25.077048,1331
0.510776,1403
9.752298,982
2.254076,1167
0.957456,1256
0.740085,1503
1.505584,1238
2.553461,1447
0.949481,1201
3.027274,1161
1.303212,1179
0.128586,680
0.944288,2685
0.758929,2945
0.822436,2713
1.063901,2828
1.262891,2856
1.441757,2952
655.989965,2536
3.858219,2921
0.963300,2717
12.511783,2848
1.955774,2863
2.903126,2606
1.073793,2487
0.746888,1183
1.230949,2031
2.781094,580
0.838138,353
0.272070,241
0.131095,147
0.630269,165
0.360925,188
0.724971,191
0.803965,187
1.419511,195
3.507475,208
1.199020,205
2.396780,228
0.348442,225
2.474014,232
1.604317,181
2.083534,219
0.865910,190
0.699693,182
0.306351,188
1.049691,161
0.213934,127
0.086596,35
0.020638,445
0.129566,478
0.030968,444
0.068687,350
0.089495,473
1.220012,2547
0.211059,2253
0.337715,2349
0.384521,2412
0.962082,2403
1.158019,2214
0.772379,2398
3.135000,2482
0.212095,2336
0.678762,1956
0.687264,2455
1.109575,1897
1.998391,2136
0.720398,2029
0.120864,2001
0.884423,1870
0.590483,1996
1.033842,1990
0.505251,1743
0.539426,1711
12.368981,1288
2.875843,5439
25.311385,4823
0.784176,5555
1.133164,4487
0.746871,4575
1.445127,4427
0.406777,3290
1.737835,4687
19.828795,4195
0.728088,4226
0.955891,4033
0.799444,4355
2.570690,4484
