episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
30000,0.52,-1977.5,0.925,1705.0
60000,0.55,-452.5,0.94,1355.0
90000,0.48,-2785.0,0.895,1435.0
120000,0.51,-1092.5,0.93,2685.0
150000,0.5,-1120.0,0.92,385.0
180000,0.48,-3722.5,0.875,112.5
210000,0.5,415.0,0.91,547.5
240000,0.425,-2587.5,0.94,992.5
270000,0.4,2065.0,0.915,982.5
300000,0.5,1125.0,0.93,1295.0
330000,0.515,547.5,0.925,820.0
360000,0.515,-1325.0,0.905,240.0
390000,0.515,-837.5,0.935,2147.5
420000,0.465,-3412.5,0.9,1820.0
450000,0.48,175.0,0.935,547.5
480000,0.415,-1587.5,0.9,-397.5
510000,0.51,-1055.0,0.955,820.0
540000,0.505,-1187.5,0.935,1602.5
570000,0.535,-1945.0,0.93,407.5
600000,0.515,310.0,0.915,297.5
630000,0.44,-1757.5,0.93,1770.0
660000,0.555,-32.5,0.92,2505.0
690000,0.485,-3467.5,0.905,647.5
720000,0.48,-1437.5,0.93,702.5
750000,0.565,2317.5,0.915,220.0
780000,0.42,-4625.0,0.915,1177.5
810000,0.505,-3185.0,0.94,1685.0
840000,0.45,-1775.0,0.94,1365.0
870000,0.49,-2035.0000000000002,0.885,-2852.5
900000,0.42,-1320.0,0.925,740.0
930000,0.44,1250.0,0.92,812.5
960000,0.475,-2815.0,0.935,1107.5
990000,0.46,-2557.5,0.92,367.5
1020000,0.455,-4040.0,0.895,1535.0
1050000,0.46,-2077.5,0.945,555.0
1080000,0.485,-905.0,0.905,910.0
1110000,0.52,-1240.0,0.915,850.0
1140000,0.47,-1140.0,0.94,690.0
1170000,0.47,-2587.5,0.94,785.0
1200000,0.51,510.0,0.95,2162.5
1230000,0.46,1097.5,0.92,2837.5
1260000,0.495,-1970.0,0.905,2070.0
1290000,0.46,-3307.5,0.925,772.5
1320000,0.455,-940.0,0.965,1407.5
1350000,0.53,-695.0,0.945,430.0
1380000,0.48,-2260.0,0.96,1767.5
1410000,0.505,-1777.5,0.94,1097.5
1440000,0.53,-355.0,0.905,735.0
1470000,0.525,-2065.0,0.96,1822.5
1500000,0.455,-1562.5,0.895,817.5
1530000,0.485,-1697.5,0.95,1575.0
1560000,0.425,-2815.0,0.97,1210.0
1590000,0.46,-3952.5,0.915,1542.5
1620000,0.505,-1135.0,0.95,1165.0
1650000,0.45,-2192.5,0.905,270.0
1680000,0.505,67.5,0.95,2155.0
1710000,0.435,-2597.5,0.925,697.5
1740000,0.46,-2105.0,0.95,620.0
1770000,0.455,-650.0,0.92,1617.5
1800000,0.575,-700.0,0.91,-2.5
1830000,0.475,-542.5,0.935,857.5
1860000,0.505,-2842.5,0.905,1145.0
1890000,0.4,-4032.4999999999995,0.895,652.5
1920000,0.53,310.0,0.925,855.0
1950000,0.545,-3857.5,0.955,1142.5
1980000,0.45,-1360.0,0.95,1715.0
2010000,0.455,-3587.5,0.91,795.0
2040000,0.49,-1782.5,0.905,607.5
2070000,0.41,-6487.5,0.94,1317.5
2100000,0.445,-2455.0,0.93,927.5
2130000,0.5,-1827.5,0.94,1560.0
2160000,0.495,-2102.5,0.95,1505.0
2190000,0.475,-3555.0,0.975,1605.0
2220000,0.495,-2765.0,0.945,1787.5
2250000,0.525,-270.0,0.945,1825.0
2280000,0.475,-4370.0,0.92,955.0
2310000,0.505,277.5,0.945,2080.0
2340000,0.52,-1677.5,0.935,2220.0
2370000,0.495,-855.0,0.935,1785.0
2400000,0.43,-1445.0,0.96,1300.0
2430000,0.505,-4437.5,0.935,1740.0
2460000,0.505,-2645.0,0.92,970.0
2490000,0.435,-3442.5,0.96,2340.0
2520000,0.45,-2212.5,0.92,877.5
2550000,0.44,-457.5,0.925,2005.0
2580000,0.55,-177.5,0.91,760.0
2610000,0.52,-3730.0,0.95,1917.5
2640000,0.53,205.0,0.94,1122.5
2670000,0.465,-3535.0,0.915,842.5
2700000,0.52,-1635.0,0.915,1447.5
2730000,0.415,-3865.0,0.925,-135.0
2760000,0.475,-235.0,0.935,710.0
2790000,0.565,-842.5,0.93,277.5
2820000,0.475,-1157.5,0.93,1987.5
2850000,0.475,-2282.5,0.945,942.5
2880000,0.475,-2540.0,0.935,807.5
2910000,0.525,-2377.5,0.94,1910.0
2940000,0.44,-2207.5,0.905,825.0
2970000,0.46,-2255.0,0.935,562.5
3000000,0.48,-1682.5,0.88,747.5
3030000,0.49,-4292.5,0.94,1462.5
3060000,0.54,350.0,0.895,615.0
3090000,0.52,-2360.0,0.935,1747.5
3120000,0.465,-1812.5,0.94,1387.5
3150000,0.48,-2332.5,0.94,1622.5
3180000,0.565,410.0,0.925,625.0
3210000,0.53,-1642.5,0.925,907.5
3240000,0.47,-3497.5,0.925,215.0
3270000,0.47,-5387.5,0.93,1240.0
3300000,0.48,-1010.0,0.925,1060.0
3330000,0.485,-1972.5,0.925,707.5
3360000,0.465,-2837.5,0.945,1150.0
3390000,0.485,-820.0,0.905,520.0
3420000,0.475,-1417.5,0.92,1075.0
3450000,0.525,-1832.5,0.94,965.0
3480000,0.48,197.5,0.93,782.5
3510000,0.515,-370.0,0.92,672.5
3540000,0.42,-3227.5,0.91,747.5
3570000,0.48,-1432.5,0.92,-240.0
3600000,0.485,-1282.5,0.905,1425.0
3630000,0.435,-2250.0,0.925,980.0
3660000,0.415,-4435.0,0.945,1437.5
3690000,0.515,-2450.0,0.91,1285.0
3720000,0.45,-965.0,0.935,1075.0
3750000,0.445,-3040.0,0.935,952.5
3780000,0.5,-3427.5,0.955,1947.5
3810000,0.495,-3210.0,0.92,1080.0
3840000,0.475,-642.5,0.93,892.5
3870000,0.44,-3685.0,0.945,992.5
3900000,0.49,-2605.0,0.94,772.5
3930000,0.465,637.5,0.935,1692.5
3960000,0.455,-1815.0,0.915,945.0
3990000,0.43,-3770.0,0.935,1792.5
4020000,0.415,-3505.0,0.955,690.0
4050000,0.54,-407.5,0.915,1112.5
4080000,0.485,-2177.5,0.92,1320.0
4110000,0.49,-917.5,0.865,997.5
4140000,0.475,-1782.5,0.91,1067.5
