episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
30000,0.805,9587.5,0.915,-3445.0
60000,0.83,16059.999999999998,0.925,-3747.5
90000,0.855,17170.0,0.92,-2142.5
120000,0.785,9345.0,0.905,-2162.5
150000,0.79,10442.5,0.935,852.5
180000,0.75,11782.5,0.93,-3027.5
210000,0.76,8480.0,0.925,-877.5
240000,0.765,9527.5,0.895,-5192.5
270000,0.755,5740.0,0.905,-1245.0
300000,0.8,12950.0,0.935,-1215.0
330000,0.805,16020.0,0.92,-1442.5
360000,0.76,8080.0,0.955,470.0
390000,0.815,16447.5,0.945,-580.0
420000,0.815,18137.5,0.925,-900.0
450000,0.76,10517.5,0.935,-3192.5
480000,0.75,11670.0,0.905,-2055.0
510000,0.71,10352.5,0.955,-1257.5
540000,0.71,4720.0,0.905,-4285.0
570000,0.74,11315.0,0.94,-1967.5
600000,0.785,11455.0,0.91,-3175.0
630000,0.785,10980.0,0.925,747.5
660000,0.77,9107.5,0.925,-2972.5
690000,0.785,8417.5,0.91,-3795.0
720000,0.745,14090.0,0.925,-1670.0
750000,0.775,11172.5,0.945,-95.0
780000,0.77,9632.5,0.93,785.0
810000,0.78,8215.0,0.925,1025.0
840000,0.685,2317.5,0.945,135.0
870000,0.725,6330.0,0.915,-4245.0
900000,0.745,13465.0,0.925,-2825.0
930000,0.73,6415.0,0.905,-2110.0
960000,0.76,5652.5,0.925,272.5
990000,0.775,10002.5,0.92,-3732.5
1020000,0.815,15420.0,0.95,-257.5
1050000,0.745,7670.0,0.935,-1977.5
1080000,0.8,10307.5,0.925,-882.5
1110000,0.755,8302.5,0.945,-1000.0
1140000,0.72,5167.5,0.95,-682.5
1170000,0.765,10710.0,0.93,-1022.5
1200000,0.725,8930.0,0.94,-1222.5
1230000,0.7,10260.0,0.945,-815.0
1260000,0.785,15682.5,0.925,-2760.0
1290000,0.83,15975.0,0.94,-1567.5
1320000,0.765,11287.5,0.895,-4377.5
1350000,0.74,11317.5,0.925,-2192.5
1380000,0.74,8675.0,0.905,-4742.5
1410000,0.77,13092.5,0.935,707.5
1440000,0.74,5100.0,0.95,230.0
1470000,0.76,10970.0,0.945,-1090.0
1500000,0.77,15077.5,0.925,-2230.0
1530000,0.755,5335.0,0.96,-270.0
1560000,0.78,12557.5,0.91,-3750.0
1590000,0.775,16615.0,0.925,-1372.5
1620000,0.75,10392.5,0.92,115.0
1650000,0.73,8227.5,0.92,-2132.5
1680000,0.695,7232.5,0.935,-1142.5
1710000,0.795,11635.0,0.94,-1562.5
1740000,0.785,15085.0,0.955,750.0
1770000,0.78,11752.5,0.89,-1610.0
1800000,0.75,10162.5,0.955,1137.5
1830000,0.71,9167.5,0.935,-977.5
1860000,0.71,4202.5,0.935,-1480.0
1890000,0.67,1607.5,0.925,-2770.0
1920000,0.76,10532.5,0.94,-1255.0
1950000,0.725,5647.5,0.91,-4182.5
1980000,0.73,11420.0,0.945,1342.5
2010000,0.685,7955.0,0.94,-1722.5
2040000,0.71,14375.0,0.965,872.5
2070000,0.795,12252.5,0.92,-1017.5000000000001
2100000,0.71,8570.0,0.915,-25.0
2130000,0.745,11522.5,0.94,-807.5
2160000,0.725,8572.5,0.925,-1047.5
2190000,0.705,4472.5,0.925,-2422.5
2220000,0.77,13335.0,0.915,-3435.0
2250000,0.8,11587.5,0.94,-1265.0
2280000,0.74,8205.0,0.915,-2167.5
2310000,0.675,7417.5,0.93,-750.0
2340000,0.77,10055.0,0.915,-1460.0
2370000,0.775,12585.0,0.915,-3257.5
2400000,0.75,6460.0,0.935,-1370.0
2430000,0.77,10357.5,0.93,-2365.0
2460000,0.755,13305.0,0.95,-185.0
2490000,0.775,10322.5,0.92,-2260.0
2520000,0.755,14935.0,0.945,55.0
2550000,0.755,9080.0,0.95,-452.5
2580000,0.71,5780.0,0.92,-2492.5
2610000,0.715,12857.5,0.91,-1337.5
2640000,0.68,4302.5,0.915,-2002.5
2670000,0.77,9875.0,0.915,-575.0
2700000,0.75,14622.5,0.885,-4897.5
2730000,0.81,17000.0,0.925,-1882.5
2760000,0.765,8997.5,0.945,-690.0
2790000,0.74,9505.0,0.96,295.0
2820000,0.735,7637.5,0.93,-1615.0
2850000,0.76,12872.5,0.935,-1177.5
2880000,0.785,15265.0,0.905,-3462.5
2910000,0.705,5735.0,0.935,205.0
2940000,0.765,9090.0,0.925,-2765.0
2970000,0.77,15357.5,0.94,-1897.5
3000000,0.76,9937.5,0.94,635.0
3030000,0.73,15125.0,0.91,-2467.5
3060000,0.73,7115.0,0.92,-2042.5
3090000,0.755,13305.0,0.92,-1232.5
3120000,0.74,14342.5,0.96,1510.0
3150000,0.76,13472.5,0.905,-1572.5
3180000,0.72,6677.5,0.955,-1152.5
3210000,0.76,8560.0,0.91,-3462.5
3240000,0.76,12735.0,0.945,-15.0
3270000,0.755,9905.0,0.96,-637.5
3300000,0.76,11097.5,0.92,-2622.5
3330000,0.67,1842.5,0.925,1602.5
3360000,0.705,4885.0,0.94,-1145.0
3390000,0.735,11107.5,0.9,-2710.0
3420000,0.74,9015.0,0.965,1550.0
3450000,0.725,7000.0,0.95,-520.0
3480000,0.77,18652.5,0.91,-2850.0
3510000,0.73,10675.0,0.94,1107.5
3540000,0.67,6042.5,0.94,-2890.0
3570000,0.73,10875.0,0.915,-2797.5
3600000,0.78,14340.0,0.935,-702.5
3630000,0.67,3347.5,0.91,-1660.0
3660000,0.69,9710.0,0.91,-1387.5
3690000,0.75,6665.0,0.905,-2842.5
3720000,0.705,5247.5,0.93,-787.5
3750000,0.74,15850.0,0.91,-1830.0
3780000,0.64,947.5,0.94,432.5
3810000,0.775,10495.0,0.91,-2990.0
3840000,0.76,15107.5,0.92,-2060.0
3870000,0.725,5395.0,0.93,-2297.5
3900000,0.715,3740.0,0.935,-2050.0
3930000,0.705,7582.5,0.905,-1697.5
3960000,0.715,8227.5,0.91,-2672.5
3990000,0.78,14122.5,0.915,-1392.5
4020000,0.72,2350.0,0.92,-2410.0
4050000,0.755,7480.0,0.93,-1125.0
4080000,0.755,11612.5,0.965,90.0
4110000,0.745,15342.5,0.945,685.0
4140000,0.755,12467.5,0.965,2207.5
4170000,0.76,12045.0,0.915,-3450.0
4200000,0.77,12655.0,0.905,-2932.5
4230000,0.705,9152.5,0.89,-2220.0
4260000,0.66,9192.5,0.925,-2082.5
4290000,0.67,7575.0,0.935,-515.0
4320000,0.695,10295.0,0.92,-1822.5
4350000,0.765,9882.5,0.94,960.0
4380000,0.77,15007.5,0.895,-2465.0
4410000,0.715,4772.5,0.915,-2457.5
4440000,0.68,8367.5,0.935,-1500.0
4470000,0.775,14072.5,0.96,490.0
4500000,0.7,12025.0,0.92,-1662.5
4530000,0.735,7960.0,0.95,-1047.5
4560000,0.735,11372.5,0.935,-1385.0
4590000,0.725,9425.0,0.93,115.0
4620000,0.695,7727.5,0.92,-1782.5
4650000,0.645,5455.0,0.915,-2362.5
4680000,0.67,8275.0,0.94,177.5
4710000,0.775,12442.5,0.93,-1167.5
4740000,0.755,9020.0,0.935,-1670.0
4770000,0.69,4620.0,0.92,-557.5
4800000,0.71,8277.5,0.925,-3070.0
4830000,0.65,8602.5,0.92,-2367.5
4860000,0.735,8255.0,0.935,-1617.5
4890000,0.675,8029.999999999999,0.94,-282.5
4920000,0.68,7267.5,0.925,-2032.5000000000002
4950000,0.715,9842.5,0.89,-2360.0
4980000,0.735,8077.500000000001,0.93,355.0
5010000,0.715,9520.0,0.88,-2480.0
5040000,0.67,3097.5,0.89,-1350.0
5070000,0.665,15510.0,0.91,-1710.0
5100000,0.675,7422.5,0.93,100.0
5130000,0.705,8805.0,0.915,-1415.0
5160000,0.68,9077.5,0.91,137.5
5190000,0.635,4122.5,0.93,-25.0
5220000,0.64,3780.0,0.93,-422.5
5250000,0.615,4832.5,0.915,-715.0
5280000,0.66,6645.0,0.935,-625.0
5310000,0.63,5637.5,0.935,-820.0
5340000,0.69,12722.5,0.905,-1902.5
5370000,0.675,4372.5,0.92,-2405.0
