episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
30000,0.565,-2500.0,0.945,575.0
60000,0.5,925.0,0.93,2477.5
90000,0.54,-2247.5,0.935,2270.0
120000,0.445,-837.5,0.91,722.5
150000,0.47,-2635.0,0.905,1415.0
180000,0.48,-1185.0,0.92,612.5
210000,0.49,-1252.5,0.965,2500.0
240000,0.5,-2905.0,0.94,1727.5
270000,0.48,-2632.5,0.925,1740.0
300000,0.54,-2070.0,0.925,2127.5
330000,0.485,-1045.0,0.945,602.5
360000,0.47,-2130.0,0.89,565.0
390000,0.565,2690.0,0.93,-345.0
420000,0.47,-65.0,0.965,385.0
450000,0.37,-6030.0,0.93,822.5
480000,0.525,-2200.0,0.905,510.0
510000,0.555,197.5,0.925,1020.0
540000,0.5,-1885.0,0.9,880.0
570000,0.545,-737.5,0.92,580.0
600000,0.465,-4022.5,0.96,1515.0
630000,0.43,-3435.0,0.905,-367.5
660000,0.425,-3000.0,0.905,1217.5
690000,0.495,-1685.0,0.96,1930.0
720000,0.46,75.0,0.915,982.5
750000,0.55,-3145.0,0.94,1090.0
780000,0.455,-3477.5,0.94,897.5
810000,0.49,-3312.5,0.925,1575.0
840000,0.47,-1745.0,0.89,-240.0
870000,0.515,-465.0,0.935,1345.0
900000,0.505,-1562.5,0.9,-7.5
930000,0.51,-1087.5,0.96,1777.5
960000,0.47,-527.5,0.9,457.5
990000,0.475,-2517.5,0.93,1612.5
1020000,0.49,-2322.5,0.95,1175.0
1050000,0.515,-2840.0,0.96,1530.0
1080000,0.5,-2277.5,0.935,-60.0
1110000,0.475,-612.5,0.96,1555.0
1140000,0.45,-2540.0,0.94,-242.5
1170000,0.48,-352.5,0.93,1570.0
1200000,0.485,545.0,0.905,787.5
1230000,0.525,-1072.5,0.96,1507.5
1260000,0.5,-1805.0,0.93,565.0
1290000,0.525,-1515.0,0.915,577.5
1320000,0.44,-4787.5,0.94,1822.5
1350000,0.45,-3895.0,0.92,1590.0
1380000,0.48,-1452.5,0.9,662.5
1410000,0.485,-300.0,0.915,1187.5
1440000,0.505,-2105.0,0.91,-697.5
1470000,0.47,-2537.5,0.94,1580.0
1500000,0.44,-3700.0,0.955,2122.5
1530000,0.505,-2500.0,0.93,-167.5
1560000,0.505,1157.5,0.95,1750.0
1590000,0.495,695.0,0.945,1462.5
1620000,0.59,-1087.5,0.925,1635.0
1650000,0.495,752.5,0.915,582.5
1680000,0.505,-2600.0,0.975,1235.0
1710000,0.48,-3175.0,0.925,862.5
1740000,0.445,-3392.5,0.925,1762.5
1770000,0.505,-1157.5,0.925,1425.0
1800000,0.485,-3295.0,0.925,1087.5
