episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
30000,0.83,11422.5,0.9,-4737.5
60000,0.81,18680.0,0.93,-3580.0
90000,0.805,12952.5,0.935,-2472.5
120000,0.795,10050.0,0.925,-2502.5
150000,0.79,11647.5,0.93,-2300.0
180000,0.79,13192.5,0.905,-2110.0
210000,0.785,11270.0,0.935,-1737.5
240000,0.81,18182.5,0.92,-1750.0
270000,0.82,13610.0,0.945,380.0
300000,0.755,7335.0,0.945,-2662.5
330000,0.8,13777.5,0.905,-2147.5
360000,0.745,6817.5,0.915,-2602.5
390000,0.82,14627.5,0.91,-2232.5
420000,0.735,8147.500000000001,0.92,-3062.5
450000,0.745,10617.5,0.935,-507.49999999999994
480000,0.745,6077.5,0.9,-4672.5
510000,0.77,12200.0,0.925,-2230.0
540000,0.745,13612.5,0.92,-2855.0
570000,0.775,10197.5,0.94,-375.0
600000,0.75,7887.5,0.945,-892.5
630000,0.72,4302.5,0.95,-195.0
660000,0.785,12265.0,0.94,-2177.5
690000,0.735,7287.5,0.935,-1915.0
720000,0.695,5092.5,0.915,-3655.0
750000,0.77,13515.0,0.89,-3510.0
780000,0.76,11260.0,0.92,-482.5
810000,0.74,8227.5,0.905,-1907.5
840000,0.72,4987.5,0.93,-592.5
870000,0.78,12747.5,0.915,-1377.5
900000,0.75,4970.0,0.915,-755.0
930000,0.745,7557.5,0.955,-50.0
960000,0.78,11427.5,0.955,77.5
990000,0.785,12755.0,0.94,-1795.0
1020000,0.77,8877.5,0.935,-35.0
1050000,0.775,9492.5,0.93,-3715.0
1080000,0.765,9732.5,0.94,115.0
1110000,0.8,9907.5,0.925,-3487.5
1140000,0.795,15422.5,0.92,-1507.5
1170000,0.745,13322.5,0.945,405.0
1200000,0.84,13240.0,0.95,-625.0
1230000,0.76,8715.0,0.915,-137.5
1260000,0.83,12347.5,0.95,1907.5
1290000,0.765,8807.5,0.905,-3795.0
1320000,0.765,7347.5,0.92,-2992.5
1350000,0.76,10610.0,0.92,-4442.5
1380000,0.75,14382.5,0.94,780.0
1410000,0.805,14625.0,0.9,-4875.0
1440000,0.79,15850.0,0.9,-3620.0
1470000,0.77,13592.5,0.925,-1597.5
1500000,0.75,8927.5,0.91,-2317.5
1530000,0.805,14157.5,0.92,-3417.5
1560000,0.74,9920.0,0.925,-2830.0
1590000,0.7,9990.0,0.89,-3872.5
1620000,0.835,22512.5,0.935,-2612.5
1650000,0.72,9035.0,0.945,17.5
1680000,0.755,8940.0,0.93,-1010.0
1710000,0.78,14110.0,0.95,-1350.0
1740000,0.77,12272.5,0.895,-4810.0
1770000,0.755,13517.5,0.95,-235.0
