episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
4000,0.84,13790.0,0.94,-1332.5
8000,0.785,5532.5,0.925,-2705.0
12000,0.835,18840.0,0.925,-3207.5
16000,0.8,6810.0,0.94,-1717.5
20000,0.86,18157.5,0.905,-5602.5
24000,0.855,17812.5,0.925,-2155.0
28000,0.835,16505.0,0.955,825.0
32000,0.865,15952.5,0.925,-2957.5
36000,0.825,6227.5,0.93,-2322.5
40000,0.795,7410.0,0.91,-3815.0
44000,0.86,17927.5,0.975,1410.0
48000,0.845,14635.0,0.93,-1625.0
52000,0.835,13412.5,0.915,-2997.5
56000,0.795,7240.0,0.93,-2720.0
60000,0.8,6892.5,0.915,-3837.5
64000,0.865,17275.0,0.925,-2552.5
68000,0.815,13820.0,0.945,-4022.5
72000,0.85,13950.0,0.9,-3067.5
76000,0.81,16217.500000000002,0.95,-342.5
80000,0.825,15785.0,0.955,-405.0
84000,0.87,17012.5,0.945,-2130.0
88000,0.835,14130.0,0.9,-5062.5
92000,0.84,14852.5,0.945,-447.5
96000,0.775,12427.5,0.93,-2247.5
100000,0.83,15137.5,0.94,1030.0
104000,0.825,13050.0,0.94,-2502.5
108000,0.775,4380.0,0.925,-3252.5
112000,0.83,21320.0,0.915,-1242.5
116000,0.82,9872.5,0.885,-7807.5
120000,0.8,12907.5,0.905,-3752.5
124000,0.825,14282.5,0.85,-7872.5
128000,0.81,12750.0,0.915,-2435.0
132000,0.815,13622.5,0.91,-5667.5
136000,0.845,17695.0,0.905,-3007.5
140000,0.845,17310.0,0.905,-5802.5
144000,0.795,17822.5,0.915,-4197.5
148000,0.81,12757.5,0.93,-2550.0
152000,0.775,5875.0,0.915,-3012.5
156000,0.835,17122.5,0.88,-7557.5
160000,0.795,9935.0,0.92,-4745.0
164000,0.81,10565.0,0.935,-1352.5
168000,0.8,10740.0,0.89,-5292.5
172000,0.82,12025.0,0.895,-4110.0
176000,0.785,11247.5,0.93,-4187.5
180000,0.82,22592.5,0.91,-3967.5
184000,0.805,12182.5,0.93,-1667.5
188000,0.865,16535.0,0.905,-5315.0
192000,0.83,11062.5,0.93,-3040.0
196000,0.785,6505.0,0.915,-3885.0
200000,0.83,8055.0,0.895,-4652.5
204000,0.795,14642.5,0.93,-897.5
208000,0.785,9107.5,0.94,-1147.5
212000,0.755,10312.5,0.94,-1725.0
216000,0.815,11595.0,0.89,-5292.5
220000,0.83,17205.0,0.94,-1004.9999999999999
224000,0.82,20690.0,0.93,-2450.0
228000,0.765,12745.0,0.945,-1672.5
232000,0.785,16125.0,0.925,-4542.5
236000,0.82,16300.0,0.965,-495.0
240000,0.755,8242.5,0.9,-5072.5
244000,0.83,18147.5,0.94,-1405.0
248000,0.81,12707.5,0.925,-1662.5
252000,0.795,13592.5,0.935,-2785.0
256000,0.805,8405.0,0.935,-1907.5
260000,0.79,11320.0,0.935,-2000.0
264000,0.805,17717.5,0.905,-4207.5
268000,0.8,10120.0,0.94,725.0
272000,0.805,15322.5,0.91,-3292.5
276000,0.85,17560.0,0.915,-3467.5
280000,0.83,21140.0,0.95,130.0
284000,0.79,15630.0,0.91,-3302.5
288000,0.8,11770.0,0.925,-3122.5
292000,0.775,7280.0,0.9,-4022.5
296000,0.815,19435.0,0.945,-597.5
300000,0.74,13430.0,0.93,-497.5
304000,0.8,11110.0,0.925,-1625.0
308000,0.795,10840.0,0.92,422.5
312000,0.835,20347.5,0.93,-2917.5
