episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
10000,0.855,18162.5,0.905,-5877.5
20000,0.84,14110.0,0.925,-1490.0
30000,0.82,11820.0,0.92,-5422.5
40000,0.865,23527.5,0.91,-3067.5
50000,0.82,12532.5,0.915,-1882.5
60000,0.78,6070.0,0.935,-3047.5
70000,0.87,17655.0,0.905,-4590.0
80000,0.78,10820.0,0.955,-470.0
90000,0.845,12912.5,0.93,122.5
100000,0.84,15725.0,0.95,2915.0
110000,0.79,10740.0,0.91,-4167.5
120000,0.765,7985.0,0.915,-4302.5
130000,0.84,16175.0,0.92,-1812.5
140000,0.81,14170.0,0.925,-212.5
150000,0.815,11535.0,0.93,-3422.5
160000,0.815,10902.5,0.91,-5095.0
170000,0.77,9962.5,0.93,-2447.5
180000,0.845,11687.5,0.935,-3110.0
190000,0.76,10037.5,0.92,-1930.0
200000,0.83,12537.5,0.89,-5487.5
210000,0.79,7965.0,0.925,-1565.0
220000,0.84,17307.5,0.935,-687.5
230000,0.84,13207.5,0.95,-375.0
240000,0.785,10762.5,0.94,-1342.5
250000,0.795,11590.0,0.9,-4767.5
260000,0.815,10305.0,0.92,112.5
270000,0.785,15977.5,0.915,-3732.5
280000,0.805,15267.5,0.945,97.5
290000,0.82,11442.5,0.92,-2747.5
300000,0.835,15492.5,0.96,-437.5
310000,0.815,16254.999999999998,0.95,-610.0
320000,0.8,11940.0,0.955,792.5
330000,0.8,12810.0,0.95,335.0
340000,0.79,14947.5,0.95,-85.0
350000,0.78,6782.5,0.95,-1352.5
360000,0.785,7912.5,0.925,-2787.5
370000,0.82,14775.0,0.955,-332.5
380000,0.715,1862.5,0.94,-2205.0
390000,0.78,17355.0,0.925,-3705.0
400000,0.805,8622.5,0.935,-2660.0
410000,0.775,10095.0,0.95,72.5
420000,0.78,10800.0,0.94,-1542.5
430000,0.78,7327.5,0.93,-3390.0
440000,0.78,15547.5,0.93,-1570.0
450000,0.825,17412.5,0.92,-1942.5
460000,0.805,19352.5,0.915,-3237.5
470000,0.775,13605.0,0.935,207.5
480000,0.8,11562.5,0.955,297.5
490000,0.84,18995.0,0.96,-380.0
500000,0.83,15515.0,0.935,-2097.5
510000,0.745,11150.0,0.92,-2407.5
520000,0.795,20230.0,0.95,-750.0
530000,0.8,7060.0,0.94,-1517.5
540000,0.735,692.5,0.96,962.5
550000,0.72,6632.5,0.94,-882.5
560000,0.81,14207.5,0.945,-1112.5
570000,0.825,15382.5,0.955,-257.5
580000,0.815,15547.5,0.925,-3142.5
590000,0.74,7095.0,0.92,-1605.0
600000,0.785,15800.0,0.905,-4552.5
610000,0.8,14225.0,0.92,-2155.0
620000,0.795,18205.0,0.92,-15.0
630000,0.765,11710.0,0.93,-885.0
640000,0.835,19910.0,0.965,495.0
650000,0.775,12957.5,0.935,297.5
660000,0.835,10815.0,0.95,-720.0
670000,0.775,8477.5,0.92,490.0
680000,0.765,10692.5,0.935,-2527.5
690000,0.805,14967.5,0.92,-3075.0
700000,0.75,10140.0,0.94,-247.5
710000,0.79,16010.000000000002,0.93,-1735.0
720000,0.795,17937.5,0.925,-1977.5
730000,0.76,13650.0,0.94,272.5
740000,0.785,12642.5,0.92,-2362.5
750000,0.79,9367.5,0.92,-2490.0
760000,0.805,13850.0,0.94,-2215.0
770000,0.815,14662.5,0.95,767.5
780000,0.81,14887.5,0.955,1345.0
790000,0.765,12652.5,0.9,-3517.5
800000,0.735,3455.0,0.925,-437.5
810000,0.845,14740.0,0.95,-1140.0
820000,0.745,11210.0,0.925,-3080.0
830000,0.79,10397.5,0.915,-2037.5
840000,0.73,8685.0,0.92,-2485.0
850000,0.82,15335.0,0.955,-342.5
860000,0.795,13077.5,0.92,-4247.5
870000,0.775,15272.5,0.965,690.0
880000,0.775,12707.5,0.95,52.5
890000,0.75,13435.0,0.915,-3910.0
900000,0.745,7915.0,0.91,-5510.0
910000,0.77,13485.0,0.905,-2372.5
920000,0.76,5612.5,0.915,-900.0
930000,0.8,6377.5,0.905,-3485.0
940000,0.83,20622.5,0.92,-1007.5000000000001
950000,0.79,11105.0,0.905,-3480.0
960000,0.78,9195.0,0.94,-1262.5
970000,0.75,8927.5,0.945,-847.5
980000,0.835,15120.0,0.925,-2090.0
990000,0.745,11037.5,0.875,-3812.5
1000000,0.775,8267.5,0.915,-1360.0
1010000,0.805,12432.5,0.915,-3552.5
1020000,0.76,11350.0,0.945,-1247.5
1030000,0.775,15422.5,0.915,-3075.0
1040000,0.775,11152.5,0.915,-952.5
1050000,0.82,15757.5,0.925,-2500.0
1060000,0.775,15032.5,0.95,622.5
1070000,0.795,10887.5,0.96,752.5
1080000,0.745,11962.5,0.93,-2017.5
1090000,0.775,12552.5,0.94,-557.5
1100000,0.785,15170.0,0.96,-497.5
1110000,0.735,9142.5,0.935,-450.0
1120000,0.765,6307.5,0.935,-1955.0
1130000,0.745,13720.0,0.95,37.5
1140000,0.715,4892.5,0.935,-742.5
1150000,0.785,16535.0,0.88,-4322.5
1160000,0.705,6197.5,0.895,-3832.5
1170000,0.78,15882.5,0.945,1382.5
1180000,0.795,15540.0,0.895,-4747.5
1190000,0.7,6192.5,0.93,-607.5
1200000,0.73,12522.5,0.925,-1952.5
1210000,0.78,13460.0,0.92,-740.0
1220000,0.755,12430.0,0.94,867.5
1230000,0.785,10520.0,0.95,-617.5
1240000,0.705,12357.5,0.93,-2192.5
1250000,0.8,20522.5,0.925,-2192.5
1260000,0.72,6455.0,0.92,-2852.5
1270000,0.785,15480.0,0.94,-407.5
1280000,0.74,6102.5,0.93,-907.5
1290000,0.77,10212.5,0.875,-3442.5
1300000,0.74,9347.5,0.935,-1017.5000000000001
1310000,0.71,5892.5,0.93,-1962.5
1320000,0.71,8250.0,0.96,1682.5
1330000,0.72,7780.0,0.905,-2995.0
1340000,0.775,13482.5,0.905,-3590.0
1350000,0.76,11595.0,0.94,-1825.0
