episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
60000,0.845,16117.5,0.88,-5272.5
120000,0.81,11235.0,0.935,2460.0
180000,0.78,1282.5,0.925,-1380.0
240000,0.785,10387.5,0.905,-2545.0
300000,0.77,17007.5,0.925,-2552.5
360000,0.77,9955.0,0.885,-3640.0
420000,0.755,6025.0,0.91,-625.0
480000,0.765,5150.0,0.9,-3155.0
540000,0.655,-742.5,0.905,-2550.0
600000,0.79,9382.5,0.91,-2415.0
660000,0.765,10475.0,0.89,-2842.5
720000,0.74,8522.5,0.905,-1597.5
780000,0.705,5862.5,0.93,37.5
840000,0.76,9175.0,0.935,-1207.5
900000,0.78,13227.5,0.9,-1882.5
960000,0.83,12625.0,0.91,-337.5
1020000,0.705,7602.5,0.875,-3315.0
1080000,0.74,6840.0,0.865,-3345.0
1140000,0.795,18197.5,0.94,-662.5
1200000,0.75,11275.0,0.89,-1242.5
1260000,0.76,7892.5,0.91,-1350.0
1320000,0.74,11635.0,0.925,-2150.0
1380000,0.735,9320.0,0.94,-2165.0
1440000,0.815,13680.0,0.935,-2822.5
1500000,0.795,10940.0,0.895,-2617.5
1560000,0.74,7742.5,0.92,-2615.0
1620000,0.77,10965.0,0.9,-1385.0
1680000,0.77,15770.0,0.885,-1440.0
1740000,0.675,2755.0,0.88,-2635.0
1800000,0.78,12282.5,0.915,-1660.0
1860000,0.715,8595.0,0.925,210.0
1920000,0.745,7615.0,0.935,-970.0
1980000,0.79,12132.5,0.92,287.5
2040000,0.78,12370.0,0.9,1865.0
2100000,0.755,10697.5,0.915,182.5
2160000,0.745,11260.0,0.915,-617.5
2220000,0.77,16015.0,0.92,505.0
2280000,0.84,24737.5,0.905,-1352.5
2340000,0.78,12260.0,0.9,-1727.5
2400000,0.745,6902.5,0.875,67.5
2460000,0.76,9055.0,0.87,-3412.5
2520000,0.7,11220.0,0.87,-3125.0
2580000,0.78,10507.5,0.9,-2017.5
2640000,0.7,5745.0,0.865,-4997.5
2700000,0.705,8445.0,0.93,237.5
2760000,0.775,17615.0,0.91,-1505.0
2820000,0.705,-290.0,0.895,10.0
2880000,0.76,5380.0,0.925,-545.0
2940000,0.8,9865.0,0.92,565.0
3000000,0.755,8495.0,0.905,-2175.0
3060000,0.715,10022.5,0.89,-1740.0
3120000,0.81,19565.0,0.94,-30.0
3180000,0.785,9072.5,0.905,-2377.5
3240000,0.75,8982.5,0.875,-3962.5
3300000,0.705,6147.5,0.9,-1580.0
3360000,0.755,12465.0,0.91,85.0
3420000,0.78,13882.5,0.865,-72.5
3480000,0.725,8015.000000000001,0.905,-1710.0
3540000,0.695,5547.5,0.9,-3477.5
3600000,0.695,4327.5,0.835,-5665.0
3660000,0.76,14702.5,0.92,-1415.0
3720000,0.68,1557.5,0.855,-3480.0
3780000,0.735,5972.5,0.885,-1860.0
3840000,0.75,7795.0,0.92,-430.0
3900000,0.785,14335.0,0.87,-3430.0
3960000,0.69,7005.0,0.92,-227.5
4020000,0.76,9740.0,0.885,-3862.5
4080000,0.715,9145.0,0.88,-1270.0
4140000,0.76,9152.5,0.92,-780.0
4200000,0.66,4237.5,0.93,-167.5
4260000,0.705,11435.0,0.905,-697.5
4320000,0.71,12545.0,0.89,-2582.5
4380000,0.7,8362.5,0.89,140.0
4440000,0.76,11267.5,0.87,-1540.0
4500000,0.725,12360.0,0.925,1280.0
4560000,0.785,15007.5,0.91,-2600.0
4620000,0.685,12205.0,0.86,-422.5
4680000,0.725,6832.5,0.91,615.0
4740000,0.74,13680.0,0.88,-2917.5
4800000,0.715,10637.5,0.89,-60.0
4860000,0.76,9435.0,0.875,-3585.0
4920000,0.73,7017.5,0.875,-2335.0
4980000,0.745,9817.5,0.89,-790.0
5040000,0.76,9595.0,0.9,-1680.0
5100000,0.715,8285.0,0.895,-1925.0
5160000,0.745,8847.5,0.87,-2922.5
5220000,0.645,2930.0,0.875,-157.5
5280000,0.73,16967.5,0.82,-4677.5
5340000,0.72,3022.5,0.83,-2947.5
5400000,0.71,8885.0,0.89,-1382.5
5460000,0.715,7837.5,0.85,-3112.5
5520000,0.77,8890.0,0.895,1882.5
5580000,0.68,3297.5,0.86,-1832.5
5640000,0.715,9535.0,0.84,-2770.0
5700000,0.72,9167.5,0.895,-982.5
5760000,0.67,9420.0,0.875,-3692.5
5820000,0.695,2277.5,0.875,457.5
5880000,0.685,8627.5,0.835,-2802.5
5940000,0.72,13487.5,0.925,-842.5
6000000,0.74,10132.5,0.88,-1627.5
6060000,0.73,12010.0,0.825,-1627.5
6120000,0.675,5887.5,0.855,-2217.5
6180000,0.7,7527.5,0.91,-850.0
6240000,0.78,13555.0,0.885,-2265.0
6300000,0.72,8992.5,0.835,-3165.0
6360000,0.685,3300.0,0.865,-1745.0
6420000,0.65,6327.5,0.875,-1605.0
6480000,0.77,17832.5,0.875,-2162.5
6540000,0.7,11100.0,0.83,-1190.0
6600000,0.695,8197.5,0.88,-970.0
6660000,0.725,10267.5,0.855,-4722.5
6720000,0.665,1772.5,0.82,-3642.5
6780000,0.695,5550.0,0.875,-2627.5
6840000,0.715,9330.0,0.805,-3730.0
6900000,0.665,8927.5,0.85,-3460.0
6960000,0.715,11512.5,0.84,-4330.0
7020000,0.705,11607.5,0.9,-1632.5
7080000,0.68,10687.5,0.825,-2382.5
7140000,0.68,3057.5,0.88,-1672.5
7200000,0.615,4700.0,0.855,-2187.5
7260000,0.725,10745.0,0.83,-1122.5
7320000,0.66,1620.0,0.85,-1332.5
7380000,0.7,5692.5,0.895,-277.5
7440000,0.715,13277.5,0.89,-1995.0
7500000,0.655,6187.5,0.875,-1270.0
7560000,0.66,9567.5,0.865,-2422.5
7620000,0.61,-1650.0,0.845,-1837.5
7680000,0.625,3212.5,0.86,-2377.5
7740000,0.61,6505.0,0.84,-1020.0
7800000,0.605,4755.0,0.89,-2300.0
7860000,0.66,7452.5,0.88,-680.0
7920000,0.67,5787.5,0.885,-305.0
7980000,0.62,6737.5,0.83,-967.5
8040000,0.7,9952.5,0.85,-1050.0
8100000,0.72,8015.000000000001,0.895,-1242.5
8160000,0.575,4545.0,0.85,-1415.0
8220000,0.55,5430.0,0.81,-2972.5
8280000,0.61,7150.0,0.845,-1192.5
8340000,0.685,9127.5,0.82,-3222.5
8400000,0.585,2582.5,0.79,-1322.5
8460000,0.59,7937.5,0.87,-692.5
8520000,0.645,8580.0,0.845,-2180.0
8580000,0.58,6440.0,0.91,-332.5
8640000,0.645,6297.5,0.83,-2007.4999999999998
8700000,0.59,10895.0,0.825,362.5
8760000,0.64,5540.0,0.825,-3920.0
8820000,0.54,1200.0,0.86,-1205.0
8880000,0.585,7685.0,0.77,-4667.5
8940000,0.52,-1652.5,0.81,-1915.0
9000000,0.635,3500.0,0.85,-2327.5
9060000,0.545,4727.5,0.895,-77.5
9120000,0.49,5330.0,0.765,-2285.0
9180000,0.57,3192.5,0.875,495.0
9240000,0.56,1530.0,0.83,360.0
9300000,0.545,5585.0,0.86,-227.5
9360000,0.585,4745.0,0.815,-1950.0
9420000,0.51,997.5,0.76,-72.5
9480000,0.495,2482.5,0.875,-1337.5
9540000,0.505,1692.5,0.835,-2022.5
9600000,0.545,5922.5,0.81,-637.5
9660000,0.525,6750.0,0.815,-2415.0
9720000,0.455,1960.0,0.76,410.0
9780000,0.535,4380.0,0.795,-2127.5
9840000,0.38,2675.0,0.715,-932.5
9900000,0.445,327.5,0.65,-82.5
9960000,0.465,3202.5,0.82,-1495.0
10020000,0.555,3837.5,0.83,-2130.0
10080000,0.45,972.5,0.72,-95.0
10140000,0.54,4707.5,0.83,-55.0
10200000,0.5,627.5,0.765,97.5
10260000,0.46,-225.0,0.735,-2065.0
10320000,0.405,537.5,0.755,-1767.5
10380000,0.49,4140.0,0.77,-1207.5
10440000,0.415,-1082.5,0.75,-2702.5
10500000,0.465,365.0,0.78,-240.0
10560000,0.385,2527.5,0.72,-17.5
10620000,0.45,-465.0,0.69,-1315.0
10680000,0.38,1275.0,0.75,410.0
10740000,0.385,1237.5,0.725,-1057.5
10800000,0.385,1562.5,0.645,-232.5
10860000,0.31,-1747.5,0.675,-635.0
10920000,0.36,720.0,0.7,-417.5
10980000,0.37,-1740.0,0.685,-1962.5
11040000,0.36,3522.5,0.62,-1810.0
11100000,0.325,590.0,0.695,-1217.5
11160000,0.345,2037.5,0.68,-305.0
11220000,0.235,-1580.0,0.595,97.5
11280000,0.29,987.5,0.53,12.5
11340000,0.325,1897.5,0.645,-300.0
11400000,0.295,1590.0,0.595,282.5
11460000,0.295,540.0,0.485,-202.5
11520000,0.2,-222.5,0.465,-222.5
11580000,0.17,277.5,0.47,-80.0
11640000,0.21,-427.5,0.44,-70.0
11700000,0.24,1142.5,0.5,-30.0
11760000,0.205,412.5,0.45,-100.0
11820000,0.195,-550.0,0.465,-60.0
11880000,0.235,-347.5,0.425,-332.5
11940000,0.205,20.0,0.46,-37.5
12000000,0.135,-452.5,0.43,-105.0
12060000,0.185,52.5,0.42,-77.5
12120000,0.2,-450.0,0.41,-117.5
12180000,0.2,-445.0,0.43,-80.0
12240000,0.19,222.5,0.425,-117.5
12300000,0.21,-435.0,0.43,-60.0
12360000,0.175,-490.0,0.405,-132.5
12420000,0.185,-137.5,0.405,-117.5
12480000,0.175,-500.0,0.45,-7.5
12540000,0.205,-442.5,0.42,-112.5
12600000,0.2,-480.0,0.42,-100.0
12660000,0.19,-460.0,0.435,-45.0
12720000,0.21,-432.5,0.4,-142.5
12780000,0.21,-432.5,0.405,-117.5
12840000,0.16,-542.5,0.43,-82.5
12900000,0.22,-430.0,0.455,-27.5
12960000,0.19,-445.0,0.42,-90.0
13020000,0.215,212.5,0.405,-122.5
13080000,0.175,-485.0,0.375,-167.5
13140000,0.155,-515.0,0.415,-120.0
13200000,0.195,-462.5,0.41,-125.0
13260000,0.175,-90.0,0.415,-62.5
13320000,0.225,-227.5,0.44,-72.5
13380000,0.175,-490.0,0.4,-135.0
13440000,0.23,-155.0,0.41,-120.0
13500000,0.22,-465.0,0.425,-32.5
13560000,0.205,-442.5,0.41,-112.5
13620000,0.17,-492.5,0.455,-50.0
13680000,0.2,-445.0,0.43,-87.5
13740000,0.2,-467.5,0.415,-95.0
13800000,0.225,-225.0,0.43,-80.0
13860000,0.15,-517.5,0.43,-90.0
13920000,0.17,-180.0,0.44,-57.5
13980000,0.155,-360.0,0.43,-72.5
14040000,0.18,45.0,0.41,-87.5
14100000,0.185,-820.0,0.405,-127.5
14160000,0.165,-510.0,0.445,-50.0
14220000,0.15,-15.0,0.4,-107.5
14280000,0.185,-435.0,0.425,-90.0
14340000,0.195,-455.0,0.405,-142.5
14400000,0.18,-480.0,0.435,-75.0
14460000,0.165,-532.5,0.415,335.0
14520000,0.16,-82.5,0.465,-35.0
14580000,0.195,-152.5,0.43,-82.5
14640000,0.215,-417.5,0.445,-30.0
14700000,0.165,-560.0,0.41,-100.0
14760000,0.195,-455.0,0.45,-50.0
14820000,0.205,-442.5,0.44,-60.0
14880000,0.22,-440.0,0.41,-105.0
14940000,0.15,-555.0,0.435,5.0
15000000,0.165,-195.0,0.42,-102.5
