episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
10000,0.82,11815.0,0.935,-1555.0
20000,0.855,19100.0,0.905,-5665.0
30000,0.845,18207.5,0.95,-1772.5
40000,0.815,11150.0,0.915,-3367.5
50000,0.865,18440.0,0.905,-4655.0
60000,0.835,15735.0,0.895,-5767.5
70000,0.87,16195.0,0.915,-3495.0
80000,0.805,13012.5,0.94,582.5
90000,0.785,10875.0,0.95,-815.0
100000,0.77,5432.5,0.915,-1042.5
110000,0.805,13705.0,0.94,-1377.5
120000,0.825,16912.5,0.905,-1230.0
130000,0.85,18645.0,0.96,1002.5
140000,0.85,17877.5,0.945,1785.0
150000,0.8,13270.0,0.91,-915.0
160000,0.785,9052.5,0.915,-1087.5
170000,0.785,11012.5,0.925,-72.5
180000,0.795,9980.0,0.92,-2350.0
190000,0.84,16152.5,0.91,-1335.0
200000,0.765,9905.0,0.895,-1287.5
210000,0.77,11962.5,0.92,-772.5
220000,0.84,13977.5,0.91,-2122.5
230000,0.875,21387.5,0.89,-1182.5
240000,0.76,2345.0,0.91,-2532.5
250000,0.755,11042.5,0.855,-8052.5
260000,0.775,8545.0,0.905,-3622.5
270000,0.765,10510.0,0.94,757.5
280000,0.79,15817.5,0.885,-4642.5
290000,0.755,12260.0,0.925,-515.0
300000,0.775,12442.5,0.875,-4182.5
310000,0.775,13885.0,0.905,-2432.5
320000,0.76,11572.5,0.94,-515.0
330000,0.805,18497.5,0.92,-1685.0
340000,0.7,10250.0,0.875,-5227.5
350000,0.775,4705.0,0.905,-670.0
360000,0.76,13162.5,0.92,235.0
370000,0.775,11910.0,0.865,-3922.5
380000,0.725,3310.0,0.88,-2705.0
390000,0.74,9047.5,0.905,-2425.0
400000,0.725,8125.0,0.92,-1072.5
410000,0.765,10457.5,0.9,-767.5
420000,0.72,11565.0,0.895,-275.0
430000,0.785,15132.5,0.875,-2707.5
440000,0.78,9795.0,0.895,-2347.5
450000,0.75,9895.0,0.91,-1102.5
460000,0.84,15175.0,0.86,-2292.5
470000,0.755,14735.0,0.895,-2430.0
480000,0.7,5560.0,0.865,-5242.5
490000,0.845,17857.5,0.885,-3550.0
500000,0.725,3632.5,0.87,-5815.0
510000,0.725,7360.0,0.88,-3122.5
520000,0.735,6392.5,0.89,677.5
530000,0.785,13932.5,0.92,-1572.5
540000,0.745,7590.0,0.895,-2620.0
550000,0.75,10057.5,0.92,-692.5
560000,0.74,12872.5,0.92,2607.5
570000,0.77,10335.0,0.885,-1675.0
580000,0.76,15517.5,0.91,1422.5
590000,0.73,11025.0,0.89,-790.0
600000,0.74,10782.5,0.905,-2865.0
610000,0.695,7100.0,0.91,-1455.0
620000,0.82,15435.0,0.93,-1457.5
630000,0.785,13672.5,0.915,-1927.5
640000,0.76,11175.0,0.88,-2452.5
650000,0.705,4717.5,0.88,-2425.0
660000,0.775,13745.0,0.915,-535.0
670000,0.76,10480.0,0.94,30.0
680000,0.745,5287.5,0.86,-2907.5
690000,0.715,11432.5,0.81,-4257.5
700000,0.79,13307.5,0.83,-5920.0
710000,0.8,13772.5,0.895,-772.5
