episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
4000,0.785,5677.5,0.92,-3490.0
8000,0.85,13260.0,0.94,-2705.0
12000,0.81,12985.0,0.87,-4087.5000000000005
16000,0.835,16145.0,0.915,-1692.5
20000,0.775,12047.5,0.935,-3052.5
24000,0.845,15567.5,0.925,-1267.5
28000,0.78,15185.0,0.935,-2460.0
32000,0.78,21985.0,0.85,-3330.0
36000,0.805,14187.5,0.875,-4927.5
40000,0.76,12227.5,0.855,-3685.0
44000,0.765,10397.5,0.865,-5795.0
48000,0.7,9615.0,0.8,-875.0
52000,0.68,9905.0,0.9,-1040.0
56000,0.75,12392.5,0.825,-2175.0
60000,0.69,7685.0,0.875,-790.0
64000,0.77,14427.5,0.875,-3895.0
68000,0.745,4712.5,0.92,-2095.0
72000,0.745,11352.5,0.865,-2295.0
76000,0.705,8322.5,0.88,-400.0
80000,0.755,12617.5,0.88,-4577.5
84000,0.77,16757.5,0.875,-387.5
88000,0.815,20612.5,0.865,-2217.5
92000,0.69,15230.0,0.87,-1815.0
96000,0.66,7250.0,0.835,-1965.0
100000,0.755,13877.5,0.835,-3697.5
104000,0.77,11450.0,0.88,-2792.5
108000,0.785,18350.0,0.845,-3477.5
112000,0.785,11355.0,0.895,-2257.5
116000,0.705,12742.5,0.825,-2927.5
120000,0.845,13900.0,0.88,-2582.5
124000,0.75,16372.499999999998,0.875,-2620.0
128000,0.715,14295.0,0.79,-4762.5
132000,0.745,12767.5,0.86,-2322.5
136000,0.7,14370.0,0.8,-3350.0
140000,0.685,14102.5,0.8,-2400.0
144000,0.745,7820.0,0.87,-2710.0
148000,0.665,5022.5,0.825,-2755.0
152000,0.695,10857.5,0.885,-2750.0
156000,0.73,13352.5,0.86,-5517.5
160000,0.725,14417.5,0.9,-2997.5
164000,0.775,10367.5,0.925,-1202.5
168000,0.545,4560.0,0.78,-1837.5
172000,0.66,7010.0,0.805,-2085.0
176000,0.785,18482.5,0.915,-560.0
180000,0.715,13152.5,0.865,-2910.0
184000,0.695,7307.5,0.83,-4797.5
188000,0.63,3052.5,0.89,-1395.0
192000,0.685,12327.5,0.835,-4355.0
196000,0.795,12995.0,0.915,-3375.0
200000,0.685,12977.5,0.855,-5410.0
204000,0.685,4955.0,0.925,-2052.5
208000,0.65,9022.5,0.81,-5220.0
212000,0.655,3622.5,0.895,-5662.5
216000,0.605,6440.0,0.785,-3655.0
220000,0.73,16067.499999999998,0.87,-6492.5
