episode,win_vs_random,mbb_vs_random,win_vs_evaltag,mbb_vs_evaltag
10000,0.865,20560.0,0.91,-5412.5
20000,0.745,5922.5,0.9,-1020.0
30000,0.76,12960.0,0.885,-2847.5
40000,0.775,8372.5,0.825,-5690.0
50000,0.755,12140.0,0.855,-2580.0
60000,0.74,8472.5,0.915,-865.0
70000,0.7,8870.0,0.81,-4037.4999999999995
80000,0.66,13860.0,0.82,-397.5
90000,0.74,15925.0,0.88,-1672.5
100000,0.755,10937.5,0.895,-4402.5
110000,0.78,15520.0,0.88,-1965.0
120000,0.735,14702.5,0.835,-5057.5
130000,0.71,5627.5,0.86,-7395.0
140000,0.695,15240.0,0.795,-7287.5
150000,0.74,6492.5,0.9,-3077.5
160000,0.72,12250.0,0.785,-5185.0
170000,0.77,15002.5,0.9,-2480.0
180000,0.765,15282.5,0.87,-1805.0
190000,0.76,12125.0,0.91,-1680.0
200000,0.805,14552.5,0.885,-2005.0
210000,0.775,15085.0,0.9,-1332.5
220000,0.82,15730.0,0.9,-4285.0
230000,0.815,18827.5,0.86,-3175.0
240000,0.75,13932.5,0.875,-1405.0
250000,0.715,10437.5,0.895,-3292.5
260000,0.695,12155.0,0.88,147.5
270000,0.655,10625.0,0.825,-1515.0
280000,0.765,19415.0,0.88,-890.0
290000,0.74,16780.0,0.88,-1845.0
300000,0.73,11357.5,0.92,-2052.5
310000,0.715,8470.0,0.825,-1002.5
320000,0.685,12360.0,0.725,-4910.0
330000,0.78,16400.0,0.835,-4450.0
340000,0.74,6125.0,0.865,-2630.0
350000,0.75,12775.0,0.88,-4892.5
360000,0.715,8477.5,0.89,-3682.5
370000,0.85,22125.0,0.905,-2745.0
380000,0.785,20072.5,0.91,-2160.0
390000,0.805,10352.5,0.88,-2775.0
400000,0.77,13757.5,0.9,-3045.0
410000,0.8,16992.5,0.9,-5810.0
420000,0.76,6940.0,0.9,-1317.5
430000,0.83,20807.5,0.9,-1660.0
440000,0.8,13120.0,0.905,-4185.0
450000,0.82,17077.5,0.925,-1490.0
460000,0.8,16295.000000000002,0.89,-2452.5
470000,0.725,7065.0,0.905,102.5
480000,0.765,7025.0,0.93,-2812.5
490000,0.765,9990.0,0.88,-4175.0
500000,0.76,11150.0,0.9,-965.0
510000,0.835,18305.0,0.935,-1097.5
520000,0.75,9247.5,0.86,-6332.5
530000,0.695,10927.5,0.825,-5430.0
540000,0.795,16965.0,0.915,-2577.5
550000,0.71,13422.5,0.89,-440.0
560000,0.73,17217.5,0.87,-680.0
570000,0.81,21367.5,0.925,-895.0
580000,0.745,12382.5,0.915,-3287.5
590000,0.8,13605.0,0.935,50.0
600000,0.7,10057.5,0.875,-2107.5
610000,0.78,16329.999999999998,0.865,-5067.5
620000,0.74,18462.5,0.91,-832.5
630000,0.67,2532.5,0.885,-407.5
640000,0.79,15447.5,0.835,-1917.5
650000,0.78,16777.5,0.91,265.0
660000,0.785,14817.5,0.84,-2920.0
670000,0.785,15940.0,0.89,-3065.0
680000,0.695,13742.5,0.875,-1010.0
690000,0.74,8270.0,0.895,-1982.5
700000,0.67,7252.5,0.855,-2692.5
710000,0.8,15517.5,0.87,-3185.0
720000,0.835,21292.5,0.91,-2400.0
730000,0.73,6710.0,0.91,-2942.5
740000,0.685,8745.0,0.91,327.5
750000,0.69,13965.0,0.865,-1245.0
760000,0.745,9817.5,0.9,-2995.0
770000,0.755,13442.5,0.915,-2192.5
780000,0.775,21387.5,0.885,-2040.0
790000,0.725,14485.0,0.86,-72.5
800000,0.69,8332.5,0.9,-3995.0
810000,0.775,20497.5,0.905,-400.0
820000,0.76,14537.5,0.9,-4445.0
830000,0.695,11835.0,0.86,-842.5
840000,0.84,16617.5,0.94,-1612.5
850000,0.765,15877.5,0.92,-1382.5
860000,0.775,15562.5,0.93,-1740.0
870000,0.76,9340.0,0.93,-2252.5
880000,0.705,11190.0,0.92,-1970.0
890000,0.68,10027.5,0.935,-225.0
900000,0.755,11122.5,0.88,-2155.0
910000,0.785,14210.0,0.92,-4395.0
920000,0.755,13017.5,0.91,-3530.0
930000,0.79,15060.0,0.93,-2177.5
940000,0.75,21200.0,0.925,-330.0
950000,0.705,10307.5,0.865,-3727.5
960000,0.72,6775.0,0.875,-935.0
970000,0.795,13310.0,0.91,120.0
980000,0.695,9540.0,0.92,-1997.5
990000,0.785,8917.5,0.87,-5657.5
1000000,0.755,10747.5,0.905,-1742.5
1010000,0.655,3380.0,0.865,-3935.0
1020000,0.8,18897.5,0.905,-4062.5
1030000,0.7,8235.0,0.92,-1947.5
1040000,0.775,14760.0,0.95,-1065.0
1050000,0.76,11522.5,0.925,-870.0
1060000,0.73,11590.0,0.88,-4515.0
1070000,0.775,14305.0,0.925,-335.0
1080000,0.655,14485.0,0.9,-652.5
1090000,0.65,8802.5,0.83,-810.0
1100000,0.695,9937.5,0.945,-97.5
1110000,0.695,15285.0,0.88,-1325.0
1120000,0.72,15252.5,0.94,-695.0
1130000,0.67,9892.5,0.94,-437.5
1140000,0.72,8164.999999999999,0.885,-3442.5
1150000,0.7,8410.0,0.915,-2065.0
1160000,0.6,6692.5,0.93,-1832.5
1170000,0.725,18075.0,0.905,-1995.0
1180000,0.645,13022.5,0.905,957.5
1190000,0.675,4700.0,0.895,-2262.5
1200000,0.71,7280.0,0.94,-1070.0
1210000,0.785,13835.0,0.89,-2560.0
1220000,0.71,16237.5,0.895,60.0
1230000,0.775,18585.0,0.88,-2415.0
1240000,0.69,10665.0,0.895,-735.0
1250000,0.735,14205.0,0.945,-1402.5
1260000,0.765,14000.0,0.945,-1402.5
1270000,0.68,12962.5,0.87,-850.0
1280000,0.605,10155.0,0.82,-1212.5
1290000,0.635,6825.0,0.905,-1062.5
1300000,0.66,5435.0,0.945,-765.0
1310000,0.71,8029.999999999999,0.92,-2077.5
1320000,0.66,4872.5,0.91,-2152.5
1330000,0.685,8197.5,0.925,-1732.5
1340000,0.71,9230.0,0.915,-2325.0
1350000,0.7,9077.5,0.89,-2015.0000000000002
1360000,0.7,11600.0,0.925,-255.0
1370000,0.705,7857.5,0.9,-85.0
1380000,0.68,4870.0,0.92,-1237.5
1390000,0.685,11522.5,0.945,-1762.5
1400000,0.65,11892.5,0.945,-280.0
1410000,0.74,11982.5,0.88,-672.5
1420000,0.625,5232.5,0.905,-1165.0
1430000,0.71,8997.5,0.935,-1972.5
1440000,0.59,11717.5,0.805,-1040.0
1450000,0.695,14110.0,0.94,-1577.5
1460000,0.695,11685.0,0.91,-842.5
1470000,0.63,7540.0,0.88,-865.0
1480000,0.67,5572.5,0.9,120.0
1490000,0.57,8167.5,0.82,-495.0
1500000,0.645,8092.499999999999,0.89,-1850.0
1510000,0.635,9372.5,0.885,192.5
1520000,0.585,9190.0,0.795,-267.5
1530000,0.575,3027.5,0.82,-1922.5
1540000,0.63,8119.999999999999,0.885,-1210.0
1550000,0.59,9247.5,0.795,-867.5
1560000,0.615,7267.5,0.79,-2045.0
1570000,0.55,2067.5,0.81,-1592.5
1580000,0.575,11860.0,0.755,-2202.5
1590000,0.555,6387.5,0.78,-575.0
1600000,0.61,8057.499999999999,0.86,-1290.0
1610000,0.65,13190.0,0.895,-1662.5
1620000,0.64,9845.0,0.865,-2197.5
1630000,0.5,7975.0,0.82,-127.5
1640000,0.595,7267.5,0.77,-1042.5
1650000,0.505,6065.0,0.84,-1017.5000000000001
1660000,0.55,8805.0,0.775,-505.0
1670000,0.54,11470.0,0.775,-1105.0
1680000,0.62,4117.5,0.875,-2197.5
1690000,0.57,9335.0,0.89,122.5
1700000,0.505,4502.5,0.795,-1435.0
1710000,0.53,6600.0,0.775,-775.0
1720000,0.54,8660.0,0.77,-1040.0
1730000,0.48,5330.0,0.705,-1117.5
1740000,0.595,9547.5,0.815,-1487.5
1750000,0.5,5195.0,0.735,-2525.0
1760000,0.535,9705.0,0.8,-2557.5
1770000,0.485,8802.5,0.785,142.5
1780000,0.465,6127.5,0.715,1515.0
1790000,0.505,10352.5,0.72,-80.0
1800000,0.475,3190.0,0.695,-472.5
1810000,0.465,2937.5,0.75,-467.5
1820000,0.445,3055.0,0.735,-1245.0
1830000,0.355,2597.5,0.61,-1457.5
1840000,0.38,2902.5,0.595,-937.5
1850000,0.31,1770.0,0.495,-17.5
1860000,0.415,2885.0,0.605,100.0
1870000,0.31,2945.0,0.52,-125.0
1880000,0.4,5287.5,0.655,1022.5
1890000,0.31,2442.5,0.485,27.5
1900000,0.34,3402.5,0.515,-772.5
1910000,0.28,2655.0,0.505,-552.5
1920000,0.325,2045.0,0.49,137.5
1930000,0.3,877.5,0.545,472.5
1940000,0.32,3015.0,0.575,-957.5
1950000,0.295,1615.0,0.53,-677.5
1960000,0.24,412.5,0.45,-805.0
