run,vsRand_mbb,vsRand_sd,vsTAG_mbb,vsTAG_sd,verdict
16_mc_prop_check1_eps_prev_1200k,4981.6,105.6,-1145.8,28.2,vsTAG-
17_mc_binary_eps_prev_1200k,7574.8,271.0,-3654.2,137.4,vsTAG-
18_mc_potnorm_eps_prev_1200k,12211.2,166.1,-1616.8,55.4,vsTAG-
19_mc_prop_softmax_prev_2000k,277.0,25.2,112.1,12.6,BOTH+
21a_softmax_random_2000k,277.0,25.2,112.1,12.6,BOTH+
21b_softmax_rulebased_2000k,350.3,87.7,959.7,15.0,BOTH+
21c_softmax_selfplay_2000k,4403.7,302.0,-4608.7,70.4,vsTAG-
24_softmax_mixed_8000k,-479.3,0.7,-111.7,1.3,BOTH-
25a_temp_baseline_2000k,600.8,59.1,-77.7,17.1,vsTAG-
25b_temp_hi_2000k,647.3,26.8,97.2,13.9,BOTH+
25c_temp_slow_2000k,318.7,24.7,-53.0,27.7,vsTAG-
25d_temp_floor_2000k,277.9,19.7,10.5,23.0,BOTH+
26a_persona_lag_2000k,-563.0,127.2,932.6,15.2,vsRand-
26b_persona_man_2000k,38.7,18.8,68.9,12.3,BOTH+
26c_persona_sta_2000k,-674.5,4.7,778.0,5.5,vsRand-
26d_persona_nit_2000k,1280.8,146.2,853.8,4.9,BOTH+
26e_persona_tag_2000k,987.1,76.7,940.4,16.5,BOTH+
softmax_novic_random_2m,760.4,40.1,-27.2,22.6,vsTAG-
