ep,temp,t_real,checks
23,9.91,5,1:8.0
25,9.90,199,1:8.0
47,9.81,3,1:4.0
58,9.77,52,3:32.0
60,9.76,4,1:12.0
71,9.72,3,1:4.0;2:4.0
82,9.68,198,3:18.0
125,9.51,9,1:8.0;2:8.0
126,9.50,4,1:8.0
131,9.48,199,1:4.0
132,9.48,2,0:4.0
137,9.46,199,1:4.0
206,9.18,198,0:4.0
246,9.03,3,0:4.0
273,8.92,11,1:10.0;2:10.0
279,8.90,199,1:8.0
361,8.57,4,1:4.0
375,8.52,4,1:4.0
496,8.04,198,1:26.0
500,8.02,2,0:4.0
507,7.99,5,1:4.0
515,7.96,9,1:8.0
536,7.88,2,0:4.0
557,7.80,199,1:8.0
589,7.67,60,1:82.0
629,7.51,1,1:4.0
641,7.46,199,1:4.0
680,7.31,198,2:12.0
719,7.15,5,1:4.0
728,7.12,198,1:8.0
772,6.94,4,1:8.0
790,6.87,198,1:30.0
798,6.84,2,0:4.0
836,6.69,4,0:4.0
852,6.63,198,1:8.0
870,6.56,4,0:4.0
953,6.23,32,1:4.0
960,6.20,198,1:28.0
999,6.05,199,1:4.0
1061,5.80,7,1:8.0
1082,5.72,3,0:4.0
1102,5.64,2,0:4.0
1130,5.53,198,0:4.0
1154,5.43,3,0:4.0
1242,5.08,2,0:4.0
1254,5.04,6,1:8.0
1276,4.95,91,1:12.0
1370,4.58,198,2:24.0
1419,4.38,199,1:4.0
1436,4.32,2,0:4.0
1485,4.12,7,1:8.0
1524,3.97,68,1:28.0
1532,3.94,16,1:12.0
1576,3.76,2,0:4.0
1591,3.70,5,1:4.0
1605,3.65,11,1:8.0
1618,3.60,198,1:8.0
1673,3.38,3,1:4.0
1707,3.24,199,1:4.0
1744,3.10,4,0:4.0
1781,2.95,9,1:8.0
1796,2.89,2,0:4.0
1972,2.19,198,0:4.0
2003,2.07,5,1:8.0
2033,1.95,199,1:8.0
2068,1.81,2,0:4.0
2103,1.68,199,1:4.0
2150,1.49,198,0:4.0
2157,1.46,199,1:4.0
2266,1.03,4,0:4.0
2491,0.50,9,1:10.0
2526,0.50,4,0:4.0
2629,0.50,100,1:14.0
2634,0.50,2,0:4.0
2692,0.50,4,0:4.0
2836,0.50,4,0:4.0
2890,0.50,4,0:4.0
2998,0.50,2,0:4.0
